type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,21797.0,113121.0,27050,2022-11-20T19:42:10.000Z,AOC,0.091,0.909,0.0,-0.5719,-0.3,0.6,280
quoted,46135.0,267680.0,18628,2022-11-20T19:05:13.000Z,AOC,0.214,0.691,0.095,-0.7624,-0.134375,0.6,266
retweeted,8817.0,0.0,0,2022-11-19T20:59:07.000Z,AOC,0.0,1.0,0.0,0.0,0.3,0.9,128
retweeted,7216.0,0.0,0,2022-11-19T16:20:17.000Z,AOC,0.085,0.674,0.241,0.6597,0.0,0.0,124
retweeted,1482.0,0.0,0,2022-11-19T16:19:42.000Z,AOC,0.091,0.868,0.042,-0.3182,0.0,0.0,122
replied_to,2742.0,56108.0,4129,2022-11-19T02:33:03.000Z,AOC,0.0,1.0,0.0,0.0,0.0,0.0,52
replied_to,12494.0,81289.0,8689,2022-11-19T02:31:41.000Z,AOC,0.142,0.754,0.104,-0.4019,0.04,0.4033333333333333,245
quoted,30608.0,268547.0,44184,2022-11-19T02:15:37.000Z,AOC,0.106,0.856,0.038,-0.3506,0.025,0.2416666666666666,275
replied_to,32.0,891.0,424,2022-11-19T01:56:46.000Z,AOC,0.0,0.756,0.244,0.7003,0.4499999999999999,0.55,117
replied_to,2.0,59.0,10,2022-11-19T00:14:07.000Z,AOC,0.0,1.0,0.0,0.0,0.2,0.3,28
quoted,381.0,7071.0,420,2022-11-19T00:12:33.000Z,AOC,0.0,1.0,0.0,0.0,0.0,0.0,43
retweeted,4030.0,0.0,0,2022-11-18T23:00:55.000Z,AOC,0.265,0.619,0.117,-0.5106,-0.0535714285714285,0.7964285714285714,121
retweeted,476.0,0.0,0,2022-11-18T22:36:39.000Z,AOC,0.0,0.83,0.17,0.5707,0.0,0.0,129
quoted,4060.0,66326.0,3734,2022-11-18T18:43:45.000Z,AOC,0.0,1.0,0.0,0.0,0.2,0.6,14
retweeted,13651.0,0.0,0,2022-11-18T03:02:06.000Z,AOC,0.272,0.586,0.141,-0.5848,1.0,0.75,126
solo,35589.0,354649.0,37231,2022-11-18T02:09:59.000Z,AOC,0.0,0.783,0.217,0.5574,0.1875,0.875,68
solo,39580.0,396908.0,30975,2022-11-18T00:22:20.000Z,AOC,0.031,0.734,0.235,0.8473,0.1027777777777777,0.4805555555555555,212
quoted,1110.0,12914.0,2310,2022-11-18T00:12:54.000Z,AOC,0.0,0.752,0.248,0.916,0.26875,0.425,253
quoted,5046.0,27025.0,1048,2022-11-17T21:18:07.000Z,AOC,0.0,1.0,0.0,0.0,-0.0277777777777777,0.1944444444444444,58
quoted,874.0,5847.0,612,2022-11-16T16:37:50.000Z,AOC,0.0,0.697,0.303,0.7269,0.7,0.8,103
retweeted,582.0,0.0,0,2022-11-16T16:32:21.000Z,AOC,0.076,0.784,0.14,0.0772,0.2,0.6785714285714286,129
replied_to,70.0,2482.0,73,2022-11-16T04:12:08.000Z,AOC,0.0,0.747,0.253,0.6588,1.0,0.75,68
retweeted,44352.0,0.0,0,2022-11-16T03:56:24.000Z,AOC,0.14,0.736,0.124,-0.1027,-0.2,0.4,132
retweeted,1780.0,0.0,0,2022-11-16T02:33:39.000Z,AOC,0.404,0.596,0.0,-0.7783,0.0,0.0666666666666666,115
retweeted,1585.0,0.0,0,2022-11-16T00:00:21.000Z,AOC,0.132,0.868,0.0,-0.4404,0.3333333333333333,0.5,122
retweeted,606.0,0.0,0,2022-11-15T22:28:29.000Z,AOC,0.126,0.758,0.116,-0.0516,0.0,0.3571428571428571,116
solo,42116.0,355427.0,19429,2022-11-15T18:35:58.000Z,AOC,0.089,0.911,0.0,-0.3252,0.0,0.0,157
retweeted,2100.0,0.0,0,2022-11-15T17:33:48.000Z,AOC,0.0,1.0,0.0,0.0,0.0,0.0,40
retweeted,551.0,0.0,0,2022-11-15T03:32:34.000Z,AOC,0.0,0.894,0.106,0.3612,0.2805194805194805,0.5089285714285714,117
replied_to,212.0,1764.0,139,2022-11-15T02:34:05.000Z,AOC,0.0,0.0,0.0,0.0,0.0,0.0,0
quoted,1572.0,14314.0,672,2022-11-15T02:33:59.000Z,AOC,0.0,0.841,0.159,0.6486,0.3333333333333333,0.4333333333333333,190
