type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,24.0,112.0,19,2022-11-22T02:25:30.000Z,BBCWorld,0.286,0.714,0.0,-0.5574,0.0,0.0,54
solo,14.0,63.0,5,2022-11-22T02:07:30.000Z,BBCWorld,0.146,0.569,0.285,0.4019,0.0431818181818181,0.5272727272727272,52
solo,24.0,76.0,15,2022-11-22T00:41:45.000Z,BBCWorld,0.277,0.594,0.129,-0.3612,0.0,0.0,55
solo,57.0,143.0,41,2022-11-22T00:12:28.000Z,BBCWorld,0.225,0.775,0.0,-0.4404,-0.7,0.9,61
solo,39.0,212.0,14,2022-11-21T23:32:52.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,50
solo,42.0,413.0,32,2022-11-21T22:27:38.000Z,BBCWorld,0.211,0.789,0.0,-0.34,0.0,0.0,59
solo,32.0,143.0,22,2022-11-21T21:59:05.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,45
solo,113.0,391.0,189,2022-11-21T21:58:49.000Z,BBCWorld,0.25,0.481,0.269,0.0516,-0.6,0.9,60
solo,78.0,208.0,63,2022-11-21T21:30:00.000Z,BBCWorld,0.052,0.948,0.0,-0.1531,-0.1,0.1,171
solo,41.0,84.0,17,2022-11-21T20:55:22.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,48
solo,182.0,293.0,21,2022-11-21T20:39:04.000Z,BBCWorld,0.28,0.72,0.0,-0.5423,-0.3,0.4,69
solo,37.0,143.0,34,2022-11-21T20:13:12.000Z,BBCWorld,0.35,0.65,0.0,-0.6486,-0.2,0.4,62
solo,61.0,122.0,51,2022-11-21T19:41:18.000Z,BBCWorld,0.236,0.576,0.188,-0.2263,-0.2,0.0,95
solo,72.0,191.0,56,2022-11-21T19:14:02.000Z,BBCWorld,0.221,0.779,0.0,-0.5267,0.0,0.0,86
solo,70.0,425.0,36,2022-11-21T18:56:50.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,67
solo,42.0,168.0,39,2022-11-21T18:30:23.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,50
solo,42.0,225.0,25,2022-11-21T18:09:14.000Z,BBCWorld,0.189,0.811,0.0,-0.2732,0.0,0.0,67
solo,40.0,214.0,33,2022-11-21T17:41:58.000Z,BBCWorld,0.0,1.0,0.0,0.0,-0.1,0.4,50
solo,22.0,153.0,44,2022-11-21T17:21:25.000Z,BBCWorld,0.0,0.824,0.176,0.4588,0.0,0.0,85
solo,30.0,126.0,19,2022-11-21T17:00:03.000Z,BBCWorld,0.0,0.559,0.441,0.743,0.0,0.0,63
solo,33.0,223.0,20,2022-11-21T16:40:13.000Z,BBCWorld,0.0,0.682,0.318,0.4215,0.0,0.0,49
solo,224.0,1487.0,125,2022-11-21T16:20:07.000Z,BBCWorld,0.0,1.0,0.0,0.0,-0.4,0.4,64
solo,38.0,162.0,19,2022-11-21T16:10:03.000Z,BBCWorld,0.457,0.543,0.0,-0.4939,0.0,0.0,53
solo,50.0,234.0,26,2022-11-21T16:03:31.000Z,BBCWorld,0.187,0.813,0.0,-0.3182,0.0,0.0,66
retweeted,457.0,0.0,0,2022-11-21T16:02:21.000Z,BBCWorld,0.367,0.633,0.0,-0.8516,0.0,0.325,124
solo,54.0,513.0,206,2022-11-21T15:51:27.000Z,BBCWorld,0.0,1.0,0.0,0.0,-0.25,0.4,50
solo,36.0,124.0,51,2022-11-21T15:30:11.000Z,BBCWorld,0.0,0.735,0.265,0.5574,0.1363636363636363,0.4545454545454545,67
solo,26.0,172.0,9,2022-11-21T15:30:11.000Z,BBCWorld,0.0,0.823,0.177,0.4215,0.1363636363636363,0.4545454545454545,81
solo,66.0,437.0,355,2022-11-21T15:19:03.000Z,BBCWorld,0.0,0.816,0.184,0.2023,0.4,1.0,48
retweeted,383.0,0.0,0,2022-11-21T15:17:00.000Z,BBCWorld,0.0,0.762,0.238,0.658,1.0,0.4,108
solo,25.0,109.0,7,2022-11-21T15:06:04.000Z,BBCWorld,0.0,0.684,0.316,0.5719,0.3,0.2,67
solo,26.0,119.0,31,2022-11-21T15:00:05.000Z,BBCWorld,0.262,0.738,0.0,-0.4939,0.0,0.0,61
solo,24.0,109.0,4,2022-11-21T14:52:14.000Z,BBCWorld,0.297,0.703,0.0,-0.5859,-0.5,0.5,70
solo,37.0,108.0,12,2022-11-21T14:49:14.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,46
solo,15.0,127.0,7,2022-11-21T14:22:23.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.1,72
solo,94.0,415.0,19,2022-11-21T14:16:41.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.1666666666666666,0.3666666666666667,124
retweeted,37.0,0.0,0,2022-11-21T14:00:28.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.25,0.3333333333333333,120
solo,767.0,8387.0,1067,2022-11-21T13:48:17.000Z,BBCWorld,0.0,0.938,0.062,0.2023,0.0333333333333333,0.3,173
solo,19.0,152.0,30,2022-11-21T13:46:46.000Z,BBCWorld,0.224,0.664,0.112,-0.4335,0.0,0.0,118
solo,27.0,123.0,17,2022-11-21T13:44:10.000Z,BBCWorld,0.219,0.781,0.0,-0.1027,0.0,0.0,49
solo,24.0,146.0,38,2022-11-21T13:22:14.000Z,BBCWorld,0.315,0.538,0.146,-0.296,0.0,0.0,60
solo,122.0,530.0,44,2022-11-21T13:00:08.000Z,BBCWorld,0.189,0.811,0.0,-0.2732,0.0,0.0,67
solo,72.0,376.0,211,2022-11-21T12:48:08.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.5,0.8333333333333334,77
solo,485.0,1014.0,90,2022-11-21T12:45:29.000Z,BBCWorld,0.375,0.625,0.0,-0.6124,0.0,0.0,105
solo,32.0,159.0,16,2022-11-21T12:19:23.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,52
solo,34.0,143.0,47,2022-11-21T11:53:26.000Z,BBCWorld,0.0,0.902,0.098,0.0772,0.0,0.0,83
solo,91.0,870.0,234,2022-11-21T11:26:48.000Z,BBCWorld,0.254,0.746,0.0,-0.5267,0.0,0.0,73
solo,56.0,160.0,40,2022-11-21T11:22:14.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.25,0.3333333333333333,77
solo,41.0,182.0,18,2022-11-21T11:09:33.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,82
solo,19.0,106.0,21,2022-11-21T10:48:05.000Z,BBCWorld,0.118,0.672,0.21,0.2732,0.5,1.0,64
solo,66.0,221.0,25,2022-11-21T10:40:04.000Z,BBCWorld,0.0,1.0,0.0,0.0,-0.2333333333333333,0.4666666666666666,128
retweeted,1527.0,0.0,0,2022-11-21T10:35:01.000Z,BBCWorld,0.375,0.625,0.0,-0.8625,-0.0861111111111111,0.3694444444444444,124
solo,62.0,217.0,84,2022-11-21T10:20:03.000Z,BBCWorld,0.0,0.735,0.265,0.5574,0.1363636363636363,0.4545454545454545,67
solo,30.0,300.0,57,2022-11-21T10:11:41.000Z,BBCWorld,0.0,0.824,0.176,0.4588,0.0,0.0,85
solo,48.0,292.0,26,2022-11-21T10:08:55.000Z,BBCWorld,0.0,1.0,0.0,0.0,-0.1,0.4,50
solo,69.0,224.0,15,2022-11-21T10:00:15.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,50
retweeted,359.0,0.0,0,2022-11-21T09:59:35.000Z,BBCWorld,0.065,0.935,0.0,-0.1027,-0.0625,0.1875,124
solo,23.0,114.0,8,2022-11-21T09:45:08.000Z,BBCWorld,0.241,0.759,0.0,-0.2263,0.0,0.0,52
solo,121.0,287.0,18,2022-11-21T09:33:02.000Z,BBCWorld,0.554,0.446,0.0,-0.7351,0.0,0.0,51
solo,70.0,284.0,12,2022-11-21T09:25:53.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,54
solo,749.0,3726.0,120,2022-11-21T08:47:17.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,69
solo,30.0,120.0,16,2022-11-21T08:44:25.000Z,BBCWorld,0.339,0.661,0.0,-0.4767,0.0,0.0,73
solo,40.0,201.0,25,2022-11-21T08:28:40.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,51
solo,49.0,277.0,19,2022-11-21T07:50:03.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,32
solo,19.0,134.0,12,2022-11-21T07:30:06.000Z,BBCWorld,0.0,1.0,0.0,0.0,-0.2,0.3,61
solo,52.0,212.0,14,2022-11-21T07:21:00.000Z,BBCWorld,0.0,1.0,0.0,0.0,-0.4,0.4,114
solo,50.0,347.0,11,2022-11-21T07:00:05.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.4,0.7,42
solo,94.0,454.0,29,2022-11-21T06:53:04.000Z,BBCWorld,0.0,0.864,0.136,0.0258,0.0,0.0,48
solo,28.0,127.0,17,2022-11-21T06:35:52.000Z,BBCWorld,0.42,0.58,0.0,-0.7003,-0.0499999999999999,0.7,75
solo,109.0,1196.0,347,2022-11-21T06:32:14.000Z,BBCWorld,0.0,1.0,0.0,0.0,-0.25,0.4,50
solo,50.0,175.0,30,2022-11-21T06:02:37.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,50
solo,30.0,121.0,10,2022-11-21T05:51:03.000Z,BBCWorld,0.453,0.547,0.0,-0.7003,-0.5,0.9,67
solo,44.0,212.0,18,2022-11-21T05:45:47.000Z,BBCWorld,0.194,0.806,0.0,-0.34,0.0,0.0,74
solo,69.0,403.0,26,2022-11-21T05:37:44.000Z,BBCWorld,0.34,0.467,0.193,-0.296,0.0,0.0,64
solo,18.0,140.0,13,2022-11-21T05:15:21.000Z,BBCWorld,0.098,0.902,0.0,-0.0772,-0.5,1.0,79
solo,193.0,451.0,36,2022-11-21T04:17:42.000Z,BBCWorld,0.298,0.481,0.221,-0.2023,0.5,1.0,55
solo,35.0,154.0,11,2022-11-21T00:24:28.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,69
solo,29.0,183.0,32,2022-11-20T22:09:26.000Z,BBCWorld,0.192,0.808,0.0,-0.2263,0.0,0.0,50
solo,82.0,451.0,112,2022-11-20T20:50:47.000Z,BBCWorld,0.533,0.467,0.0,-0.6908,0.0,0.0,52
solo,157.0,620.0,157,2022-11-20T17:53:27.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.1363636363636363,0.5,48
solo,61.0,369.0,110,2022-11-20T17:23:56.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.1,66
retweeted,123.0,0.0,0,2022-11-20T16:31:57.000Z,BBCWorld,0.461,0.539,0.0,-0.9287,-0.0416666666666666,0.2083333333333333,123
solo,89.0,330.0,332,2022-11-20T16:16:53.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.25,0.3333333333333333,43
solo,77.0,267.0,47,2022-11-20T15:35:36.000Z,BBCWorld,0.309,0.691,0.0,-0.7717,-0.0277777777777777,0.3277777777777778,98
solo,70.0,451.0,29,2022-11-20T15:32:03.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,52
solo,125.0,908.0,167,2022-11-20T15:02:05.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.1,66
retweeted,143.0,0.0,0,2022-11-20T14:54:35.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.1931818181818181,0.4166666666666666,103
solo,64.0,341.0,17,2022-11-20T14:30:54.000Z,BBCWorld,0.295,0.432,0.273,-0.1531,0.0,0.0,124
solo,69.0,471.0,64,2022-11-20T14:02:19.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,66
solo,164.0,559.0,111,2022-11-20T13:37:04.000Z,BBCWorld,0.402,0.598,0.0,-0.5719,0.0,0.0,52
solo,222.0,2829.0,542,2022-11-20T13:16:36.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,40
solo,142.0,657.0,155,2022-11-20T12:48:10.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.1363636363636363,0.5,48
solo,39.0,194.0,57,2022-11-20T12:05:04.000Z,BBCWorld,0.269,0.5,0.231,0.1027,0.0,0.0,63
solo,97.0,271.0,53,2022-11-20T11:56:45.000Z,BBCWorld,0.301,0.699,0.0,-0.6486,-0.2,0.4,62
solo,59.0,187.0,16,2022-11-20T11:23:40.000Z,BBCWorld,0.192,0.808,0.0,-0.2263,0.0,0.0,60
solo,31.0,144.0,52,2022-11-20T10:33:42.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,1.0,45
solo,1436.0,5472.0,359,2022-11-20T10:02:06.000Z,BBCWorld,0.0,0.566,0.434,0.3182,0.0,0.0,30
solo,149.0,584.0,296,2022-11-20T09:53:33.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,45
solo,25.0,214.0,11,2022-11-20T09:21:04.000Z,BBCWorld,0.41,0.299,0.291,-0.1531,0.0,0.0,52
solo,124.0,840.0,270,2022-11-20T09:10:01.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.1,66
solo,39.0,237.0,33,2022-11-20T08:55:05.000Z,BBCWorld,0.203,0.797,0.0,-0.4215,0.0,0.0,69
solo,27.0,143.0,40,2022-11-20T08:40:01.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,45
solo,34.0,161.0,34,2022-11-20T08:26:06.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,80
solo,18.0,135.0,9,2022-11-20T08:17:18.000Z,BBCWorld,0.0,0.734,0.266,0.4404,0.5,0.5,50
solo,33.0,206.0,82,2022-11-20T08:07:06.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,52
retweeted,1703.0,0.0,0,2022-11-20T08:06:00.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,114
solo,355.0,3871.0,725,2022-11-20T08:01:25.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,40
solo,50.0,306.0,26,2022-11-20T06:37:31.000Z,BBCWorld,0.213,0.787,0.0,-0.2263,0.0681818181818181,0.2272727272727272,62
solo,38.0,207.0,31,2022-11-20T00:23:54.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,40
solo,294.0,1009.0,74,2022-11-20T00:19:25.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,60
solo,26.0,171.0,53,2022-11-19T22:00:23.000Z,BBCWorld,0.0,0.7,0.3,0.4588,0.8,0.9,52
solo,31.0,179.0,80,2022-11-19T21:57:44.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,60
solo,17.0,129.0,18,2022-11-19T20:27:58.000Z,BBCWorld,0.0,0.646,0.354,0.5095,0.5,0.5,54
solo,73.0,365.0,95,2022-11-19T18:57:45.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,47
solo,337.0,1861.0,148,2022-11-19T18:25:56.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,57
solo,74.0,344.0,57,2022-11-19T18:02:06.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.25,1.0,43
solo,245.0,1068.0,394,2022-11-19T17:47:06.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.1363636363636363,0.5,48
solo,204.0,787.0,25,2022-11-19T17:32:01.000Z,BBCWorld,0.081,0.641,0.278,0.6808,0.35,0.1777777777777777,103
solo,134.0,557.0,81,2022-11-19T17:15:41.000Z,BBCWorld,0.459,0.541,0.0,-0.7783,0.0,0.0,60
solo,75.0,390.0,81,2022-11-19T17:01:04.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.3,0.9,65
solo,35.0,177.0,49,2022-11-19T16:43:49.000Z,BBCWorld,0.383,0.466,0.15,-0.5423,-0.0878787878787878,0.3181818181818182,79
solo,79.0,240.0,31,2022-11-19T16:41:05.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,69
solo,73.0,560.0,241,2022-11-19T15:47:03.000Z,BBCWorld,0.101,0.67,0.229,0.5083,0.8,0.75,90
solo,23.0,142.0,6,2022-11-19T15:31:53.000Z,BBCWorld,0.0,0.725,0.275,0.5859,0.3121212121212121,0.2848484848484848,65
solo,33.0,176.0,30,2022-11-19T15:02:03.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.3333333333333333,0.5,37
solo,96.0,353.0,110,2022-11-19T14:32:07.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.0,0.0,44
retweeted,321.0,0.0,0,2022-11-19T14:13:19.000Z,BBCWorld,0.179,0.697,0.124,-0.2732,0.2375,0.3125,106
solo,104.0,257.0,23,2022-11-19T14:11:50.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.1666666666666666,0.3333333333333333,90
solo,76.0,554.0,18,2022-11-19T13:49:41.000Z,BBCWorld,0.164,0.603,0.233,0.2023,0.25,0.3333333333333333,51
retweeted,277.0,0.0,0,2022-11-19T13:45:10.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.25,0.3333333333333333,123
solo,53.0,202.0,75,2022-11-19T13:36:00.000Z,BBCWorld,0.111,0.748,0.141,0.3506,-0.15,0.4,257
solo,49.0,207.0,56,2022-11-19T13:31:09.000Z,BBCWorld,0.079,0.795,0.126,0.1027,-0.1666666666666666,0.5,190
retweeted,40.0,0.0,0,2022-11-19T13:05:40.000Z,BBCWorld,0.117,0.755,0.128,0.0772,-0.4,0.6,120
solo,77.0,477.0,88,2022-11-19T12:53:03.000Z,BBCWorld,0.0,1.0,0.0,0.0,0.25,1.0,43
