type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,986.0,5190.0,362,2022-11-21T20:19:09.000Z,BernieSanders,0.063,0.822,0.115,0.4019,-0.3571428571428571,0.4619047619047619,279
solo,4030.0,26445.0,6542,2022-11-18T18:07:29.000Z,BernieSanders,0.237,0.685,0.078,-0.7184,-0.0428571428571428,0.6371428571428571,190
solo,1002.0,4421.0,401,2022-11-18T01:36:43.000Z,BernieSanders,0.076,0.795,0.129,0.4215,-0.0666666666666666,0.6133333333333333,278
solo,435.0,4187.0,149,2022-11-17T15:16:55.000Z,BernieSanders,0.0,0.637,0.363,0.9442,0.219047619047619,0.5238095238095238,206
solo,2336.0,14260.0,908,2022-11-17T12:09:47.000Z,BernieSanders,0.075,0.754,0.17,0.7096,0.3333333333333333,0.7000000000000001,280
retweeted,5984.0,0.0,0,2022-11-17T12:08:59.000Z,BernieSanders,0.309,0.691,0.0,-0.5371,0.0,0.0,87
solo,245.0,1202.0,86,2022-11-16T00:13:07.000Z,BernieSanders,0.066,0.871,0.063,-0.0258,0.2,0.4333333333333333,155
quoted,1655.0,7213.0,199,2022-11-15T16:30:43.000Z,BernieSanders,0.069,0.566,0.365,0.91,0.2958333333333333,0.4333333333333333,183
solo,2609.0,22256.0,2808,2022-11-14T20:23:38.000Z,BernieSanders,0.0,1.0,0.0,0.0,0.0,0.0,108
quoted,89728.0,480793.0,4120,2022-11-11T20:32:43.000Z,BernieSanders,0.0,0.81,0.19,0.8689,0.1027777777777777,0.3999999999999999,276
solo,447.0,4059.0,151,2022-11-11T02:35:11.000Z,BernieSanders,0.089,0.684,0.226,0.6369,0.3571428571428571,0.5714285714285714,195
solo,817.0,5038.0,191,2022-11-11T01:17:13.000Z,BernieSanders,0.21,0.642,0.148,-0.3626,0.0888888888888888,0.6977777777777778,192
solo,1030.0,7512.0,309,2022-11-10T03:07:08.000Z,BernieSanders,0.0,0.632,0.368,0.7506,0.0,0.0,82
solo,1393.0,7129.0,282,2022-11-09T20:30:39.000Z,BernieSanders,0.063,0.86,0.076,0.1531,0.0104166666666666,0.3744444444444444,251
replied_to,763.0,9166.0,53,2022-11-09T19:07:39.000Z,BernieSanders,0.0,0.905,0.095,0.5994,0.2125,0.4583333333333333,248
replied_to,342.0,4900.0,18,2022-11-09T19:07:38.000Z,BernieSanders,0.13,0.73,0.141,0.3818,0.0864285714285714,0.3959523809523809,258
replied_to,308.0,4283.0,22,2022-11-09T19:07:36.000Z,BernieSanders,0.072,0.608,0.32,0.875,0.4,0.2333333333333333,158
replied_to,279.0,4180.0,8,2022-11-09T19:07:35.000Z,BernieSanders,0.148,0.726,0.126,-0.2023,0.0,0.0,177
replied_to,313.0,4675.0,7,2022-11-09T19:07:34.000Z,BernieSanders,0.0,0.885,0.115,0.5994,0.0,0.0666666666666666,196
replied_to,327.0,4815.0,7,2022-11-09T19:07:32.000Z,BernieSanders,0.0,0.701,0.299,0.9201,0.0866666666666666,0.295,229
replied_to,272.0,4625.0,5,2022-11-09T19:07:31.000Z,BernieSanders,0.0,0.688,0.312,0.8271,0.4,0.2,129
replied_to,505.0,6490.0,19,2022-11-09T19:07:29.000Z,BernieSanders,0.0,0.725,0.275,0.9081,0.5333333333333333,0.5166666666666667,228
solo,3119.0,39601.0,606,2022-11-09T19:07:28.000Z,BernieSanders,0.0,0.681,0.319,0.9371,0.3733333333333334,0.5166666666666667,246
quoted,260.0,2718.0,49,2022-11-09T01:06:37.000Z,BernieSanders,0.0,0.787,0.213,0.6908,0.2681818181818182,0.7272727272727273,163
solo,1741.0,8482.0,867,2022-11-08T14:11:41.000Z,BernieSanders,0.035,0.715,0.25,0.91,0.3939393939393939,0.5844444444444444,268
solo,324.0,1336.0,144,2022-11-08T01:59:52.000Z,BernieSanders,0.0,0.698,0.302,0.9231,0.4226190476190476,0.5261904761904761,222
solo,593.0,2676.0,286,2022-11-07T21:03:00.000Z,BernieSanders,0.3,0.7,0.0,-0.8619,0.5,0.4,116
solo,732.0,3436.0,729,2022-11-07T16:01:27.000Z,BernieSanders,0.085,0.855,0.06,-0.2052,0.0,0.0,182
solo,434.0,2764.0,153,2022-11-07T03:56:40.000Z,BernieSanders,0.0,0.849,0.151,0.7371,-0.0666666666666666,0.0333333333333333,193
solo,193.0,875.0,92,2022-11-07T00:18:11.000Z,BernieSanders,0.0,0.876,0.124,0.6249,0.1272727272727272,0.5,228
