type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,7.0,24.0,2,2022-11-22T03:17:11.000Z,BreitbartNews,0.0,1.0,0.0,0.0,0.0,0.0,146
solo,26.0,89.0,9,2022-11-22T02:58:45.000Z,BreitbartNews,0.0,1.0,0.0,0.0,0.2121212121212121,0.3181818181818182,137
solo,27.0,73.0,14,2022-11-22T02:38:23.000Z,BreitbartNews,0.144,0.773,0.083,-0.3182,-0.35,0.55,185
solo,26.0,238.0,53,2022-11-22T02:20:08.000Z,BreitbartNews,0.0,0.909,0.091,0.1779,0.0,0.0,116
solo,57.0,309.0,122,2022-11-22T02:01:36.000Z,BreitbartNews,0.0,0.787,0.213,0.4019,0.2,0.4,80
solo,19.0,176.0,13,2022-11-22T01:42:55.000Z,BreitbartNews,0.0,0.768,0.232,0.2755,0.04375,0.0875,56
solo,23.0,84.0,20,2022-11-22T01:22:52.000Z,BreitbartNews,0.15,0.75,0.1,-0.296,0.1666666666666666,0.5666666666666667,121
solo,41.0,349.0,9,2022-11-22T01:02:42.000Z,BreitbartNews,0.089,0.85,0.061,-0.1779,0.0,0.0,158
solo,44.0,486.0,29,2022-11-22T00:44:09.000Z,BreitbartNews,0.0,0.856,0.144,0.4019,0.5,0.5,116
solo,57.0,232.0,19,2022-11-22T00:25:15.000Z,BreitbartNews,0.0,0.946,0.054,0.2732,-0.1067099567099567,0.4030303030303029,227
solo,29.0,99.0,16,2022-11-22T00:06:36.000Z,BreitbartNews,0.109,0.891,0.0,-0.4019,0.0,0.0,143
solo,105.0,210.0,18,2022-11-21T23:45:51.000Z,BreitbartNews,0.0,0.891,0.109,0.5994,0.0777777777777777,0.4888888888888889,226
solo,114.0,897.0,27,2022-11-21T23:24:59.000Z,BreitbartNews,0.0,0.922,0.078,0.3182,0.5,1.0,230
solo,8.0,41.0,0,2022-11-21T23:24:45.000Z,BreitbartNews,0.071,0.852,0.077,0.0516,0.2467532467532467,0.512987012987013,236
solo,27.0,85.0,40,2022-11-21T23:04:37.000Z,BreitbartNews,0.104,0.896,0.0,-0.296,0.0181818181818181,0.2772727272727273,119
solo,67.0,388.0,25,2022-11-21T22:43:40.000Z,BreitbartNews,0.0,1.0,0.0,0.0,0.0,0.55,120
solo,49.0,136.0,68,2022-11-21T22:23:18.000Z,BreitbartNews,0.382,0.618,0.0,-0.8591,0.0,0.0,134
solo,34.0,222.0,17,2022-11-21T22:02:34.000Z,BreitbartNews,0.0,1.0,0.0,0.0,0.0,0.0,197
solo,380.0,2849.0,315,2022-11-21T21:42:52.000Z,BreitbartNews,0.0,1.0,0.0,0.0,0.1363636363636363,0.4545454545454545,151
solo,65.0,159.0,137,2022-11-21T21:23:55.000Z,BreitbartNews,0.0,0.933,0.067,0.2023,0.09375,0.3625,171
