type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
retweeted,3492.0,0.0,0,2022-11-21T02:28:45.000Z,ClimateHuman,0.251,0.749,0.0,-0.6908,-0.35,0.45,126
solo,519.0,2335.0,68,2022-11-21T02:27:17.000Z,ClimateHuman,0.186,0.71,0.104,-0.3612,-0.3999999999999999,1.0,91
retweeted,944.0,0.0,0,2022-11-21T00:44:50.000Z,ClimateHuman,0.398,0.602,0.0,-0.5106,-0.2083333333333333,0.35,40
replied_to,246.0,850.0,16,2022-11-20T21:00:01.000Z,ClimateHuman,0.063,0.894,0.044,-0.25,0.0458333333333333,0.2892857142857143,280
replied_to,106.0,598.0,10,2022-11-20T21:00:01.000Z,ClimateHuman,0.154,0.792,0.054,-0.5142,-0.1142857142857142,0.3857142857142857,243
replied_to,102.0,559.0,11,2022-11-20T21:00:00.000Z,ClimateHuman,0.056,0.868,0.076,0.25,0.2666666666666666,0.1666666666666666,271
replied_to,176.0,897.0,9,2022-11-20T21:00:00.000Z,ClimateHuman,0.158,0.809,0.032,-0.7906,-0.1422619047619047,0.5214285714285715,272
solo,944.0,5661.0,205,2022-11-20T21:00:00.000Z,ClimateHuman,0.398,0.602,0.0,-0.5106,-0.2083333333333333,0.35,39
retweeted,4032.0,0.0,0,2022-11-20T20:42:34.000Z,ClimateHuman,0.0,0.695,0.305,0.7845,0.7,0.9,124
solo,899.0,4523.0,142,2022-11-20T17:57:19.000Z,ClimateHuman,0.0,0.762,0.238,0.6115,0.3,0.5416666666666666,101
replied_to,73.0,598.0,22,2022-11-19T18:27:28.000Z,ClimateHuman,0.0,0.946,0.054,0.2732,0.2787878787878787,0.4166666666666667,216
solo,407.0,2512.0,176,2022-11-19T18:27:27.000Z,ClimateHuman,0.0,1.0,0.0,0.0,-0.125,0.375,89
solo,672.0,3556.0,125,2022-11-19T16:02:58.000Z,ClimateHuman,0.04,0.836,0.124,0.7003,0.2166666666666666,0.4437500000000001,276
solo,1166.0,6908.0,244,2022-11-18T05:26:09.000Z,ClimateHuman,0.14,0.642,0.218,0.5859,0.0625,0.65625,138
solo,237.0,1346.0,42,2022-11-17T23:50:11.000Z,ClimateHuman,0.172,0.828,0.0,-0.3612,0.0,0.0,73
replied_to,58.0,441.0,13,2022-11-17T21:12:32.000Z,ClimateHuman,0.368,0.5,0.132,-0.6369,0.0,0.0,93
replied_to,155.0,663.0,17,2022-11-17T21:11:48.000Z,ClimateHuman,0.219,0.781,0.0,-0.8957,0.1791666666666666,0.4583333333333333,251
replied_to,72.0,574.0,9,2022-11-17T21:07:52.000Z,ClimateHuman,0.091,0.909,0.0,-0.4019,-0.1333333333333333,0.5,184
solo,1477.0,4004.0,165,2022-11-17T21:06:38.000Z,ClimateHuman,0.163,0.758,0.08,-0.5267,0.2566666666666666,0.5199999999999999,273
replied_to,0.0,15.0,3,2022-11-17T20:57:10.000Z,ClimateHuman,0.277,0.636,0.087,-0.831,-0.0249999999999999,0.55,162
replied_to,0.0,7.0,2,2022-11-17T20:54:31.000Z,ClimateHuman,0.183,0.817,0.0,-0.5719,-0.3125,0.6875,127
solo,868.0,1783.0,138,2022-11-17T20:37:25.000Z,ClimateHuman,0.073,0.927,0.0,-0.296,-0.078125,0.221875,172
quoted,100.0,391.0,33,2022-11-17T18:50:51.000Z,ClimateHuman,0.106,0.796,0.098,-0.0977,0.18,0.6133333333333333,228
replied_to,100.0,432.0,11,2022-11-17T18:42:28.000Z,ClimateHuman,0.135,0.865,0.0,-0.4215,-0.1,0.65,143
solo,264.0,872.0,32,2022-11-17T18:40:53.000Z,ClimateHuman,0.192,0.752,0.055,-0.7346,-0.2388888888888889,0.5666666666666667,232
retweeted,193.0,0.0,0,2022-11-17T18:15:48.000Z,ClimateHuman,0.0,0.741,0.259,0.6808,0.0361111111111111,0.4722222222222221,122
solo,195.0,1330.0,38,2022-11-17T18:10:45.000Z,ClimateHuman,0.0,0.811,0.189,0.4201,0.33,0.52,86
solo,193.0,694.0,20,2022-11-17T13:07:10.000Z,ClimateHuman,0.085,0.81,0.105,-0.0,0.0013888888888889,0.5402777777777777,275
quoted,213.0,1039.0,56,2022-11-16T22:52:57.000Z,ClimateHuman,0.105,0.783,0.111,0.0869,-0.06,0.44,278
replied_to,24.0,302.0,28,2022-11-16T16:44:16.000Z,ClimateHuman,0.0,0.787,0.213,0.887,0.2328512396694215,0.540564738292011,273
replied_to,3.0,12.0,2,2022-11-16T16:37:42.000Z,ClimateHuman,0.083,0.871,0.045,-0.25,0.0618518518518518,0.3937037037037037,273
replied_to,16.0,219.0,21,2022-11-16T16:32:18.000Z,ClimateHuman,0.0,1.0,0.0,0.0,-0.1,0.05,76
replied_to,1.0,17.0,1,2022-11-16T16:29:10.000Z,ClimateHuman,0.0,0.751,0.249,0.4574,0.0,0.0,55
