type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,37.0,232.0,14,2022-11-21T20:01:31.000Z,DeItaone,0.0,1.0,0.0,0.0,0.1,0.3,72
solo,35.0,184.0,6,2022-11-21T20:01:19.000Z,DeItaone,0.0,0.926,0.074,0.4648,0.1119047619047618,0.5285714285714286,205
solo,12.0,103.0,8,2022-11-21T20:00:57.000Z,DeItaone,0.14,0.86,0.0,-0.2755,-0.1,0.5,69
solo,64.0,539.0,111,2022-11-21T18:41:13.000Z,DeItaone,0.25,0.75,0.0,-0.25,0.0,0.0,41
solo,29.0,146.0,9,2022-11-21T18:37:09.000Z,DeItaone,0.0,0.905,0.095,0.368,0.3333333333333333,0.4666666666666666,134
solo,42.0,317.0,28,2022-11-21T18:00:29.000Z,DeItaone,0.064,0.862,0.073,0.1027,0.09,0.42,239
solo,46.0,218.0,41,2022-11-21T17:26:39.000Z,DeItaone,0.0,1.0,0.0,0.0,0.0,0.0,74
replied_to,30.0,87.0,2,2022-11-21T17:25:20.000Z,DeItaone,0.0,0.0,0.0,0.0,0.0,0.0,0
solo,50.0,271.0,7,2022-11-21T17:23:33.000Z,DeItaone,0.0,1.0,0.0,0.0,0.0,0.0,60
solo,7.0,65.0,4,2022-11-21T17:12:13.000Z,DeItaone,0.0,1.0,0.0,0.0,0.08,0.3033333333333333,70
solo,27.0,139.0,7,2022-11-21T17:05:35.000Z,DeItaone,0.0,1.0,0.0,0.0,0.0,0.4,62
solo,17.0,107.0,2,2022-11-21T17:04:54.000Z,DeItaone,0.0,0.8,0.2,0.3612,0.1,0.75,62
solo,69.0,283.0,21,2022-11-21T17:01:38.000Z,DeItaone,0.211,0.789,0.0,-0.34,0.0,0.0,63
solo,15.0,121.0,6,2022-11-21T16:37:21.000Z,DeItaone,0.0,0.77,0.23,0.7824,0.0208333333333333,0.2083333333333333,133
solo,12.0,80.0,2,2022-11-21T16:32:22.000Z,DeItaone,0.0,1.0,0.0,0.0,0.16,0.5399999999999999,39
solo,28.0,160.0,9,2022-11-21T16:11:52.000Z,DeItaone,0.152,0.728,0.119,-0.128,0.1375,0.6375,81
