type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,23.0,411.0,27,2022-11-22T01:45:14.000Z,DougJBalloon,0.0,0.761,0.239,0.296,0.0,0.0,51
solo,85.0,744.0,20,2022-11-22T01:42:49.000Z,DougJBalloon,0.089,0.818,0.093,0.0258,-0.0555555555555555,0.2416666666666666,153
solo,44.0,567.0,20,2022-11-22T00:40:13.000Z,DougJBalloon,0.0,0.791,0.209,0.4404,0.7,0.6000000000000001,66
solo,4.0,101.0,10,2022-11-22T00:39:35.000Z,DougJBalloon,0.0,0.796,0.204,0.3182,0.0,0.0,65
solo,42.0,445.0,7,2022-11-21T23:54:51.000Z,DougJBalloon,0.251,0.749,0.0,-0.6908,0.18,0.3199999999999999,114
replied_to,1.0,12.0,4,2022-11-21T19:01:07.000Z,DougJBalloon,0.146,0.854,0.0,-0.5346,-0.1797979797979797,0.4775252525252525,163
replied_to,0.0,3.0,2,2022-11-21T18:53:28.000Z,DougJBalloon,0.0,1.0,0.0,0.0,0.0,0.0,27
replied_to,1.0,20.0,2,2022-11-21T18:42:58.000Z,DougJBalloon,0.061,0.862,0.078,0.1506,0.09375,0.59375,210
replied_to,2.0,44.0,5,2022-11-21T18:41:35.000Z,DougJBalloon,0.0,0.885,0.115,0.4549,0.5,0.5,136
replied_to,0.0,48.0,3,2022-11-21T18:36:36.000Z,DougJBalloon,0.0,0.58,0.42,0.4404,0.5,0.5,33
replied_to,1.0,56.0,5,2022-11-21T18:35:39.000Z,DougJBalloon,0.0,0.824,0.176,0.1258,0.0,0.0,52
quoted,189.0,1775.0,38,2022-11-21T18:31:21.000Z,DougJBalloon,0.172,0.591,0.236,0.0772,0.0,0.0,80
replied_to,0.0,1.0,0,2022-11-21T18:19:30.000Z,DougJBalloon,0.147,0.853,0.0,-0.4767,0.0,0.0,111
replied_to,0.0,1.0,0,2022-11-21T18:18:49.000Z,DougJBalloon,0.0,0.917,0.083,0.5719,0.8,0.95,247
