type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,7.0,33.0,45,2022-11-22T03:14:04.000Z,FoxNews,0.252,0.748,0.0,-0.4019,0.0,0.0,59
solo,5.0,30.0,13,2022-11-22T03:10:05.000Z,FoxNews,0.0,1.0,0.0,0.0,0.0,0.0,78
solo,4.0,21.0,14,2022-11-22T03:06:06.000Z,FoxNews,0.0,1.0,0.0,0.0,0.0,0.0,57
solo,25.0,169.0,19,2022-11-22T03:03:01.000Z,FoxNews,0.0,0.765,0.235,0.5106,0.3,0.1,95
solo,30.0,63.0,20,2022-11-22T02:59:02.000Z,FoxNews,0.5,0.5,0.0,-0.875,-0.0666666666666666,0.0,94
solo,23.0,93.0,23,2022-11-22T02:55:05.000Z,FoxNews,0.0,1.0,0.0,0.0,0.1,0.4,73
solo,18.0,139.0,107,2022-11-22T02:50:04.000Z,FoxNews,0.0,0.78,0.22,0.5859,-0.0499999999999999,0.75,109
solo,14.0,39.0,10,2022-11-22T02:45:02.000Z,FoxNews,0.0,1.0,0.0,0.0,0.0,0.0,85
solo,40.0,148.0,44,2022-11-22T02:42:05.000Z,FoxNews,0.0,1.0,0.0,0.0,0.0,0.0,100
solo,18.0,48.0,10,2022-11-22T02:40:04.000Z,FoxNews,0.189,0.811,0.0,-0.5423,-0.0880681818181818,0.5710227272727273,107
solo,9.0,45.0,21,2022-11-22T02:37:05.000Z,FoxNews,0.0,1.0,0.0,0.0,-0.5,0.7,79
solo,14.0,46.0,18,2022-11-22T02:33:05.000Z,FoxNews,0.47,0.53,0.0,-0.7351,0.0,0.0,64
solo,19.0,47.0,17,2022-11-22T02:30:14.000Z,FoxNews,0.39,0.61,0.0,-0.7506,0.0,0.0,87
solo,16.0,39.0,16,2022-11-22T02:25:05.000Z,FoxNews,0.0,1.0,0.0,0.0,0.0,0.5,57
solo,42.0,224.0,61,2022-11-22T02:22:03.000Z,FoxNews,0.0,0.821,0.179,0.34,0.0,0.0,80
solo,14.0,72.0,15,2022-11-22T02:19:02.000Z,FoxNews,0.204,0.796,0.0,-0.3182,-0.0384615384615384,0.6346153846153846,60
solo,21.0,68.0,31,2022-11-22T02:16:06.000Z,FoxNews,0.157,0.843,0.0,-0.4215,0.5,0.5,99
solo,16.0,87.0,19,2022-11-22T02:10:03.000Z,FoxNews,0.293,0.561,0.145,-0.5216,0.25,1.0,70
solo,93.0,772.0,157,2022-11-22T02:07:05.000Z,FoxNews,0.259,0.741,0.0,-0.4939,0.0,0.1666666666666666,103
solo,57.0,510.0,48,2022-11-22T02:05:04.000Z,FoxNews,0.0,0.623,0.377,0.8345,0.7000000000000001,0.7999999999999999,99
solo,51.0,143.0,59,2022-11-22T01:59:06.000Z,FoxNews,0.368,0.472,0.16,-0.6597,0.25,0.875,90
solo,5.0,27.0,18,2022-11-22T01:53:04.000Z,FoxNews,0.191,0.809,0.0,-0.2235,0.0,0.1,52
solo,8.0,46.0,16,2022-11-22T01:50:04.000Z,FoxNews,0.0,0.533,0.467,0.7906,0.1363636363636363,0.4545454545454545,68
solo,8.0,31.0,18,2022-11-22T01:46:04.000Z,FoxNews,0.187,0.813,0.0,-0.3182,0.25,0.5,89
solo,93.0,472.0,76,2022-11-22T01:41:04.000Z,FoxNews,0.141,0.761,0.098,-0.2023,0.5,0.5,86
solo,6.0,50.0,20,2022-11-22T01:38:06.000Z,FoxNews,0.0,1.0,0.0,0.0,-0.0185185185185185,0.212962962962963,66
solo,126.0,1010.0,89,2022-11-22T01:36:04.000Z,FoxNews,0.314,0.524,0.162,-0.4939,0.0,0.0,105
solo,9.0,43.0,15,2022-11-22T01:32:06.000Z,FoxNews,0.194,0.806,0.0,-0.34,-0.1,0.1,77
solo,530.0,2900.0,176,2022-11-22T01:28:02.000Z,FoxNews,0.216,0.784,0.0,-0.296,0.0,0.0,59
solo,6.0,31.0,15,2022-11-22T01:23:06.000Z,FoxNews,0.249,0.476,0.275,-0.128,0.1363636363636363,0.4545454545454545,71
