type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
retweeted,558.0,0.0,0,2022-11-22T01:49:19.000Z,GOP,0.0,0.797,0.203,0.6249,0.3571428571428571,0.7142857142857143,124
quoted,106.0,454.0,504,2022-11-22T00:12:00.000Z,GOP,0.0,1.0,0.0,0.0,0.0,0.0,47
retweeted,874.0,0.0,0,2022-11-21T21:25:00.000Z,GOP,0.0,0.834,0.166,0.4199,0.0,0.0,90
solo,82.0,487.0,763,2022-11-21T19:24:00.000Z,GOP,0.0,1.0,0.0,0.0,0.5,0.5,39
retweeted,41.0,0.0,0,2022-11-21T16:45:09.000Z,GOP,0.0,0.779,0.221,0.6249,0.15,0.4,122
solo,58.0,651.0,157,2022-11-21T15:43:24.000Z,GOP,0.0,1.0,0.0,0.0,0.0,0.0,22
retweeted,338.0,0.0,0,2022-11-21T00:22:00.000Z,GOP,0.098,0.372,0.53,0.8508,0.6232142857142857,0.6607142857142857,95
solo,183.0,1147.0,350,2022-11-20T21:10:00.000Z,GOP,0.0,0.701,0.299,0.4574,0.3352272727272727,0.4772727272727273,52
solo,3203.0,16188.0,5003,2022-11-20T15:10:00.000Z,GOP,0.0,0.809,0.191,0.3802,0.25,0.9444444444444444,71
quoted,328.0,1570.0,600,2022-11-19T23:32:00.000Z,GOP,0.0,1.0,0.0,0.0,0.0,0.0,17
solo,860.0,5862.0,3939,2022-11-19T21:17:00.000Z,GOP,0.0,1.0,0.0,0.0,0.1704545454545454,0.4545454545454545,79
retweeted,1147.0,0.0,0,2022-11-19T19:43:00.000Z,GOP,0.0,0.715,0.285,0.6588,0.4,0.375,71
solo,525.0,3000.0,3182,2022-11-19T18:57:51.000Z,GOP,0.088,0.659,0.253,0.6705,0.125,0.725,118
retweeted,703.0,0.0,0,2022-11-19T17:32:22.000Z,GOP,0.109,0.776,0.114,0.0254,0.0,1.0,101
solo,415.0,890.0,563,2022-11-19T00:37:00.000Z,GOP,0.189,0.811,0.0,-0.2732,0.0,0.3,68
retweeted,1029.0,0.0,0,2022-11-18T22:08:10.000Z,GOP,0.0,1.0,0.0,0.0,0.5,0.5,124
retweeted,114.0,0.0,0,2022-11-18T21:17:00.000Z,GOP,0.107,0.893,0.0,-0.34,0.0,1.0,122
solo,337.0,1461.0,905,2022-11-18T18:37:05.000Z,GOP,0.0,0.0,1.0,0.6486,0.0,0.0,17
retweeted,551.0,0.0,0,2022-11-18T16:49:16.000Z,GOP,0.167,0.833,0.0,-0.5574,0.0,0.0,123
solo,480.0,2120.0,889,2022-11-17T21:26:11.000Z,GOP,0.0,1.0,0.0,0.0,0.2,1.0,92
solo,195.0,1421.0,567,2022-11-17T17:15:01.000Z,GOP,0.0,0.714,0.286,0.34,0.4,0.6,58
solo,2403.0,17095.0,4700,2022-11-17T00:59:40.000Z,GOP,0.0,1.0,0.0,0.0,0.0,0.0,56
retweeted,985.0,0.0,0,2022-11-17T00:52:46.000Z,GOP,0.438,0.562,0.0,-0.5983,0.0,0.0,40
