type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,5345.0,31671.0,5004,2022-11-21T22:29:00.000Z,JoeBiden,0.0,0.738,0.262,0.8934,0.1666666666666666,0.375,225
retweeted,8893.0,0.0,0,2022-11-21T14:55:02.000Z,JoeBiden,0.242,0.673,0.084,-0.6908,-0.2,0.0,130
solo,2290.0,10742.0,4455,2022-11-18T17:22:01.000Z,JoeBiden,0.044,0.635,0.321,0.9186,0.3444444444444444,0.4166666666666667,279
retweeted,23230.0,0.0,0,2022-11-17T20:10:02.000Z,JoeBiden,0.0,0.886,0.114,0.4019,0.5,0.5,130
solo,40180.0,172904.0,50247,2022-11-16T02:20:35.000Z,JoeBiden,0.524,0.476,0.0,-0.5106,-0.5,0.3,29
solo,4501.0,23538.0,3299,2022-11-15T21:30:02.000Z,JoeBiden,0.0,0.917,0.083,0.2716,0.4375,0.6875,188
solo,2311.0,11562.0,1461,2022-11-15T18:19:00.000Z,JoeBiden,0.0,0.841,0.159,0.6705,0.4333333333333333,0.6000000000000001,220
solo,18713.0,92364.0,15096,2022-11-15T15:05:04.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.0,0.0,47
solo,4820.0,25175.0,6214,2022-11-14T22:45:02.000Z,JoeBiden,0.236,0.642,0.123,-0.7184,0.1066666666666666,0.1866666666666666,276
solo,6135.0,32658.0,9860,2022-11-12T22:56:00.000Z,JoeBiden,0.193,0.566,0.241,0.3182,0.3399999999999999,0.5,244
solo,6169.0,40740.0,5415,2022-11-12T18:57:05.000Z,JoeBiden,0.0,0.569,0.431,0.8442,0.611111111111111,0.6444444444444445,98
solo,4999.0,25345.0,8236,2022-11-11T20:00:10.000Z,JoeBiden,0.057,0.943,0.0,-0.4767,0.0771428571428571,0.3271428571428571,279
solo,2763.0,11086.0,1255,2022-11-11T14:50:25.000Z,JoeBiden,0.0,0.766,0.234,0.8979,0.0,0.0,259
solo,5991.0,35326.0,3939,2022-11-10T20:43:24.000Z,JoeBiden,0.216,0.593,0.191,-0.5423,0.0333333333333333,0.2333333333333333,280
solo,4361.0,33770.0,5019,2022-11-10T20:36:09.000Z,JoeBiden,0.0,0.569,0.431,0.8442,0.611111111111111,0.6444444444444445,97
solo,590.0,2799.0,462,2022-11-10T20:24:33.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.1363636363636363,0.5,72
solo,8029.0,69103.0,10381,2022-11-10T16:51:01.000Z,JoeBiden,0.095,0.905,0.0,-0.3182,-0.0249999999999999,0.3666666666666667,135
quoted,8655.0,40314.0,2143,2022-11-10T03:50:25.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.0,0.0,54
solo,11544.0,78859.0,6646,2022-11-10T00:52:00.000Z,JoeBiden,0.242,0.59,0.168,-0.7184,0.0333333333333333,0.2333333333333333,240
solo,5452.0,36566.0,4392,2022-11-09T22:35:01.000Z,JoeBiden,0.0,0.9,0.1,0.4404,0.35,0.3625,218
retweeted,7370.0,0.0,0,2022-11-09T03:39:54.000Z,JoeBiden,0.0,0.881,0.119,0.4767,0.0,0.0,129
solo,7792.0,39744.0,3195,2022-11-08T23:15:02.000Z,JoeBiden,0.0,0.928,0.072,0.2732,0.2142857142857142,0.5714285714285714,151
solo,885.0,3900.0,691,2022-11-08T22:00:10.000Z,JoeBiden,0.101,0.899,0.0,-0.4215,-0.0666666666666666,0.3333333333333333,152
solo,5722.0,25234.0,5272,2022-11-08T21:00:10.000Z,JoeBiden,0.0,0.811,0.189,0.4939,0.2396825396825397,0.5341269841269841,114
solo,1183.0,4885.0,1857,2022-11-08T18:00:00.000Z,JoeBiden,0.0,0.78,0.22,0.6369,0.25,0.25,155
solo,5896.0,11678.0,1505,2022-11-08T17:00:24.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.0,0.0,115
solo,1733.0,7405.0,2184,2022-11-08T16:02:14.000Z,JoeBiden,0.144,0.778,0.078,-0.3182,0.4,0.8500000000000001,169
solo,1920.0,6010.0,1237,2022-11-08T14:00:35.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.0,0.0,68
solo,1490.0,5676.0,1276,2022-11-08T13:00:21.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.0,0.0,88
solo,3552.0,11349.0,2287,2022-11-08T12:00:13.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.0,0.0,95
solo,992.0,3851.0,1571,2022-11-07T23:50:42.000Z,JoeBiden,0.148,0.852,0.0,-0.4882,-0.2916666666666667,0.5416666666666666,143
solo,7918.0,40066.0,7995,2022-11-07T23:14:00.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.0446428571428571,0.4535714285714285,195
solo,1566.0,5390.0,2276,2022-11-07T22:47:01.000Z,JoeBiden,0.065,0.749,0.186,0.5719,0.0,0.0,174
solo,1423.0,5350.0,1819,2022-11-07T21:23:01.000Z,JoeBiden,0.0,0.671,0.329,0.8687,0.3027777777777778,0.3444444444444444,154
solo,975.0,3907.0,1160,2022-11-07T20:02:04.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.1363636363636363,0.4545454545454545,68
solo,2060.0,7375.0,1854,2022-11-07T17:30:07.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.0,0.0,67
solo,11391.0,49789.0,13277,2022-11-07T16:00:02.000Z,JoeBiden,0.0,0.667,0.333,0.5411,0.0,0.0,38
solo,6137.0,23435.0,7748,2022-11-07T02:30:00.000Z,JoeBiden,0.057,0.943,0.0,-0.3182,0.5285714285714286,0.6452380952380953,218
solo,3907.0,17783.0,4171,2022-11-07T01:05:07.000Z,JoeBiden,0.123,0.79,0.087,-0.0772,0.2,0.45,184
solo,2631.0,9971.0,2932,2022-11-07T00:06:00.000Z,JoeBiden,0.0,0.887,0.113,0.4939,0.0,0.0,152
solo,876.0,3619.0,916,2022-11-06T23:18:14.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.1516883116883117,0.338051948051948,161
solo,1455.0,5700.0,1566,2022-11-06T22:33:02.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.0,1.0,145
solo,4870.0,25674.0,4486,2022-11-06T21:30:17.000Z,JoeBiden,0.134,0.717,0.149,0.0708,0.1666666666666666,0.5,94
solo,1717.0,6182.0,2423,2022-11-06T20:45:03.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.0,0.0,70
solo,3072.0,8079.0,2344,2022-11-06T16:00:02.000Z,JoeBiden,0.0,0.745,0.255,0.34,0.0333333333333333,0.0666666666666666,48
solo,3686.0,15008.0,3126,2022-11-06T01:48:09.000Z,JoeBiden,0.0,0.903,0.097,0.4215,0.0666666666666666,0.0666666666666666,158
solo,6870.0,23139.0,11837,2022-11-06T01:20:02.000Z,JoeBiden,0.129,0.871,0.0,-0.7003,0.0952380952380952,0.2119047619047619,233
solo,12493.0,51103.0,7393,2022-11-06T00:00:08.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.0,0.0,12
solo,1490.0,6617.0,1653,2022-11-05T21:16:53.000Z,JoeBiden,0.051,0.703,0.246,0.7263,0.875,0.6000000000000001,157
solo,2442.0,7837.0,2558,2022-11-05T20:00:01.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.0,0.0,28
solo,1693.0,6421.0,1363,2022-11-05T18:59:59.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.0,0.0,80
solo,3269.0,11719.0,5484,2022-11-05T17:00:35.000Z,JoeBiden,0.066,0.798,0.136,0.3612,0.0,0.75,112
solo,2364.0,11368.0,3449,2022-11-05T14:37:07.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.0,0.0,8
solo,1217.0,4933.0,1923,2022-11-05T13:47:01.000Z,JoeBiden,0.0,0.885,0.115,0.2382,0.5,0.5,99
solo,6803.0,17208.0,12684,2022-11-05T01:30:02.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.0,0.0,53
solo,3764.0,16801.0,8938,2022-11-05T00:00:25.000Z,JoeBiden,0.104,0.72,0.176,0.2273,0.0,0.0,75
solo,1436.0,4529.0,2536,2022-11-04T22:30:00.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.0,0.0,41
solo,4669.0,12897.0,1999,2022-11-04T21:00:35.000Z,JoeBiden,0.067,0.847,0.086,-0.09,0.4666666666666666,0.5944444444444444,187
solo,2648.0,9911.0,2213,2022-11-04T19:32:01.000Z,JoeBiden,0.161,0.723,0.116,-0.296,0.3111111111111111,0.6407407407407407,279
solo,584.0,2610.0,822,2022-11-04T18:20:03.000Z,JoeBiden,0.0,0.836,0.164,0.5423,0.3928571428571428,0.7123015873015872,155
solo,1237.0,5368.0,2460,2022-11-04T17:00:20.000Z,JoeBiden,0.0,0.593,0.407,0.5859,0.35,0.6944444444444444,48
solo,2104.0,7670.0,3566,2022-11-04T16:00:02.000Z,JoeBiden,0.243,0.656,0.1,-0.5719,0.25,0.55,125
solo,1056.0,4959.0,813,2022-11-04T15:06:04.000Z,JoeBiden,0.348,0.652,0.0,-0.5859,0.0181818181818181,0.2272727272727272,66
solo,9289.0,25557.0,7473,2022-11-04T14:00:40.000Z,JoeBiden,0.0,0.611,0.389,0.6249,0.0,0.0,63
solo,1379.0,5865.0,1662,2022-11-04T02:55:07.000Z,JoeBiden,0.0,0.902,0.098,0.3818,0.0888407888407888,0.4263828763828763,144
solo,19386.0,67142.0,18129,2022-11-04T01:30:03.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.0,0.0,30
solo,14470.0,91131.0,22087,2022-11-03T23:00:07.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.65,0.7,149
solo,554.0,2449.0,645,2022-11-03T21:36:32.000Z,JoeBiden,0.0,0.805,0.195,0.5574,0.2556818181818182,0.6022727272727273,114
solo,4577.0,11125.0,2370,2022-11-03T21:30:16.000Z,JoeBiden,0.0,0.843,0.157,0.0772,0.0,0.0,56
solo,1285.0,5570.0,1858,2022-11-03T19:47:00.000Z,JoeBiden,0.061,0.665,0.274,0.8074,0.4416666666666666,0.6166666666666667,180
solo,2258.0,8068.0,4168,2022-11-03T17:30:00.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.0,0.0,28
solo,3433.0,11322.0,5503,2022-11-03T16:01:08.000Z,JoeBiden,0.0,0.904,0.096,0.2023,0.4,1.0,93
solo,5561.0,23287.0,12040,2022-11-03T13:35:03.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.0,0.0,34
solo,1732.0,6392.0,2986,2022-11-02T23:30:48.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.0,0.0,149
solo,2177.0,8386.0,2010,2022-11-02T23:19:27.000Z,JoeBiden,0.056,0.587,0.357,0.9584,0.0399999999999999,0.34,275
solo,6581.0,25852.0,10362,2022-11-02T23:18:31.000Z,JoeBiden,0.288,0.643,0.069,-0.8476,0.1999999999999999,0.4944444444444444,201
solo,5239.0,18845.0,4457,2022-11-02T23:14:33.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.25,0.4285714285714286,206
solo,12367.0,69614.0,29215,2022-11-02T23:12:52.000Z,JoeBiden,0.16,0.64,0.2,0.2732,0.0,0.0,236
solo,4552.0,15923.0,3222,2022-11-02T23:07:30.000Z,JoeBiden,0.195,0.749,0.056,-0.7579,0.25,0.55,252
solo,815.0,3101.0,1155,2022-11-02T23:03:28.000Z,JoeBiden,0.0,1.0,0.0,0.0,0.1363636363636363,0.5,79
solo,1072.0,4146.0,1086,2022-11-02T22:31:00.000Z,JoeBiden,0.0,0.859,0.141,0.5563,0.35,0.5,163
solo,3702.0,15812.0,9942,2022-11-02T21:39:01.000Z,JoeBiden,0.389,0.611,0.0,-0.2924,0.0,0.0,59
