type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
retweeted,13579.0,0.0,0,2022-11-21T04:32:59.000Z,KellyannePolls,0.0,1.0,0.0,0.0,0.5,0.8333333333333334,128
quoted,136.0,1276.0,140,2022-11-21T04:29:21.000Z,KellyannePolls,0.097,0.545,0.358,0.6486,0.0749999999999999,0.375,63
solo,71.0,2052.0,184,2022-11-17T00:06:04.000Z,KellyannePolls,0.0,1.0,0.0,0.0,0.0,0.0,23
retweeted,4622.0,0.0,0,2022-11-12T20:16:43.000Z,KellyannePolls,0.143,0.802,0.055,-0.4767,-0.2833333333333333,0.3666666666666667,121
quoted,104.0,936.0,118,2022-11-12T19:54:41.000Z,KellyannePolls,0.0,0.727,0.273,0.7845,0.0,0.0,157
quoted,406.0,2126.0,211,2022-11-12T19:47:42.000Z,KellyannePolls,0.0,0.339,0.661,0.5994,0.85,1.0,19
retweeted,1330.0,0.0,0,2022-11-12T19:41:41.000Z,KellyannePolls,0.0,0.861,0.139,0.4404,0.1,0.1,124
retweeted,14378.0,0.0,0,2022-11-12T19:41:07.000Z,KellyannePolls,0.16,0.84,0.0,-0.4939,-0.0185185185185185,0.1629629629629629,123
retweeted,23.0,0.0,0,2022-11-10T00:33:10.000Z,KellyannePolls,0.183,0.658,0.16,-0.126,-0.25,0.0,99
retweeted,13.0,0.0,0,2022-11-10T00:31:06.000Z,KellyannePolls,0.0,0.7,0.3,0.6458,0.0,0.75,77
retweeted,1312.0,0.0,0,2022-11-10T00:29:25.000Z,KellyannePolls,0.0,1.0,0.0,0.0,0.0,0.3,124
quoted,188.0,1072.0,293,2022-11-10T00:28:27.000Z,KellyannePolls,0.091,0.909,0.0,-0.25,0.0,0.0,106
solo,97.0,444.0,180,2022-11-09T19:22:08.000Z,KellyannePolls,0.0,1.0,0.0,0.0,-0.0416666666666666,0.1083333333333333,243
retweeted,26.0,0.0,0,2022-11-09T03:29:10.000Z,KellyannePolls,0.0,1.0,0.0,0.0,0.0,0.0,81
retweeted,10265.0,0.0,0,2022-11-09T02:13:10.000Z,KellyannePolls,0.0,1.0,0.0,0.0,0.0,0.1,121
solo,124.0,1213.0,122,2022-11-09T01:54:31.000Z,KellyannePolls,0.0,0.565,0.435,0.6597,0.0,0.0,48
solo,162.0,1181.0,73,2022-11-09T01:53:38.000Z,KellyannePolls,0.04,0.8,0.16,0.6353,0.5,0.5,178
solo,37.0,312.0,21,2022-11-09T01:16:43.000Z,KellyannePolls,0.0,1.0,0.0,0.0,0.0,0.0,50
retweeted,156.0,0.0,0,2022-11-07T22:58:48.000Z,KellyannePolls,0.141,0.577,0.282,0.4926,1.0,0.75,68
retweeted,3236.0,0.0,0,2022-11-07T22:36:40.000Z,KellyannePolls,0.0,1.0,0.0,0.0,0.0,0.0,118
retweeted,1106.0,0.0,0,2022-11-07T22:35:32.000Z,KellyannePolls,0.0,1.0,0.0,0.0,0.0,0.0,117
