type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,210.0,2619.0,196,2022-11-21T19:53:37.000Z,KingJames,0.0,1.0,0.0,0.0,0.3125,0.4,60
replied_to,199.0,2471.0,57,2022-11-20T16:06:54.000Z,KingJames,0.0,1.0,0.0,0.0,0.0,0.0,31
replied_to,4.0,126.0,10,2022-11-19T02:04:55.000Z,KingJames,0.284,0.716,0.0,-0.5538,0.0,0.0,48
replied_to,117.0,2849.0,280,2022-11-19T02:03:37.000Z,KingJames,0.185,0.815,0.0,-0.5952,0.0,0.0,83
quoted,266.0,4841.0,280,2022-11-17T06:41:54.000Z,KingJames,0.0,0.408,0.592,0.7783,-0.3662109375,0.5,55
quoted,2069.0,29744.0,529,2022-11-17T06:41:06.000Z,KingJames,0.0,0.388,0.612,0.836,0.30517578125,1.0,59
retweeted,89.0,0.0,0,2022-11-16T17:58:15.000Z,KingJames,0.0,0.678,0.322,0.6908,0.5785714285714286,0.7357142857142858,97
retweeted,225.0,0.0,0,2022-11-16T16:22:50.000Z,KingJames,0.0,1.0,0.0,0.0,0.5681818181818181,0.7272727272727273,127
solo,2452.0,10357.0,278,2022-11-15T17:48:11.000Z,KingJames,0.0,1.0,0.0,0.0,0.0,0.0,104
solo,2401.0,28019.0,389,2022-11-14T17:27:57.000Z,KingJames,0.549,0.451,0.0,-0.9039,-0.3359375,0.85,80
solo,3048.0,65598.0,1543,2022-11-13T21:50:41.000Z,KingJames,0.0,0.388,0.612,0.9449,-0.045,0.8800000000000001,50
quoted,2511.0,35164.0,487,2022-11-11T19:17:56.000Z,KingJames,0.0,1.0,0.0,0.0,0.1190838068181818,0.4599999999999999,61
quoted,516.0,10413.0,273,2022-11-11T18:58:23.000Z,KingJames,0.0,1.0,0.0,0.0,0.2,0.3,14
replied_to,102.0,2742.0,150,2022-11-10T19:44:47.000Z,KingJames,0.0,0.69,0.31,0.913,0.1,0.5249999999999999,137
replied_to,15.0,629.0,18,2022-11-10T19:24:50.000Z,KingJames,0.0,0.0,0.0,0.0,0.0,0.0,1
replied_to,3822.0,43645.0,1525,2022-11-10T18:59:32.000Z,KingJames,0.0,1.0,0.0,0.0,-0.125,0.5,120
solo,11224.0,119922.0,9199,2022-11-10T18:59:32.000Z,KingJames,0.037,0.735,0.229,0.8885,0.1666666666666666,0.3273809523809524,274
solo,1757.0,17624.0,631,2022-11-09T16:59:45.000Z,KingJames,0.057,0.817,0.126,0.3987,0.625,0.4,144
replied_to,7.0,97.0,43,2022-11-07T00:26:24.000Z,KingJames,0.199,0.387,0.414,0.5995,-0.3255208333333333,0.6166666666666667,73
solo,1250.0,33786.0,2451,2022-11-06T04:17:05.000Z,KingJames,0.056,0.814,0.13,0.4389,0.0333333333333333,0.7666666666666666,218
solo,3037.0,55513.0,1838,2022-11-06T01:24:14.000Z,KingJames,0.0,0.451,0.549,0.706,0.5580357142857142,0.5357142857142857,29
solo,3663.0,61546.0,3310,2022-11-05T09:42:26.000Z,KingJames,0.0,1.0,0.0,0.0,0.0,0.0,45
replied_to,701.0,23616.0,295,2022-11-05T01:08:47.000Z,KingJames,0.448,0.312,0.239,-0.4605,0.0,0.7962962962962963,30
replied_to,1029.0,33919.0,563,2022-11-03T17:22:50.000Z,KingJames,0.276,0.724,0.0,-0.555,-0.78125,1.0,80
quoted,358.0,5040.0,466,2022-11-01T20:46:11.000Z,KingJames,0.0,1.0,0.0,0.0,0.0,0.0,50
solo,1544.0,14011.0,407,2022-11-01T18:09:57.000Z,KingJames,0.0,0.725,0.275,0.69,0.0,0.0,137
replied_to,19.0,405.0,50,2022-10-29T19:32:49.000Z,KingJames,0.0,0.0,0.0,0.0,0.0,0.0,1
quoted,735.0,7006.0,692,2022-10-29T19:32:15.000Z,KingJames,0.0,1.0,0.0,0.0,0.0,0.0,32
solo,1438.0,15430.0,545,2022-10-29T19:16:05.000Z,KingJames,0.0,0.648,0.352,0.586,0.0,0.0,47
solo,1227.0,22054.0,1053,2022-10-29T19:10:11.000Z,KingJames,0.0,1.0,0.0,0.0,0.0,0.0,7
quoted,17626.0,123975.0,26823,2022-10-29T18:55:33.000Z,KingJames,0.236,0.553,0.211,-0.4033,-0.0928571428571428,0.6833333333333333,244
solo,1387.0,32489.0,2108,2022-10-27T20:33:47.000Z,KingJames,0.0,0.826,0.174,0.5538,0.3642451298701298,0.5357142857142857,108
solo,6226.0,81578.0,1794,2022-10-26T02:37:23.000Z,KingJames,0.0,1.0,0.0,0.0,-1.0,1.0,25
