type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,8170.0,54702.0,2471,2022-11-20T13:13:47.000Z,KyrieIrving,0.0,0.599,0.401,0.9674,0.3333333333333333,0.3666666666666667,229
retweeted,2042.0,0.0,0,2022-11-17T18:01:32.000Z,KyrieIrving,0.0,0.833,0.167,0.4588,0.2,0.4,122
solo,2530.0,22338.0,725,2022-11-13T21:21:52.000Z,KyrieIrving,0.0,1.0,0.0,0.0,0.0,0.0,3
solo,7951.0,51450.0,2271,2022-11-13T21:18:55.000Z,KyrieIrving,0.074,0.926,0.0,-0.5574,0.1666666666666666,0.3333333333333333,278
solo,8675.0,68094.0,2367,2022-11-09T14:20:40.000Z,KyrieIrving,0.0,1.0,0.0,0.0,0.0,0.0,3
retweeted,321.0,0.0,0,2022-10-31T13:01:23.000Z,KyrieIrving,0.071,0.707,0.222,0.6908,0.5,0.55,119
solo,3211.0,33632.0,1937,2022-10-30T15:01:25.000Z,KyrieIrving,0.07,0.739,0.191,0.7906,0.0785714285714285,0.4428571428571428,269
solo,4651.0,34343.0,3822,2022-10-29T18:07:40.000Z,KyrieIrving,0.134,0.757,0.109,-0.3309,-0.0659090909090909,0.5625,277
solo,2028.0,14050.0,680,2022-10-29T09:58:27.000Z,KyrieIrving,0.0,1.0,0.0,0.0,0.4,0.7,37
solo,247.0,4236.0,181,2022-10-27T19:19:23.000Z,KyrieIrving,0.0,0.828,0.172,0.3612,0.2,0.5,71
solo,2482.0,18566.0,2882,2022-10-27T19:18:44.000Z,KyrieIrving,0.0,0.885,0.115,0.7147,0.1160714285714285,0.4553571428571428,257
solo,497.0,4664.0,175,2022-10-26T14:29:42.000Z,KyrieIrving,0.0,1.0,0.0,0.0,0.0,0.0,40
solo,1405.0,9018.0,396,2022-10-25T19:57:22.000Z,KyrieIrving,0.0,0.679,0.321,0.4278,0.0,0.0,32
quoted,3390.0,17651.0,505,2022-10-25T19:56:51.000Z,KyrieIrving,0.0,0.635,0.365,0.3182,0.4,0.7,26
solo,390.0,5118.0,189,2022-10-19T19:41:16.000Z,KyrieIrving,0.0,1.0,0.0,0.0,0.0,0.0,19
solo,160.0,1940.0,76,2022-10-18T20:47:16.000Z,KyrieIrving,0.0,0.518,0.482,0.9611,0.6785714285714286,0.7678571428571428,173
retweeted,475.0,0.0,0,2022-10-10T23:56:12.000Z,KyrieIrving,0.0,0.837,0.163,0.5106,-0.025,0.2,122
retweeted,420.0,0.0,0,2022-10-09T19:01:09.000Z,KyrieIrving,0.0,0.929,0.071,0.1513,0.1,0.15,122
solo,152.0,789.0,64,2022-10-08T21:14:09.000Z,KyrieIrving,0.0,0.0,0.0,0.0,0.0,0.0,0
