type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
replied_to,90.0,3062.0,216,2022-11-22T02:12:48.000Z,MrBeast,0.216,0.784,0.0,-0.5859,-0.2472222222222222,0.6138888888888888,137
replied_to,283.0,13594.0,367,2022-11-22T01:30:17.000Z,MrBeast,0.0,0.704,0.296,0.2732,0.0,0.0,41
replied_to,16.0,509.0,82,2022-11-22T01:07:06.000Z,MrBeast,0.0,0.526,0.474,0.802,0.4481481481481482,0.5296296296296297,56
replied_to,33.0,2901.0,108,2022-11-21T22:45:41.000Z,MrBeast,0.545,0.455,0.0,-0.34,0.0,0.0,22
replied_to,1889.0,101690.0,1673,2022-11-20T00:56:00.000Z,MrBeast,0.0,0.0,0.0,0.0,0.0,0.0,2
replied_to,62.0,5534.0,276,2022-11-18T21:54:54.000Z,MrBeast,0.0,0.0,0.0,0.0,0.0,0.0,2
quoted,311.0,11760.0,825,2022-11-17T21:19:45.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.0,40
replied_to,192.0,12890.0,268,2022-11-17T17:54:01.000Z,MrBeast,0.0,1.0,0.0,0.0,-0.2,0.3666666666666667,84
replied_to,313.0,43655.0,392,2022-11-15T00:17:48.000Z,MrBeast,0.0,0.787,0.213,0.2263,0.425,0.95,34
replied_to,101.0,10807.0,221,2022-11-15T00:15:56.000Z,MrBeast,0.0,0.725,0.275,0.2263,0.0148148148148147,0.3962962962962963,32
replied_to,192.0,18655.0,161,2022-11-14T22:12:07.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.0,24
solo,1259.0,34700.0,1864,2022-11-13T21:51:42.000Z,MrBeast,0.0,0.368,0.632,0.9291,1.0,1.0,67
replied_to,15.0,1175.0,111,2022-11-13T00:05:18.000Z,MrBeast,0.0,0.763,0.237,0.4215,0.8,0.7,61
replied_to,2.0,544.0,18,2022-11-12T23:13:22.000Z,MrBeast,0.0,0.435,0.565,0.1531,0.0,0.0,20
solo,1614.0,85922.0,2908,2022-11-12T21:01:04.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.0,47
replied_to,30.0,2545.0,107,2022-11-12T20:58:59.000Z,MrBeast,0.0,0.0,1.0,0.5106,1.0,1.0,3
replied_to,879.0,65112.0,1799,2022-11-12T18:56:51.000Z,MrBeast,0.0,0.725,0.275,0.5859,0.8,0.4,70
replied_to,101.0,12094.0,216,2022-11-12T17:15:58.000Z,MrBeast,0.0,1.0,0.0,0.0,0.2,0.2,23
replied_to,78.0,18657.0,89,2022-11-12T06:07:13.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.0,24
replied_to,122.0,22815.0,248,2022-11-12T06:05:07.000Z,MrBeast,0.373,0.452,0.175,-0.5423,-0.375,0.5,54
solo,22940.0,579398.0,10807,2022-11-12T06:03:21.000Z,MrBeast,0.0,1.0,0.0,0.0,0.125,0.375,106
replied_to,118.0,11242.0,191,2022-11-11T05:18:25.000Z,MrBeast,0.0,0.706,0.294,0.6124,0.425,0.575,75
replied_to,1369.0,153182.0,2919,2022-11-09T16:43:47.000Z,MrBeast,0.0,0.185,0.815,0.5256,0.5,0.5,18
replied_to,56.0,7682.0,129,2022-11-08T20:30:48.000Z,MrBeast,0.0,0.722,0.278,0.4019,0.0,0.1,40
solo,2333.0,99490.0,2296,2022-11-08T20:29:30.000Z,MrBeast,0.042,0.785,0.172,0.6486,0.35,0.4458333333333333,167
replied_to,81.0,5178.0,267,2022-11-07T17:35:01.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.0,6
replied_to,9.0,217.0,58,2022-11-06T18:24:54.000Z,MrBeast,0.0,0.446,0.554,0.8268,0.0,0.0,62
replied_to,373.0,34823.0,311,2022-11-05T21:35:48.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.0,4
replied_to,360.0,12448.0,218,2022-11-05T19:35:52.000Z,MrBeast,0.0,0.0,0.0,0.0,0.0,0.0,4
replied_to,59.0,3846.0,179,2022-11-05T18:28:18.000Z,MrBeast,0.0,0.619,0.381,0.5719,0.3,0.2,41
replied_to,235.0,10139.0,156,2022-11-05T18:21:41.000Z,MrBeast,0.0,0.816,0.184,0.636,-0.1402777777777777,0.2944444444444445,137
replied_to,132.0,10471.0,179,2022-11-04T22:07:37.000Z,MrBeast,0.0,0.0,0.0,0.0,0.0,0.0,2
replied_to,10.0,772.0,88,2022-11-04T06:40:25.000Z,MrBeast,0.0,0.263,0.737,0.4215,0.6,1.0,11
replied_to,3.0,195.0,69,2022-11-04T06:32:43.000Z,MrBeast,0.0,0.0,1.0,0.4215,0.8,0.7,4
replied_to,7.0,260.0,70,2022-11-03T15:12:09.000Z,MrBeast,0.134,0.557,0.309,0.3774,0.2,0.5,40
replied_to,278.0,26226.0,178,2022-11-03T04:23:59.000Z,MrBeast,0.0,0.707,0.293,0.4404,0.25,1.0,44
replied_to,1045.0,66011.0,1116,2022-11-03T04:22:14.000Z,MrBeast,0.0,0.843,0.157,0.0772,0.0,0.0,49
solo,4862.0,247420.0,5301,2022-11-03T04:19:19.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.0,86
replied_to,372.0,34613.0,740,2022-11-01T21:53:52.000Z,MrBeast,0.0,0.263,0.737,0.4215,0.6,1.0,11
replied_to,28.0,3220.0,101,2022-11-01T17:43:43.000Z,MrBeast,0.0,0.0,1.0,0.4215,0.8,0.7,4
replied_to,142.0,7645.0,212,2022-11-01T05:36:12.000Z,MrBeast,0.0,0.0,0.0,0.0,0.0,0.0,2
replied_to,1528.0,64808.0,1213,2022-10-31T04:13:14.000Z,MrBeast,0.121,0.835,0.044,-0.4767,-0.0402777777777777,0.3444444444444444,267
replied_to,3075.0,175144.0,1206,2022-10-31T03:13:49.000Z,MrBeast,0.0,0.816,0.184,0.4019,0.25,0.55,71
replied_to,202.0,7187.0,185,2022-10-30T19:56:30.000Z,MrBeast,0.0,0.805,0.195,0.4404,0.7,0.6000000000000001,70
replied_to,129.0,6904.0,168,2022-10-29T17:55:12.000Z,MrBeast,0.0,0.0,1.0,0.7184,0.5,1.0,8
replied_to,3062.0,166083.0,1915,2022-10-28T21:18:53.000Z,MrBeast,0.0,0.748,0.252,0.4019,0.5,0.5,57
replied_to,263.0,26213.0,103,2022-10-28T21:09:15.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.0,47
solo,7620.0,221714.0,1971,2022-10-28T21:03:59.000Z,MrBeast,0.0,0.733,0.267,0.9144,0.7,0.6000000000000001,220
replied_to,4.0,336.0,37,2022-10-28T20:27:13.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.0,20
replied_to,350.0,18332.0,1156,2022-10-28T00:21:52.000Z,MrBeast,0.0,1.0,0.0,0.0,0.2,0.2,49
replied_to,11.0,771.0,41,2022-10-28T00:20:16.000Z,MrBeast,0.259,0.741,0.0,-0.1027,0.0,0.0,23
replied_to,21.0,1402.0,84,2022-10-28T00:18:34.000Z,MrBeast,0.0,0.752,0.248,0.5093,0.3571428571428571,0.7142857142857143,57
solo,1057.0,53858.0,2035,2022-10-28T00:17:38.000Z,MrBeast,0.0,0.758,0.242,0.4939,0.0,0.0,68
replied_to,50.0,4627.0,330,2022-10-28T00:11:53.000Z,MrBeast,0.0,0.598,0.402,0.6166,0.45,0.7,38
replied_to,138.0,8662.0,256,2022-10-28T00:07:53.000Z,MrBeast,0.0,0.0,1.0,0.4019,0.0,0.0,4
replied_to,30.0,2534.0,71,2022-10-27T21:58:32.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,1.0,11
replied_to,86.0,8562.0,72,2022-10-27T21:21:46.000Z,MrBeast,0.0,0.353,0.647,0.847,0.91,0.7800000000000001,54
replied_to,143.0,7018.0,133,2022-10-27T04:28:51.000Z,MrBeast,0.0,0.0,1.0,0.5859,0.1,1.0,4
replied_to,33.0,2486.0,113,2022-10-25T20:47:32.000Z,MrBeast,0.0,0.665,0.335,0.6166,1.0,1.0,43
solo,4218.0,70872.0,1684,2022-10-25T19:29:24.000Z,MrBeast,0.0,0.833,0.167,0.6825,0.4609375,0.7,148
replied_to,91.0,5642.0,67,2022-10-23T22:46:43.000Z,MrBeast,0.0,0.0,0.0,0.0,0.0,0.0,2
solo,2645.0,166224.0,3459,2022-10-23T22:44:48.000Z,MrBeast,0.0,0.52,0.48,0.8078,0.5208333333333333,0.8583333333333334,52
replied_to,18.0,896.0,49,2022-10-22T21:50:36.000Z,MrBeast,0.0,0.71,0.29,0.6486,0.8,0.7,92
solo,1444.0,76854.0,1567,2022-10-22T21:00:29.000Z,MrBeast,0.0,1.0,0.0,0.0,-0.075,0.4333333333333333,121
replied_to,40.0,3987.0,95,2022-10-22T08:21:45.000Z,MrBeast,0.0,0.872,0.128,0.6486,0.2111111111111111,0.3777777777777777,195
replied_to,217.0,10252.0,449,2022-10-22T00:56:15.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.0,9
replied_to,377.0,41583.0,314,2022-10-21T03:28:48.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.0,16
replied_to,1995.0,84046.0,831,2022-10-21T00:36:47.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.0,17
replied_to,115.0,6566.0,103,2022-10-20T14:09:36.000Z,MrBeast,0.0,0.803,0.197,0.4019,0.0,0.0,69
replied_to,136.0,11362.0,96,2022-10-17T15:48:28.000Z,MrBeast,0.0,0.522,0.478,0.8494,0.75,0.8,65
replied_to,369.0,32673.0,510,2022-10-17T13:48:50.000Z,MrBeast,0.254,0.746,0.0,-0.1779,-0.5,1.0,38
replied_to,165.0,28805.0,150,2022-10-16T21:41:37.000Z,MrBeast,0.123,0.877,0.0,-0.1027,0.0,0.0,49
solo,2304.0,115764.0,1937,2022-10-16T19:13:41.000Z,MrBeast,0.0,0.828,0.172,0.4019,0.1363636363636363,0.4545454545454545,78
solo,199.0,19545.0,220,2022-10-16T17:50:12.000Z,MrBeast,0.0,0.78,0.22,0.5859,0.0,0.0,89
replied_to,367.0,35979.0,183,2022-10-14T00:49:13.000Z,MrBeast,0.286,0.714,0.0,-0.34,-0.125,0.5625,42
replied_to,143.0,21794.0,134,2022-10-13T18:29:16.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.0,13
replied_to,291.0,22458.0,132,2022-10-11T16:39:46.000Z,MrBeast,0.0,0.395,0.605,0.5574,0.0,0.0,30
replied_to,16.0,2574.0,60,2022-10-11T13:41:44.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,1.0,14
solo,4103.0,114033.0,2077,2022-10-11T13:40:40.000Z,MrBeast,0.301,0.699,0.0,-0.8588,-0.55,0.55,142
replied_to,248.0,30130.0,208,2022-10-09T18:45:40.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.0,34
replied_to,91.0,11893.0,117,2022-10-06T18:56:26.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.0,3
replied_to,95.0,5667.0,88,2022-10-06T02:26:00.000Z,MrBeast,0.0,0.423,0.577,0.6249,0.8,0.75,24
solo,40.0,2832.0,62,2022-10-05T14:10:22.000Z,MrBeast,0.468,0.532,0.0,-0.6597,-1.0,1.0,34
replied_to,437.0,56105.0,308,2022-10-05T02:30:27.000Z,MrBeast,1.0,0.0,0.0,-0.5423,0.0,0.0,6
replied_to,426.0,48875.0,198,2022-10-03T23:40:58.000Z,MrBeast,0.0,0.748,0.252,0.6166,1.0,1.0,65
replied_to,1217.0,16363.0,542,2022-10-03T20:46:22.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.0,8
replied_to,2602.0,53761.0,639,2022-10-03T18:47:40.000Z,MrBeast,0.101,0.719,0.18,0.2732,0.2,0.2,59
replied_to,131.0,6768.0,247,2022-10-03T18:10:55.000Z,MrBeast,0.714,0.286,0.0,-0.3612,-0.3,0.3,16
replied_to,358.0,17737.0,167,2022-10-03T16:47:55.000Z,MrBeast,0.5,0.5,0.0,-0.7184,-0.5,1.0,32
replied_to,27.0,4443.0,63,2022-10-03T16:46:43.000Z,MrBeast,0.0,0.218,0.782,0.5562,0.375,0.2,12
replied_to,1524.0,32311.0,721,2022-10-03T02:16:47.000Z,MrBeast,0.0,0.619,0.381,0.5719,0.0,0.0,47
replied_to,2281.0,139966.0,776,2022-10-03T01:19:13.000Z,MrBeast,0.0,0.726,0.274,0.7104,1.0,1.0,64
replied_to,1209.0,83365.0,384,2022-10-02T22:36:24.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.0,24
replied_to,952.0,90802.0,510,2022-10-02T01:27:22.000Z,MrBeast,0.0,0.843,0.157,0.4215,0.8,0.7,79
replied_to,742.0,67543.0,628,2022-10-02T01:26:23.000Z,MrBeast,0.0,0.704,0.296,0.2732,0.0,0.0,30
replied_to,9.0,686.0,36,2022-10-01T22:31:14.000Z,MrBeast,0.0,0.316,0.684,0.7579,0.0,0.0,28
replied_to,110.0,10312.0,202,2022-10-01T01:48:41.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.0,7
replied_to,6.0,514.0,40,2022-09-30T20:01:16.000Z,MrBeast,0.0,0.663,0.337,0.7269,0.15,0.25,64
replied_to,87.0,9729.0,139,2022-09-30T01:21:47.000Z,MrBeast,0.0,0.508,0.492,0.4404,0.2,0.2,23
replied_to,62.0,3391.0,60,2022-09-30T00:55:49.000Z,MrBeast,0.428,0.329,0.243,-0.4215,0.3,0.2,45
replied_to,7.0,349.0,26,2022-09-30T00:54:03.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.5,21
replied_to,112.0,8746.0,117,2022-09-28T22:53:58.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.0,7
replied_to,99.0,11963.0,108,2022-09-28T15:12:35.000Z,MrBeast,0.0,0.852,0.148,0.3818,0.5,0.5,85
replied_to,224.0,35253.0,187,2022-09-28T15:02:05.000Z,MrBeast,0.459,0.541,0.0,-0.5267,0.0,0.0,28
solo,3608.0,223190.0,3314,2022-09-28T14:41:31.000Z,MrBeast,0.0,1.0,0.0,0.0,0.0,0.0,84
solo,77.0,2217.0,84,2022-09-27T15:28:30.000Z,MrBeast,0.0,0.815,0.185,0.3612,0.1363636363636363,0.4545454545454545,73
replied_to,21.0,1557.0,44,2022-09-27T15:06:23.000Z,MrBeast,0.0,1.0,0.0,0.0,0.1363636363636363,0.4545454545454545,44
