type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
replied_to,0.0,19.0,8,2022-11-21T21:15:57.000Z,NateSilver538,0.168,0.64,0.191,0.0777,0.0226190476190476,0.4952380952380952,281
replied_to,11.0,290.0,25,2022-11-21T20:53:33.000Z,NateSilver538,0.0,0.0,0.0,0.0,0.0,0.0,29
solo,282.0,2809.0,118,2022-11-21T19:27:10.000Z,NateSilver538,0.0,1.0,0.0,0.0,0.0499999999999999,0.45,59
replied_to,0.0,17.0,3,2022-11-21T18:58:23.000Z,NateSilver538,0.0,0.789,0.211,0.7088,0.1991666666666667,0.5633333333333334,146
replied_to,3.0,262.0,49,2022-11-21T18:39:10.000Z,NateSilver538,0.117,0.652,0.231,0.3127,0.25,0.5,112
replied_to,783.0,5540.0,349,2022-11-21T18:33:45.000Z,NateSilver538,0.167,0.669,0.164,-0.0247,0.3199999999999999,0.5,219
replied_to,157.0,3406.0,172,2022-11-21T18:23:08.000Z,NateSilver538,0.136,0.716,0.149,0.178,0.0916666666666666,0.4979166666666667,252
quoted,126.0,2787.0,268,2022-11-21T18:20:49.000Z,NateSilver538,0.535,0.465,0.0,-0.3182,0.0,0.0,24
quoted,294.0,2765.0,160,2022-11-21T11:30:50.000Z,NateSilver538,0.095,0.788,0.117,0.4767,0.2142857142857142,0.4142857142857142,265
solo,26.0,557.0,57,2022-11-21T01:48:56.000Z,NateSilver538,0.0,1.0,0.0,0.0,0.0,0.0,29
replied_to,0.0,10.0,1,2022-11-20T23:33:11.000Z,NateSilver538,0.38,0.282,0.338,-0.0777,0.2142857142857142,0.5714285714285714,27
solo,11.0,697.0,60,2022-11-20T23:16:16.000Z,NateSilver538,0.181,0.719,0.099,-0.3862,0.1924242424242424,0.3386363636363636,132
replied_to,8.0,167.0,23,2022-11-20T16:47:39.000Z,NateSilver538,0.153,0.744,0.103,-0.3946,-0.0624999999999999,0.5111111111111111,273
solo,39.0,569.0,17,2022-11-20T16:47:38.000Z,NateSilver538,0.0,1.0,0.0,0.0,0.4333333333333333,0.7333333333333334,163
retweeted,26.0,0.0,0,2022-11-20T16:34:27.000Z,NateSilver538,0.0,0.899,0.101,0.3071,0.1571428571428571,0.4059523809523809,124
retweeted,347.0,0.0,0,2022-11-20T16:34:11.000Z,NateSilver538,0.089,0.728,0.184,0.4588,0.4333333333333333,0.4666666666666667,125
quoted,2291.0,17486.0,1257,2022-11-20T15:23:08.000Z,NateSilver538,0.0,0.743,0.257,0.8658,0.8,0.95,210
solo,141.0,2985.0,267,2022-11-20T02:06:46.000Z,NateSilver538,0.212,0.788,0.0,-0.0191,0.2,0.2,28
replied_to,0.0,217.0,2,2022-11-19T19:16:06.000Z,NateSilver538,0.846,0.154,0.0,-0.8402,0.0,0.0,23
solo,422.0,8248.0,377,2022-11-19T15:14:27.000Z,NateSilver538,0.073,0.859,0.067,-0.0418,0.0833333333333333,0.4962962962962963,136
solo,117.0,1941.0,93,2022-11-18T01:19:08.000Z,NateSilver538,0.114,0.763,0.124,0.1389,0.0324074074074074,0.3814814814814815,276
solo,25.0,486.0,42,2022-11-18T00:58:00.000Z,NateSilver538,0.101,0.899,0.0,-0.631,-0.0972222222222222,0.6888888888888888,222
replied_to,3.0,181.0,17,2022-11-16T17:18:47.000Z,NateSilver538,0.08,0.831,0.089,0.0772,0.074715909090909,0.4636363636363636,190
retweeted,32.0,0.0,0,2022-11-16T17:01:33.000Z,NateSilver538,0.0,0.772,0.228,0.7339,0.4676136363636364,0.6,125
solo,29.0,399.0,82,2022-11-16T14:29:31.000Z,NateSilver538,0.0,0.84,0.16,0.2732,0.0,0.0,77
replied_to,2.0,6.0,2,2022-11-16T02:03:29.000Z,NateSilver538,0.061,0.769,0.17,0.5647,0.3142857142857143,0.4857142857142857,243
replied_to,2.0,15.0,3,2022-11-16T01:56:45.000Z,NateSilver538,0.0,0.924,0.076,0.2263,0.175,0.595,168
replied_to,1.0,6.0,1,2022-11-16T01:48:13.000Z,NateSilver538,0.0,0.914,0.086,0.1531,-0.125,0.375,93
replied_to,2.0,53.0,7,2022-11-16T01:42:36.000Z,NateSilver538,0.0,1.0,0.0,0.0,-0.125,0.375,85
replied_to,0.0,7.0,2,2022-11-15T17:47:43.000Z,NateSilver538,0.071,0.831,0.098,0.2263,0.1125,0.55,197
replied_to,0.0,80.0,0,2022-11-15T17:45:29.000Z,NateSilver538,0.0,0.0,1.0,0.4019,0.0,0.0,5
quoted,43.0,1225.0,129,2022-11-15T17:28:10.000Z,NateSilver538,0.18,0.754,0.067,-0.7811,-0.4000000000000001,0.6,275
solo,61.0,1228.0,86,2022-11-15T13:55:06.000Z,NateSilver538,0.268,0.695,0.037,-0.8737,-0.0333333333333333,0.7000000000000001,229
replied_to,2.0,120.0,9,2022-11-15T00:13:18.000Z,NateSilver538,0.131,0.715,0.154,0.0147,0.0666666666666667,0.7259259259259259,256
quoted,40.0,346.0,34,2022-11-14T19:59:45.000Z,NateSilver538,0.222,0.742,0.036,-0.875,-0.0999999999999999,0.6321428571428571,269
quoted,15.0,560.0,46,2022-11-14T05:27:16.000Z,NateSilver538,0.055,0.592,0.353,0.9011,0.25,0.5708333333333334,175
quoted,247.0,3676.0,308,2022-11-13T23:22:07.000Z,NateSilver538,0.184,0.705,0.111,-0.3447,0.15,0.5833333333333334,248
quoted,90.0,779.0,28,2022-11-13T22:21:32.000Z,NateSilver538,0.123,0.83,0.047,-0.5574,-0.0384259259259259,0.3814814814814815,258
quoted,23.0,268.0,36,2022-11-13T16:18:13.000Z,NateSilver538,0.0,0.892,0.108,0.611,0.2777777777777778,0.3555555555555555,217
quoted,60.0,524.0,69,2022-11-13T16:14:55.000Z,NateSilver538,0.0,0.668,0.332,0.5379,0.2533333333333333,0.3933333333333333,52
replied_to,0.0,39.0,4,2022-11-13T14:53:22.000Z,NateSilver538,0.0,0.843,0.157,0.3818,0.25,0.3333333333333333,76
replied_to,0.0,52.0,7,2022-11-13T14:43:35.000Z,NateSilver538,0.0,1.0,0.0,0.0,0.0,0.0,120
solo,494.0,4293.0,344,2022-11-13T03:18:02.000Z,NateSilver538,0.086,0.842,0.072,-0.1779,-0.065,0.48,252
replied_to,1.0,57.0,3,2022-11-13T00:14:14.000Z,NateSilver538,0.05,0.874,0.076,0.3269,0.1361904761904762,0.3380952380952381,262
solo,259.0,5098.0,442,2022-11-12T18:15:37.000Z,NateSilver538,0.285,0.605,0.111,-0.6652,-0.1666666666666666,0.5333333333333333,80
replied_to,1.0,75.0,12,2022-11-12T18:00:24.000Z,NateSilver538,0.043,0.902,0.055,0.128,-0.03125,0.46875,240
solo,47.0,664.0,169,2022-11-12T17:45:29.000Z,NateSilver538,0.0,0.951,0.049,0.2023,0.05,0.6916666666666667,229
replied_to,2.0,94.0,7,2022-11-12T05:33:26.000Z,NateSilver538,0.0,0.766,0.234,0.891,0.0135416666666666,0.246875,280
quoted,241.0,3535.0,97,2022-11-12T00:14:58.000Z,NateSilver538,0.0,1.0,0.0,0.0,0.0,0.0,21
replied_to,0.0,18.0,0,2022-11-11T22:54:22.000Z,NateSilver538,0.0,1.0,0.0,0.0,0.0,0.0,68
replied_to,0.0,8.0,0,2022-11-11T18:26:01.000Z,NateSilver538,0.0,0.815,0.185,0.3612,0.0,0.1,90
replied_to,0.0,7.0,1,2022-11-11T18:02:15.000Z,NateSilver538,0.0,0.775,0.225,0.4404,0.5,0.5,74
replied_to,0.0,14.0,1,2022-11-11T17:46:04.000Z,NateSilver538,0.0,0.742,0.258,0.9039,0.3157142857142858,0.7485714285714286,260
replied_to,6.0,57.0,2,2022-11-11T17:25:29.000Z,NateSilver538,0.044,0.83,0.127,0.5859,0.4999999999999999,0.7000000000000001,228
replied_to,1.0,73.0,8,2022-11-11T17:20:55.000Z,NateSilver538,0.139,0.827,0.034,-0.6374,-0.0666666666666666,0.2833333333333333,257
replied_to,0.0,72.0,4,2022-11-11T17:17:15.000Z,NateSilver538,0.0,0.833,0.167,0.4215,0.2375,0.6375,89
quoted,56.0,958.0,116,2022-11-11T17:12:58.000Z,NateSilver538,0.18,0.712,0.108,-0.3542,-0.1333333333333334,0.7333333333333334,269
replied_to,8.0,146.0,12,2022-11-11T17:02:34.000Z,NateSilver538,0.0,1.0,0.0,0.0,0.0,0.0,126
quoted,19.0,321.0,100,2022-11-11T16:50:24.000Z,NateSilver538,0.079,0.79,0.131,0.4767,0.2513888888888888,0.8486111111111111,283
