type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
retweeted,62.0,0.0,0,2022-11-20T02:00:08.000Z,Nate_Cohn,0.0,0.0,0.0,0.0,0.0,0.0,1
quoted,38.0,277.0,103,2022-11-19T12:47:13.000Z,Nate_Cohn,0.0,1.0,0.0,0.0,0.0472222222222222,0.3111111111111111,59
quoted,135.0,1840.0,202,2022-11-19T02:01:40.000Z,Nate_Cohn,0.0,0.829,0.171,0.2144,0.1,0.3,51
replied_to,0.0,5.0,1,2022-11-18T23:10:23.000Z,Nate_Cohn,0.0,0.855,0.145,0.6249,0.196875,0.8065972222222222,218
replied_to,0.0,1.0,0,2022-11-18T23:01:55.000Z,Nate_Cohn,0.0,1.0,0.0,0.0,0.0,0.0,94
replied_to,0.0,1.0,1,2022-11-18T23:01:13.000Z,Nate_Cohn,0.056,0.803,0.141,0.4741,0.3354166666666667,0.7166666666666667,199
replied_to,0.0,1.0,3,2022-11-18T22:59:50.000Z,Nate_Cohn,0.0,0.919,0.081,0.3182,0.1428571428571428,0.4678571428571428,172
replied_to,0.0,1.0,2,2022-11-18T22:50:11.000Z,Nate_Cohn,0.0,0.811,0.189,0.4215,0.3,0.6285714285714286,82
replied_to,0.0,3.0,1,2022-11-18T21:46:00.000Z,Nate_Cohn,0.185,0.815,0.0,-0.3612,0.0,0.0,97
replied_to,0.0,10.0,2,2022-11-18T21:45:02.000Z,Nate_Cohn,0.046,0.693,0.261,0.8481,0.4473333333333332,0.8399999999999999,238
replied_to,0.0,6.0,3,2022-11-18T21:29:16.000Z,Nate_Cohn,0.0,0.871,0.129,0.68,0.3125,1.0,181
replied_to,0.0,8.0,3,2022-11-18T21:28:08.000Z,Nate_Cohn,0.0,0.77,0.23,0.867,0.271875,0.696875,257
replied_to,1.0,23.0,3,2022-11-18T21:05:22.000Z,Nate_Cohn,0.071,0.641,0.287,0.8777,0.2074829931972789,0.6829931972789115,203
solo,15.0,288.0,35,2022-11-18T02:33:57.000Z,Nate_Cohn,0.0,1.0,0.0,0.0,0.0,0.625,104
replied_to,11.0,189.0,4,2022-11-17T14:47:38.000Z,Nate_Cohn,0.0,0.915,0.085,0.4019,0.4666666666666667,0.5444444444444444,176
replied_to,9.0,215.0,6,2022-11-17T14:40:46.000Z,Nate_Cohn,0.0,1.0,0.0,0.0,0.1666666666666666,0.5333333333333333,130
solo,147.0,1287.0,120,2022-11-17T14:40:45.000Z,Nate_Cohn,0.248,0.724,0.029,-0.875,0.1399999999999999,0.3766666666666666,248
replied_to,7.0,123.0,1,2022-11-17T12:59:03.000Z,Nate_Cohn,0.0,0.926,0.074,0.5591,0.25,0.3,274
solo,18.0,304.0,8,2022-11-17T12:59:02.000Z,Nate_Cohn,0.0,0.877,0.123,0.4748,0.3,0.6,152
solo,270.0,1513.0,87,2022-11-16T23:33:29.000Z,Nate_Cohn,0.0,0.732,0.268,0.872,0.65,0.65,180
retweeted,235.0,0.0,0,2022-11-16T23:12:55.000Z,Nate_Cohn,0.0,1.0,0.0,0.0,0.5,0.5,123
retweeted,449.0,0.0,0,2022-11-16T23:09:27.000Z,Nate_Cohn,0.0,1.0,0.0,0.0,0.0,0.5555555555555555,120
replied_to,1.0,51.0,3,2022-11-16T22:58:28.000Z,Nate_Cohn,0.0,0.879,0.121,0.4588,0.0,0.0,188
replied_to,5.0,78.0,6,2022-11-16T22:55:15.000Z,Nate_Cohn,0.0,0.897,0.103,0.6486,-0.0125,0.0,268
replied_to,5.0,85.0,2,2022-11-16T22:53:05.000Z,Nate_Cohn,0.0,0.759,0.241,0.8225,0.5333333333333333,0.2666666666666666,140
replied_to,6.0,96.0,2,2022-11-16T22:53:04.000Z,Nate_Cohn,0.0,0.76,0.24,0.8689,0.25,0.4722222222222222,165
replied_to,2.0,67.0,2,2022-11-16T22:53:04.000Z,Nate_Cohn,0.0,0.828,0.172,0.8176,0.15,0.5,188
replied_to,4.0,82.0,3,2022-11-16T22:53:04.000Z,Nate_Cohn,0.0,0.756,0.244,0.9117,0.4814814814814815,0.362962962962963,201
solo,34.0,285.0,10,2022-11-16T22:53:03.000Z,Nate_Cohn,0.0,0.838,0.162,0.7964,0.2083333333333333,0.34375,260
replied_to,1.0,34.0,4,2022-11-16T14:49:03.000Z,Nate_Cohn,0.0,0.78,0.22,0.7579,0.4499999999999999,0.625,150
replied_to,2.0,26.0,3,2022-11-16T14:47:25.000Z,Nate_Cohn,0.0,0.781,0.219,0.4215,0.0406249999999999,0.6625,72
replied_to,0.0,3.0,1,2022-11-16T14:45:42.000Z,Nate_Cohn,0.0,0.408,0.592,0.4404,0.7,0.6000000000000001,15
replied_to,20.0,142.0,15,2022-11-15T04:14:26.000Z,Nate_Cohn,0.0,1.0,0.0,0.0,0.0,0.0,81
solo,218.0,1026.0,74,2022-11-15T04:02:20.000Z,Nate_Cohn,0.0,0.725,0.275,0.9231,0.45,0.55,208
replied_to,0.0,1.0,1,2022-11-15T02:52:39.000Z,Nate_Cohn,0.0,1.0,0.0,0.0,0.0,0.0,70
