type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
retweeted,73.0,0.0,0,2022-11-22T03:09:39.000Z,Noahpinion,0.0,0.691,0.309,0.6908,0.5,0.5,125
retweeted,39.0,0.0,0,2022-11-22T03:04:14.000Z,Noahpinion,0.286,0.599,0.115,-0.5719,0.5,0.5,123
solo,3.0,22.0,0,2022-11-22T00:18:51.000Z,Noahpinion,0.0,1.0,0.0,0.0,-0.0885416666666666,0.3666666666666667,138
replied_to,0.0,14.0,0,2022-11-22T00:15:47.000Z,Noahpinion,0.0,1.0,0.0,0.0,0.0,0.0,11
retweeted,21.0,0.0,0,2022-11-22T00:15:38.000Z,Noahpinion,0.0,1.0,0.0,0.0,0.0454545454545454,0.2705627705627705,124
quoted,7.0,100.0,12,2022-11-22T00:13:27.000Z,Noahpinion,0.33,0.554,0.115,-0.8779,-0.4458333333333333,0.8708333333333332,217
retweeted,89.0,0.0,0,2022-11-22T00:09:59.000Z,Noahpinion,0.0,0.75,0.25,0.4576,0.4285714285714285,0.5119047619047619,71
retweeted,9.0,0.0,0,2022-11-22T00:08:12.000Z,Noahpinion,0.0,0.891,0.109,0.352,0.4666666666666666,0.7000000000000001,122
retweeted,22.0,0.0,0,2022-11-22T00:08:10.000Z,Noahpinion,0.0,1.0,0.0,0.0,0.5,0.5,122
solo,18.0,522.0,19,2022-11-22T00:06:09.000Z,Noahpinion,0.093,0.907,0.0,-0.5106,0.0,0.0,179
replied_to,0.0,8.0,0,2022-11-22T00:03:17.000Z,Noahpinion,0.0,1.0,0.0,0.0,0.1166666666666666,0.4777777777777778,87
replied_to,0.0,2.0,0,2022-11-22T00:01:26.000Z,Noahpinion,0.0,1.0,0.0,0.0,0.0,0.0,13
retweeted,3.0,0.0,0,2022-11-22T00:00:41.000Z,Noahpinion,0.0,1.0,0.0,0.0,0.45,0.5666666666666667,78
retweeted,6.0,0.0,0,2022-11-21T23:58:33.000Z,Noahpinion,0.0,0.866,0.134,0.5719,0.1788888888888889,0.4644444444444444,129
retweeted,3.0,0.0,0,2022-11-21T23:52:01.000Z,Noahpinion,0.0,0.824,0.176,0.4588,0.0,0.0,107
replied_to,0.0,2.0,1,2022-11-21T23:51:09.000Z,Noahpinion,0.259,0.629,0.112,-0.6369,0.2,0.2,112
solo,0.0,31.0,1,2022-11-21T23:37:46.000Z,Noahpinion,0.0,0.86,0.14,0.5023,0.3,0.3,122
replied_to,0.0,0.0,0,2022-11-21T23:36:21.000Z,Noahpinion,0.0,0.488,0.512,0.2732,0.0,0.0,25
quoted,4.0,97.0,2,2022-11-21T23:35:52.000Z,Noahpinion,0.0,0.0,1.0,0.5106,0.0,0.0,8
replied_to,0.0,27.0,5,2022-11-21T23:30:18.000Z,Noahpinion,0.331,0.635,0.034,-0.9042,-0.1833333333333332,0.5833333333333333,166
replied_to,0.0,1.0,0,2022-11-21T23:29:19.000Z,Noahpinion,0.0,0.685,0.315,0.3182,0.375,0.75,43
replied_to,0.0,0.0,1,2022-11-21T23:28:38.000Z,Noahpinion,0.0,0.408,0.592,0.4404,0.5,0.5,16
solo,8.0,327.0,31,2022-11-21T23:22:25.000Z,Noahpinion,0.121,0.669,0.209,0.6808,-0.125,0.125,229
replied_to,0.0,0.0,1,2022-11-21T23:20:44.000Z,Noahpinion,0.0,1.0,0.0,0.0,0.0,0.0,17
replied_to,0.0,0.0,0,2022-11-21T23:20:18.000Z,Noahpinion,0.245,0.446,0.309,0.1471,0.0,0.0,31
replied_to,0.0,45.0,4,2022-11-21T23:19:53.000Z,Noahpinion,0.0,0.0,1.0,0.4574,0.0,0.0,5
solo,109.0,1520.0,105,2022-11-21T23:17:52.000Z,Noahpinion,0.114,0.696,0.19,0.34,0.4499999999999999,0.4,134
solo,6.0,72.0,9,2022-11-21T23:11:01.000Z,Noahpinion,0.073,0.927,0.0,-0.128,0.0,0.0,116
replied_to,0.0,0.0,0,2022-11-21T23:09:31.000Z,Noahpinion,0.0,0.0,1.0,0.4404,0.2,0.2,7
solo,2.0,39.0,12,2022-11-21T23:07:05.000Z,Noahpinion,0.07,0.73,0.201,0.7964,0.3375,0.3875,195
replied_to,6.0,92.0,8,2022-11-21T23:05:44.000Z,Noahpinion,0.0,0.686,0.314,0.4939,0.0,0.0,55
replied_to,0.0,0.0,1,2022-11-21T22:57:57.000Z,Noahpinion,0.421,0.579,0.0,-0.4417,-0.40625,0.75,27
replied_to,0.0,0.0,1,2022-11-21T22:56:29.000Z,Noahpinion,0.0,0.804,0.196,0.296,0.0,0.0,57
retweeted,12.0,0.0,0,2022-11-21T22:52:52.000Z,Noahpinion,0.227,0.61,0.163,-0.2885,-0.0828571428571428,0.687142857142857,65
replied_to,2.0,105.0,16,2022-11-21T22:51:39.000Z,Noahpinion,0.113,0.887,0.0,-0.4709,0.096875,0.409375,139
retweeted,145.0,0.0,0,2022-11-21T22:50:41.000Z,Noahpinion,0.121,0.727,0.152,0.128,0.0,0.0,87
quoted,38.0,402.0,45,2022-11-21T22:50:21.000Z,Noahpinion,0.248,0.459,0.294,0.128,0.0,0.0,48
retweeted,10.0,0.0,0,2022-11-21T22:48:51.000Z,Noahpinion,0.095,0.905,0.0,-0.2263,-0.05,0.0354166666666666,107
retweeted,469.0,0.0,0,2022-11-21T22:45:42.000Z,Noahpinion,0.0,0.783,0.217,0.7264,0.4,0.625,130
replied_to,0.0,0.0,0,2022-11-21T22:44:57.000Z,Noahpinion,0.0,1.0,0.0,0.0,0.0,0.0,4
replied_to,7.0,74.0,9,2022-11-21T22:38:49.000Z,Noahpinion,0.216,0.784,0.0,-0.7096,-0.1458333333333333,0.7708333333333333,151
