type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,27.0,43.0,12,2022-11-22T02:21:59.000Z,OANN,0.0,1.0,0.0,0.0,0.0,0.0,97
solo,33.0,129.0,18,2022-11-22T02:21:08.000Z,OANN,0.0,1.0,0.0,0.0,0.1181818181818181,0.3272727272727272,58
solo,50.0,125.0,7,2022-11-22T02:20:04.000Z,OANN,0.191,0.809,0.0,-0.5106,0.5,0.9,96
solo,21.0,50.0,8,2022-11-22T02:18:54.000Z,OANN,0.505,0.495,0.0,-0.8807,0.0,0.0,66
retweeted,36.0,0.0,0,2022-11-22T02:05:58.000Z,OANN,0.0,1.0,0.0,0.0,0.25,0.3,30
solo,11.0,28.0,19,2022-11-22T01:59:50.000Z,OANN,0.0,1.0,0.0,0.0,-0.4,0.4,83
solo,216.0,831.0,138,2022-11-22T01:38:48.000Z,OANN,0.0,1.0,0.0,0.0,0.0,0.0,102
solo,31.0,82.0,10,2022-11-22T01:10:58.000Z,OANN,0.333,0.667,0.0,-0.5423,0.5,0.5,53
retweeted,18.0,0.0,0,2022-11-22T01:04:25.000Z,OANN,0.0,1.0,0.0,0.0,0.0,0.0,58
retweeted,25.0,0.0,0,2022-11-22T00:32:13.000Z,OANN,0.0,1.0,0.0,0.0,-0.3928571428571428,0.7142857142857143,84
solo,24.0,110.0,508,2022-11-22T00:22:32.000Z,OANN,0.278,0.722,0.0,-0.4019,0.0,0.0,55
retweeted,65.0,0.0,0,2022-11-22T00:00:25.000Z,OANN,0.0,0.867,0.133,0.3818,0.0,1.0,109
solo,151.0,372.0,20,2022-11-21T23:42:27.000Z,OANN,0.326,0.674,0.0,-0.4404,0.0,0.25,47
solo,9.0,50.0,106,2022-11-21T23:36:26.000Z,OANN,0.0,0.761,0.239,0.296,0.0,0.0,53
solo,136.0,628.0,25,2022-11-21T23:22:51.000Z,OANN,0.25,0.75,0.0,-0.25,0.0,0.0,46
retweeted,11.0,0.0,0,2022-11-21T23:19:52.000Z,OANN,0.119,0.881,0.0,-0.3182,-0.0318181818181818,0.4272727272727272,123
solo,32.0,90.0,6,2022-11-21T23:18:12.000Z,OANN,0.0,1.0,0.0,0.0,0.25,0.3,150
solo,373.0,1911.0,104,2022-11-21T21:57:47.000Z,OANN,0.0,1.0,0.0,0.0,0.0,0.0,60
solo,288.0,670.0,72,2022-11-21T21:41:56.000Z,OANN,0.153,0.847,0.0,-0.4019,0.0,0.0,101
solo,105.0,969.0,82,2022-11-21T21:23:10.000Z,OANN,0.0,0.777,0.223,0.3182,0.0333333333333333,0.0666666666666666,65
solo,51.0,264.0,5,2022-11-21T21:11:14.000Z,OANN,0.0,0.769,0.231,0.2732,0.0,0.0,51
solo,24.0,146.0,3,2022-11-21T21:10:17.000Z,OANN,0.0,0.769,0.231,0.2732,0.0,0.0,63
solo,33.0,188.0,100,2022-11-21T20:56:59.000Z,OANN,0.0,1.0,0.0,0.0,0.1,0.1,57
solo,9.0,40.0,16,2022-11-21T19:37:27.000Z,OANN,0.545,0.455,0.0,-0.802,-0.1,0.0,59
