type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,1111.0,3988.0,1038,2022-11-21T23:32:57.000Z,RBReich,0.153,0.712,0.136,-0.128,0.2,0.95,146
retweeted,283.0,0.0,0,2022-11-21T21:57:22.000Z,RBReich,0.179,0.821,0.0,-0.5719,-0.0428571428571428,0.4142857142857142,122
solo,184.0,725.0,116,2022-11-21T21:49:47.000Z,RBReich,0.0,0.864,0.136,0.5267,0.05,0.6916666666666667,170
solo,3133.0,13080.0,4836,2022-11-21T20:58:24.000Z,RBReich,0.0,0.489,0.511,0.9567,0.1454545454545454,0.3666666666666667,130
replied_to,54.0,147.0,3,2022-11-21T19:18:10.000Z,RBReich,0.0,1.0,0.0,0.0,0.0,0.0,5
solo,1542.0,5551.0,328,2022-11-21T19:18:04.000Z,RBReich,0.212,0.695,0.093,-0.4767,0.25,0.95,137
solo,1182.0,4306.0,1033,2022-11-21T17:54:09.000Z,RBReich,0.196,0.724,0.08,-0.6486,0.8,0.9,198
retweeted,19414.0,0.0,0,2022-11-21T02:16:42.000Z,RBReich,0.065,0.935,0.0,-0.1027,0.1722222222222222,0.3944444444444445,128
replied_to,356.0,795.0,68,2022-11-20T23:21:03.000Z,RBReich,0.0,0.0,0.0,0.0,0.0,0.0,0
solo,1680.0,5865.0,1092,2022-11-20T23:20:31.000Z,RBReich,0.0,1.0,0.0,0.0,0.0,0.0,98
solo,8858.0,23063.0,3452,2022-11-20T19:05:05.000Z,RBReich,0.0,0.919,0.081,0.4404,0.3333333333333333,0.3555555555555555,194
solo,4605.0,28265.0,4337,2022-11-20T16:12:45.000Z,RBReich,0.0,0.882,0.118,0.4215,0.2952380952380952,0.5202380952380953,139
replied_to,83.0,276.0,21,2022-11-20T15:52:50.000Z,RBReich,0.0,0.0,0.0,0.0,0.0,0.0,0
solo,1104.0,5251.0,277,2022-11-20T15:51:10.000Z,RBReich,0.34,0.66,0.0,-0.9371,-0.12,0.6599999999999999,224
replied_to,573.0,1715.0,197,2022-11-20T02:11:11.000Z,RBReich,0.0,0.0,0.0,0.0,0.0,0.0,0
solo,4269.0,22596.0,4782,2022-11-20T02:10:27.000Z,RBReich,0.102,0.898,0.0,-0.4497,0.015,0.19,183
solo,9596.0,52409.0,16330,2022-11-20T01:31:47.000Z,RBReich,0.0,0.567,0.433,0.8555,-0.3125,0.6875,79
replied_to,90.0,325.0,23,2022-11-20T00:53:44.000Z,RBReich,0.0,0.0,0.0,0.0,0.0,0.0,0
solo,1435.0,5514.0,330,2022-11-20T00:52:33.000Z,RBReich,0.0,0.829,0.171,0.7351,-0.2371428571428571,0.4773809523809523,237
solo,9348.0,21931.0,3298,2022-11-19T21:46:25.000Z,RBReich,0.0,0.946,0.054,0.3182,-0.6,0.95,265
replied_to,248.0,573.0,36,2022-11-19T19:35:55.000Z,RBReich,0.0,0.0,0.0,0.0,0.0,0.0,0
solo,7395.0,16511.0,876,2022-11-19T18:45:20.000Z,RBReich,0.06,0.689,0.251,0.8225,0.0666666666666666,0.3166666666666666,239
solo,90.0,387.0,65,2022-11-19T17:31:00.000Z,RBReich,0.252,0.672,0.076,-0.8126,-0.0678787878787878,0.1624242424242424,253
solo,6225.0,29769.0,2942,2022-11-19T16:42:42.000Z,RBReich,0.06,0.636,0.305,0.8201,0.5,0.8125,119
solo,19414.0,59283.0,4345,2022-11-19T16:02:56.000Z,RBReich,0.109,0.724,0.167,0.4614,-0.0388888888888888,0.6972222222222222,182
retweeted,2264.0,0.0,0,2022-11-19T01:56:18.000Z,RBReich,0.101,0.701,0.199,0.4995,0.2,0.575,120
solo,2263.0,9756.0,1868,2022-11-19T00:02:05.000Z,RBReich,0.128,0.776,0.097,-0.2025,0.18,0.5700000000000001,137
retweeted,436.0,0.0,0,2022-11-18T22:36:24.000Z,RBReich,0.051,0.675,0.274,0.6486,0.1333333333333333,0.5222222222222223,127
solo,59.0,174.0,46,2022-11-18T22:13:07.000Z,RBReich,0.051,0.907,0.042,-0.1027,0.1,0.22,245
quoted,348.0,1374.0,60,2022-11-18T21:48:50.000Z,RBReich,0.168,0.793,0.04,-0.7024,-0.2291666666666666,0.8333333333333334,281
solo,12455.0,32774.0,3429,2022-11-18T20:08:40.000Z,RBReich,0.0,0.881,0.119,0.7003,0.2333333333333333,0.4333333333333333,280
solo,3366.0,10805.0,2710,2022-11-18T19:01:29.000Z,RBReich,0.0,1.0,0.0,0.0,0.0007575757575757,0.3145833333333333,237
solo,2652.0,16068.0,9009,2022-11-18T17:54:26.000Z,RBReich,0.0,0.726,0.274,0.5994,0.4202380952380952,0.7619047619047619,85
solo,4543.0,23088.0,8395,2022-11-18T15:49:04.000Z,RBReich,0.099,0.744,0.157,0.4767,0.0,0.0,172
solo,1710.0,7780.0,2799,2022-11-18T15:42:47.000Z,RBReich,0.187,0.703,0.11,-0.3612,0.0,0.0,139
quoted,787.0,3219.0,172,2022-11-18T06:05:36.000Z,RBReich,0.0,1.0,0.0,0.0,0.0,0.0,15
retweeted,39585.0,0.0,0,2022-11-18T05:55:02.000Z,RBReich,0.0,0.796,0.204,0.6573,0.3,0.45,132
quoted,91.0,399.0,55,2022-11-18T00:44:39.000Z,RBReich,0.194,0.806,0.0,-0.0516,0.0,0.0,32
solo,83.0,376.0,37,2022-11-17T23:31:43.000Z,RBReich,0.053,0.894,0.053,0.0,-0.1666666666666666,0.688888888888889,255
retweeted,554.0,0.0,0,2022-11-17T22:34:46.000Z,RBReich,0.232,0.65,0.118,-0.4215,0.25,0.35,121
solo,887.0,2941.0,163,2022-11-17T22:12:30.000Z,RBReich,0.069,0.796,0.135,0.3612,-0.1333333333333333,0.6333333333333333,201
retweeted,1358.0,0.0,0,2022-11-17T21:38:44.000Z,RBReich,0.0,1.0,0.0,0.0,0.0,0.0,122
solo,1815.0,7390.0,586,2022-11-17T20:40:56.000Z,RBReich,0.191,0.767,0.042,-0.7506,-0.5333333333333333,0.7000000000000001,259
solo,75.0,208.0,37,2022-11-17T20:16:10.000Z,RBReich,0.0,1.0,0.0,0.0,-0.1555555555555555,0.2888888888888889,142
solo,427.0,2664.0,106,2022-11-17T19:29:53.000Z,RBReich,0.0,0.919,0.081,0.4588,0.075,0.475,205
solo,1165.0,2519.0,145,2022-11-17T18:28:02.000Z,RBReich,0.029,0.938,0.034,0.0685,0.0,0.0,268
retweeted,283.0,0.0,0,2022-11-17T08:40:14.000Z,RBReich,0.249,0.647,0.104,-0.6162,-0.0833333333333333,0.5361111111111111,128
retweeted,849.0,0.0,0,2022-11-17T01:16:12.000Z,RBReich,0.205,0.795,0.0,-0.5994,0.1333333333333333,0.3,127
solo,1640.0,5731.0,729,2022-11-16T23:43:32.000Z,RBReich,0.069,0.878,0.053,-0.2023,-0.0576923076923076,0.7403846153846154,274
replied_to,158.0,506.0,31,2022-11-16T23:42:53.000Z,RBReich,0.231,0.769,0.0,-0.128,0.0,0.0,48
solo,1752.0,4999.0,431,2022-11-16T22:31:35.000Z,RBReich,0.0,1.0,0.0,0.0,0.0,0.0625,138
retweeted,1719.0,0.0,0,2022-11-16T22:16:14.000Z,RBReich,0.106,0.894,0.0,-0.3612,0.5,0.5,128
solo,8930.0,34023.0,2630,2022-11-16T21:23:22.000Z,RBReich,0.0,0.894,0.106,0.6124,0.15,0.55,255
solo,154.0,421.0,39,2022-11-16T20:26:19.000Z,RBReich,0.162,0.838,0.0,-0.7845,0.0416666666666666,0.3666666666666666,280
retweeted,948.0,0.0,0,2022-11-16T20:24:32.000Z,RBReich,0.171,0.829,0.0,-0.5719,0.1121212121212121,0.2848484848484848,122
solo,2235.0,6986.0,386,2022-11-16T19:14:43.000Z,RBReich,0.083,0.868,0.05,-0.1531,0.0,1.0,280
retweeted,14968.0,0.0,0,2022-11-16T19:14:28.000Z,RBReich,0.0,0.787,0.213,0.6597,0.7,0.6000000000000001,128
retweeted,6481.0,0.0,0,2022-11-16T19:13:41.000Z,RBReich,0.0,1.0,0.0,0.0,0.25,0.8125,124
replied_to,14.0,38.0,3,2022-11-16T19:07:26.000Z,RBReich,0.0,0.72,0.28,0.7034,0.3333333333333333,0.4333333333333333,108
solo,18.0,56.0,5,2022-11-16T19:06:59.000Z,RBReich,0.0,0.823,0.177,0.6588,0.2,0.2,173
solo,94.0,905.0,639,2022-11-16T18:20:10.000Z,RBReich,0.051,0.817,0.132,0.6361,0.3125,0.3791666666666666,256
solo,14968.0,50975.0,8742,2022-11-16T17:34:29.000Z,RBReich,0.0,0.767,0.233,0.802,0.7,0.6000000000000001,183
solo,1172.0,6596.0,926,2022-11-16T03:06:24.000Z,RBReich,0.101,0.637,0.262,0.7934,0.4666666666666666,0.7000000000000001,180
solo,535.0,2590.0,228,2022-11-16T00:30:38.000Z,RBReich,0.051,0.949,0.0,-0.3182,-0.3,0.5,275
retweeted,2909.0,0.0,0,2022-11-15T23:27:05.000Z,RBReich,0.0,0.865,0.135,0.4215,0.0,0.0,128
solo,1194.0,3825.0,113,2022-11-15T23:11:28.000Z,RBReich,0.07,0.823,0.108,0.296,0.0678571428571428,0.2571428571428571,179
solo,4224.0,9887.0,1472,2022-11-15T21:32:07.000Z,RBReich,0.111,0.63,0.259,0.8312,0.18,0.2799999999999999,268
retweeted,42115.0,0.0,0,2022-11-15T20:40:02.000Z,RBReich,0.104,0.896,0.0,-0.3252,0.0,0.0,132
solo,2909.0,7005.0,627,2022-11-15T19:58:34.000Z,RBReich,0.0,0.936,0.064,0.4215,0.1363636363636363,0.4545454545454545,279
solo,148.0,445.0,44,2022-11-15T19:37:10.000Z,RBReich,0.184,0.713,0.103,-0.6705,0.325,0.5642857142857143,250
solo,1199.0,3737.0,411,2022-11-15T18:59:15.000Z,RBReich,0.306,0.669,0.026,-0.9221,0.125,0.625,250
retweeted,32.0,0.0,0,2022-11-15T18:42:26.000Z,RBReich,0.0,0.758,0.242,0.6249,0.1363636363636363,0.5,100
solo,714.0,1768.0,159,2022-11-15T18:14:00.000Z,RBReich,0.123,0.877,0.0,-0.4215,0.3333333333333333,1.0,155
solo,4973.0,18900.0,5278,2022-11-15T17:18:06.000Z,RBReich,0.0,0.961,0.039,0.1779,-0.1666666666666666,0.1666666666666666,259
solo,1497.0,10281.0,983,2022-11-15T02:34:39.000Z,RBReich,0.492,0.508,0.0,-0.7003,0.0,0.1,57
quoted,356.0,1576.0,109,2022-11-15T00:28:29.000Z,RBReich,0.309,0.57,0.121,-0.6059,0.3,0.375,77
retweeted,7172.0,0.0,0,2022-11-15T00:12:12.000Z,RBReich,0.0,1.0,0.0,0.0,0.1049242424242424,0.4583333333333333,128
solo,41.0,108.0,9,2022-11-15T00:11:12.000Z,RBReich,0.0,0.765,0.235,0.7717,0.1333333333333333,0.2666666666666666,165
solo,9439.0,26423.0,2231,2022-11-14T23:50:32.000Z,RBReich,0.0,1.0,0.0,0.0,-0.075,0.25,204
solo,6389.0,37513.0,7138,2022-11-14T23:05:07.000Z,RBReich,0.404,0.435,0.161,-0.5994,0.0,0.0,61
quoted,1160.0,3465.0,86,2022-11-14T22:29:45.000Z,RBReich,0.161,0.717,0.123,-0.217,-0.06,0.5280952380952381,265
replied_to,169.0,517.0,22,2022-11-14T22:16:30.000Z,RBReich,0.0,1.0,0.0,0.0,0.0,0.0,5
solo,3292.0,12568.0,576,2022-11-14T22:15:39.000Z,RBReich,0.0,0.722,0.278,0.9274,0.6,0.9,280
solo,849.0,2065.0,183,2022-11-14T21:10:00.000Z,RBReich,0.167,0.833,0.0,-0.802,0.0869696969696969,0.5033333333333333,264
retweeted,9918.0,0.0,0,2022-11-14T20:15:59.000Z,RBReich,0.175,0.825,0.0,-0.5574,0.0,0.0,119
retweeted,125.0,0.0,0,2022-11-14T19:59:13.000Z,RBReich,0.0,1.0,0.0,0.0,0.0,1.0,78
solo,1579.0,6910.0,564,2022-11-14T19:57:51.000Z,RBReich,0.0,0.85,0.15,0.7227,0.0666666666666666,0.4666666666666666,265
solo,112.0,502.0,31,2022-11-14T17:30:44.000Z,RBReich,0.155,0.727,0.118,-0.2023,0.0333333333333333,0.4833333333333333,104
retweeted,16641.0,0.0,0,2022-11-14T14:19:42.000Z,RBReich,0.118,0.882,0.0,-0.34,0.08,0.2699999999999999,128
solo,158.0,971.0,114,2022-11-14T12:51:15.000Z,RBReich,0.14,0.86,0.0,-0.5267,0.1666666666666666,0.1999999999999999,167
retweeted,26780.0,0.0,0,2022-11-14T03:51:42.000Z,RBReich,0.169,0.651,0.18,-0.1779,0.0,0.0,126
solo,6447.0,26910.0,2863,2022-11-13T23:08:00.000Z,RBReich,0.054,0.871,0.075,0.2263,0.0,0.2259615384615384,270
solo,1166.0,7757.0,984,2022-11-13T22:20:00.000Z,RBReich,0.0,1.0,0.0,0.0,0.1428571428571428,0.7678571428571428,124
replied_to,5.0,19.0,2,2022-11-13T21:35:08.000Z,RBReich,0.0,0.633,0.367,0.4404,0.3,0.0,34
