type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
replied_to,16.0,1799.0,74,2022-10-13T21:41:45.000Z,Twitter,0.0,0.0,0.0,0.0,0.0,0.0,2
replied_to,15.0,510.0,46,2022-10-13T21:41:17.000Z,Twitter,0.0,0.426,0.574,0.4019,0.0,0.0,15
replied_to,4.0,103.0,20,2022-10-13T21:41:04.000Z,Twitter,0.0,1.0,0.0,0.0,0.0,1.0,14
replied_to,2.0,206.0,15,2022-10-13T21:40:47.000Z,Twitter,0.0,1.0,0.0,0.0,0.0,0.0,14
replied_to,6.0,59.0,8,2022-10-13T21:40:26.000Z,Twitter,0.0,1.0,0.0,0.0,0.0,0.0,5
replied_to,5.0,150.0,5,2022-10-13T21:34:30.000Z,Twitter,0.0,1.0,0.0,0.0,0.5,0.5,29
replied_to,5.0,85.0,5,2022-10-13T21:31:35.000Z,Twitter,0.0,0.0,1.0,0.3182,0.4000000000000001,0.9,7
replied_to,5.0,80.0,8,2022-10-13T21:30:39.000Z,Twitter,0.0,1.0,0.0,0.0,0.2857142857142857,0.5357142857142857,13
solo,1692.0,36448.0,3435,2022-10-13T20:47:08.000Z,Twitter,0.0,1.0,0.0,0.0,0.0,0.0,13
solo,3104.0,18446.0,2333,2022-10-05T18:40:30.000Z,Twitter,0.0,1.0,0.0,0.0,0.4,0.4,106
solo,48862.0,373809.0,21614,2022-09-01T12:40:08.000Z,Twitter,0.0,0.909,0.091,0.2263,0.5,0.5,107
solo,4147.0,51122.0,7492,2022-08-30T19:21:35.000Z,Twitter,0.0,0.746,0.254,0.5267,0.4,0.75,54
solo,2192.0,15906.0,1875,2022-08-30T13:00:24.000Z,Twitter,0.0,0.817,0.183,0.5719,0.0,0.0,132
replied_to,8.0,936.0,91,2022-08-11T17:20:25.000Z,Twitter,0.0,1.0,0.0,0.0,0.0,0.0,8
replied_to,5.0,615.0,32,2022-08-11T17:08:27.000Z,Twitter,0.0,1.0,0.0,0.0,0.9,0.9,11
replied_to,2.0,239.0,26,2022-08-11T17:03:36.000Z,Twitter,0.0,1.0,0.0,0.0,0.0,0.0,6
replied_to,22.0,3513.0,34,2022-08-11T16:53:57.000Z,Twitter,0.0,0.609,0.391,0.5927,0.25,1.0,33
replied_to,31.0,1586.0,26,2022-08-11T16:49:34.000Z,Twitter,0.0,1.0,0.0,0.0,0.2,0.3,5
replied_to,15.0,2792.0,32,2022-08-11T16:39:49.000Z,Twitter,0.0,0.25,0.75,0.4588,0.25,0.75,12
solo,10085.0,139393.0,48272,2022-08-11T16:30:31.000Z,Twitter,0.0,0.625,0.375,0.5574,0.3,0.1,37
replied_to,2.0,244.0,24,2022-08-05T19:05:44.000Z,Twitter,0.0,0.645,0.355,0.296,0.5,0.5,25
replied_to,3.0,101.0,15,2022-08-05T19:05:42.000Z,Twitter,0.0,1.0,0.0,0.0,0.0,0.125,36
replied_to,47.0,499.0,26,2022-08-05T19:05:39.000Z,Twitter,0.0,0.339,0.661,0.4404,0.5,0.8888888888888888,29
solo,15876.0,35173.0,3090,2022-08-05T18:13:46.000Z,Twitter,0.0,1.0,0.0,0.0,-0.1,0.1,43
solo,75674.0,945671.0,73349,2022-07-26T16:28:54.000Z,Twitter,0.0,0.616,0.384,0.6115,0.3066666666666667,0.5333333333333333,61
solo,12346.0,117995.0,15689,2022-06-30T17:52:17.000Z,Twitter,0.474,0.526,0.0,-0.5423,-0.5,1.0,39
retweeted,3770.0,0.0,0,2022-06-30T16:22:48.000Z,Twitter,0.0,0.709,0.291,0.802,0.0,0.0,121
