type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,0.0,3.0,0,2022-11-22T03:15:07.000Z,WSJ,0.0,1.0,0.0,0.0,0.0,1.0,223
solo,6.0,26.0,6,2022-11-22T03:00:22.000Z,WSJ,0.0,0.887,0.113,0.4215,0.3787878787878787,0.6515151515151515,129
solo,16.0,47.0,51,2022-11-22T02:45:02.000Z,WSJ,0.109,0.891,0.0,-0.296,-0.1,0.1,119
solo,13.0,76.0,6,2022-11-22T02:30:12.000Z,WSJ,0.262,0.609,0.129,-0.5719,0.2882575757575757,0.4886363636363636,136
solo,7.0,19.0,6,2022-11-22T02:15:06.000Z,WSJ,0.256,0.641,0.103,-0.6486,-0.7,0.8,143
solo,10.0,23.0,14,2022-11-22T02:00:16.000Z,WSJ,0.199,0.801,0.0,-0.7717,0.0,0.0,171
solo,15.0,91.0,15,2022-11-22T01:45:06.000Z,WSJ,0.0,0.736,0.264,0.886,0.1466666666666666,0.38,189
solo,9.0,32.0,7,2022-11-22T01:30:10.000Z,WSJ,0.132,0.794,0.074,-0.2484,0.1666666666666666,0.6666666666666666,178
solo,7.0,15.0,16,2022-11-22T01:15:11.000Z,WSJ,0.08,0.777,0.144,0.3919,-0.2,0.95,127
solo,8.0,20.0,19,2022-11-22T01:05:04.000Z,WSJ,0.0,1.0,0.0,0.0,0.1931818181818181,0.3939393939393939,107
solo,11.0,78.0,10,2022-11-22T00:55:02.000Z,WSJ,0.0,1.0,0.0,0.0,-0.0333333333333333,0.0333333333333333,149
retweeted,6.0,0.0,0,2022-11-22T00:45:08.000Z,WSJ,0.0,0.863,0.137,0.1779,0.5,0.75,125
solo,11.0,28.0,24,2022-11-22T00:30:11.000Z,WSJ,0.0,0.965,0.035,0.0258,0.0875,0.45,189
solo,28.0,126.0,51,2022-11-22T00:15:07.000Z,WSJ,0.0,0.901,0.099,0.296,0.0333333333333333,0.175,120
solo,3.0,17.0,20,2022-11-22T00:00:16.000Z,WSJ,0.139,0.861,0.0,-0.466,0.325,0.6166666666666667,152
solo,8.0,33.0,16,2022-11-21T23:45:09.000Z,WSJ,0.0,0.915,0.085,0.0772,0.0,0.0,75
solo,17.0,56.0,8,2022-11-21T23:30:01.000Z,WSJ,0.066,0.836,0.098,0.2263,-0.007012987012987,0.4494805194805195,186
solo,10.0,53.0,7,2022-11-21T23:15:03.000Z,WSJ,0.056,0.909,0.034,-0.1779,0.1875,0.25,193
solo,7.0,30.0,32,2022-11-21T23:00:20.000Z,WSJ,0.138,0.862,0.0,-0.34,0.0,1.0,101
solo,12.0,32.0,5,2022-11-21T22:36:57.000Z,WSJ,0.0,1.0,0.0,0.0,-0.5,0.5,119
solo,11.0,28.0,2,2022-11-21T22:30:07.000Z,WSJ,0.0,0.657,0.343,0.8126,0.4333333333333333,0.8333333333333334,137
solo,5.0,24.0,1,2022-11-21T22:15:04.000Z,WSJ,0.0,0.902,0.098,0.3612,-0.6,1.0,164
solo,4.0,19.0,3,2022-11-21T22:00:20.000Z,WSJ,0.069,0.757,0.174,0.4939,0.5,1.0,156
solo,16.0,38.0,7,2022-11-21T21:45:05.000Z,WSJ,0.208,0.792,0.0,-0.743,0.0,0.0,161
solo,11.0,22.0,9,2022-11-21T21:30:11.000Z,WSJ,0.068,0.862,0.071,0.0258,0.1,1.0,181
solo,725.0,4141.0,9792,2022-11-21T21:15:07.000Z,WSJ,0.182,0.617,0.201,0.1531,-0.25,0.65,150
solo,11.0,45.0,17,2022-11-21T21:09:04.000Z,WSJ,0.0,0.928,0.072,0.1779,0.0,0.0,140
solo,14.0,33.0,7,2022-11-21T21:00:27.000Z,WSJ,0.0,0.711,0.289,0.7579,0.0,0.0,119
solo,13.0,30.0,8,2022-11-21T20:45:07.000Z,WSJ,0.0,1.0,0.0,0.0,0.0,0.0,138
solo,37.0,81.0,22,2022-11-21T20:36:25.000Z,WSJ,0.0,0.903,0.097,0.2732,0.375,0.5,190
solo,22.0,52.0,30,2022-11-21T20:30:06.000Z,WSJ,0.09,0.729,0.181,0.3818,0.125,0.1666666666666666,144
solo,12.0,57.0,17,2022-11-21T20:15:12.000Z,WSJ,0.083,0.917,0.0,-0.4404,0.1363636363636363,0.4545454545454545,217
solo,18.0,38.0,20,2022-11-21T20:03:02.000Z,WSJ,0.0,0.894,0.106,0.4939,0.0375,0.5,180
solo,14.0,87.0,13,2022-11-21T19:52:39.000Z,WSJ,0.0,1.0,0.0,0.0,0.1363636363636363,0.5,139
solo,31.0,61.0,29,2022-11-21T19:35:07.000Z,WSJ,0.188,0.751,0.061,-0.4019,-0.6,0.9,130
retweeted,7.0,0.0,0,2022-11-21T19:20:05.000Z,WSJ,0.0,0.719,0.281,0.5106,0.1319444444444444,0.4777777777777778,83
replied_to,7.0,20.0,3,2022-11-21T19:07:27.000Z,WSJ,0.0,1.0,0.0,0.0,0.1363636363636363,0.5,52
replied_to,9.0,47.0,5,2022-11-21T19:03:32.000Z,WSJ,0.0,0.691,0.309,0.7717,1.0,1.0,96
solo,15.0,66.0,12,2022-11-21T19:01:15.000Z,WSJ,0.0,1.0,0.0,0.0,0.0,0.1,68
solo,17.0,45.0,17,2022-11-21T18:50:03.000Z,WSJ,0.275,0.725,0.0,-0.891,0.0,0.0,204
solo,13.0,42.0,11,2022-11-21T18:35:07.000Z,WSJ,0.091,0.909,0.0,-0.6249,0.034090909090909,0.2979166666666666,226
solo,19.0,47.0,34,2022-11-21T18:20:04.000Z,WSJ,0.208,0.58,0.213,0.0516,0.1181818181818181,0.4272727272727272,190
solo,18.0,50.0,16,2022-11-21T18:16:02.000Z,WSJ,0.303,0.697,0.0,-0.875,-0.05,0.1,178
solo,21.0,56.0,28,2022-11-21T18:04:31.000Z,WSJ,0.0,1.0,0.0,0.0,-0.1555555555555555,0.2888888888888889,101
solo,12.0,40.0,10,2022-11-21T18:00:11.000Z,WSJ,0.048,0.952,0.0,-0.0516,-0.075,0.25,142
solo,7.0,34.0,11,2022-11-21T17:45:10.000Z,WSJ,0.132,0.794,0.074,-0.2484,0.1666666666666666,0.6666666666666666,178
solo,21.0,36.0,8,2022-11-21T17:35:03.000Z,WSJ,0.276,0.724,0.0,-0.7832,0.5,0.5,115
solo,13.0,39.0,7,2022-11-21T17:30:10.000Z,WSJ,0.1,0.9,0.0,-0.4939,-0.0119047619047619,0.3595238095238095,240
solo,16.0,29.0,23,2022-11-21T17:15:10.000Z,WSJ,0.199,0.716,0.085,-0.5499,0.55,0.7,131
solo,15.0,42.0,19,2022-11-21T17:09:36.000Z,WSJ,0.065,0.749,0.186,0.5541,-0.3333333333333333,0.4888888888888889,170
solo,15.0,48.0,13,2022-11-21T17:00:14.000Z,WSJ,0.0,1.0,0.0,0.0,0.0,0.0,149
solo,27.0,91.0,37,2022-11-21T16:45:08.000Z,WSJ,0.459,0.541,0.0,-0.8176,-0.15,0.65,72
solo,8.0,29.0,17,2022-11-21T16:30:12.000Z,WSJ,0.139,0.861,0.0,-0.466,0.325,0.6166666666666667,152
solo,15.0,50.0,10,2022-11-21T16:15:00.000Z,WSJ,0.128,0.838,0.034,-0.5583,-0.0333333333333333,0.3944444444444444,216
solo,7.0,22.0,10,2022-11-21T16:00:14.000Z,WSJ,0.0,0.893,0.107,0.34,0.1363636363636363,0.4545454545454545,131
solo,23.0,88.0,53,2022-11-21T15:51:46.000Z,WSJ,0.0,0.901,0.099,0.3182,-0.125,0.375,135
solo,7.0,39.0,3,2022-11-21T15:45:03.000Z,WSJ,0.0,0.889,0.111,0.3612,-0.0125,0.25,123
solo,8.0,73.0,10,2022-11-21T15:37:35.000Z,WSJ,0.058,0.829,0.113,0.296,0.0599999999999999,0.48,222
solo,6.0,32.0,13,2022-11-21T15:30:21.000Z,WSJ,0.075,0.781,0.144,0.296,0.05,0.325,203
solo,12.0,37.0,22,2022-11-21T15:20:04.000Z,WSJ,0.071,0.815,0.114,0.1531,0.0,0.0625,195
solo,12.0,40.0,15,2022-11-21T15:10:05.000Z,WSJ,0.0,0.86,0.14,0.6908,0.125,0.275,255
solo,8.0,22.0,6,2022-11-21T15:00:09.000Z,WSJ,0.0,0.504,0.496,0.7845,0.5,0.6,46
solo,89.0,437.0,14,2022-11-21T14:43:49.000Z,WSJ,0.0,0.922,0.078,0.296,0.05,0.35,162
solo,19.0,64.0,14,2022-11-21T14:30:11.000Z,WSJ,0.0,1.0,0.0,0.0,0.5,0.9,145
solo,34.0,54.0,11,2022-11-21T14:23:21.000Z,WSJ,0.173,0.827,0.0,-0.5859,0.1363636363636363,0.4545454545454545,158
solo,17.0,38.0,32,2022-11-21T14:15:04.000Z,WSJ,0.114,0.886,0.0,-0.4019,0.0,0.0,141
solo,14.0,65.0,15,2022-11-21T14:00:02.000Z,WSJ,0.0,0.871,0.129,0.4588,0.1363636363636363,0.4545454545454545,188
solo,7.0,37.0,12,2022-11-21T13:45:08.000Z,WSJ,0.06,0.783,0.157,0.4939,0.0,0.0,188
solo,21.0,92.0,63,2022-11-21T13:30:13.000Z,WSJ,0.09,0.729,0.181,0.3818,0.125,0.1666666666666666,144
solo,10.0,43.0,26,2022-11-21T13:18:40.000Z,WSJ,0.093,0.802,0.105,0.0772,0.0056818181818181,0.4147727272727273,145
solo,26.0,78.0,19,2022-11-21T13:02:19.000Z,WSJ,0.042,0.873,0.084,0.34,0.0116666666666666,0.3083333333333333,192
solo,16.0,56.0,9,2022-11-21T13:00:05.000Z,WSJ,0.0,0.836,0.164,0.6486,0.0249999999999999,0.525,179
solo,27.0,64.0,8,2022-11-21T12:45:06.000Z,WSJ,0.375,0.625,0.0,-0.8402,-0.25,0.4,107
solo,40.0,123.0,59,2022-11-21T12:31:03.000Z,WSJ,0.125,0.875,0.0,-0.4588,-0.125,0.375,143
solo,15.0,37.0,6,2022-11-21T12:22:05.000Z,WSJ,0.063,0.717,0.22,0.5423,0.0,0.0,120
solo,10.0,29.0,17,2022-11-21T12:18:06.000Z,WSJ,0.037,0.89,0.073,0.34,0.0097222222222222,0.3402777777777777,220
solo,19.0,51.0,20,2022-11-21T11:49:45.000Z,WSJ,0.096,0.816,0.089,0.2023,0.125,0.3666666666666667,171
solo,19.0,67.0,9,2022-11-21T11:21:43.000Z,WSJ,0.0,0.815,0.185,0.6124,-0.0416666666666666,0.2666666666666666,144
solo,13.0,52.0,16,2022-11-21T10:59:22.000Z,WSJ,0.0,1.0,0.0,0.0,0.03125,0.4166666666666666,150
solo,23.0,53.0,9,2022-11-21T10:45:05.000Z,WSJ,0.0,0.914,0.086,0.128,0.0,0.0,104
solo,17.0,69.0,9,2022-11-21T10:30:11.000Z,WSJ,0.0,1.0,0.0,0.0,0.1,0.3,65
solo,5.0,26.0,33,2022-11-21T10:00:21.000Z,WSJ,0.0,0.769,0.231,0.4019,0.0,0.0,59
solo,11.0,44.0,12,2022-11-21T09:30:11.000Z,WSJ,0.158,0.734,0.108,-0.4939,-0.1214285714285714,0.3428571428571428,233
solo,23.0,70.0,14,2022-11-21T09:00:10.000Z,WSJ,0.096,0.735,0.169,0.3182,0.2035714285714285,0.444047619047619,153
solo,5.0,19.0,3,2022-11-21T08:30:10.000Z,WSJ,0.0,0.777,0.223,0.765,0.3222222222222222,0.5194444444444445,145
solo,23.0,113.0,19,2022-11-21T08:00:12.000Z,WSJ,0.0,0.811,0.189,0.4215,0.0,0.0,84
solo,4.0,27.0,1,2022-11-21T07:30:08.000Z,WSJ,0.0,0.909,0.091,0.2263,0.0481481481481481,0.1712962962962963,127
solo,14.0,46.0,3,2022-11-21T07:00:09.000Z,WSJ,0.0,1.0,0.0,0.0,0.0,0.0,156
solo,5.0,17.0,5,2022-11-21T06:30:07.000Z,WSJ,0.0,0.856,0.144,0.6369,0.5,0.2888888888888889,139
solo,6.0,50.0,19,2022-11-21T06:00:07.000Z,WSJ,0.0,0.897,0.103,0.3182,0.2666666666666666,0.5277777777777778,124
solo,31.0,102.0,8,2022-11-21T05:30:08.000Z,WSJ,0.0,1.0,0.0,0.0,0.1,0.3,65
solo,13.0,62.0,2,2022-11-21T05:00:09.000Z,WSJ,0.0,1.0,0.0,0.0,0.0931818181818181,0.5272727272727273,149
solo,12.0,34.0,6,2022-11-21T04:45:01.000Z,WSJ,0.085,0.823,0.092,0.0516,0.09375,0.34375,174
solo,2.0,44.0,23,2022-11-21T04:30:10.000Z,WSJ,0.0,0.667,0.333,0.7902,0.2833333333333333,0.4166666666666667,107
solo,7.0,42.0,8,2022-11-21T04:15:02.000Z,WSJ,0.0,0.86,0.14,0.0772,0.1,0.4,58
solo,8.0,28.0,1,2022-11-21T04:00:03.000Z,WSJ,0.078,0.821,0.101,0.1531,-0.25,0.25,154
solo,16.0,73.0,5,2022-11-21T03:45:07.000Z,WSJ,0.0,0.815,0.185,0.624,0.425,0.5,117
solo,70.0,303.0,33,2022-11-21T03:40:19.000Z,WSJ,0.0,1.0,0.0,0.0,0.0,0.0222222222222222,140
solo,6.0,16.0,3,2022-11-21T03:30:10.000Z,WSJ,0.0,0.876,0.124,0.4019,0.2666666666666666,0.3666666666666667,149
solo,14.0,43.0,10,2022-11-21T03:15:03.000Z,WSJ,0.15,0.778,0.072,-0.4588,0.0,1.0,139
solo,5.0,56.0,12,2022-11-21T03:00:12.000Z,WSJ,0.048,0.667,0.285,0.7737,0.25,1.0,143
solo,11.0,72.0,6,2022-11-21T02:45:05.000Z,WSJ,0.0,0.721,0.279,0.836,0.5777777777777777,0.6777777777777779,168
solo,11.0,75.0,32,2022-11-21T02:30:11.000Z,WSJ,0.0,0.927,0.073,0.3182,0.25,0.75,169
solo,7.0,57.0,12,2022-11-21T02:15:02.000Z,WSJ,0.075,0.613,0.312,0.836,0.8,0.75,186
solo,14.0,58.0,15,2022-11-21T02:00:14.000Z,WSJ,0.096,0.717,0.188,0.4019,0.0416666666666666,0.2833333333333333,161
solo,7.0,34.0,7,2022-11-21T02:00:01.000Z,WSJ,0.0,0.839,0.161,0.5927,0.1672727272727273,0.2309090909090909,140
solo,4.0,38.0,8,2022-11-21T01:45:05.000Z,WSJ,0.0,1.0,0.0,0.0,0.0,0.0,149
solo,14.0,96.0,26,2022-11-21T01:30:04.000Z,WSJ,0.096,0.814,0.09,-0.0377,-0.35,0.55,140
solo,4.0,25.0,12,2022-11-21T01:15:07.000Z,WSJ,0.0,0.856,0.144,0.6369,0.5,0.2888888888888889,138
solo,5.0,19.0,7,2022-11-21T01:00:08.000Z,WSJ,0.094,0.812,0.094,0.0,0.0181818181818181,0.4272727272727272,136
solo,11.0,79.0,4,2022-11-21T00:45:06.000Z,WSJ,0.0,0.88,0.12,0.5267,-0.5,0.5,170
solo,3.0,17.0,7,2022-11-21T00:30:05.000Z,WSJ,0.08,0.777,0.144,0.3919,-0.2,0.95,126
retweeted,3.0,0.0,0,2022-11-21T00:15:05.000Z,WSJ,0.0,0.537,0.463,0.8176,0.1875,0.4375,112
