type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
replied_to,7.0,82.0,7,2022-11-22T00:10:22.000Z,YouTube,0.0,1.0,0.0,0.0,0.0,0.0,39
replied_to,7.0,55.0,4,2022-11-22T00:10:13.000Z,YouTube,0.0,1.0,0.0,0.0,0.0,0.0,39
replied_to,2.0,40.0,2,2022-11-22T00:10:05.000Z,YouTube,0.0,1.0,0.0,0.0,0.0,0.0,39
replied_to,2.0,32.0,0,2022-11-22T00:09:58.000Z,YouTube,0.0,1.0,0.0,0.0,0.1,0.4,67
replied_to,3.0,29.0,1,2022-11-22T00:09:51.000Z,YouTube,0.0,0.762,0.238,0.3612,0.3,0.1,49
replied_to,2.0,32.0,0,2022-11-22T00:09:42.000Z,YouTube,0.127,0.873,0.0,-0.2225,0.0,0.0,73
replied_to,2.0,32.0,1,2022-11-22T00:09:33.000Z,YouTube,0.0,1.0,0.0,0.0,0.0,0.0,29
replied_to,9.0,102.0,5,2022-11-22T00:09:23.000Z,YouTube,0.0,0.69,0.31,0.4019,0.0,0.0,35
solo,104.0,1255.0,117,2022-11-22T00:00:00.000Z,YouTube,0.0,1.0,0.0,0.0,0.0,0.0,30
replied_to,38.0,414.0,7,2022-11-21T23:15:02.000Z,YouTube,0.0,0.614,0.386,0.762,0.25,0.2,95
replied_to,0.0,1.0,0,2022-11-21T23:04:22.000Z,YouTube,0.1,0.566,0.334,0.7162,0.9375,0.9,90
replied_to,0.0,1.0,1,2022-11-21T22:56:46.000Z,YouTube,0.0,0.693,0.307,0.6114,0.6,0.95,55
replied_to,0.0,2.0,1,2022-11-21T22:47:03.000Z,YouTube,0.0,0.771,0.229,0.5954,0.2666666666666666,0.4833333333333333,75
replied_to,6.0,12.0,1,2022-11-21T22:40:09.000Z,YouTube,0.0,0.603,0.397,0.8716,0.46875,0.625,118
replied_to,1.0,7.0,3,2022-11-21T22:33:00.000Z,YouTube,0.0,0.849,0.151,0.4926,0.3083333333333333,0.6666666666666666,100
replied_to,0.0,2.0,0,2022-11-21T22:32:04.000Z,YouTube,0.0,0.628,0.372,0.8715,0.375,0.6125,94
replied_to,0.0,0.0,1,2022-11-21T22:30:34.000Z,YouTube,0.0,1.0,0.0,0.0,0.0681818181818181,0.2772727272727273,75
replied_to,1.0,4.0,2,2022-11-21T22:25:59.000Z,YouTube,0.0,0.775,0.225,0.4926,0.5208333333333334,0.3833333333333333,69
solo,67.0,967.0,243,2022-11-21T22:00:00.000Z,YouTube,0.0,1.0,0.0,0.0,1.0,0.3,46
replied_to,5.0,142.0,4,2022-11-21T21:50:12.000Z,YouTube,0.0,1.0,0.0,0.0,-0.4,0.4,68
replied_to,0.0,6.0,3,2022-11-21T21:30:11.000Z,YouTube,0.0,1.0,0.0,0.0,0.1,1.0,26
replied_to,0.0,0.0,5,2022-11-21T21:13:11.000Z,YouTube,0.0,1.0,0.0,0.0,-0.6,1.0,15
replied_to,3.0,41.0,14,2022-11-21T21:12:49.000Z,YouTube,0.0,0.0,0.0,0.0,0.0,0.0,2
replied_to,34.0,352.0,36,2022-11-21T20:49:51.000Z,YouTube,0.0,1.0,0.0,0.0,0.0,0.0,50
replied_to,1.0,2.0,3,2022-11-21T20:47:43.000Z,YouTube,0.0,0.597,0.403,0.8684,0.4875,0.575,114
solo,51.0,576.0,52,2022-11-21T20:42:51.000Z,YouTube,0.0,1.0,0.0,0.0,0.0,0.0,61
