type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,2.0,2.0,0,2022-11-22T03:17:24.000Z,business,0.0,0.957,0.043,0.1572,0.2666666666666666,0.525,216
solo,7.0,4.0,1,2022-11-22T03:08:50.000Z,business,0.0,0.804,0.196,0.6808,0.35,0.8,157
solo,8.0,8.0,2,2022-11-22T03:07:04.000Z,business,0.135,0.809,0.057,-0.4404,0.1999999999999999,0.7,185
solo,5.0,5.0,4,2022-11-22T03:06:06.000Z,business,0.0,0.838,0.162,0.4404,0.6,0.8,117
solo,8.0,7.0,1,2022-11-22T03:05:05.000Z,business,0.108,0.683,0.209,0.3612,0.1166666666666666,0.8333333333333334,131
solo,8.0,20.0,3,2022-11-22T03:02:06.000Z,business,0.104,0.896,0.0,-0.296,0.0,0.1,119
solo,17.0,49.0,1,2022-11-22T03:01:05.000Z,business,0.0,1.0,0.0,0.0,0.25,0.3333333333333333,86
solo,6.0,15.0,3,2022-11-22T02:56:06.000Z,business,0.0,0.819,0.181,0.4754,0.55,0.7,97
solo,13.0,23.0,3,2022-11-22T02:50:03.000Z,business,0.049,0.832,0.119,0.5023,0.2340909090909091,0.3386363636363636,167
solo,8.0,17.0,1,2022-11-22T02:43:06.000Z,business,0.0,0.804,0.196,0.6808,0.35,0.8,157
solo,7.0,7.0,1,2022-11-22T02:43:06.000Z,business,0.228,0.772,0.0,-0.5574,0.0,0.0,155
solo,5.0,10.0,2,2022-11-22T02:43:06.000Z,business,0.0,1.0,0.0,0.0,0.0,0.0,123
solo,13.0,15.0,5,2022-11-22T02:27:01.000Z,business,0.182,0.818,0.0,-0.4782,0.184090909090909,0.5386363636363636,91
solo,10.0,11.0,3,2022-11-22T02:26:06.000Z,business,0.223,0.777,0.0,-0.5574,0.0,0.0,115
solo,33.0,54.0,41,2022-11-22T02:25:06.000Z,business,0.0,1.0,0.0,0.0,0.03125,0.25,133
solo,17.0,19.0,7,2022-11-22T02:21:05.000Z,business,0.0,1.0,0.0,0.0,0.5,0.5,111
solo,32.0,32.0,11,2022-11-22T02:19:02.000Z,business,0.07,0.88,0.049,-0.1531,-0.086060606060606,0.3042424242424242,160
solo,15.0,21.0,4,2022-11-22T02:18:02.000Z,business,0.235,0.703,0.062,-0.7506,-0.0666666666666666,0.6,185
solo,16.0,29.0,35,2022-11-22T02:17:08.000Z,business,0.0,1.0,0.0,0.0,0.0,0.0,23
solo,10.0,22.0,9,2022-11-22T02:15:08.000Z,business,0.0,1.0,0.0,0.0,0.5,0.5,73
solo,15.0,28.0,7,2022-11-22T02:06:04.000Z,business,0.0,0.765,0.235,0.7906,0.1363636363636363,0.5,192
solo,9.0,12.0,4,2022-11-22T01:56:39.000Z,business,0.0,0.931,0.069,0.3034,-0.0333333333333333,0.3666666666666667,191
solo,11.0,10.0,3,2022-11-22T01:49:04.000Z,business,0.0,0.901,0.099,0.5106,0.0888888888888888,0.3,180
solo,7.0,9.0,4,2022-11-22T01:40:05.000Z,business,0.0,1.0,0.0,0.0,-0.1,0.3875,144
solo,9.0,16.0,3,2022-11-22T01:40:04.000Z,business,0.0,0.822,0.178,0.3818,0.0,0.0,92
solo,19.0,24.0,1,2022-11-22T01:38:07.000Z,business,0.158,0.842,0.0,-0.5859,-0.0818181818181818,0.3272727272727272,183
solo,24.0,33.0,12,2022-11-22T01:37:06.000Z,business,0.075,0.859,0.066,-0.0772,-0.01875,0.2916666666666667,224
solo,8.0,27.0,0,2022-11-22T01:11:02.000Z,business,0.099,0.83,0.071,-0.1779,0.0,0.0,175
solo,13.0,18.0,0,2022-11-22T01:11:01.000Z,business,0.144,0.856,0.0,-0.4019,0.0,0.5,123
solo,10.0,18.0,10,2022-11-22T01:08:28.000Z,business,0.157,0.741,0.102,-0.4215,0.0681818181818181,0.2772727272727273,149
solo,6.0,17.0,4,2022-11-22T00:55:02.000Z,business,0.145,0.855,0.0,-0.296,0.0,0.0,72
solo,5.0,13.0,0,2022-11-22T00:49:05.000Z,business,0.0,0.887,0.113,0.3182,0.1454545454545454,0.3515151515151515,117
solo,9.0,19.0,3,2022-11-22T00:40:07.000Z,business,0.092,0.813,0.095,0.0258,0.1287878787878787,0.2626262626262626,155
solo,6.0,16.0,2,2022-11-22T00:40:07.000Z,business,0.198,0.802,0.0,-0.4939,0.5,0.9,91
solo,6.0,18.0,1,2022-11-22T00:39:54.000Z,business,0.085,0.915,0.0,-0.34,0.5,0.5,171
solo,14.0,27.0,0,2022-11-22T00:20:01.000Z,business,0.094,0.82,0.086,-0.0516,0.0,0.2666666666666666,157
solo,14.0,20.0,0,2022-11-22T00:19:02.000Z,business,0.0,0.897,0.103,0.3182,0.4583333333333333,0.5879629629629629,131
solo,10.0,16.0,4,2022-11-22T00:18:06.000Z,business,0.192,0.808,0.0,-0.4754,0.5,0.5,91
solo,10.0,35.0,11,2022-11-22T00:12:02.000Z,business,0.0,0.935,0.065,0.2023,0.1363636363636363,0.5,165
solo,7.0,23.0,7,2022-11-22T00:12:01.000Z,business,0.0,1.0,0.0,0.0,0.5,0.5,70
solo,29.0,155.0,99,2022-11-22T00:11:06.000Z,business,0.139,0.793,0.068,-0.4497,0.0499999999999999,0.6,122
solo,9.0,39.0,8,2022-11-22T00:00:34.000Z,business,0.0,0.864,0.136,0.296,0.0,0.0,103
solo,6.0,17.0,4,2022-11-22T00:00:07.000Z,business,0.0,0.73,0.27,0.5859,0.0,0.0666666666666666,98
solo,6.0,22.0,3,2022-11-21T23:41:48.000Z,business,0.0,0.884,0.116,0.2732,0.0,0.0,105
solo,65.0,112.0,12,2022-11-21T23:40:37.000Z,business,0.075,0.859,0.066,-0.0772,-0.01875,0.2916666666666667,225
solo,13.0,21.0,1,2022-11-21T23:34:03.000Z,business,0.0,0.778,0.222,0.25,0.1363636363636363,0.4545454545454545,45
solo,10.0,22.0,1,2022-11-21T23:34:03.000Z,business,0.081,0.735,0.184,0.4215,0.1,0.25,159
solo,20.0,32.0,2,2022-11-21T23:33:02.000Z,business,0.091,0.909,0.0,-0.4391,0.24375,0.41875,192
solo,32.0,88.0,15,2022-11-21T23:32:11.000Z,business,0.0,0.905,0.095,0.296,0.1363636363636363,0.4545454545454545,147
retweeted,12.0,0.0,0,2022-11-21T23:24:26.000Z,business,0.0,0.794,0.206,0.5994,1.0,1.0,108
solo,14.0,49.0,16,2022-11-21T23:19:43.000Z,business,0.065,0.904,0.031,-0.296,0.2418831168831169,0.4610389610389609,230
solo,9.0,34.0,4,2022-11-21T23:18:15.000Z,business,0.0,0.808,0.192,0.6124,0.275,0.3625,146
solo,9.0,17.0,3,2022-11-21T22:55:06.000Z,business,0.0,0.826,0.174,0.2732,0.0,0.0,73
solo,9.0,22.0,0,2022-11-21T22:50:10.000Z,business,0.0,1.0,0.0,0.0,0.0,1.0,165
solo,19.0,32.0,10,2022-11-21T22:46:07.000Z,business,0.162,0.838,0.0,-0.5859,-0.0818181818181818,0.3272727272727272,178
solo,85.0,207.0,51,2022-11-21T22:41:23.000Z,business,0.216,0.694,0.09,-0.4767,0.0,0.0,108
solo,3.0,6.0,2,2022-11-21T22:40:00.000Z,business,0.069,0.841,0.09,-0.0772,0.1,0.3,191
solo,10.0,15.0,4,2022-11-21T22:37:04.000Z,business,0.0,1.0,0.0,0.0,0.0,1.0,87
solo,12.0,22.0,2,2022-11-21T22:35:05.000Z,business,0.0,0.851,0.149,0.4215,0.5,0.5,102
solo,7.0,16.0,4,2022-11-21T22:34:20.000Z,business,0.0,1.0,0.0,0.0,-0.0999999999999999,0.3,97
solo,14.0,45.0,4,2022-11-21T22:29:04.000Z,business,0.187,0.813,0.0,-0.3182,-0.3,0.1,65
solo,6.0,12.0,0,2022-11-21T22:29:00.000Z,business,0.163,0.837,0.0,-0.7783,-0.0545454545454545,0.2515151515151515,233
solo,3.0,12.0,2,2022-11-21T22:25:06.000Z,business,0.0,0.744,0.256,0.6705,0.5681818181818181,0.3772727272727272,78
solo,4.0,13.0,0,2022-11-21T22:25:06.000Z,business,0.492,0.508,0.0,-0.8271,0.55,0.95,97
solo,12.0,33.0,9,2022-11-21T22:23:01.000Z,business,0.182,0.818,0.0,-0.5994,-0.0518518518518518,0.1796296296296296,152
solo,21.0,46.0,5,2022-11-21T22:19:49.000Z,business,0.162,0.762,0.076,-0.3818,0.109090909090909,0.4386363636363636,143
retweeted,49.0,0.0,0,2022-11-21T22:19:49.000Z,business,0.18,0.735,0.085,-0.3818,-0.0212121212121212,0.4181818181818181,125
solo,12.0,37.0,5,2022-11-21T22:18:05.000Z,business,0.0,0.933,0.067,0.0772,0.0,0.0,94
solo,89.0,167.0,16,2022-11-21T22:17:04.000Z,business,0.084,0.804,0.112,0.2023,-0.1,0.1,168
retweeted,51.0,0.0,0,2022-11-21T22:14:51.000Z,business,0.0,1.0,0.0,0.0,0.0,0.0,123
solo,48.0,58.0,9,2022-11-21T22:11:04.000Z,business,0.174,0.745,0.082,-0.3818,-0.0212121212121212,0.4181818181818181,130
solo,8.0,24.0,3,2022-11-21T22:07:06.000Z,business,0.058,0.814,0.128,0.4215,0.1541666666666666,0.7416666666666667,167
solo,12.0,34.0,12,2022-11-21T21:53:07.000Z,business,0.086,0.823,0.091,0.0258,0.05,0.65,145
solo,17.0,68.0,19,2022-11-21T21:52:57.000Z,business,0.076,0.924,0.0,-0.1027,0.1363636363636363,0.4545454545454545,104
solo,10.0,19.0,4,2022-11-21T21:51:04.000Z,business,0.0,1.0,0.0,0.0,0.0056818181818181,0.4147727272727273,104
retweeted,17.0,0.0,0,2022-11-21T21:50:15.000Z,business,0.0,0.717,0.283,0.6289,0.1999999999999999,0.3,105
solo,6.0,17.0,7,2022-11-21T21:41:07.000Z,business,0.207,0.793,0.0,-0.8074,0.25,0.5,182
solo,9.0,14.0,1,2022-11-21T21:40:42.000Z,business,0.0,0.937,0.063,0.09,0.0,0.1,139
solo,76.0,54.0,4,2022-11-21T21:40:05.000Z,business,0.084,0.916,0.0,-0.2732,-0.1666666666666666,0.4333333333333333,147
solo,13.0,28.0,16,2022-11-21T21:36:06.000Z,business,0.14,0.766,0.095,-0.25,0.0499999999999999,0.55,111
solo,7.0,31.0,3,2022-11-21T21:35:13.000Z,business,0.072,0.861,0.067,-0.0516,0.0,0.0,212
solo,18.0,32.0,26,2022-11-21T21:34:02.000Z,business,0.0,0.791,0.209,0.4404,0.3,0.3,79
solo,20.0,23.0,4,2022-11-21T21:34:02.000Z,business,0.274,0.726,0.0,-0.8271,0.0,0.0,164
solo,13.0,23.0,4,2022-11-21T21:32:02.000Z,business,0.091,0.909,0.0,-0.2732,0.0431818181818181,0.4272727272727272,149
solo,15.0,21.0,1,2022-11-21T21:24:02.000Z,business,0.0,1.0,0.0,0.0,0.0,0.0,147
solo,18.0,28.0,5,2022-11-21T21:23:06.000Z,business,0.0,0.811,0.189,0.6369,0.3787878787878787,0.2737373737373737,128
solo,11.0,37.0,3,2022-11-21T21:23:00.000Z,business,0.0,1.0,0.0,0.0,0.0,0.6,106
solo,7.0,17.0,3,2022-11-21T21:10:05.000Z,business,0.237,0.763,0.0,-0.5563,0.0977272727272727,0.4035353535353536,144
solo,11.0,13.0,5,2022-11-21T21:06:24.000Z,business,0.14,0.86,0.0,-0.5267,0.0666666666666666,0.4666666666666667,167
solo,15.0,26.0,10,2022-11-21T21:05:53.000Z,business,0.075,0.925,0.0,-0.296,0.1363636363636363,0.4545454545454545,151
solo,6.0,10.0,3,2022-11-21T21:05:10.000Z,business,0.108,0.683,0.209,0.3612,0.1166666666666666,0.8333333333333334,131
solo,11.0,12.0,4,2022-11-21T21:04:34.000Z,business,0.0,0.841,0.159,0.6249,0.0,0.3375,169
solo,9.0,6.0,1,2022-11-21T20:59:06.000Z,business,0.0,0.915,0.085,0.3612,-0.1,0.4,189
retweeted,9.0,0.0,0,2022-11-21T20:55:31.000Z,business,0.096,0.792,0.113,0.1027,0.5,0.5,128
solo,11.0,19.0,1,2022-11-21T20:54:41.000Z,business,0.104,0.896,0.0,-0.296,0.0,0.1,119
solo,7.0,11.0,2,2022-11-21T20:52:03.000Z,business,0.223,0.777,0.0,-0.5574,-0.4,0.7,110
solo,9.0,7.0,2,2022-11-21T20:50:08.000Z,business,0.157,0.843,0.0,-0.5994,0.25,0.3,144
solo,9.0,15.0,0,2022-11-21T20:45:04.000Z,business,0.0,0.868,0.132,0.4404,0.0166666666666666,0.5,123
solo,20.0,24.0,3,2022-11-21T20:44:03.000Z,business,0.0,0.784,0.216,0.6705,-0.3,0.3,142
