type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,4480.0,13403.0,677,2022-11-22T00:26:17.000Z,charliekirk11,0.0,0.843,0.157,0.7544,0.2926587301587302,0.3571428571428571,271
replied_to,61.0,296.0,13,2022-11-21T19:21:24.000Z,charliekirk11,0.0,1.0,0.0,0.0,0.0,0.0,77
replied_to,114.0,839.0,27,2022-11-21T19:21:23.000Z,charliekirk11,0.097,0.672,0.231,0.6964,0.0555555555555555,0.3888888888888888,278
replied_to,59.0,393.0,13,2022-11-21T19:21:23.000Z,charliekirk11,0.0,0.857,0.143,0.4576,0.2083333333333333,0.5166666666666666,128
replied_to,47.0,319.0,5,2022-11-21T19:21:21.000Z,charliekirk11,0.069,0.858,0.074,0.0516,0.0,0.0,220
replied_to,54.0,393.0,3,2022-11-21T19:21:20.000Z,charliekirk11,0.04,0.96,0.0,-0.1901,-0.125,0.48125,249
solo,699.0,3935.0,142,2022-11-21T19:21:20.000Z,charliekirk11,0.0,1.0,0.0,0.0,0.0365079365079365,0.2837301587301588,260
solo,3052.0,9016.0,593,2022-11-21T17:58:42.000Z,charliekirk11,0.0,0.925,0.075,0.5267,-0.3125,0.4375,267
solo,195.0,1039.0,36,2022-11-21T17:44:53.000Z,charliekirk11,0.156,0.609,0.235,0.202,0.4333333333333333,0.4666666666666666,96
solo,244.0,1637.0,34,2022-11-21T17:15:52.000Z,charliekirk11,0.0,0.659,0.341,0.69,0.2666666666666666,0.3,75
replied_to,456.0,1156.0,44,2022-11-21T15:16:16.000Z,charliekirk11,0.0,0.0,0.0,0.0,0.0,0.0,0
solo,4862.0,11794.0,328,2022-11-21T15:16:02.000Z,charliekirk11,0.0,0.964,0.036,0.128,-0.0212121212121212,0.4515151515151515,261
solo,1733.0,11119.0,215,2022-11-21T15:02:34.000Z,charliekirk11,0.115,0.885,0.0,-0.3818,0.6,1.0,116
solo,7549.0,27135.0,1664,2022-11-21T00:13:56.000Z,charliekirk11,0.052,0.841,0.107,0.3736,0.15,0.65,276
solo,5765.0,17126.0,1086,2022-11-20T22:54:53.000Z,charliekirk11,0.176,0.71,0.114,-0.5106,-0.0476190476190476,0.3571428571428571,258
solo,10045.0,35826.0,1464,2022-11-20T22:35:08.000Z,charliekirk11,0.0,1.0,0.0,0.0,-0.0222222222222222,0.4555555555555555,277
replied_to,557.0,2985.0,62,2022-11-20T22:04:27.000Z,charliekirk11,0.0,0.0,0.0,0.0,0.0,0.0,0
solo,7865.0,49414.0,949,2022-11-20T21:58:31.000Z,charliekirk11,0.0,1.0,0.0,0.0,0.0,0.0,42
solo,8284.0,52195.0,1293,2022-11-20T20:25:08.000Z,charliekirk11,0.0,0.854,0.146,0.5542,0.35,0.4666666666666667,110
solo,2977.0,14113.0,796,2022-11-20T07:48:20.000Z,charliekirk11,0.0,0.0,0.0,0.0,0.0,0.0,2
solo,1115.0,8461.0,238,2022-11-20T02:12:56.000Z,charliekirk11,0.0,1.0,0.0,0.0,0.0,0.0,22
replied_to,761.0,3680.0,96,2022-11-20T01:37:46.000Z,charliekirk11,0.0,0.947,0.053,0.3182,0.0,0.3333333333333333,278
replied_to,1416.0,5440.0,81,2022-11-20T01:37:46.000Z,charliekirk11,0.083,0.882,0.035,-0.4404,-0.5,0.3,277
replied_to,567.0,2936.0,20,2022-11-20T01:37:45.000Z,charliekirk11,0.0,1.0,0.0,0.0,0.0,0.0,273
replied_to,360.0,2037.0,12,2022-11-20T01:37:45.000Z,charliekirk11,0.062,0.938,0.0,-0.4019,0.4,0.8,269
replied_to,532.0,2639.0,25,2022-11-20T01:37:45.000Z,charliekirk11,0.065,0.887,0.048,-0.1779,0.1333333333333333,0.35,260
replied_to,937.0,4385.0,85,2022-11-20T01:21:03.000Z,charliekirk11,0.138,0.862,0.0,-0.6977,0.5,0.6416666666666666,255
replied_to,680.0,3659.0,28,2022-11-20T01:21:03.000Z,charliekirk11,0.105,0.895,0.0,-0.4019,0.05,0.35,169
replied_to,768.0,3852.0,18,2022-11-20T01:21:02.000Z,charliekirk11,0.098,0.805,0.098,0.0,0.0,1.0,224
replied_to,920.0,4678.0,37,2022-11-20T01:21:02.000Z,charliekirk11,0.081,0.919,0.0,-0.2144,0.1071428571428571,0.25,172
solo,9738.0,32322.0,923,2022-11-20T01:18:17.000Z,charliekirk11,0.054,0.873,0.073,0.1779,0.0333333333333333,0.4666666666666666,238
solo,3122.0,30783.0,812,2022-11-20T00:57:42.000Z,charliekirk11,0.0,1.0,0.0,0.0,0.0,0.0,68
solo,802.0,5400.0,227,2022-11-20T00:52:53.000Z,charliekirk11,0.0,0.773,0.227,0.6124,0.0999999999999999,0.0666666666666666,122
retweeted,53.0,0.0,0,2022-11-19T01:39:49.000Z,charliekirk11,0.0,1.0,0.0,0.0,0.0,0.0,60
retweeted,78.0,0.0,0,2022-11-19T01:04:52.000Z,charliekirk11,0.0,1.0,0.0,0.0,0.0,0.0,105
solo,869.0,1686.0,153,2022-11-19T00:16:21.000Z,charliekirk11,0.056,0.769,0.174,0.5106,0.0,0.0,120
retweeted,5824.0,0.0,0,2022-11-18T22:11:03.000Z,charliekirk11,0.0,1.0,0.0,0.0,0.0,0.0,76
replied_to,144.0,579.0,83,2022-11-18T21:04:13.000Z,charliekirk11,0.0,0.0,0.0,0.0,0.0,0.0,0
solo,7663.0,25512.0,1413,2022-11-18T19:47:49.000Z,charliekirk11,0.0,0.911,0.089,0.2144,-0.0892857142857142,0.5654761904761905,141
