type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
retweeted,102.0,0.0,0,2022-11-22T01:50:50.000Z,chrislhayes,0.121,0.879,0.0,-0.296,0.0,0.45,108
quoted,4.0,170.0,25,2022-11-22T01:41:10.000Z,chrislhayes,0.0,1.0,0.0,0.0,0.0,0.0,23
retweeted,86.0,0.0,0,2022-11-22T01:28:16.000Z,chrislhayes,0.0,0.753,0.247,0.7096,-0.125,0.375,112
retweeted,20.0,0.0,0,2022-11-22T01:20:03.000Z,chrislhayes,0.0,0.667,0.333,0.6705,0.0125,0.5708333333333333,62
retweeted,770.0,0.0,0,2022-11-22T00:33:30.000Z,chrislhayes,0.0,0.837,0.163,0.5719,0.05,0.5,129
retweeted,1377.0,0.0,0,2022-11-22T00:09:37.000Z,chrislhayes,0.0,0.829,0.171,0.5719,0.0,0.0,126
retweeted,158.0,0.0,0,2022-11-21T23:44:28.000Z,chrislhayes,0.0,0.84,0.16,0.5859,0.2666666666666666,0.3,128
retweeted,4446.0,0.0,0,2022-11-21T21:47:57.000Z,chrislhayes,0.083,0.917,0.0,-0.2263,-0.0851851851851852,0.1199074074074074,123
quoted,321.0,2334.0,196,2022-11-21T21:47:00.000Z,chrislhayes,0.0,0.58,0.42,0.4404,0.0,0.0,31
replied_to,0.0,18.0,1,2022-11-21T17:25:54.000Z,chrislhayes,0.393,0.37,0.237,0.3018,-0.3333333333333333,0.75,55
retweeted,235.0,0.0,0,2022-11-21T17:18:35.000Z,chrislhayes,0.251,0.576,0.173,-0.3182,-0.6,1.0,124
retweeted,23.0,0.0,0,2022-11-21T17:16:58.000Z,chrislhayes,0.0,0.0,0.0,0.0,0.0,0.0,1
quoted,33.0,257.0,25,2022-11-21T17:16:08.000Z,chrislhayes,0.0,1.0,0.0,0.0,-0.4,0.6,42
retweeted,109.0,0.0,0,2022-11-21T17:15:05.000Z,chrislhayes,0.419,0.581,0.0,-0.5574,-0.2,0.8,43
retweeted,37.0,0.0,0,2022-11-21T17:14:01.000Z,chrislhayes,0.0,1.0,0.0,0.0,0.0,0.0,125
retweeted,141.0,0.0,0,2022-11-21T03:11:12.000Z,chrislhayes,0.0,1.0,0.0,0.0,-0.3333333333333333,1.0,109
replied_to,11.0,255.0,39,2022-11-21T01:36:32.000Z,chrislhayes,0.0,1.0,0.0,0.0,-0.0625,0.5625,102
replied_to,11.0,553.0,95,2022-11-21T01:35:59.000Z,chrislhayes,0.0,0.0,1.0,0.7845,0.0,0.5,21
replied_to,297.0,4523.0,237,2022-11-21T01:32:15.000Z,chrislhayes,0.0,1.0,0.0,0.0,0.0,0.0,57
solo,5422.0,36394.0,5329,2022-11-21T01:32:02.000Z,chrislhayes,0.0,0.815,0.185,0.6534,0.2666666666666666,0.2833333333333333,207
retweeted,3269.0,0.0,0,2022-11-21T01:28:24.000Z,chrislhayes,0.193,0.807,0.0,-0.6486,-0.0666666666666666,0.1333333333333333,109
retweeted,173.0,0.0,0,2022-11-21T00:00:20.000Z,chrislhayes,0.083,0.739,0.178,0.4678,0.45,0.8500000000000001,124
