type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,0.0,33.0,10,2022-11-22T02:44:42.000Z,mattyglesias,0.135,0.8,0.065,-0.3166,0.1922222222222222,0.6822222222222223,179
replied_to,0.0,0.0,0,2022-11-22T01:53:00.000Z,mattyglesias,0.0,0.476,0.524,0.296,0.0,0.0,15
solo,6.0,124.0,16,2022-11-22T01:38:35.000Z,mattyglesias,0.0,0.905,0.095,0.2263,0.0722222222222222,0.1944444444444444,94
retweeted,18.0,0.0,0,2022-11-22T01:27:09.000Z,mattyglesias,0.162,0.637,0.201,0.2023,0.4681818181818182,0.6022727272727273,102
solo,5.0,80.0,19,2022-11-22T01:17:41.000Z,mattyglesias,0.205,0.795,0.0,-0.5994,-0.48125,0.725,128
retweeted,10.0,0.0,0,2022-11-22T00:21:59.000Z,mattyglesias,0.0,0.886,0.114,0.2942,0.175,0.825,123
solo,3.0,56.0,6,2022-11-21T23:50:48.000Z,mattyglesias,0.0,0.824,0.176,0.4588,0.0,0.0,105
retweeted,4.0,0.0,0,2022-11-21T23:30:03.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.0,121
retweeted,3.0,0.0,0,2022-11-21T22:32:28.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.5,69
solo,80.0,1266.0,28,2022-11-21T22:04:31.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.0,7
quoted,13.0,145.0,6,2022-11-21T22:00:41.000Z,mattyglesias,0.268,0.637,0.094,-0.8608,-0.3666666666666666,0.5638888888888888,168
retweeted,1.0,0.0,0,2022-11-21T21:46:44.000Z,mattyglesias,0.0,0.629,0.371,0.7096,-0.05,0.4,58
replied_to,0.0,9.0,0,2022-11-21T21:40:45.000Z,mattyglesias,0.0,0.345,0.655,0.765,0.7,0.6000000000000001,39
quoted,10.0,93.0,2,2022-11-21T21:39:19.000Z,mattyglesias,0.0,0.296,0.704,0.8591,0.6999999999999998,0.6666666666666666,56
replied_to,0.0,5.0,1,2022-11-21T21:34:03.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.0,14
solo,6.0,388.0,79,2022-11-21T20:59:37.000Z,mattyglesias,0.124,0.876,0.0,-0.1779,-0.25,0.5,80
quoted,0.0,29.0,4,2022-11-21T20:44:20.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.0,35
quoted,13.0,71.0,3,2022-11-21T20:40:26.000Z,mattyglesias,0.0,0.625,0.375,0.6369,0.5,0.6,74
retweeted,6.0,0.0,0,2022-11-21T20:35:43.000Z,mattyglesias,0.274,0.726,0.0,-0.7783,0.0,0.1,129
replied_to,6.0,218.0,15,2022-11-21T20:32:35.000Z,mattyglesias,0.28,0.72,0.0,-0.5423,-0.4,0.6,50
retweeted,42.0,0.0,0,2022-11-21T20:23:13.000Z,mattyglesias,0.097,0.704,0.199,0.3544,0.3261904761904762,0.6178571428571429,112
solo,0.0,85.0,10,2022-11-21T20:19:42.000Z,mattyglesias,0.214,0.786,0.0,-0.7096,-0.2,0.8,111
solo,21.0,410.0,28,2022-11-21T20:17:45.000Z,mattyglesias,0.0,0.865,0.135,0.3612,0.0,0.0,107
quoted,3.0,72.0,2,2022-11-21T20:08:20.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.0,11
retweeted,11.0,0.0,0,2022-11-21T19:52:00.000Z,mattyglesias,0.0,0.847,0.153,0.4019,0.25,0.25,121
retweeted,5.0,0.0,0,2022-11-21T19:50:45.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.0,19
replied_to,3.0,87.0,4,2022-11-21T19:49:53.000Z,mattyglesias,0.119,0.613,0.268,0.5211,0.1071428571428571,0.5071428571428572,151
quoted,32.0,421.0,18,2022-11-21T19:47:00.000Z,mattyglesias,0.292,0.708,0.0,-0.8957,-0.1566666666666666,0.4666666666666667,218
solo,1.0,65.0,12,2022-11-21T19:00:11.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.3,0.5625,90
replied_to,0.0,90.0,5,2022-11-21T17:54:15.000Z,mattyglesias,0.0,0.938,0.062,0.34,0.0681818181818181,0.4772727272727273,233
solo,6.0,442.0,54,2022-11-21T17:48:10.000Z,mattyglesias,0.0,0.891,0.109,0.5667,-0.25,0.45,179
replied_to,0.0,18.0,1,2022-11-21T17:45:23.000Z,mattyglesias,0.531,0.469,0.0,-0.5255,0.0,0.0,26
retweeted,1.0,0.0,0,2022-11-21T17:42:01.000Z,mattyglesias,0.0,0.303,0.697,0.3182,0.0,0.0,23
solo,14.0,422.0,132,2022-11-21T17:37:42.000Z,mattyglesias,0.14,0.86,0.0,-0.2755,0.25,0.3333333333333333,84
quoted,14.0,273.0,34,2022-11-21T17:36:27.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.0,25
quoted,1.0,26.0,2,2022-11-21T17:35:17.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.175,32
solo,0.0,9.0,1,2022-11-21T17:31:44.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.1041666666666666,0.1333333333333333,147
solo,10.0,279.0,22,2022-11-21T17:25:51.000Z,mattyglesias,0.191,0.717,0.092,-0.3597,0.0499999999999999,0.5166666666666666,141
replied_to,0.0,3.0,1,2022-11-21T17:08:51.000Z,mattyglesias,0.0,0.833,0.167,0.6124,-0.05,0.45,130
quoted,5.0,128.0,9,2022-11-21T17:07:52.000Z,mattyglesias,0.191,0.809,0.0,-0.5118,-0.0888888888888888,0.3222222222222222,90
solo,16.0,203.0,9,2022-11-21T17:04:41.000Z,mattyglesias,0.0,0.862,0.138,0.34,0.2226190476190476,0.4184523809523809,102
quoted,9.0,173.0,8,2022-11-21T16:30:52.000Z,mattyglesias,0.0,0.572,0.428,0.6696,0.625,0.6,52
replied_to,0.0,1.0,1,2022-11-21T16:27:02.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.5,0.5,39
replied_to,0.0,3.0,2,2022-11-21T16:26:23.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.15,0.5833333333333334,215
retweeted,67.0,0.0,0,2022-11-21T16:23:26.000Z,mattyglesias,0.252,0.748,0.0,-0.5719,-0.2499999999999999,0.65,64
replied_to,2.0,47.0,3,2022-11-21T16:22:47.000Z,mattyglesias,0.0,0.923,0.077,0.4588,0.1833333333333333,0.4333333333333333,234
replied_to,7.0,102.0,12,2022-11-21T16:20:14.000Z,mattyglesias,0.086,0.859,0.055,-0.1154,0.1285714285714285,0.5714285714285714,239
solo,13.0,287.0,12,2022-11-21T16:16:53.000Z,mattyglesias,0.059,0.724,0.217,0.7269,0.0333333333333333,0.5166666666666667,211
replied_to,0.0,3.0,2,2022-11-21T14:23:37.000Z,mattyglesias,0.097,0.783,0.12,0.431,0.155,0.415,198
quoted,9.0,182.0,8,2022-11-21T14:19:01.000Z,mattyglesias,0.0,0.753,0.247,0.7096,0.0,0.3,138
replied_to,0.0,1.0,2,2022-11-21T14:17:14.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.25,0.6,68
replied_to,0.0,34.0,3,2022-11-21T14:08:19.000Z,mattyglesias,0.0,0.813,0.187,0.3182,0.35,0.75,56
replied_to,0.0,7.0,1,2022-11-21T14:06:41.000Z,mattyglesias,0.075,0.925,0.0,-0.2003,0.0,1.0,140
quoted,42.0,669.0,14,2022-11-21T14:04:04.000Z,mattyglesias,0.182,0.65,0.168,0.0772,0.2666666666666666,0.1666666666666666,249
replied_to,0.0,6.0,1,2022-11-21T13:59:43.000Z,mattyglesias,0.0,0.864,0.136,0.5367,0.1145833333333333,0.5791666666666667,132
replied_to,0.0,26.0,1,2022-11-21T13:58:25.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.0,48
quoted,3.0,109.0,5,2022-11-21T13:57:10.000Z,mattyglesias,0.056,0.795,0.148,0.5267,0.3466666666666666,0.5486666666666666,252
retweeted,16.0,0.0,0,2022-11-21T13:51:56.000Z,mattyglesias,0.087,0.661,0.252,0.6124,0.05,0.5,124
replied_to,0.0,34.0,4,2022-11-21T13:50:48.000Z,mattyglesias,0.0,0.744,0.256,0.7615,0.1714285714285714,0.5589285714285714,137
replied_to,0.0,3.0,1,2022-11-21T13:47:48.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.0,27
retweeted,208.0,0.0,0,2022-11-21T13:47:23.000Z,mattyglesias,0.178,0.822,0.0,-0.3818,-0.15,0.3999999999999999,84
replied_to,5.0,436.0,36,2022-11-21T13:10:31.000Z,mattyglesias,0.055,0.857,0.088,0.3147,0.3052083333333333,0.4333333333333333,201
solo,90.0,2168.0,123,2022-11-21T13:03:39.000Z,mattyglesias,0.142,0.632,0.225,0.2732,0.35,0.3,100
replied_to,0.0,0.0,2,2022-11-21T12:43:34.000Z,mattyglesias,0.0,0.848,0.152,0.4124,0.2083333333333333,0.2916666666666667,149
solo,9.0,101.0,5,2022-11-21T12:41:04.000Z,mattyglesias,0.151,0.772,0.077,-0.4588,-0.3571428571428571,0.7678571428571428,154
replied_to,0.0,6.0,2,2022-11-21T12:32:14.000Z,mattyglesias,0.0,0.667,0.333,0.7579,0.4,1.0,128
solo,7.0,513.0,46,2022-11-21T12:26:33.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0125,0.1666666666666666,180
replied_to,10.0,103.0,4,2022-11-21T12:06:04.000Z,mattyglesias,0.079,0.825,0.095,0.1298,-0.0033333333333333,0.3133333333333333,162
replied_to,14.0,109.0,8,2022-11-21T12:03:49.000Z,mattyglesias,0.0,0.797,0.203,0.8126,0.178095238095238,0.3547619047619047,209
solo,17.0,114.0,3,2022-11-21T12:01:47.000Z,mattyglesias,0.0,0.798,0.202,0.5106,0.25,0.5,97
retweeted,597.0,0.0,0,2022-11-21T02:43:18.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.75,124
solo,0.0,63.0,9,2022-11-21T02:14:36.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.0,37
solo,22.0,147.0,10,2022-11-21T01:38:19.000Z,mattyglesias,0.116,0.505,0.379,0.7351,0.8,0.75,77
quoted,31.0,237.0,17,2022-11-21T01:01:08.000Z,mattyglesias,0.0,0.423,0.577,0.6249,0.8,0.75,23
quoted,3.0,41.0,4,2022-11-21T00:10:31.000Z,mattyglesias,0.05,0.95,0.0,-0.2584,-0.0666666666666666,0.1666666666666666,219
quoted,177.0,2049.0,52,2022-11-20T23:59:59.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.0,48
replied_to,1.0,75.0,7,2022-11-20T23:31:43.000Z,mattyglesias,0.0,0.841,0.159,0.5267,0.0,0.175,101
replied_to,0.0,16.0,0,2022-11-20T23:28:52.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.0,3
replied_to,9.0,101.0,16,2022-11-20T23:26:08.000Z,mattyglesias,0.0,0.753,0.247,0.8689,0.3138888888888889,0.4722222222222223,245
solo,3.0,79.0,10,2022-11-20T23:17:30.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.5,0.5,78
replied_to,2.0,19.0,4,2022-11-20T23:13:17.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,66
solo,7.0,159.0,16,2022-11-20T21:50:04.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.1,78
replied_to,0.0,7.0,2,2022-11-20T20:37:34.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.0,8
solo,1.0,56.0,14,2022-11-20T20:23:09.000Z,mattyglesias,0.0,1.0,0.0,0.0,-0.6,1.0,21
replied_to,1.0,48.0,6,2022-11-20T20:22:35.000Z,mattyglesias,0.331,0.669,0.0,-0.5346,-0.65,0.7,59
solo,5.0,75.0,17,2022-11-20T16:54:10.000Z,mattyglesias,0.275,0.725,0.0,-0.2263,0.0,0.0,39
solo,109.0,2896.0,262,2022-11-20T16:50:23.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.0,79
replied_to,1.0,202.0,11,2022-11-20T15:43:51.000Z,mattyglesias,0.0,0.694,0.306,0.6486,0.0,0.1,75
retweeted,226.0,0.0,0,2022-11-20T15:39:53.000Z,mattyglesias,0.127,0.873,0.0,-0.1531,0.0,0.0,71
replied_to,3.0,38.0,0,2022-11-20T15:34:19.000Z,mattyglesias,0.253,0.747,0.0,-0.1759,0.0,0.0,29
quoted,1.0,55.0,14,2022-11-20T15:31:29.000Z,mattyglesias,0.0,0.781,0.219,0.4215,0.0,0.0,74
replied_to,0.0,2.0,1,2022-11-20T15:27:37.000Z,mattyglesias,0.0,0.0,1.0,0.4574,0.0,0.5,12
replied_to,0.0,50.0,22,2022-11-20T15:27:13.000Z,mattyglesias,0.0,0.918,0.082,0.34,0.0333333333333333,0.3,195
replied_to,1.0,145.0,23,2022-11-20T15:20:45.000Z,mattyglesias,0.172,0.828,0.0,-0.4404,0.0,0.0,104
quoted,7.0,172.0,11,2022-11-20T15:12:12.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.1,45
solo,30.0,263.0,0,2022-11-20T15:11:38.000Z,mattyglesias,0.0,0.77,0.23,0.8115,0.3444444444444444,0.3888888888888889,183
solo,6.0,155.0,9,2022-11-20T15:10:31.000Z,mattyglesias,0.139,0.747,0.115,-0.4484,-0.1238095238095238,0.4793650793650794,209
replied_to,0.0,96.0,6,2022-11-20T15:08:52.000Z,mattyglesias,0.128,0.76,0.112,-0.1181,0.1083333333333333,0.3083333333333333,141
quoted,7.0,115.0,2,2022-11-20T14:34:11.000Z,mattyglesias,0.0,0.542,0.458,0.8225,0.5,0.675,53
replied_to,0.0,13.0,1,2022-11-20T14:31:04.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.0,22
replied_to,43.0,364.0,8,2022-11-20T14:30:22.000Z,mattyglesias,0.186,0.757,0.056,-0.7708,-0.2891666666666666,0.7069444444444445,251
quoted,214.0,1581.0,29,2022-11-20T14:27:20.000Z,mattyglesias,0.081,0.716,0.204,0.802,0.2333333333333332,0.7666666666666667,258
replied_to,1.0,26.0,3,2022-11-20T14:25:54.000Z,mattyglesias,0.0,0.781,0.219,0.7096,0.25,0.55,154
quoted,4.0,90.0,7,2022-11-20T14:21:31.000Z,mattyglesias,0.123,0.68,0.197,0.2617,0.0476190476190476,0.3999999999999999,217
replied_to,12.0,320.0,4,2022-11-20T14:17:45.000Z,mattyglesias,0.0,0.787,0.213,0.5859,0.4,0.2625,100
solo,46.0,671.0,33,2022-11-20T14:10:29.000Z,mattyglesias,0.0,0.642,0.358,0.4201,0.2,0.2,30
replied_to,0.0,0.0,0,2022-11-20T14:08:13.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.0,7
quoted,8.0,86.0,4,2022-11-20T13:56:05.000Z,mattyglesias,0.0,0.617,0.383,0.7351,0.625,0.6666666666666666,70
retweeted,415.0,0.0,0,2022-11-20T13:55:11.000Z,mattyglesias,0.0,1.0,0.0,0.0,0.0,0.0,119
solo,8.0,158.0,7,2022-11-20T13:49:05.000Z,mattyglesias,0.0,0.0,1.0,0.5994,0.6,1.0,5
solo,2.0,43.0,4,2022-11-20T13:43:41.000Z,mattyglesias,0.171,0.829,0.0,-0.4019,0.0,0.0,127
