type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,1.0,0.0,0,2022-11-22T03:00:18.000Z,nytimes,0.149,0.8,0.051,-0.6369,0.0,0.0,239
solo,39.0,81.0,26,2022-11-22T02:40:05.000Z,nytimes,0.204,0.796,0.0,-0.8271,-0.0101010101010101,0.2848484848484848,253
retweeted,13.0,0.0,0,2022-11-22T02:30:15.000Z,nytimes,0.0,1.0,0.0,0.0,0.096590909090909,0.2136363636363636,122
solo,21.0,99.0,29,2022-11-22T02:10:04.000Z,nytimes,0.064,0.936,0.0,-0.2263,0.3333333333333333,0.5,206
solo,9.0,37.0,8,2022-11-22T02:00:06.000Z,nytimes,0.0,0.838,0.162,0.6597,0.2916666666666667,0.4083333333333334,172
retweeted,19.0,0.0,0,2022-11-22T01:50:04.000Z,nytimes,0.102,0.8,0.098,-0.0258,-0.4499999999999999,0.65,127
solo,113.0,446.0,61,2022-11-22T01:40:06.000Z,nytimes,0.076,0.924,0.0,-0.4019,0.0,0.1,230
solo,21.0,86.0,19,2022-11-22T01:30:06.000Z,nytimes,0.096,0.904,0.0,-0.1779,0.0666666666666666,0.1857142857142857,125
retweeted,25.0,0.0,0,2022-11-22T01:20:03.000Z,nytimes,0.0,1.0,0.0,0.0,0.0,0.0,103
solo,20.0,64.0,9,2022-11-22T01:00:14.000Z,nytimes,0.286,0.714,0.0,-0.9371,0.1363636363636363,0.4545454545454545,245
solo,66.0,609.0,12,2022-11-22T00:40:06.000Z,nytimes,0.0,0.779,0.221,0.5267,0.25,0.375,83
solo,35.0,115.0,72,2022-11-22T00:30:11.000Z,nytimes,0.28,0.72,0.0,-0.9011,-0.25,0.5,229
retweeted,21.0,0.0,0,2022-11-22T00:20:05.000Z,nytimes,0.363,0.637,0.0,-0.69,0.0,0.25,92
solo,156.0,428.0,47,2022-11-22T00:00:11.000Z,nytimes,0.052,0.915,0.033,-0.2263,0.2083333333333333,0.2916666666666667,251
solo,46.0,212.0,108,2022-11-21T23:40:05.000Z,nytimes,0.124,0.876,0.0,-0.5859,-0.0999999999999999,0.8333333333333333,240
retweeted,151.0,0.0,0,2022-11-21T23:24:02.000Z,nytimes,0.255,0.745,0.0,-0.5859,0.2648148148148148,0.612962962962963,87
solo,22.0,133.0,15,2022-11-21T23:10:07.000Z,nytimes,0.0,0.744,0.256,0.8519,0.3625,0.525,192
solo,46.0,193.0,24,2022-11-21T23:00:19.000Z,nytimes,0.198,0.742,0.061,-0.7264,0.119047619047619,0.6904761904761904,252
solo,122.0,910.0,88,2022-11-21T22:50:02.000Z,nytimes,0.141,0.707,0.151,0.0772,0.1666666666666666,0.4166666666666667,162
solo,15.0,67.0,9,2022-11-21T22:30:08.000Z,nytimes,0.0,0.424,0.576,0.967,0.6666666666666666,0.7666666666666666,124
solo,66.0,223.0,15,2022-11-21T22:20:02.000Z,nytimes,0.0,1.0,0.0,0.0,-0.0499999999999999,0.4166666666666667,210
solo,22.0,75.0,106,2022-11-21T22:15:03.000Z,nytimes,0.0,0.778,0.222,0.875,0.425,0.5267857142857143,213
solo,1115.0,5461.0,199,2022-11-21T22:00:09.000Z,nytimes,0.18,0.82,0.0,-0.8316,-0.1,0.0236111111111111,246
solo,28.0,162.0,81,2022-11-21T21:50:10.000Z,nytimes,0.0,0.737,0.263,0.3612,0.1,0.4,52
solo,70.0,265.0,133,2022-11-21T21:40:05.000Z,nytimes,0.0,0.912,0.088,0.3612,-0.2916666666666667,0.5416666666666666,152
solo,178.0,1101.0,197,2022-11-21T21:15:11.000Z,nytimes,0.125,0.875,0.0,-0.4588,-0.3,0.6,126
solo,43.0,187.0,22,2022-11-21T21:10:04.000Z,nytimes,0.081,0.781,0.138,0.3291,0.0,0.125,195
solo,20.0,97.0,35,2022-11-21T21:00:02.000Z,nytimes,0.145,0.855,0.0,-0.7269,0.0,0.35,230
solo,315.0,539.0,46,2022-11-21T20:50:05.000Z,nytimes,0.142,0.793,0.065,-0.4019,0.5,1.0,219
solo,69.0,959.0,39,2022-11-21T20:45:09.000Z,nytimes,0.0,0.72,0.28,0.9086,0.328125,0.6625000000000001,229
solo,52.0,181.0,26,2022-11-21T20:30:05.000Z,nytimes,0.088,0.835,0.077,-0.128,0.0,0.0333333333333333,257
solo,19.0,197.0,20,2022-11-21T20:20:08.000Z,nytimes,0.0,1.0,0.0,0.0,0.0432900432900433,0.2142857142857142,232
solo,137.0,316.0,53,2022-11-21T20:11:50.000Z,nytimes,0.18,0.82,0.0,-0.6597,0.0,0.0,147
solo,70.0,245.0,33,2022-11-21T20:10:04.000Z,nytimes,0.145,0.784,0.071,-0.4804,-0.2878787878787879,0.6,226
