type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,74938.0,585993.0,310349,2021-01-08T15:44:28.000Z,realDonaldTrump,0.0,1.0,0.0,0.0,0.0,0.0,88
solo,83632.0,487086.0,135117,2021-01-08T14:46:38.000Z,realDonaldTrump,0.0,0.74,0.26,0.923,0.1029296875,0.5447916666666666,226
solo,124254.0,610842.0,206494,2021-01-08T00:10:24.000Z,realDonaldTrump,0.0,0.0,0.0,0.0,0.0,0.0,0
solo,131941.0,679558.0,376731,2021-01-06T20:13:26.000Z,realDonaldTrump,0.125,0.555,0.321,0.8715,0.3708333333333333,0.45,189
solo,85753.0,523254.0,188076,2021-01-06T19:38:58.000Z,realDonaldTrump,0.0,0.568,0.432,0.8858,0.3125,0.5,112
solo,39869.0,202176.0,32841,2021-01-06T18:49:54.000Z,realDonaldTrump,0.0,0.0,0.0,0.0,0.0,0.0,0
solo,32491.0,186931.0,46022,2021-01-06T15:44:31.000Z,realDonaldTrump,0.075,0.753,0.171,0.4926,0.325,0.8125,165
solo,52505.0,387123.0,49353,2021-01-06T14:16:30.000Z,realDonaldTrump,0.0,1.0,0.0,0.0,0.0,0.0,27
solo,40523.0,230863.0,34028,2021-01-06T14:15:07.000Z,realDonaldTrump,0.227,0.603,0.169,-0.4261,0.5416666666666666,0.7333333333333333,130
solo,56464.0,289631.0,55625,2021-01-06T14:00:12.000Z,realDonaldTrump,0.275,0.725,0.0,-0.8439,-0.175,0.3166666666666666,157
solo,38991.0,263791.0,47095,2021-01-06T13:22:26.000Z,realDonaldTrump,0.0,0.681,0.319,0.8353,0.4854166666666666,0.6833333333333333,137
solo,36437.0,187273.0,29719,2021-01-06T13:17:22.000Z,realDonaldTrump,0.108,0.733,0.159,0.4536,0.0359375,0.6,272
solo,21027.0,144117.0,19460,2021-01-06T13:06:45.000Z,realDonaldTrump,0.182,0.615,0.203,0.186,-0.03125,0.85,134
solo,39944.0,210491.0,70115,2021-01-06T06:00:50.000Z,realDonaldTrump,0.154,0.75,0.096,-0.4809,0.4333333333333333,0.3,272
retweeted,23784.0,0.0,0,2021-01-06T05:47:01.000Z,realDonaldTrump,0.0,1.0,0.0,0.0,0.0,0.0,53
retweeted,16026.0,0.0,0,2021-01-06T05:46:29.000Z,realDonaldTrump,0.0,1.0,0.0,0.0,0.0,0.0,62
quoted,14720.0,93599.0,11223,2021-01-06T05:43:42.000Z,realDonaldTrump,0.435,0.24,0.324,-0.2323,0.2678571428571428,0.6428571428571429,30
retweeted,6355.0,0.0,0,2021-01-06T05:17:52.000Z,realDonaldTrump,0.0,1.0,0.0,0.0,0.1666666666666666,0.3333333333333333,59
retweeted,7724.0,0.0,0,2021-01-06T05:17:43.000Z,realDonaldTrump,0.0,1.0,0.0,0.0,0.0,0.0,61
retweeted,10493.0,0.0,0,2021-01-06T05:16:10.000Z,realDonaldTrump,0.242,0.758,0.0,-0.4939,0.0,0.0,52
retweeted,18721.0,0.0,0,2021-01-06T05:16:00.000Z,realDonaldTrump,0.119,0.881,0.0,-0.2244,0.46875,0.5,99
solo,39952.0,224469.0,37238,2021-01-06T05:08:24.000Z,realDonaldTrump,0.0,1.0,0.0,0.0,0.0,0.0,80
solo,43583.0,238291.0,53714,2021-01-06T03:28:36.000Z,realDonaldTrump,0.0,0.889,0.111,0.3612,0.25,0.3,125
solo,42536.0,193371.0,17828,2021-01-06T02:59:31.000Z,realDonaldTrump,0.0,1.0,0.0,0.0,0.0,0.1,26
retweeted,22020.0,0.0,0,2021-01-06T02:45:36.000Z,realDonaldTrump,0.0,0.843,0.157,0.3818,-0.1999999999999999,0.6000000000000001,96
solo,27677.0,133525.0,32217,2021-01-05T22:43:07.000Z,realDonaldTrump,0.0,0.845,0.155,0.6399,0.0333333333333333,0.3,140
solo,39049.0,192429.0,33882,2021-01-05T22:25:08.000Z,realDonaldTrump,0.263,0.737,0.0,-0.7177,0.25,0.3,112
solo,28977.0,143035.0,31055,2021-01-05T22:12:20.000Z,realDonaldTrump,0.167,0.659,0.174,0.0847,0.175,0.7083333333333334,235
solo,45794.0,228996.0,29395,2021-01-05T22:05:56.000Z,realDonaldTrump,0.059,0.739,0.202,0.8279,0.375,0.4625,259
solo,18688.0,119087.0,13553,2021-01-05T19:25:27.000Z,realDonaldTrump,0.0,1.0,0.0,0.0,0.0,0.0,43
solo,30480.0,135746.0,24753,2021-01-05T18:18:24.000Z,realDonaldTrump,0.041,0.79,0.169,0.6886,0.1071428571428571,0.2857142857142857,248
retweeted,5823.0,0.0,0,2021-01-05T18:15:10.000Z,realDonaldTrump,0.0,0.589,0.411,0.4199,0.0,0.0,31
retweeted,5514.0,0.0,0,2021-01-05T18:14:38.000Z,realDonaldTrump,0.104,0.708,0.189,0.34,0.0,0.0,125
retweeted,4614.0,0.0,0,2021-01-05T18:14:20.000Z,realDonaldTrump,0.0,1.0,0.0,0.0,0.0,0.0,126
retweeted,4594.0,0.0,0,2021-01-05T18:14:03.000Z,realDonaldTrump,0.0,1.0,0.0,0.0,0.3571428571428571,0.5357142857142857,123
solo,52886.0,315318.0,90328,2021-01-05T16:06:45.000Z,realDonaldTrump,0.213,0.787,0.0,-0.4019,0.0,0.0,72
quoted,12802.0,85304.0,9382,2021-01-05T15:27:41.000Z,realDonaldTrump,0.0,1.0,0.0,0.0,0.0,0.0,16
solo,23550.0,152767.0,13878,2021-01-05T15:02:22.000Z,realDonaldTrump,0.0,0.667,0.333,0.7569,0.65,0.875,79
solo,23243.0,119922.0,17341,2021-01-05T14:50:49.000Z,realDonaldTrump,0.218,0.652,0.13,-0.5707,0.2183333333333333,0.8300000000000001,257
solo,15113.0,86570.0,15532,2021-01-05T03:55:47.000Z,realDonaldTrump,0.0,0.0,0.0,0.0,0.0,0.0,0
