type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,36.0,321.0,54,2022-11-22T01:50:04.000Z,seanhannity,0.038,0.689,0.272,0.7559,0.0,0.0,169
solo,148.0,1655.0,239,2022-11-22T01:40:06.000Z,seanhannity,0.131,0.739,0.13,-0.2577,0.2142857142857142,0.5714285714285714,197
solo,27.0,199.0,106,2022-11-22T01:30:05.000Z,seanhannity,0.0,1.0,0.0,0.0,0.0,0.0,154
solo,77.0,489.0,95,2022-11-22T01:20:04.000Z,seanhannity,0.091,0.909,0.0,-0.3595,-0.3125,0.625,167
solo,74.0,350.0,54,2022-11-22T01:10:05.000Z,seanhannity,0.13,0.529,0.341,0.6808,-0.3214285714285714,0.7857142857142857,135
solo,34.0,117.0,63,2022-11-21T21:42:26.000Z,seanhannity,0.337,0.663,0.0,-0.6808,-0.2,0.3,96
solo,361.0,2513.0,237,2022-11-21T21:17:01.000Z,seanhannity,0.147,0.659,0.194,0.2323,0.2166666666666666,0.5,86
solo,73.0,899.0,69,2022-11-21T20:55:02.000Z,seanhannity,0.449,0.551,0.0,-0.6908,0.0,0.0,65
solo,298.0,1097.0,181,2022-11-21T19:55:30.000Z,seanhannity,0.0,1.0,0.0,0.0,0.1363636363636363,0.4545454545454545,80
solo,62.0,328.0,212,2022-11-21T19:02:46.000Z,seanhannity,0.0,0.827,0.173,0.3182,0.0,0.0,72
solo,105.0,1090.0,127,2022-11-21T18:08:55.000Z,seanhannity,0.227,0.773,0.0,-0.5451,0.5,0.5,85
solo,85.0,733.0,97,2022-11-21T17:48:05.000Z,seanhannity,0.0,0.775,0.225,0.4939,0.0,1.0,73
solo,643.0,2191.0,763,2022-11-21T17:15:21.000Z,seanhannity,0.0,1.0,0.0,0.0,0.0,0.0,64
solo,49.0,237.0,65,2022-11-21T16:37:25.000Z,seanhannity,0.0,0.775,0.225,0.4404,0.0,0.0,68
solo,229.0,2315.0,124,2022-11-21T16:04:21.000Z,seanhannity,0.0,1.0,0.0,0.0,0.0,0.0,78
solo,806.0,10237.0,2010,2022-11-21T15:24:33.000Z,seanhannity,0.0,1.0,0.0,0.0,0.0,0.0,98
solo,152.0,2036.0,408,2022-11-21T15:00:38.000Z,seanhannity,0.0,0.591,0.409,0.6731,0.0,0.0,84
solo,60.0,495.0,114,2022-11-21T14:31:08.000Z,seanhannity,0.172,0.828,0.0,-0.5147,-0.1410714285714285,0.4839285714285714,92
solo,143.0,1180.0,239,2022-11-20T02:32:08.000Z,seanhannity,0.241,0.759,0.0,-0.5423,-0.2499999999999999,0.7833333333333333,75
solo,137.0,500.0,337,2022-11-19T18:07:51.000Z,seanhannity,0.0,0.874,0.126,0.3182,0.0,0.0,106
retweeted,127.0,0.0,0,2022-11-18T23:03:07.000Z,seanhannity,0.167,0.616,0.217,0.34,0.0,0.5,125
solo,140.0,1699.0,117,2022-11-18T22:57:40.000Z,seanhannity,0.0,0.864,0.136,0.296,0.0,0.0,86
solo,432.0,2653.0,1033,2022-11-18T22:33:43.000Z,seanhannity,0.341,0.393,0.266,-0.4053,-0.3214285714285714,0.7857142857142857,85
solo,134.0,823.0,226,2022-11-18T21:28:07.000Z,seanhannity,0.228,0.621,0.152,-0.2732,-0.5,0.3,68
solo,109.0,580.0,1269,2022-11-18T20:36:41.000Z,seanhannity,0.0,0.816,0.184,0.4019,0.2035714285714285,0.5357142857142857,96
solo,277.0,3236.0,553,2022-11-18T20:12:56.000Z,seanhannity,0.0,0.765,0.235,0.6114,0.15,0.1,97
solo,188.0,1138.0,164,2022-11-18T19:48:17.000Z,seanhannity,0.193,0.807,0.0,-0.4767,-0.75,0.65,100
solo,132.0,835.0,144,2022-11-18T19:26:44.000Z,seanhannity,0.334,0.666,0.0,-0.7925,0.2,0.425,93
solo,159.0,1458.0,236,2022-11-18T19:05:20.000Z,seanhannity,0.227,0.773,0.0,-0.4981,0.0,0.025,76
solo,125.0,884.0,125,2022-11-18T18:36:27.000Z,seanhannity,0.0,1.0,0.0,0.0,-0.1,0.6,87
solo,331.0,2772.0,1088,2022-11-18T18:14:12.000Z,seanhannity,0.0,1.0,0.0,0.0,0.0,0.1,82
solo,383.0,2437.0,589,2022-11-18T17:07:20.000Z,seanhannity,0.0,1.0,0.0,0.0,-0.0625,0.4,81
solo,664.0,6392.0,2435,2022-11-18T16:45:53.000Z,seanhannity,0.0,1.0,0.0,0.0,0.25,0.3333333333333333,90
solo,236.0,473.0,241,2022-11-18T16:20:41.000Z,seanhannity,0.265,0.735,0.0,-0.5707,-0.05,0.0,91
solo,260.0,2090.0,1059,2022-11-18T15:54:51.000Z,seanhannity,0.0,1.0,0.0,0.0,0.0,0.0,46
solo,222.0,1102.0,88,2022-11-18T15:33:24.000Z,seanhannity,0.086,0.914,0.0,-0.128,-0.05,0.4875,112
solo,191.0,2022.0,539,2022-11-18T15:12:06.000Z,seanhannity,0.167,0.833,0.0,-0.34,0.0,0.0,80
solo,146.0,548.0,207,2022-11-18T06:09:43.000Z,seanhannity,0.217,0.783,0.0,-0.3612,-0.2,0.3,79
solo,48.0,207.0,30,2022-11-18T04:20:29.000Z,seanhannity,0.169,0.615,0.215,0.2263,0.0,0.0,107
solo,144.0,430.0,1433,2022-11-18T03:06:14.000Z,seanhannity,0.265,0.735,0.0,-0.5574,-0.5,0.5,74
solo,27.0,231.0,102,2022-11-18T01:50:02.000Z,seanhannity,0.0,0.648,0.352,0.8491,0.1704545454545454,0.5,109
solo,77.0,661.0,326,2022-11-18T01:40:04.000Z,seanhannity,0.0,1.0,0.0,0.0,-0.25,0.1,141
solo,41.0,549.0,96,2022-11-18T01:30:05.000Z,seanhannity,0.0,0.886,0.114,0.4019,0.0,0.5,157
solo,156.0,912.0,153,2022-11-18T01:20:05.000Z,seanhannity,0.075,0.925,0.0,-0.296,0.0,0.0,189
solo,93.0,605.0,115,2022-11-18T01:08:56.000Z,seanhannity,0.0,0.925,0.075,0.296,0.0,0.5,214
solo,54.0,302.0,166,2022-11-18T00:26:10.000Z,seanhannity,0.0,1.0,0.0,0.0,0.5,0.5,53
solo,78.0,441.0,331,2022-11-17T21:54:31.000Z,seanhannity,0.0,1.0,0.0,0.0,0.0,0.0,93
solo,21.0,133.0,30,2022-11-17T21:32:51.000Z,seanhannity,0.0,0.756,0.244,0.4404,0.35,0.3,57
solo,0.0,2.0,1,2022-11-17T20:18:22.000Z,seanhannity,0.25,0.75,0.0,-0.4588,0.0,0.0,56
solo,74.0,338.0,101,2022-11-17T19:45:55.000Z,seanhannity,0.405,0.595,0.0,-0.8471,-0.5833333333333334,0.5333333333333333,88
solo,278.0,848.0,197,2022-11-17T19:24:14.000Z,seanhannity,0.161,0.839,0.0,-0.3182,0.1363636363636363,0.4545454545454545,84
solo,216.0,3921.0,991,2022-11-17T18:25:52.000Z,seanhannity,0.339,0.661,0.0,-0.6841,-0.25,0.5,80
solo,282.0,2147.0,563,2022-11-17T17:39:24.000Z,seanhannity,0.0,0.803,0.197,0.4003,0.5,0.6,73
solo,627.0,4200.0,1232,2022-11-17T17:16:14.000Z,seanhannity,0.0,1.0,0.0,0.0,0.0,0.0,96
solo,41.0,270.0,77,2022-11-17T16:23:15.000Z,seanhannity,0.153,0.757,0.091,-0.3393,-0.0757575757575757,0.6515151515151515,93
solo,2345.0,19891.0,4907,2022-11-17T15:36:19.000Z,seanhannity,0.177,0.823,0.0,-0.4981,0.0255681818181818,0.4545454545454545,87
solo,77.0,548.0,315,2022-11-17T14:54:16.000Z,seanhannity,0.0,1.0,0.0,0.0,0.0,0.1125,67
solo,251.0,3051.0,687,2022-11-17T14:29:49.000Z,seanhannity,0.0,1.0,0.0,0.0,0.0,0.0,40
solo,191.0,1128.0,143,2022-11-17T11:55:17.000Z,seanhannity,0.0,0.874,0.126,0.0772,0.2,0.1,58
solo,206.0,1516.0,611,2022-11-17T03:57:03.000Z,seanhannity,0.0,1.0,0.0,0.0,0.0,0.0,71
solo,287.0,2181.0,538,2022-11-17T01:50:07.000Z,seanhannity,0.224,0.776,0.0,-0.7865,0.5,0.7,161
solo,125.0,561.0,359,2022-11-17T01:40:07.000Z,seanhannity,0.247,0.753,0.0,-0.8602,0.5,0.7,169
solo,315.0,2579.0,652,2022-11-17T01:30:08.000Z,seanhannity,0.0,0.773,0.227,0.8494,0.4,0.2,191
solo,136.0,1275.0,171,2022-11-16T22:01:55.000Z,seanhannity,0.0,0.838,0.162,0.4389,0.0,0.0,91
solo,198.0,698.0,303,2022-11-16T21:13:44.000Z,seanhannity,0.32,0.523,0.157,-0.4215,0.0,0.0,74
solo,118.0,449.0,146,2022-11-16T20:48:53.000Z,seanhannity,0.0,0.872,0.128,0.296,0.0121212121212121,0.3515151515151515,101
solo,54.0,192.0,119,2022-11-16T20:04:45.000Z,seanhannity,0.279,0.721,0.0,-0.4767,0.0,0.0,59
solo,337.0,2428.0,312,2022-11-16T19:24:08.000Z,seanhannity,0.0,1.0,0.0,0.0,-1.0,1.0,71
solo,43.0,289.0,839,2022-11-16T18:58:57.000Z,seanhannity,0.128,0.667,0.206,0.34,0.3,0.2,96
solo,116.0,1004.0,403,2022-11-16T18:31:21.000Z,seanhannity,0.175,0.713,0.112,-0.3034,-0.2722222222222222,0.5611111111111111,86
solo,153.0,531.0,172,2022-11-16T16:14:04.000Z,seanhannity,0.247,0.753,0.0,-0.5574,0.0,0.1,82
solo,45.0,467.0,240,2022-11-16T15:48:47.000Z,seanhannity,0.18,0.82,0.0,-0.296,-0.2,0.05,79
solo,214.0,1569.0,574,2022-11-16T15:25:10.000Z,seanhannity,0.0,1.0,0.0,0.0,0.1428571428571428,0.2678571428571428,44
solo,985.0,13111.0,3133,2022-11-16T14:59:30.000Z,seanhannity,0.0,0.637,0.363,0.6114,0.11875,0.3,52
solo,456.0,4542.0,1266,2022-11-16T14:31:35.000Z,seanhannity,0.28,0.72,0.0,-0.5983,0.6,1.0,70
retweeted,70.0,0.0,0,2022-11-16T13:27:39.000Z,seanhannity,0.098,0.596,0.306,0.5994,0.2821428571428571,0.5607142857142857,123
solo,669.0,3802.0,573,2022-11-16T04:01:11.000Z,seanhannity,0.0,1.0,0.0,0.0,0.0,0.0,96
solo,969.0,9398.0,2956,2022-11-16T02:54:42.000Z,seanhannity,0.0,0.722,0.278,0.6399,0.2857142857142857,0.5357142857142857,84
solo,79.0,724.0,345,2022-11-16T02:00:12.000Z,seanhannity,0.0,1.0,0.0,0.0,-0.0098484848484848,0.1999999999999999,182
solo,66.0,778.0,211,2022-11-16T01:50:04.000Z,seanhannity,0.0,1.0,0.0,0.0,0.0,0.0,121
solo,238.0,1854.0,445,2022-11-16T01:30:17.000Z,seanhannity,0.079,0.921,0.0,-0.3578,0.0438920454545454,0.35,180
solo,72.0,240.0,231,2022-11-15T21:46:26.000Z,seanhannity,0.343,0.657,0.0,-0.6908,0.0,0.0,60
solo,48.0,286.0,163,2022-11-15T21:02:20.000Z,seanhannity,0.095,0.758,0.147,0.2103,-0.2722222222222222,0.5611111111111111,85
solo,547.0,3745.0,477,2022-11-15T19:23:30.000Z,seanhannity,0.0,1.0,0.0,0.0,0.0,0.0,97
solo,117.0,1422.0,243,2022-11-15T19:00:32.000Z,seanhannity,0.0,1.0,0.0,0.0,0.0,0.0,83
solo,231.0,1544.0,515,2022-11-15T17:46:21.000Z,seanhannity,0.29,0.71,0.0,-0.6697,0.2,0.4,75
solo,59.0,273.0,174,2022-11-15T17:26:11.000Z,seanhannity,0.419,0.581,0.0,-0.8374,0.2,0.1,73
solo,527.0,1839.0,340,2022-11-15T17:00:38.000Z,seanhannity,0.193,0.807,0.0,-0.4767,-0.25,0.625,91
