type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,70.0,411.0,77,2022-11-22T02:56:07.000Z,tedcruz,0.15,0.85,0.0,-0.4574,0.0,0.0,122
quoted,75.0,390.0,67,2022-11-22T01:34:28.000Z,tedcruz,0.102,0.898,0.0,-0.3818,0.0499999999999999,0.8,138
quoted,1085.0,6557.0,1744,2022-11-21T23:56:08.000Z,tedcruz,0.474,0.526,0.0,-0.4019,0.0,0.0,22
solo,130.0,770.0,155,2022-11-21T23:10:00.000Z,tedcruz,0.531,0.469,0.0,-0.6739,0.1,0.4,36
solo,206.0,890.0,197,2022-11-21T22:35:20.000Z,tedcruz,0.125,0.774,0.101,-0.2003,0.0,0.0,195
quoted,88.0,611.0,76,2022-11-21T21:43:24.000Z,tedcruz,0.0,1.0,0.0,0.0,0.0,0.0,4
retweeted,43.0,0.0,0,2022-11-21T20:18:57.000Z,tedcruz,0.0,0.867,0.133,0.3182,0.5,0.8888888888888888,81
retweeted,1225.0,0.0,0,2022-11-21T20:18:51.000Z,tedcruz,0.0,0.599,0.401,0.8271,0.0,0.25,104
replied_to,0.0,6.0,27,2022-11-21T20:15:33.000Z,tedcruz,0.0,0.0,0.0,0.0,0.0,0.0,1
solo,108.0,639.0,113,2022-11-21T20:11:45.000Z,tedcruz,0.358,0.642,0.0,-0.8104,0.4,0.5,116
solo,117.0,585.0,176,2022-11-21T20:09:41.000Z,tedcruz,0.105,0.676,0.22,0.34,0.0,0.95,157
retweeted,195.0,0.0,0,2022-11-21T19:20:02.000Z,tedcruz,0.088,0.671,0.241,0.3919,0.4,0.5,112
quoted,898.0,9854.0,4826,2022-11-21T19:18:27.000Z,tedcruz,0.0,1.0,0.0,0.0,0.0,0.0,15
quoted,1421.0,13470.0,1553,2022-11-21T19:14:34.000Z,tedcruz,0.0,0.0,1.0,0.5859,0.1,1.0,4
retweeted,286.0,0.0,0,2022-11-21T19:12:25.000Z,tedcruz,0.206,0.794,0.0,-0.5267,0.5,0.5,123
retweeted,207.0,0.0,0,2022-11-21T19:08:17.000Z,tedcruz,0.0,1.0,0.0,0.0,0.0,0.3999999999999999,124
quoted,79.0,762.0,245,2022-11-21T19:04:27.000Z,tedcruz,0.0,1.0,0.0,0.0,0.0,0.0,9
solo,271.0,1780.0,348,2022-11-21T19:04:09.000Z,tedcruz,0.085,0.847,0.069,-0.0772,0.0,0.0666666666666666,114
