type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,0.0,18.0,22,2022-11-22T03:12:00.000Z,unusual_whales,0.052,0.904,0.044,-0.1007,0.2454545454545454,0.5222222222222223,253
solo,45.0,359.0,107,2022-11-22T02:58:15.000Z,unusual_whales,0.0,0.82,0.18,0.296,0.0,0.0,62
replied_to,14.0,113.0,24,2022-11-22T02:27:07.000Z,unusual_whales,0.053,0.795,0.152,0.4767,0.22,0.48,229
replied_to,0.0,0.0,2,2022-11-22T02:24:14.000Z,unusual_whales,0.0,0.648,0.352,0.7171,0.5,0.8,67
replied_to,0.0,1.0,2,2022-11-22T02:22:18.000Z,unusual_whales,0.0,1.0,0.0,0.0,0.0,0.0,68
solo,3.0,58.0,59,2022-11-22T01:58:00.000Z,unusual_whales,0.0,1.0,0.0,0.0,0.05,0.625,147
solo,97.0,1021.0,235,2022-11-22T01:40:24.000Z,unusual_whales,0.195,0.717,0.088,-0.4019,0.0,0.0,110
solo,205.0,2331.0,85,2022-11-22T01:22:36.000Z,unusual_whales,0.072,0.826,0.102,0.2732,0.3,0.2,211
replied_to,91.0,2386.0,47,2022-11-22T01:13:23.000Z,unusual_whales,0.0,1.0,0.0,0.0,0.0,0.0,10
solo,4.0,62.0,16,2022-11-22T00:58:00.000Z,unusual_whales,0.0,0.813,0.187,0.807,0.1133333333333333,0.54,246
solo,65.0,603.0,96,2022-11-22T00:25:30.000Z,unusual_whales,0.231,0.769,0.0,-0.2732,0.0,0.3,43
quoted,11.0,109.0,5,2022-11-22T00:18:56.000Z,unusual_whales,0.0,1.0,0.0,0.0,0.0,0.0,8
solo,96.0,588.0,46,2022-11-22T00:18:00.000Z,unusual_whales,0.0,0.906,0.094,0.4019,0.4,0.4,167
solo,25.0,175.0,34,2022-11-21T23:55:00.000Z,unusual_whales,0.0,0.784,0.216,0.872,0.1214285714285714,0.7285714285714285,238
solo,107.0,579.0,94,2022-11-21T23:20:29.000Z,unusual_whales,0.0,0.894,0.106,0.6124,0.2249999999999999,0.375,279
solo,8.0,59.0,29,2022-11-21T22:58:00.000Z,unusual_whales,0.052,0.825,0.123,0.4902,0.1699999999999999,0.75,252
solo,55.0,383.0,61,2022-11-21T22:34:55.000Z,unusual_whales,0.27,0.73,0.0,-0.5859,0.0,0.0,84
solo,23.0,202.0,67,2022-11-21T22:26:28.000Z,unusual_whales,0.0,1.0,0.0,0.0,0.0,0.0,94
replied_to,27.0,183.0,28,2022-11-21T22:09:28.000Z,unusual_whales,0.061,0.866,0.073,0.1027,0.25,0.45,218
solo,702.0,4755.0,336,2022-11-21T21:46:29.000Z,unusual_whales,0.135,0.865,0.0,-0.1027,0.1363636363636363,0.4545454545454545,73
solo,69.0,1187.0,140,2022-11-21T21:43:18.000Z,unusual_whales,0.0,1.0,0.0,0.0,0.0,0.0,46
solo,52.0,599.0,108,2022-11-21T21:29:21.000Z,unusual_whales,0.145,0.855,0.0,-0.296,-0.25,0.5,73
quoted,2.0,53.0,7,2022-11-21T21:21:50.000Z,unusual_whales,0.0,1.0,0.0,0.0,0.0,0.0,8
solo,28.0,502.0,163,2022-11-21T21:21:35.000Z,unusual_whales,0.0,1.0,0.0,0.0,0.0,0.0,87
solo,3.0,88.0,84,2022-11-21T21:10:52.000Z,unusual_whales,0.0,1.0,0.0,0.0,0.0,0.0,93
solo,9.0,100.0,71,2022-11-21T21:08:42.000Z,unusual_whales,0.287,0.713,0.0,-0.7034,0.0,0.0,91
