type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,0,0,0,2022-11-22T03:48:43.000Z,"""America""",0.0,1.0,0.0,0.0,-0.025,0.7,153
replied_to,0,0,0,2022-11-22T03:48:41.000Z,"""America""",0.07,0.812,0.118,0.3182,0.0,1.0,158
replied_to,0,0,0,2022-11-22T03:48:40.000Z,"""America""",0.122,0.792,0.086,-0.2908,0.55,0.7,285
replied_to,0,0,0,2022-11-22T03:48:39.000Z,"""America""",0.283,0.717,0.0,-0.7964,0.0,0.0,130
solo,0,0,0,2022-11-22T03:48:39.000Z,"""America""",0.072,0.885,0.043,-0.34,-0.005,0.2799999999999999,273
solo,0,0,0,2022-11-22T03:48:39.000Z,"""America""",0.189,0.811,0.0,-0.4215,0.0,0.25,93
solo,0,0,0,2022-11-22T03:48:39.000Z,"""America""",0.21,0.613,0.176,-0.2885,0.0,0.0,158
solo,0,0,0,2022-11-22T03:48:38.000Z,"""America""",0.0,0.781,0.219,0.4215,0.3,0.625,76
replied_to,0,0,0,2022-11-22T03:48:37.000Z,"""America""",0.0,0.777,0.223,0.5574,0.0,0.0,107
solo,0,0,0,2022-11-22T03:48:36.000Z,"""America""",0.0,1.0,0.0,0.0,-0.0101010101010101,0.295959595959596,82
solo,0,0,0,2022-11-22T03:48:34.000Z,"""America""",0.0,0.815,0.185,0.3612,0.0,0.0,80
solo,0,0,0,2022-11-22T03:48:33.000Z,"""America""",0.0,1.0,0.0,0.0,0.0,0.0,90
replied_to,0,0,0,2022-11-22T03:48:33.000Z,"""America""",0.0,0.667,0.333,0.4588,0.8,0.9,46
solo,0,0,0,2022-11-22T03:48:32.000Z,"""America""",0.223,0.777,0.0,-0.6486,-0.05,0.35,117
solo,0,0,0,2022-11-22T03:48:32.000Z,"""America""",0.0,0.877,0.123,0.4215,0.1363636363636363,0.4545454545454545,136
replied_to,0,0,0,2022-11-22T03:48:31.000Z,"""America""",0.053,0.554,0.392,0.8834,0.2166666666666666,0.4050000000000001,201
replied_to,0,0,0,2022-11-22T03:48:29.000Z,"""America""",0.597,0.403,0.0,-0.8126,0.0,0.0,45
replied_to,0,0,0,2022-11-22T03:48:26.000Z,"""America""",0.0,0.811,0.189,0.2732,0.0,0.0,53
