type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
replied_to,0,0,0,2022-11-22T04:31:10.000Z,"""CEO""",0.037,0.916,0.047,0.1027,0.08,0.2699999999999999,179
replied_to,0,0,0,2022-11-22T04:31:07.000Z,"""CEO""",0.0,1.0,0.0,0.0,0.0787878787878787,0.3265151515151515,82
replied_to,0,0,0,2022-11-22T04:31:06.000Z,"""CEO""",0.559,0.441,0.0,-0.5859,-0.5,1.0,22
replied_to,0,0,1,2022-11-22T04:31:05.000Z,"""CEO""",0.133,0.867,0.0,-0.3182,0.0,0.375,92
replied_to,0,0,0,2022-11-22T04:31:03.000Z,"""CEO""",0.219,0.661,0.12,-0.34,-0.0666666666666666,0.4388888888888889,103
quoted,0,0,0,2022-11-22T04:31:02.000Z,"""CEO""",0.049,0.809,0.142,0.4767,0.0,0.0,271
replied_to,0,0,0,2022-11-22T04:30:59.000Z,"""CEO""",0.0,0.853,0.147,0.7964,0.01875,0.41875,280
replied_to,0,0,0,2022-11-22T04:30:57.000Z,"""CEO""",0.125,0.7,0.175,0.5574,-0.0095238095238095,0.3204761904761904,278
solo,0,0,0,2022-11-22T04:30:52.000Z,"""CEO""",0.0,1.0,0.0,0.0,0.0,0.0,73
replied_to,0,0,0,2022-11-22T04:30:30.000Z,"""CEO""",0.0,0.878,0.122,0.3612,0.0,0.5,106
replied_to,0,0,0,2022-11-22T04:30:28.000Z,"""CEO""",0.0,1.0,0.0,0.0,0.0,0.0,11
solo,0,0,0,2022-11-22T04:30:25.000Z,"""CEO""",0.149,0.678,0.173,0.1779,0.1121212121212121,0.4848484848484848,164
replied_to,0,0,1,2022-11-22T04:30:20.000Z,"""CEO""",0.0,1.0,0.0,0.0,0.0,0.0,272
solo,0,0,0,2022-11-22T04:30:19.000Z,"""CEO""",0.0,1.0,0.0,0.0,0.0,0.0,39
replied_to,0,0,0,2022-11-22T04:30:19.000Z,"""CEO""",0.172,0.828,0.0,-0.807,0.3,0.4,213
solo,0,0,0,2022-11-22T04:30:17.000Z,"""CEO""",0.099,0.657,0.244,0.6744,0.061111111111111,0.4722222222222222,168
solo,0,0,0,2022-11-22T04:30:16.000Z,"""CEO""",0.0,0.612,0.388,0.8356,0.3010551948051948,0.5493506493506494,104
quoted,0,0,0,2022-11-22T04:30:14.000Z,"""CEO""",0.0,1.0,0.0,0.0,0.0,0.0,279
solo,0,1,1,2022-11-22T04:30:13.000Z,"""CEO""",0.286,0.714,0.0,-0.5574,0.0,0.0,77
solo,0,0,0,2022-11-22T04:30:12.000Z,"""CEO""",0.0,0.853,0.147,0.4215,0.2749999999999999,0.65,160
solo,0,0,0,2022-11-22T04:30:10.000Z,"""CEO""",0.08,0.757,0.163,0.6369,0.1391156462585034,0.5748299319727891,255
replied_to,0,0,0,2022-11-22T04:30:07.000Z,"""CEO""",0.198,0.802,0.0,-0.7845,-0.0833333333333333,0.2833333333333333,193
replied_to,0,0,0,2022-11-22T04:30:06.000Z,"""CEO""",0.272,0.639,0.089,-0.765,-0.0625,0.8125,169
replied_to,0,0,0,2022-11-22T04:30:05.000Z,"""CEO""",0.273,0.593,0.134,-0.3274,0.0,1.0,89
solo,0,0,0,2022-11-22T04:30:01.000Z,"""CEO""",0.0,0.852,0.148,0.5423,0.1,0.2,173
solo,0,1,0,2022-11-22T04:30:00.000Z,"""CEO""",0.0,0.846,0.154,0.7574,0.45,0.75,231
quoted,0,0,0,2022-11-22T04:29:54.000Z,"""CEO""",0.091,0.594,0.316,0.9468,0.2609375,0.6416666666666667,270
replied_to,0,0,0,2022-11-22T04:29:53.000Z,"""CEO""",0.0,1.0,0.0,0.0,0.0,0.0,86
replied_to,0,0,0,2022-11-22T04:29:45.000Z,"""CEO""",0.064,0.821,0.115,0.4201,0.04375,0.5104166666666666,283
replied_to,0,0,0,2022-11-22T04:29:42.000Z,"""CEO""",0.111,0.736,0.153,0.4152,0.355,0.53,286
solo,0,0,0,2022-11-22T04:29:38.000Z,"""CEO""",0.0,1.0,0.0,0.0,-0.1666666666666666,0.0666666666666666,122
solo,1,2,0,2022-11-22T04:29:21.000Z,"""CEO""",0.04,0.88,0.08,0.3612,-0.0927272727272727,0.3175757575757576,238
replied_to,0,0,1,2022-11-22T04:29:19.000Z,"""CEO""",0.148,0.71,0.142,-0.0695,0.05,0.3,194
replied_to,0,0,0,2022-11-22T04:29:14.000Z,"""CEO""",0.147,0.564,0.289,0.8073,0.1302083333333333,0.6552083333333334,270
quoted,0,0,0,2022-11-22T04:29:12.000Z,"""CEO""",0.0,1.0,0.0,0.0,0.0,0.0,47
