type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,0,0,0,2022-11-22T04:12:29.000Z,"""California""",0.0,0.912,0.088,0.4829,0.2583333333333333,0.85,275
replied_to,0,0,0,2022-11-22T04:12:25.000Z,"""California""",0.0,1.0,0.0,0.0,0.0,0.125,145
quoted,0,0,0,2022-11-22T04:12:18.000Z,"""California""",0.0,0.484,0.516,0.4939,0.0,0.0,30
solo,0,0,0,2022-11-22T04:12:16.000Z,"""California""",0.108,0.825,0.067,-0.1531,0.15,0.2833333333333334,210
solo,0,0,0,2022-11-22T04:12:16.000Z,"""California""",0.412,0.588,0.0,-0.5423,-0.1,0.5,34
solo,0,0,0,2022-11-22T04:12:15.000Z,"""California""",0.158,0.842,0.0,-0.128,-0.5833333333333334,1.0,55
solo,0,0,0,2022-11-22T04:12:14.000Z,"""California""",0.048,0.783,0.169,0.4753,0.0,0.0,149
replied_to,0,0,0,2022-11-22T04:12:12.000Z,"""California""",0.0,0.744,0.256,0.6705,0.25,0.6296296296296297,124
solo,0,0,0,2022-11-22T04:12:12.000Z,"""California""",0.0,1.0,0.0,0.0,0.0,0.0,108
replied_to,0,0,0,2022-11-22T04:12:11.000Z,"""California""",0.0,0.722,0.278,0.6124,0.2833333333333334,0.8333333333333334,105
replied_to,0,0,0,2022-11-22T04:12:02.000Z,"""California""",0.15,0.728,0.121,-0.1531,0.0,0.0,112
solo,0,0,0,2022-11-22T04:11:57.000Z,"""California""",0.0,0.816,0.184,0.4019,0.5,1.0,89
solo,0,0,0,2022-11-22T04:11:56.000Z,"""California""",0.0,0.684,0.316,0.5719,0.3,0.2,67
replied_to,0,0,0,2022-11-22T04:11:51.000Z,"""California""",0.328,0.672,0.0,-0.9442,0.1999999999999999,0.3166666666666666,229
solo,0,0,0,2022-11-22T04:11:49.000Z,"""California""",0.0,0.856,0.144,0.5719,0.3,0.2,204
solo,0,0,0,2022-11-22T04:11:47.000Z,"""California""",0.0,1.0,0.0,0.0,0.0,0.0,48
replied_to,0,0,0,2022-11-22T04:11:43.000Z,"""California""",0.313,0.687,0.0,-0.6249,-1.0,1.0,53
replied_to,0,0,0,2022-11-22T04:11:29.000Z,"""California""",0.045,0.793,0.162,0.6981,-0.1366666666666666,0.5533333333333333,276
replied_to,0,0,0,2022-11-22T04:11:28.000Z,"""California""",0.773,0.227,0.0,-0.5267,0.0,0.0,19
replied_to,0,0,0,2022-11-22T04:11:22.000Z,"""California""",0.11,0.673,0.217,0.7717,0.0375,0.615,248
