type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
quoted,0,0,0,2022-11-22T03:49:38.000Z,"""China""",0.0,0.785,0.215,0.4767,0.1875,0.5375,118
replied_to,0,0,0,2022-11-22T03:49:37.000Z,"""China""",0.0,0.838,0.162,0.4019,0.25,0.3333333333333333,72
solo,0,0,0,2022-11-22T03:49:37.000Z,"""China""",0.13,0.87,0.0,-0.5849,0.35,0.5777777777777778,206
solo,0,0,0,2022-11-22T03:49:36.000Z,"""China""",0.202,0.798,0.0,-0.6486,-0.125,0.2916666666666667,142
solo,0,0,0,2022-11-22T03:49:35.000Z,"""China""",0.0,1.0,0.0,0.0,0.0,0.0,80
replied_to,0,0,0,2022-11-22T03:49:35.000Z,"""China""",0.0,0.77,0.23,0.8378,0.2020833333333333,0.4833333333333332,213
replied_to,0,0,0,2022-11-22T03:49:34.000Z,"""China""",0.105,0.78,0.116,0.1027,0.1166666666666666,0.55,178
solo,0,0,0,2022-11-22T03:49:33.000Z,"""China""",0.0,0.603,0.397,0.9343,0.7000000000000001,0.9166666666666666,229
solo,0,0,0,2022-11-22T03:49:32.000Z,"""China""",0.0,1.0,0.0,0.0,-0.01875,0.3,254
solo,0,0,0,2022-11-22T03:49:31.000Z,"""China""",0.161,0.671,0.168,0.0243,-0.1,0.2,73
solo,0,1,0,2022-11-22T03:49:31.000Z,"""China""",0.0,1.0,0.0,0.0,0.0,0.0,61
solo,0,0,0,2022-11-22T03:49:25.000Z,"""China""",0.055,0.564,0.382,0.9558,0.7291666666666666,0.6083333333333334,233
replied_to,0,0,0,2022-11-22T03:49:24.000Z,"""China""",0.0,1.0,0.0,0.0,0.0,0.0,63
solo,0,0,0,2022-11-22T03:49:24.000Z,"""China""",0.0,1.0,0.0,0.0,-0.6,0.8,58
replied_to,0,0,0,2022-11-22T03:49:23.000Z,"""China""",0.141,0.681,0.178,0.1779,-0.6999999999999998,0.6666666666666666,217
quoted,0,0,0,2022-11-22T03:49:22.000Z,"""China""",0.0,1.0,0.0,0.0,0.0,0.0,13
replied_to,0,0,0,2022-11-22T03:49:20.000Z,"""China""",0.0,0.743,0.257,0.5859,0.1,1.0,76
quoted,0,0,0,2022-11-22T03:49:19.000Z,"""China""",0.174,0.826,0.0,-0.8118,-0.1671428571428571,0.8785714285714284,241
solo,1,0,0,2022-11-22T03:49:14.000Z,"""China""",0.0,1.0,0.0,0.0,0.5,0.5,69
replied_to,0,0,0,2022-11-22T03:49:12.000Z,"""China""",0.0,0.777,0.223,0.8805,0.2406060606060606,0.4575757575757576,238
replied_to,0,0,1,2022-11-22T03:49:12.000Z,"""China""",0.0,0.917,0.083,0.2023,0.0,0.0,215
