type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,0,0,0,2022-11-22T05:02:18.000Z,"""Democrats""",0.171,0.829,0.0,-0.5095,0.9,0.9,120
replied_to,0,0,0,2022-11-22T05:02:16.000Z,"""Democrats""",0.0,0.847,0.153,0.6808,0.1383333333333333,0.6416666666666667,222
solo,1,1,0,2022-11-22T05:02:14.000Z,"""Democrats""",0.173,0.827,0.0,-0.4466,0.0,0.0,93
quoted,0,0,0,2022-11-22T05:02:12.000Z,"""Democrats""",0.0,1.0,0.0,0.0,-0.6,0.9,80
replied_to,0,0,0,2022-11-22T05:02:07.000Z,"""Democrats""",0.142,0.753,0.105,-0.2263,0.1,0.4,127
replied_to,0,0,0,2022-11-22T05:02:04.000Z,"""Democrats""",0.229,0.771,0.0,-0.6654,0.0,0.0,110
quoted,0,0,0,2022-11-22T05:02:04.000Z,"""Democrats""",0.0,0.868,0.132,0.6496,0.390625,0.2,280
replied_to,0,0,0,2022-11-22T05:02:02.000Z,"""Democrats""",0.18,0.727,0.093,-0.3612,-0.25,0.5625,133
quoted,0,0,0,2022-11-22T05:02:02.000Z,"""Democrats""",0.203,0.698,0.1,-0.7331,0.29296875,0.1,234
solo,0,0,0,2022-11-22T05:02:00.000Z,"""Democrats""",0.326,0.674,0.0,-0.4404,0.0,0.0,55
solo,0,0,0,2022-11-22T05:02:00.000Z,"""Democrats""",0.326,0.674,0.0,-0.4404,0.0,0.0,55
replied_to,0,0,0,2022-11-22T05:01:58.000Z,"""Democrats""",0.0,1.0,0.0,0.0,0.0,0.0,58
quoted,0,0,0,2022-11-22T05:01:55.000Z,"""Democrats""",0.244,0.61,0.146,-0.6369,-0.2,0.4,214
replied_to,0,0,0,2022-11-22T05:01:53.000Z,"""Democrats""",0.0,0.927,0.073,0.4404,-0.175,0.6597222222222222,220
replied_to,0,0,0,2022-11-22T05:01:51.000Z,"""Democrats""",0.216,0.698,0.086,-0.7783,-0.4,0.45,212
replied_to,0,0,0,2022-11-22T05:01:51.000Z,"""Democrats""",0.0,0.703,0.297,0.5859,0.5,0.75,57
replied_to,0,0,0,2022-11-22T05:01:51.000Z,"""Democrats""",0.203,0.637,0.16,-0.1868,0.25,0.75,78
replied_to,0,0,0,2022-11-22T05:01:49.000Z,"""Democrats""",0.035,0.87,0.095,0.296,0.175,0.575,219
replied_to,0,0,0,2022-11-22T05:01:49.000Z,"""Democrats""",0.206,0.794,0.0,-0.5267,-0.0445436507936507,0.7235119047619047,111
replied_to,0,0,0,2022-11-22T05:01:48.000Z,"""Democrats""",0.127,0.837,0.036,-0.6808,-0.1216666666666666,0.5733333333333335,267
replied_to,0,0,0,2022-11-22T05:01:46.000Z,"""Democrats""",0.362,0.638,0.0,-0.5267,-0.2,0.2,46
replied_to,0,0,0,2022-11-22T05:01:40.000Z,"""Democrats""",0.191,0.764,0.045,-0.6369,-0.5,1.0,147
quoted,0,0,0,2022-11-22T05:01:36.000Z,"""Democrats""",0.0,1.0,0.0,0.0,0.0,0.0,51
quoted,0,0,0,2022-11-22T05:01:34.000Z,"""Democrats""",0.144,0.856,0.0,-0.5719,-0.15,0.40625,140
replied_to,0,0,0,2022-11-22T05:01:32.000Z,"""Democrats""",0.0,1.0,0.0,0.0,0.0,0.0,144
replied_to,0,0,0,2022-11-22T05:01:31.000Z,"""Democrats""",0.122,0.878,0.0,-0.4927,0.1,0.45,139
replied_to,0,0,0,2022-11-22T05:01:30.000Z,"""Democrats""",0.169,0.538,0.292,0.3818,0.4,0.45,61
replied_to,0,0,0,2022-11-22T05:01:30.000Z,"""Democrats""",0.148,0.74,0.112,-0.3244,-0.1666666666666666,0.4333333333333333,208
replied_to,0,0,0,2022-11-22T05:01:29.000Z,"""Democrats""",0.237,0.705,0.058,-0.7983,0.0,0.0,181
replied_to,0,0,0,2022-11-22T05:01:28.000Z,"""Democrats""",0.284,0.584,0.132,-0.6003,0.1266666666666666,0.508095238095238,114
replied_to,0,0,0,2022-11-22T05:01:22.000Z,"""Democrats""",0.0,1.0,0.0,0.0,0.0,0.0,26
replied_to,0,0,0,2022-11-22T05:01:20.000Z,"""Democrats""",0.0,0.932,0.068,0.4574,0.2083333333333333,0.7380952380952381,256
replied_to,0,0,0,2022-11-22T05:01:20.000Z,"""Democrats""",0.148,0.764,0.088,-0.7011,0.15,0.25,285
solo,1,1,0,2022-11-22T05:01:19.000Z,"""Democrats""",0.0,0.562,0.438,0.7906,0.0,0.0,76
replied_to,0,0,0,2022-11-22T05:01:16.000Z,"""Democrats""",0.065,0.935,0.0,-0.3182,0.0,0.0,216
replied_to,0,0,0,2022-11-22T05:01:16.000Z,"""Democrats""",0.423,0.435,0.141,-0.5562,0.0,0.0,42
replied_to,0,0,0,2022-11-22T05:01:15.000Z,"""Democrats""",0.104,0.734,0.162,0.2263,-0.0416666666666666,0.3305555555555555,170
replied_to,0,0,0,2022-11-22T05:01:13.000Z,"""Democrats""",0.18,0.537,0.283,0.4124,-0.325,0.515,191
replied_to,0,0,0,2022-11-22T05:01:13.000Z,"""Democrats""",0.113,0.842,0.045,-0.5859,-0.0874999999999999,0.5833333333333334,267
solo,0,0,0,2022-11-22T05:01:11.000Z,"""Democrats""",0.31,0.69,0.0,-0.4019,0.0,0.1,53
replied_to,0,0,0,2022-11-22T05:01:11.000Z,"""Democrats""",0.086,0.711,0.203,0.5859,0.2,0.3333333333333333,180
replied_to,0,0,0,2022-11-22T05:01:07.000Z,"""Democrats""",0.176,0.824,0.0,-0.8555,-0.0866666666666666,0.4599999999999999,281
replied_to,0,0,0,2022-11-22T05:01:07.000Z,"""Democrats""",0.0,1.0,0.0,0.0,0.0,0.5,140
replied_to,0,0,0,2022-11-22T05:01:07.000Z,"""Democrats""",0.301,0.473,0.225,-0.4145,0.0,0.0,90
replied_to,0,0,0,2022-11-22T05:01:06.000Z,"""Democrats""",0.368,0.632,0.0,-0.872,-0.7047619047619048,0.8523809523809525,130
replied_to,0,0,0,2022-11-22T05:01:06.000Z,"""Democrats""",0.425,0.508,0.067,-0.9476,-0.6,0.9,182
solo,0,0,0,2022-11-22T05:01:00.000Z,"""Democrats""",0.24,0.76,0.0,-0.7184,0.1,0.4,130
replied_to,0,0,0,2022-11-22T05:00:58.000Z,"""Democrats""",0.272,0.728,0.0,-0.6249,0.1363636363636363,0.4545454545454545,81
solo,0,0,0,2022-11-22T05:00:58.000Z,"""Democrats""",0.0,1.0,0.0,0.0,0.0,0.0,193
replied_to,0,0,0,2022-11-22T05:00:57.000Z,"""Democrats""",0.0,0.769,0.231,0.4019,0.0,0.0,68
replied_to,0,0,0,2022-11-22T05:00:52.000Z,"""Democrats""",0.0,0.855,0.145,0.296,0.0,0.0,88
replied_to,0,0,0,2022-11-22T05:00:51.000Z,"""Democrats""",0.145,0.676,0.179,0.348,0.0,0.625,258
solo,0,0,0,2022-11-22T05:00:51.000Z,"""Democrats""",0.0,1.0,0.0,0.0,0.0,0.0,27
solo,0,0,0,2022-11-22T05:00:48.000Z,"""Democrats""",0.0,1.0,0.0,0.0,0.5,0.5,123
replied_to,0,0,0,2022-11-22T05:00:47.000Z,"""Democrats""",0.202,0.798,0.0,-0.765,-0.15625,0.7666666666666667,171
solo,0,0,0,2022-11-22T05:00:45.000Z,"""Democrats""",0.0,1.0,0.0,0.0,0.0,0.0,76
replied_to,0,0,0,2022-11-22T05:00:44.000Z,"""Democrats""",0.141,0.776,0.083,-0.5067,-0.0379999999999999,0.4679999999999999,278
replied_to,0,1,0,2022-11-22T05:00:44.000Z,"""Democrats""",0.0,0.806,0.194,0.6239,0.2125,0.5,126
replied_to,0,0,0,2022-11-22T05:00:44.000Z,"""Democrats""",0.246,0.41,0.344,0.296,0.25,0.8,47
replied_to,0,0,0,2022-11-22T05:00:43.000Z,"""Democrats""",0.188,0.759,0.053,-0.7896,0.0,0.1,242
replied_to,0,0,0,2022-11-22T05:00:42.000Z,"""Democrats""",0.0,0.916,0.084,0.6072,0.0249999999999999,0.3928571428571428,236
replied_to,0,0,0,2022-11-22T05:00:41.000Z,"""Democrats""",0.0,0.874,0.126,0.6381,0.0,0.0,273
replied_to,0,0,0,2022-11-22T05:00:40.000Z,"""Democrats""",0.192,0.693,0.115,-0.4939,0.45,0.55,271
replied_to,0,0,0,2022-11-22T05:00:40.000Z,"""Democrats""",0.07,0.753,0.177,0.4588,0.0499999999999999,0.95,105
replied_to,0,0,0,2022-11-22T05:00:38.000Z,"""Democrats""",0.0,1.0,0.0,0.0,0.0,0.0,66
solo,0,0,0,2022-11-22T05:00:37.000Z,"""Democrats""",0.0,0.845,0.155,0.7772,0.875,0.9,267
replied_to,0,0,0,2022-11-22T05:00:34.000Z,"""Democrats""",0.216,0.784,0.0,-0.7003,0.0,0.0,156
replied_to,0,0,0,2022-11-22T05:00:31.000Z,"""Democrats""",0.083,0.917,0.0,-0.2023,0.0,0.5,118
replied_to,0,0,0,2022-11-22T05:00:26.000Z,"""Democrats""",0.0,1.0,0.0,0.0,0.0,0.0,56
replied_to,0,0,0,2022-11-22T05:00:24.000Z,"""Democrats""",0.21,0.653,0.137,-0.3058,-0.48828125,0.6875,75
replied_to,0,0,0,2022-11-22T05:00:24.000Z,"""Democrats""",0.152,0.848,0.0,-0.836,0.15,0.45,260
replied_to,0,0,0,2022-11-22T05:00:24.000Z,"""Democrats""",0.0,1.0,0.0,0.0,0.25,0.2,61
replied_to,0,0,0,2022-11-22T05:00:21.000Z,"""Democrats""",0.0,1.0,0.0,0.0,0.0,0.0,28
replied_to,0,0,0,2022-11-22T05:00:20.000Z,"""Democrats""",0.0,0.889,0.111,0.3612,0.0,0.625,118
quoted,0,0,0,2022-11-22T05:00:18.000Z,"""Democrats""",0.0,1.0,0.0,0.0,0.0,0.125,116
