type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
replied_to,0,0,0,2022-11-22T03:48:23.000Z,"""Donald Trump""",0.044,0.909,0.046,0.0258,0.1111111111111111,0.611111111111111,279
solo,0,0,0,2022-11-22T03:48:12.000Z,"""Donald Trump""",0.0,0.778,0.222,0.4588,0.3928571428571428,0.5178571428571428,94
replied_to,0,0,0,2022-11-22T03:48:04.000Z,"""Donald Trump""",0.0,0.488,0.512,0.6369,0.25,0.8,28
replied_to,0,0,0,2022-11-22T03:48:04.000Z,"""Donald Trump""",0.223,0.777,0.0,-0.6321,0.0,0.0,120
replied_to,0,0,0,2022-11-22T03:48:02.000Z,"""Donald Trump""",0.0,0.631,0.369,0.765,0.0,0.0,87
solo,0,0,0,2022-11-22T03:48:00.000Z,"""Donald Trump""",0.0,1.0,0.0,0.0,0.2,0.95,71
solo,0,0,0,2022-11-22T03:47:55.000Z,"""Donald Trump""",0.079,0.921,0.0,-0.3736,0.03125,0.1875,202
quoted,0,0,0,2022-11-22T03:47:54.000Z,"""Donald Trump""",0.073,0.843,0.084,0.125,0.2157142857142857,0.3821428571428572,225
replied_to,0,0,0,2022-11-22T03:47:50.000Z,"""Donald Trump""",0.205,0.795,0.0,-0.5574,0.0,0.0,82
replied_to,0,0,1,2022-11-22T03:47:45.000Z,"""Donald Trump""",0.0,1.0,0.0,0.0,0.0833333333333333,0.625,142
replied_to,0,0,0,2022-11-22T03:47:45.000Z,"""Donald Trump""",0.319,0.571,0.11,-0.6597,-0.5,0.625,102
replied_to,0,0,0,2022-11-22T03:47:44.000Z,"""Donald Trump""",0.191,0.661,0.148,-0.3853,0.2395833333333333,0.6916666666666668,281
solo,0,0,0,2022-11-22T03:47:43.000Z,"""Donald Trump""",0.0,1.0,0.0,0.0,0.1363636363636363,0.4545454545454545,70
replied_to,0,0,0,2022-11-22T03:47:20.000Z,"""Donald Trump""",0.112,0.888,0.0,-0.6892,-0.5,0.5,261
solo,0,0,0,2022-11-22T03:47:19.000Z,"""Donald Trump""",0.394,0.606,0.0,-0.5994,0.0,0.0,39
replied_to,0,0,0,2022-11-22T03:47:19.000Z,"""Donald Trump""",0.0,1.0,0.0,0.0,0.0,0.0,42
solo,0,1,0,2022-11-22T03:47:18.000Z,"""Donald Trump""",0.0,0.882,0.118,0.4215,0.0972727272727272,0.24,125
solo,0,0,0,2022-11-22T03:47:17.000Z,"""Donald Trump""",0.112,0.759,0.129,-0.2323,0.0853896103896103,0.4300865800865801,218
solo,0,0,0,2022-11-22T03:47:14.000Z,"""Donald Trump""",0.118,0.778,0.104,-0.1531,-0.2,0.1,219
replied_to,0,0,0,2022-11-22T03:47:10.000Z,"""Donald Trump""",0.0,1.0,0.0,0.0,0.0,0.0,32
