type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,0,0,0,2022-11-22T04:13:09.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.0,1.0,16
solo,0,0,1,2022-11-22T04:13:02.000Z,"""Florida""",0.0,0.933,0.067,0.0772,0.0,0.0,82
replied_to,0,0,0,2022-11-22T04:12:54.000Z,"""Florida""",0.137,0.729,0.133,-0.0258,0.3,0.7,132
replied_to,0,0,0,2022-11-22T04:12:52.000Z,"""Florida""",0.148,0.663,0.189,0.3472,0.9375,1.0,282
replied_to,0,0,0,2022-11-22T04:12:51.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.1363636363636363,0.4545454545454545,86
replied_to,0,0,0,2022-11-22T04:12:49.000Z,"""Florida""",0.214,0.528,0.258,0.1025,-0.0166666666666666,0.55,122
replied_to,0,0,0,2022-11-22T04:12:44.000Z,"""Florida""",0.135,0.865,0.0,-0.1027,0.0,0.0666666666666666,45
replied_to,0,0,0,2022-11-22T04:12:34.000Z,"""Florida""",0.064,0.904,0.032,-0.1779,0.2857142857142857,0.5357142857142857,278
replied_to,0,0,0,2022-11-22T04:12:31.000Z,"""Florida""",0.051,0.87,0.079,0.1027,-0.0214285714285714,0.5857142857142856,283
replied_to,0,0,0,2022-11-22T04:12:29.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.0,0.0,43
replied_to,0,0,0,2022-11-22T04:12:26.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.1363636363636363,0.5,72
solo,0,0,0,2022-11-22T04:12:26.000Z,"""Florida""",0.092,0.846,0.063,-0.2003,-0.4,0.4,171
replied_to,0,0,0,2022-11-22T04:12:20.000Z,"""Florida""",0.106,0.72,0.174,0.4545,0.05,0.44,131
replied_to,0,0,0,2022-11-22T04:12:18.000Z,"""Florida""",0.0,0.303,0.697,0.3182,0.0,0.0,16
replied_to,0,0,0,2022-11-22T04:12:12.000Z,"""Florida""",0.0,0.667,0.333,0.25,0.0,0.0,35
replied_to,0,0,0,2022-11-22T04:12:10.000Z,"""Florida""",0.0,0.744,0.256,0.4767,0.0,0.0,62
solo,0,0,1,2022-11-22T04:12:00.000Z,"""Florida""",0.066,0.934,0.0,-0.5574,0.0,0.1,277
solo,0,0,0,2022-11-22T04:11:59.000Z,"""Florida""",0.0,0.704,0.296,0.6369,0.25,0.3,110
quoted,0,0,0,2022-11-22T04:11:59.000Z,"""Florida""",0.078,0.922,0.0,-0.296,0.0,0.3,160
replied_to,0,0,0,2022-11-22T04:11:56.000Z,"""Florida""",0.0,1.0,0.0,0.0,-0.0133333333333333,0.2355555555555555,133
replied_to,0,0,0,2022-11-22T04:11:55.000Z,"""Florida""",0.0,0.58,0.42,0.4404,0.5,0.5,32
solo,0,0,0,2022-11-22T04:11:53.000Z,"""Florida""",0.091,0.781,0.129,0.4215,0.2,0.05,256
replied_to,0,0,0,2022-11-22T04:11:49.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.0,0.0,126
replied_to,0,0,0,2022-11-22T04:11:47.000Z,"""Florida""",0.152,0.782,0.066,-0.6369,-0.15,0.4,229
replied_to,0,0,0,2022-11-22T04:11:41.000Z,"""Florida""",0.214,0.786,0.0,-0.8466,-0.211111111111111,0.3844444444444444,208
solo,1,1,1,2022-11-22T04:11:27.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.0,0.0,42
solo,0,0,0,2022-11-22T04:11:19.000Z,"""Florida""",0.198,0.802,0.0,-0.5719,-0.4,0.45,89
solo,0,3,0,2022-11-22T04:11:18.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.25,0.25,167
replied_to,0,0,1,2022-11-22T04:11:14.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.0,0.0,94
replied_to,0,0,0,2022-11-22T04:11:13.000Z,"""Florida""",0.22,0.644,0.136,-0.7177,0.0826388888888888,0.6388888888888888,280
replied_to,0,0,0,2022-11-22T04:11:09.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.1363636363636363,0.5,27
solo,0,0,0,2022-11-22T04:11:02.000Z,"""Florida""",0.402,0.598,0.0,-0.8555,0.0,0.0,96
replied_to,0,0,0,2022-11-22T04:10:59.000Z,"""Florida""",0.257,0.743,0.0,-0.6705,-0.1,0.0333333333333333,82
replied_to,0,1,0,2022-11-22T04:10:50.000Z,"""Florida""",0.183,0.817,0.0,-0.7481,0.4166666666666667,0.5833333333333334,135
replied_to,0,0,0,2022-11-22T04:10:48.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.0,0.0,53
solo,0,0,0,2022-11-22T04:10:44.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.0,0.0,49
solo,0,0,0,2022-11-22T04:10:43.000Z,"""Florida""",0.0,0.838,0.162,0.4404,0.03125,0.28125,101
quoted,0,0,0,2022-11-22T04:10:41.000Z,"""Florida""",0.0,0.884,0.116,0.4404,0.5,0.5,141
replied_to,0,0,0,2022-11-22T04:10:36.000Z,"""Florida""",0.0,0.889,0.111,0.3612,0.0,0.0,120
solo,0,0,0,2022-11-22T04:10:35.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.0,0.0,72
solo,0,0,0,2022-11-22T04:10:34.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.0,1.0,60
quoted,1,2,0,2022-11-22T04:10:29.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.0,0.0,219
replied_to,0,0,0,2022-11-22T04:10:28.000Z,"""Florida""",0.046,0.671,0.283,0.9245,1.0,0.65,218
solo,0,0,0,2022-11-22T04:10:28.000Z,"""Florida""",0.0,0.665,0.335,0.9528,0.4216666666666667,0.5233333333333333,226
replied_to,0,0,0,2022-11-22T04:10:26.000Z,"""Florida""",0.303,0.697,0.0,-0.8126,-0.0599999999999999,0.5599999999999999,111
replied_to,0,1,0,2022-11-22T04:10:25.000Z,"""Florida""",0.0,0.67,0.33,0.8126,0.0,1.0,86
replied_to,0,0,0,2022-11-22T04:10:22.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.0,0.0,30
replied_to,0,1,1,2022-11-22T04:10:12.000Z,"""Florida""",0.232,0.709,0.059,-0.8074,-1.0,1.0,189
replied_to,0,0,0,2022-11-22T04:10:10.000Z,"""Florida""",0.388,0.612,0.0,-0.5859,0.0,0.0,40
solo,0,0,0,2022-11-22T04:09:47.000Z,"""Florida""",0.0,0.698,0.302,0.3818,0.0,0.0,46
replied_to,0,0,0,2022-11-22T04:09:43.000Z,"""Florida""",0.096,0.752,0.153,0.5647,0.05625,0.51875,229
solo,0,0,0,2022-11-22T04:09:37.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.0,0.0,93
replied_to,0,1,0,2022-11-22T04:09:36.000Z,"""Florida""",0.088,0.772,0.14,0.4939,0.0,0.7,280
replied_to,0,0,0,2022-11-22T04:09:33.000Z,"""Florida""",0.0,0.597,0.403,0.4019,0.0,0.0,27
solo,0,0,0,2022-11-22T04:09:32.000Z,"""Florida""",0.0,0.909,0.091,0.2023,0.0,1.0,146
solo,0,0,0,2022-11-22T04:09:29.000Z,"""Florida""",0.0,0.899,0.101,0.4019,0.0491071428571428,0.5178571428571428,168
solo,0,0,1,2022-11-22T04:09:28.000Z,"""Florida""",0.098,0.736,0.166,0.2732,0.1071428571428571,0.3214285714285714,89
quoted,0,2,0,2022-11-22T04:09:26.000Z,"""Florida""",0.0,0.924,0.076,0.4019,-0.2,0.8,216
replied_to,0,0,0,2022-11-22T04:09:22.000Z,"""Florida""",0.125,0.71,0.166,0.1754,-0.2,0.1,83
replied_to,0,0,0,2022-11-22T04:09:22.000Z,"""Florida""",0.0,0.811,0.189,0.4939,0.2833333333333333,0.6333333333333333,126
solo,10,24,5,2022-11-22T04:09:19.000Z,"""Florida""",0.204,0.601,0.195,0.1421,-0.0583333333333333,0.5166666666666666,206
quoted,0,0,0,2022-11-22T04:09:09.000Z,"""Florida""",0.055,0.862,0.083,0.2572,0.1,0.6564814814814816,190
solo,0,1,0,2022-11-22T04:09:06.000Z,"""Florida""",0.384,0.616,0.0,-0.7964,0.0,0.0,103
replied_to,0,0,0,2022-11-22T04:09:03.000Z,"""Florida""",0.144,0.856,0.0,-0.7088,-0.1011111111111111,0.4477777777777778,175
replied_to,0,0,1,2022-11-22T04:08:58.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.0,0.0,60
solo,0,0,0,2022-11-22T04:08:52.000Z,"""Florida""",0.0,0.87,0.13,0.6908,0.15,0.6,263
replied_to,0,1,0,2022-11-22T04:08:44.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.0,0.0,131
replied_to,0,0,0,2022-11-22T04:08:43.000Z,"""Florida""",0.126,0.791,0.083,-0.4926,0.190625,0.4,246
replied_to,0,0,0,2022-11-22T04:08:39.000Z,"""Florida""",0.238,0.65,0.112,-0.4417,0.1333333333333333,0.7999999999999999,107
solo,0,0,0,2022-11-22T04:08:31.000Z,"""Florida""",0.0,1.0,0.0,0.0,-0.0571428571428571,0.6178571428571429,90
replied_to,0,0,0,2022-11-22T04:08:29.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.0,0.0,26
replied_to,0,0,0,2022-11-22T04:08:26.000Z,"""Florida""",0.0,0.9,0.1,0.584,0.425,0.5916666666666667,219
solo,0,2,0,2022-11-22T04:08:26.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.0,0.0,44
replied_to,0,1,1,2022-11-22T04:08:20.000Z,"""Florida""",0.0,0.628,0.372,0.3327,0.4166666666666667,0.5,26
replied_to,0,0,0,2022-11-22T04:08:15.000Z,"""Florida""",0.0,1.0,0.0,0.0,-0.0318181818181818,0.2772727272727273,86
replied_to,0,1,1,2022-11-22T04:08:11.000Z,"""Florida""",0.0,0.81,0.19,0.5095,0.3333333333333333,0.5,76
replied_to,0,1,1,2022-11-22T04:08:08.000Z,"""Florida""",0.26,0.74,0.0,-0.8586,-0.3,0.6666666666666666,166
solo,0,0,0,2022-11-22T04:08:04.000Z,"""Florida""",0.0,1.0,0.0,0.0,-0.3125,0.6875,29
replied_to,0,0,0,2022-11-22T04:08:00.000Z,"""Florida""",0.0,0.198,0.802,0.8433,1.0,0.9,31
solo,0,10,3,2022-11-22T04:07:57.000Z,"""Florida""",0.188,0.734,0.078,-0.5267,-0.875,1.0,115
replied_to,0,0,0,2022-11-22T04:07:51.000Z,"""Florida""",0.055,0.912,0.033,-0.235,-0.6,0.75,230
quoted,0,0,0,2022-11-22T04:07:48.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.0,0.0,35
solo,0,0,0,2022-11-22T04:07:47.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.0,0.1,85
replied_to,0,1,0,2022-11-22T04:07:43.000Z,"""Florida""",0.172,0.828,0.0,-0.4497,-0.375,0.75,128
replied_to,0,0,0,2022-11-22T04:07:43.000Z,"""Florida""",0.251,0.673,0.076,-0.7184,-0.3125,0.4083333333333333,157
solo,0,0,0,2022-11-22T04:07:34.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.25,0.3333333333333333,252
replied_to,0,0,0,2022-11-22T04:07:32.000Z,"""Florida""",0.0,1.0,0.0,0.0,0.0,0.0,35
