type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
quoted,0,0,0,2022-11-22T03:49:52.000Z,"""Joe Biden""",0.414,0.586,0.0,-0.9753,-0.1133333333333333,0.5116666666666667,279
replied_to,0,0,0,2022-11-22T03:49:50.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.0,0.0,46
solo,0,0,0,2022-11-22T03:49:42.000Z,"""Joe Biden""",0.075,0.925,0.0,-0.4215,0.0,0.0,278
replied_to,0,0,0,2022-11-22T03:49:40.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,-0.1555555555555555,0.2888888888888889,114
solo,0,0,0,2022-11-22T03:49:34.000Z,"""Joe Biden""",0.191,0.809,0.0,-0.3818,-0.3625,0.5625,84
solo,0,0,0,2022-11-22T03:49:22.000Z,"""Joe Biden""",0.0,0.866,0.134,0.2144,0.119047619047619,0.1904761904761904,84
replied_to,0,0,0,2022-11-22T03:49:20.000Z,"""Joe Biden""",0.225,0.775,0.0,-0.5411,0.0,0.0,95
replied_to,0,0,0,2022-11-22T03:49:17.000Z,"""Joe Biden""",0.162,0.751,0.087,-0.3802,0.3571428571428571,0.5714285714285714,100
solo,0,0,0,2022-11-22T03:49:12.000Z,"""Joe Biden""",0.282,0.718,0.0,-0.4466,0.0,0.0,81
replied_to,0,0,0,2022-11-22T03:49:12.000Z,"""Joe Biden""",0.0,0.711,0.289,0.7579,0.1404761904761904,0.6547619047619048,98
solo,0,0,0,2022-11-22T03:49:08.000Z,"""Joe Biden""",0.318,0.682,0.0,-0.6808,0.0,0.0,87
solo,0,0,0,2022-11-22T03:49:08.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.0,0.0,70
replied_to,0,0,0,2022-11-22T03:49:06.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.0,0.0,34
replied_to,0,0,0,2022-11-22T03:49:06.000Z,"""Joe Biden""",0.286,0.714,0.0,-0.5574,0.1428571428571428,0.3303571428571428,50
replied_to,0,0,0,2022-11-22T03:49:00.000Z,"""Joe Biden""",0.205,0.612,0.183,-0.1531,0.25,0.3,115
replied_to,1,1,0,2022-11-22T03:48:57.000Z,"""Joe Biden""",0.0,0.48,0.52,0.9541,0.3,0.3,127
replied_to,0,0,0,2022-11-22T03:48:54.000Z,"""Joe Biden""",0.099,0.607,0.294,0.8658,0.3999999999999999,0.9,182
replied_to,0,0,0,2022-11-22T03:48:54.000Z,"""Joe Biden""",0.254,0.654,0.092,-0.8481,-0.0166666666666666,0.1999999999999999,253
replied_to,0,0,0,2022-11-22T03:48:49.000Z,"""Joe Biden""",0.071,0.826,0.103,-0.1882,-0.1050925925925925,0.3537037037037037,281
solo,0,0,0,2022-11-22T03:48:46.000Z,"""Joe Biden""",0.0,0.833,0.167,0.2023,0.0,0.5,80
replied_to,0,0,0,2022-11-22T03:48:45.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,-0.5,1.0,18
replied_to,0,0,0,2022-11-22T03:48:44.000Z,"""Joe Biden""",0.098,0.844,0.058,-0.3182,0.0,0.0,283
solo,0,2,0,2022-11-22T03:48:35.000Z,"""Joe Biden""",0.191,0.809,0.0,-0.3818,-0.3625,0.5625,84
replied_to,0,0,0,2022-11-22T03:48:33.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.0,0.1,90
replied_to,0,0,0,2022-11-22T03:48:30.000Z,"""Joe Biden""",0.268,0.732,0.0,-0.296,0.0,0.0,43
solo,0,0,0,2022-11-22T03:48:27.000Z,"""Joe Biden""",0.293,0.707,0.0,-0.7163,-0.5,0.5,72
solo,0,0,0,2022-11-22T03:48:00.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.0,1.0,176
solo,0,0,0,2022-11-22T03:47:55.000Z,"""Joe Biden""",0.0,0.804,0.196,0.296,0.0,0.0,73
replied_to,0,0,0,2022-11-22T03:47:43.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.0,0.1,46
solo,0,0,0,2022-11-22T03:47:38.000Z,"""Joe Biden""",0.083,0.747,0.17,0.3147,0.0,0.5,214
replied_to,0,0,0,2022-11-22T03:47:36.000Z,"""Joe Biden""",0.15,0.664,0.186,-0.0516,-0.3999999999999999,0.55,105
solo,0,0,0,2022-11-22T03:47:26.000Z,"""Joe Biden""",0.049,0.951,0.0,-0.1531,0.0681818181818181,0.2272727272727272,201
replied_to,0,0,0,2022-11-22T03:47:25.000Z,"""Joe Biden""",0.294,0.706,0.0,-0.3612,0.0,0.0,46
solo,0,0,0,2022-11-22T03:47:14.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.0,0.0,92
solo,0,0,0,2022-11-22T03:47:12.000Z,"""Joe Biden""",0.0,0.893,0.107,0.34,-0.0833333333333333,0.1333333333333333,161
replied_to,0,0,0,2022-11-22T03:46:58.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.6975446428571428,0.5357142857142857,95
solo,0,0,0,2022-11-22T03:46:54.000Z,"""Joe Biden""",0.183,0.705,0.112,-0.6059,-0.2499999999999999,0.3833333333333333,197
replied_to,0,0,0,2022-11-22T03:46:49.000Z,"""Joe Biden""",0.236,0.633,0.131,-0.5661,-0.3083333333333333,0.45,116
solo,0,0,0,2022-11-22T03:46:48.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.0,0.0,51
replied_to,0,0,0,2022-11-22T03:46:48.000Z,"""Joe Biden""",0.113,0.887,0.0,-0.6369,0.0533333333333333,0.5466666666666667,237
replied_to,0,0,0,2022-11-22T03:46:41.000Z,"""Joe Biden""",0.0,0.87,0.13,0.4588,0.25,0.25,126
replied_to,0,0,0,2022-11-22T03:46:41.000Z,"""Joe Biden""",0.109,0.741,0.151,0.1779,0.35,0.3333333333333333,199
solo,0,0,0,2022-11-22T03:46:40.000Z,"""Joe Biden""",0.048,0.829,0.123,0.6461,0.2333333333333333,0.3999999999999999,279
solo,0,2,0,2022-11-22T03:46:39.000Z,"""Joe Biden""",0.0,0.717,0.283,0.743,0.0,0.0,93
solo,0,0,0,2022-11-22T03:46:26.000Z,"""Joe Biden""",0.0,0.842,0.158,0.7717,0.2722222222222222,0.5944444444444444,230
replied_to,0,0,0,2022-11-22T03:46:22.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.0,0.0,44
solo,0,0,0,2022-11-22T03:46:20.000Z,"""Joe Biden""",0.0,0.916,0.084,0.5106,0.1,0.2,189
solo,0,0,0,2022-11-22T03:46:16.000Z,"""Joe Biden""",0.0,0.864,0.136,0.296,0.0,0.0,129
solo,0,0,0,2022-11-22T03:46:12.000Z,"""Joe Biden""",0.0,0.871,0.129,0.5106,-0.0416666666666666,0.65,186
replied_to,0,0,0,2022-11-22T03:46:10.000Z,"""Joe Biden""",0.142,0.832,0.026,-0.7712,-0.1577272727272727,0.2433333333333333,275
solo,0,2,1,2022-11-22T03:46:05.000Z,"""Joe Biden""",0.066,0.852,0.082,0.128,-0.1555555555555555,0.2888888888888889,169
solo,0,0,0,2022-11-22T03:46:01.000Z,"""Joe Biden""",0.185,0.588,0.227,0.128,0.0,0.0,50
replied_to,0,0,0,2022-11-22T03:45:58.000Z,"""Joe Biden""",0.248,0.752,0.0,-0.5106,-0.375,0.5,61
replied_to,0,0,0,2022-11-22T03:45:55.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.0,0.0666666666666666,83
replied_to,0,0,0,2022-11-22T03:45:32.000Z,"""Joe Biden""",0.268,0.732,0.0,-0.5106,0.2,0.4,52
replied_to,0,0,0,2022-11-22T03:45:29.000Z,"""Joe Biden""",0.0,0.924,0.076,0.4215,0.0666666666666666,0.2,203
replied_to,0,0,0,2022-11-22T03:45:18.000Z,"""Joe Biden""",0.05,0.846,0.104,0.34,0.0833333333333333,0.5833333333333333,137
replied_to,0,0,0,2022-11-22T03:45:11.000Z,"""Joe Biden""",0.102,0.729,0.169,0.3365,0.75,0.8,91
solo,0,1,0,2022-11-22T03:45:08.000Z,"""Joe Biden""",0.195,0.65,0.154,-0.128,-0.5,1.0,74
replied_to,0,0,0,2022-11-22T03:45:06.000Z,"""Joe Biden""",0.258,0.547,0.195,-0.2023,-0.7142857142857143,0.8571428571428571,46
solo,1,1,0,2022-11-22T03:44:53.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.0,0.0,190
solo,0,0,0,2022-11-22T03:44:52.000Z,"""Joe Biden""",0.164,0.71,0.126,-0.1779,-0.1999999999999999,0.5666666666666667,103
replied_to,0,0,0,2022-11-22T03:44:46.000Z,"""Joe Biden""",0.077,0.68,0.243,0.875,0.2666666666666666,0.7416666666666666,244
replied_to,0,0,0,2022-11-22T03:44:44.000Z,"""Joe Biden""",0.091,0.909,0.0,-0.3818,-0.5,1.0,216
replied_to,0,0,0,2022-11-22T03:44:42.000Z,"""Joe Biden""",0.227,0.69,0.083,-0.6351,0.0,0.0,160
solo,0,0,0,2022-11-22T03:44:41.000Z,"""Joe Biden""",0.338,0.662,0.0,-0.6834,0.2,0.9,78
replied_to,0,0,0,2022-11-22T03:44:41.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.0,0.0,78
replied_to,0,0,1,2022-11-22T03:44:40.000Z,"""Joe Biden""",0.0,0.794,0.206,0.6369,0.25,0.25,129
solo,0,0,0,2022-11-22T03:44:37.000Z,"""Joe Biden""",0.103,0.897,0.0,-0.5719,0.1,0.2,273
replied_to,0,0,0,2022-11-22T03:44:32.000Z,"""Joe Biden""",0.121,0.765,0.115,-0.0772,-0.4000000000000001,0.55,254
replied_to,0,0,1,2022-11-22T03:44:31.000Z,"""Joe Biden""",0.068,0.841,0.091,0.1779,0.4333333333333333,0.4555555555555555,154
replied_to,0,0,0,2022-11-22T03:44:28.000Z,"""Joe Biden""",0.118,0.719,0.163,0.1027,-0.1625,0.5875,144
quoted,0,0,0,2022-11-22T03:44:21.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.0,0.0,61
replied_to,0,0,0,2022-11-22T03:44:18.000Z,"""Joe Biden""",0.0,0.899,0.101,0.5574,0.15,0.25,250
solo,0,0,0,2022-11-22T03:44:18.000Z,"""Joe Biden""",0.282,0.718,0.0,-0.4466,0.0,0.0,81
replied_to,0,0,0,2022-11-22T03:44:12.000Z,"""Joe Biden""",0.137,0.56,0.303,0.829,0.21875,0.525,204
replied_to,0,0,0,2022-11-22T03:44:09.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.0,0.1,69
replied_to,0,0,0,2022-11-22T03:43:55.000Z,"""Joe Biden""",0.397,0.603,0.0,-0.9761,0.125,0.25375,214
replied_to,0,0,3,2022-11-22T03:43:41.000Z,"""Joe Biden""",0.185,0.815,0.0,-0.5267,-0.4,0.55,96
replied_to,0,1,0,2022-11-22T03:43:39.000Z,"""Joe Biden""",0.087,0.653,0.259,0.8462,0.3433333333333334,0.5933333333333334,225
replied_to,0,0,0,2022-11-22T03:43:31.000Z,"""Joe Biden""",0.109,0.891,0.0,-0.4696,0.1944444444444444,0.2305555555555555,139
solo,0,3,0,2022-11-22T03:43:28.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.0,0.0,23
solo,0,0,0,2022-11-22T03:43:27.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.0,0.0,62
solo,0,0,1,2022-11-22T03:43:24.000Z,"""Joe Biden""",0.204,0.796,0.0,-0.7096,-0.125,0.575,169
replied_to,0,0,0,2022-11-22T03:43:21.000Z,"""Joe Biden""",0.163,0.674,0.163,0.0,0.0,0.1,119
replied_to,0,0,0,2022-11-22T03:43:19.000Z,"""Joe Biden""",0.056,0.867,0.077,0.1779,0.355,0.5549999999999999,191
replied_to,0,0,0,2022-11-22T03:43:14.000Z,"""Joe Biden""",0.31,0.69,0.0,-0.5574,-0.2,0.8,53
solo,0,0,0,2022-11-22T03:43:07.000Z,"""Joe Biden""",0.237,0.763,0.0,-0.6166,0.0,0.0,72
replied_to,0,0,2,2022-11-22T03:43:04.000Z,"""Joe Biden""",0.0,0.847,0.153,0.4019,0.0,0.1,106
replied_to,0,0,3,2022-11-22T03:43:01.000Z,"""Joe Biden""",0.18,0.531,0.289,0.4753,0.6625,0.9,147
solo,0,0,0,2022-11-22T03:43:00.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.0,0.0,61
replied_to,0,0,0,2022-11-22T03:42:59.000Z,"""Joe Biden""",0.0,0.786,0.214,0.2924,0.0,0.0,45
replied_to,0,0,0,2022-11-22T03:42:49.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.0,0.0,25
replied_to,0,0,0,2022-11-22T03:42:41.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.0,0.0833333333333333,177
replied_to,0,0,0,2022-11-22T03:42:38.000Z,"""Joe Biden""",0.0,1.0,0.0,0.0,0.0,0.0,33
replied_to,0,0,0,2022-11-22T03:42:30.000Z,"""Joe Biden""",0.175,0.825,0.0,-0.6486,-0.0416666666666666,0.25,139
replied_to,0,0,1,2022-11-22T03:42:24.000Z,"""Joe Biden""",0.279,0.721,0.0,-0.9593,-0.1395061728395061,0.5209876543209877,272
replied_to,0,0,0,2022-11-22T03:42:20.000Z,"""Joe Biden""",0.0,0.922,0.078,0.4215,0.1875,0.4375,214
replied_to,0,0,0,2022-11-22T03:42:15.000Z,"""Joe Biden""",0.264,0.736,0.0,-0.7783,0.1333333333333333,0.3333333333333333,110
