type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
replied_to,0,0,0,2022-11-22T04:30:18.000Z,"""Qatar""",0.086,0.914,0.0,-0.5267,0.1,0.2,197
replied_to,0,0,0,2022-11-22T04:30:18.000Z,"""Qatar""",0.088,0.912,0.0,-0.4973,0.1904761904761904,0.4761904761904761,239
solo,0,0,1,2022-11-22T04:30:17.000Z,"""Qatar""",0.0,0.9,0.1,0.4404,0.0681818181818181,0.3522727272727273,161
replied_to,0,0,0,2022-11-22T04:30:15.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.0,0.0,24
solo,0,0,0,2022-11-22T04:30:14.000Z,"""Qatar""",0.0,0.818,0.182,0.4973,0.1,0.15,128
replied_to,0,0,0,2022-11-22T04:30:14.000Z,"""Qatar""",0.044,0.887,0.069,0.25,-0.2625,0.4125,240
solo,0,1,1,2022-11-22T04:30:13.000Z,"""Qatar""",0.0,0.886,0.114,0.1695,0.0,0.0,84
replied_to,0,0,0,2022-11-22T04:30:07.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.1363636363636363,0.5,84
replied_to,0,0,0,2022-11-22T04:30:07.000Z,"""Qatar""",0.0,0.724,0.276,0.6369,0.5,0.6,58
replied_to,0,0,0,2022-11-22T04:30:05.000Z,"""Qatar""",0.277,0.668,0.055,-0.7182,-0.125,0.375,176
replied_to,0,0,0,2022-11-22T04:30:04.000Z,"""Qatar""",0.176,0.759,0.066,-0.446,-0.2375,0.6222222222222222,170
solo,0,0,1,2022-11-22T04:30:02.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.0,0.0,45
replied_to,0,0,0,2022-11-22T04:30:02.000Z,"""Qatar""",0.411,0.504,0.084,-0.7809,-0.5,1.0,63
quoted,0,0,0,2022-11-22T04:30:00.000Z,"""Qatar""",0.437,0.563,0.0,-0.4767,0.0,0.0,52
solo,0,0,0,2022-11-22T04:30:00.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.0083333333333333,0.1222222222222222,262
solo,0,0,0,2022-11-22T04:30:00.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.0,0.0,231
solo,0,0,0,2022-11-22T04:30:00.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.0,0.0,106
solo,0,0,0,2022-11-22T04:30:00.000Z,"""Qatar""",0.0,0.964,0.036,0.0772,0.2833333333333333,0.3111111111111111,241
solo,0,0,1,2022-11-22T04:30:00.000Z,"""Qatar""",0.0,0.856,0.144,0.6369,0.6,0.2,148
solo,0,0,0,2022-11-22T04:30:00.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.1,0.0,166
solo,1,1,1,2022-11-22T04:30:00.000Z,"""Qatar""",0.103,0.897,0.0,-0.4588,0.0,0.0,151
solo,0,0,0,2022-11-22T04:30:00.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.1,0.4,254
replied_to,0,0,0,2022-11-22T04:29:57.000Z,"""Qatar""",0.0,0.803,0.197,0.4019,0.5,0.5,84
solo,0,0,0,2022-11-22T04:29:56.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.0,0.0,102
solo,0,0,1,2022-11-22T04:29:55.000Z,"""Qatar""",0.247,0.753,0.0,-0.5574,0.0,0.0,72
replied_to,0,0,0,2022-11-22T04:29:55.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.1363636363636363,0.5,85
solo,0,0,0,2022-11-22T04:29:54.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.0,0.0,53
replied_to,0,0,0,2022-11-22T04:29:52.000Z,"""Qatar""",0.0,0.862,0.138,0.34,0.0,0.0,101
replied_to,0,0,0,2022-11-22T04:29:52.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.0,1.0,80
quoted,0,0,0,2022-11-22T04:29:52.000Z,"""Qatar""",0.0,0.645,0.355,0.6697,0.0,0.3,67
solo,0,0,1,2022-11-22T04:29:49.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.15,0.45,206
solo,0,0,0,2022-11-22T04:29:49.000Z,"""Qatar""",0.035,0.87,0.095,0.4921,0.0222222222222222,0.4222222222222222,277
quoted,0,0,0,2022-11-22T04:29:47.000Z,"""Qatar""",0.201,0.681,0.118,-0.7501,-0.3575,0.6,277
solo,0,0,0,2022-11-22T04:29:47.000Z,"""Qatar""",0.0,0.767,0.233,0.836,0.8333333333333334,0.6416666666666667,194
solo,0,0,0,2022-11-22T04:29:46.000Z,"""Qatar""",0.13,0.685,0.185,0.2023,0.025,0.2249999999999999,90
replied_to,0,0,0,2022-11-22T04:29:46.000Z,"""Qatar""",0.113,0.887,0.0,-0.1027,-0.2916666666666667,0.5416666666666666,62
replied_to,0,0,0,2022-11-22T04:29:46.000Z,"""Qatar""",0.0,0.927,0.073,0.4515,0.0333333333333333,0.5962962962962962,265
replied_to,0,0,0,2022-11-22T04:29:45.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.1363636363636363,0.5,86
solo,0,0,0,2022-11-22T04:29:44.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.0,0.0,131
replied_to,0,0,0,2022-11-22T04:29:40.000Z,"""Qatar""",0.252,0.673,0.075,-0.9095,-0.24,0.38,253
replied_to,0,0,0,2022-11-22T04:29:40.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.5,0.5,50
replied_to,0,0,0,2022-11-22T04:29:39.000Z,"""Qatar""",0.11,0.89,0.0,-0.4728,0.125,0.625,146
quoted,0,0,0,2022-11-22T04:29:38.000Z,"""Qatar""",0.19,0.659,0.151,-0.0,0.0787878787878787,0.5333333333333333,122
replied_to,0,0,0,2022-11-22T04:29:36.000Z,"""Qatar""",0.0,0.615,0.385,0.7579,0.0,0.0,87
replied_to,0,0,0,2022-11-22T04:29:35.000Z,"""Qatar""",0.0,0.29,0.71,0.5994,0.0,0.0,19
replied_to,0,0,0,2022-11-22T04:29:33.000Z,"""Qatar""",0.0,0.884,0.116,0.6705,0.3999999999999999,0.5666666666666667,228
solo,0,0,0,2022-11-22T04:29:33.000Z,"""Qatar""",0.071,0.759,0.169,0.6984,0.0291666666666666,0.4208333333333334,251
replied_to,0,0,0,2022-11-22T04:29:33.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.1363636363636363,0.5,85
replied_to,0,0,0,2022-11-22T04:29:32.000Z,"""Qatar""",0.183,0.679,0.138,-0.0245,-0.25,0.9,244
solo,1,1,0,2022-11-22T04:29:31.000Z,"""Qatar""",0.0,0.749,0.251,0.8271,0.35,0.3638888888888889,157
solo,0,0,0,2022-11-22T04:29:30.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.15,0.45,206
solo,0,0,0,2022-11-22T04:29:30.000Z,"""Qatar""",0.0,0.845,0.155,0.7378,0.05,0.5625,253
replied_to,0,0,0,2022-11-22T04:29:29.000Z,"""Qatar""",0.329,0.671,0.0,-0.5994,0.0,0.0,72
replied_to,0,0,0,2022-11-22T04:29:29.000Z,"""Qatar""",0.146,0.748,0.106,0.0,0.0,0.0,116
replied_to,0,0,0,2022-11-22T04:29:29.000Z,"""Qatar""",0.0,0.873,0.127,0.5204,0.4,0.75,160
replied_to,0,0,0,2022-11-22T04:29:28.000Z,"""Qatar""",0.067,0.819,0.114,0.2263,0.1071428571428571,0.7857142857142857,222
solo,0,0,0,2022-11-22T04:29:27.000Z,"""Qatar""",0.095,0.905,0.0,-0.3182,0.0,0.0,163
replied_to,0,0,0,2022-11-22T04:29:25.000Z,"""Qatar""",0.115,0.673,0.212,0.6124,-0.06,0.37,271
solo,1,1,0,2022-11-22T04:29:25.000Z,"""Qatar""",0.389,0.162,0.449,0.2732,0.0979166666666666,0.6958333333333333,45
solo,0,0,0,2022-11-22T04:29:24.000Z,"""Qatar""",0.095,0.747,0.158,0.3612,0.0766666666666666,0.1933333333333333,110
replied_to,0,0,0,2022-11-22T04:29:24.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.0,0.0,36
solo,0,0,1,2022-11-22T04:29:23.000Z,"""Qatar""",0.047,0.953,0.0,-0.296,0.31,0.5514285714285714,266
replied_to,0,0,0,2022-11-22T04:29:22.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.0,0.0,52
replied_to,0,0,0,2022-11-22T04:29:19.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.0,0.0,24
solo,0,0,1,2022-11-22T04:29:18.000Z,"""Qatar""",0.167,0.693,0.14,-0.3612,-0.1833333333333333,0.4833333333333333,256
replied_to,0,0,0,2022-11-22T04:29:18.000Z,"""Qatar""",0.0,0.781,0.219,0.8209,0.53125,0.525,155
solo,0,0,0,2022-11-22T04:29:13.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.0,0.0,22
solo,0,0,1,2022-11-22T04:29:13.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.15,0.45,206
solo,0,0,1,2022-11-22T04:29:13.000Z,"""Qatar""",0.0,0.775,0.225,0.872,0.0799999999999999,0.42,278
replied_to,0,0,0,2022-11-22T04:29:12.000Z,"""Qatar""",0.0,0.782,0.218,0.7783,-0.1374999999999999,0.3625,183
replied_to,0,0,0,2022-11-22T04:29:12.000Z,"""Qatar""",0.108,0.772,0.12,0.0772,0.0,0.0,128
solo,1,0,1,2022-11-22T04:29:11.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.0,0.0,144
solo,0,0,0,2022-11-22T04:29:11.000Z,"""Qatar""",0.086,0.811,0.104,0.1027,-0.0714285714285714,0.1428571428571428,121
solo,0,0,0,2022-11-22T04:29:09.000Z,"""Qatar""",0.086,0.811,0.104,0.1027,-0.0714285714285714,0.1428571428571428,121
replied_to,0,0,0,2022-11-22T04:29:09.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.1363636363636363,0.5,84
replied_to,1,0,0,2022-11-22T04:29:08.000Z,"""Qatar""",0.231,0.769,0.0,-0.4023,-0.2,0.8,65
replied_to,0,0,0,2022-11-22T04:29:07.000Z,"""Qatar""",0.135,0.73,0.135,-0.2561,0.1371428571428571,0.5985714285714285,162
replied_to,0,0,0,2022-11-22T04:29:07.000Z,"""Qatar""",0.0,0.906,0.094,0.4215,0.0,0.375,228
replied_to,0,0,0,2022-11-22T04:29:06.000Z,"""Qatar""",0.0,0.814,0.186,0.846,0.182421875,0.65,271
solo,0,0,0,2022-11-22T04:29:04.000Z,"""Qatar""",0.0,0.494,0.506,0.6239,0.7500000000000001,0.9,34
replied_to,0,0,0,2022-11-22T04:29:04.000Z,"""Qatar""",0.305,0.695,0.0,-0.7034,0.0,0.125,66
replied_to,0,0,0,2022-11-22T04:29:01.000Z,"""Qatar""",0.0,0.562,0.438,0.8316,0.9,0.875,78
replied_to,0,0,0,2022-11-22T04:28:59.000Z,"""Qatar""",0.046,0.954,0.0,-0.2755,-0.1666666666666666,0.2666666666666666,257
replied_to,0,0,0,2022-11-22T04:28:57.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.0,0.0,38
replied_to,0,0,0,2022-11-22T04:28:54.000Z,"""Qatar""",0.0,0.811,0.189,0.6369,1.0,0.3,137
replied_to,0,0,0,2022-11-22T04:28:50.000Z,"""Qatar""",0.085,0.74,0.176,0.6049,0.2333333333333333,0.6208333333333333,238
replied_to,0,0,1,2022-11-22T04:28:49.000Z,"""Qatar""",0.11,0.826,0.064,-0.296,0.0694444444444444,0.4694444444444445,259
solo,0,0,0,2022-11-22T04:28:48.000Z,"""Qatar""",0.13,0.87,0.0,-0.6711,-0.05,0.6055555555555555,230
solo,0,0,0,2022-11-22T04:28:47.000Z,"""Qatar""",0.0,1.0,0.0,0.0,-0.2,0.4,150
solo,0,0,0,2022-11-22T04:28:47.000Z,"""Qatar""",0.144,0.856,0.0,-0.4939,-0.4,0.4,121
replied_to,0,0,0,2022-11-22T04:28:47.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.0,0.0,75
quoted,0,0,0,2022-11-22T04:28:47.000Z,"""Qatar""",0.0,0.932,0.068,0.4696,0.2857142857142857,0.5357142857142857,257
quoted,0,0,0,2022-11-22T04:28:46.000Z,"""Qatar""",0.343,0.474,0.183,-0.7227,-0.2,0.4666666666666666,108
replied_to,0,0,0,2022-11-22T04:28:46.000Z,"""Qatar""",0.0,0.408,0.592,0.4404,0.2,0.2,19
replied_to,0,0,0,2022-11-22T04:28:45.000Z,"""Qatar""",0.05,0.814,0.136,0.5357,-0.1133333333333333,0.6133333333333333,205
quoted,0,0,0,2022-11-22T04:28:44.000Z,"""Qatar""",0.394,0.606,0.0,-0.3818,0.0,0.0,27
replied_to,0,0,0,2022-11-22T04:28:43.000Z,"""Qatar""",0.0,0.946,0.054,0.25,0.0,0.0,217
replied_to,0,0,0,2022-11-22T04:28:42.000Z,"""Qatar""",0.058,0.866,0.075,-0.0258,0.0333333333333333,0.4388888888888889,280
replied_to,0,0,0,2022-11-22T04:28:41.000Z,"""Qatar""",0.0,0.709,0.291,0.9413,0.1,0.1333333333333333,245
replied_to,0,0,0,2022-11-22T04:28:41.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.1363636363636363,0.5,84
replied_to,0,1,0,2022-11-22T04:28:41.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.0,0.0,18
solo,0,0,1,2022-11-22T04:28:40.000Z,"""Qatar""",0.051,0.949,0.0,-0.3395,0.0,0.0666666666666666,267
quoted,0,1,0,2022-11-22T04:28:40.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.0,0.0,60
replied_to,0,0,0,2022-11-22T04:28:40.000Z,"""Qatar""",0.101,0.705,0.194,0.6558,0.2,0.08,223
solo,0,0,0,2022-11-22T04:28:39.000Z,"""Qatar""",0.2,0.8,0.0,-0.4588,0.0,0.0,83
replied_to,0,0,0,2022-11-22T04:28:39.000Z,"""Qatar""",0.345,0.655,0.0,-0.2755,0.0,0.0,43
replied_to,0,0,0,2022-11-22T04:28:37.000Z,"""Qatar""",0.04,0.96,0.0,-0.1901,0.0333333333333333,0.8333333333333334,273
solo,0,0,0,2022-11-22T04:28:36.000Z,"""Qatar""",0.164,0.603,0.233,0.2023,0.0,0.0,55
solo,0,0,0,2022-11-22T04:28:35.000Z,"""Qatar""",0.133,0.705,0.162,-0.108,0.0666666666666666,0.2666666666666666,209
solo,0,0,0,2022-11-22T04:28:33.000Z,"""Qatar""",0.112,0.629,0.259,0.8271,0.4266666666666666,0.4516666666666666,238
replied_to,0,0,0,2022-11-22T04:28:30.000Z,"""Qatar""",0.25,0.75,0.0,-0.4588,0.4166666666666667,0.5833333333333334,56
replied_to,0,0,0,2022-11-22T04:28:30.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.1363636363636363,0.5,86
replied_to,0,0,0,2022-11-22T04:28:30.000Z,"""Qatar""",0.282,0.581,0.137,-0.3612,-0.1666666666666666,0.8333333333333334,104
solo,0,0,1,2022-11-22T04:28:28.000Z,"""Qatar""",0.0,1.0,0.0,0.0,-0.2,0.4,150
replied_to,0,0,0,2022-11-22T04:28:27.000Z,"""Qatar""",0.0,0.928,0.072,0.4199,0.1833333333333333,0.475,247
replied_to,0,0,0,2022-11-22T04:28:27.000Z,"""Qatar""",0.086,0.861,0.053,-0.3751,0.25,0.75,274
replied_to,0,0,0,2022-11-22T04:28:26.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.0,0.0,75
replied_to,0,0,0,2022-11-22T04:28:25.000Z,"""Qatar""",0.0,0.787,0.213,0.8126,0.0,0.375,240
solo,0,0,0,2022-11-22T04:28:25.000Z,"""Qatar""",0.0,0.717,0.283,0.9431,0.5662499999999999,0.62,218
replied_to,0,1,0,2022-11-22T04:28:25.000Z,"""Qatar""",0.277,0.723,0.0,-0.3182,-0.0375,0.4166666666666667,36
replied_to,0,0,0,2022-11-22T04:28:25.000Z,"""Qatar""",0.229,0.771,0.0,-0.6862,-0.2833333333333333,0.3333333333333333,118
replied_to,0,0,0,2022-11-22T04:28:24.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.0,0.375,155
replied_to,0,0,0,2022-11-22T04:28:24.000Z,"""Qatar""",0.0,0.774,0.226,0.6907,-0.3671875,0.6875,173
replied_to,0,0,0,2022-11-22T04:28:24.000Z,"""Qatar""",0.0,1.0,0.0,0.0,0.4,0.9,79
solo,0,0,0,2022-11-22T04:28:23.000Z,"""Qatar""",0.345,0.655,0.0,-0.7003,-0.4,0.6,79
replied_to,0,0,0,2022-11-22T04:28:22.000Z,"""Qatar""",0.0,0.786,0.214,0.7394,0.14375,0.84375,141
replied_to,0,0,0,2022-11-22T04:28:22.000Z,"""Qatar""",0.0,0.873,0.127,0.5667,0.375,0.475,208
replied_to,0,0,0,2022-11-22T04:28:21.000Z,"""Qatar""",0.169,0.831,0.0,-0.432,-0.1,0.9,119
solo,0,0,0,2022-11-22T04:28:20.000Z,"""Qatar""",0.0,0.711,0.289,0.6478,0.4333333333333333,0.3666666666666667,89
