type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
replied_to,0,0,0,2022-11-22T05:02:30.000Z,"""Republicans""",0.087,0.707,0.206,0.4946,-0.0583333333333333,0.5499999999999999,152
solo,0,0,0,2022-11-22T05:02:28.000Z,"""Republicans""",0.287,0.622,0.091,-0.8641,-0.2113636363636363,0.6522727272727274,279
replied_to,0,0,0,2022-11-22T05:02:27.000Z,"""Republicans""",0.187,0.677,0.137,-0.4802,0.025,0.6333333333333333,281
solo,0,0,0,2022-11-22T05:02:26.000Z,"""Republicans""",0.0,0.808,0.192,0.4215,0.0,0.5,109
replied_to,0,0,0,2022-11-22T05:02:26.000Z,"""Republicans""",0.0,0.871,0.129,0.4641,-0.0178571428571428,0.4857142857142857,241
quoted,0,0,0,2022-11-22T05:02:26.000Z,"""Republicans""",0.0,0.321,0.679,0.8899,0.5333333333333333,0.6666666666666666,48
replied_to,0,0,0,2022-11-22T05:02:25.000Z,"""Republicans""",0.212,0.614,0.173,-0.4724,0.15,0.5625,235
replied_to,0,0,0,2022-11-22T05:02:19.000Z,"""Republicans""",0.337,0.621,0.042,-0.8751,0.0,1.0,140
quoted,0,0,0,2022-11-22T05:02:19.000Z,"""Republicans""",0.0,0.816,0.184,0.5423,0.0,0.0666666666666666,169
replied_to,0,0,0,2022-11-22T05:02:18.000Z,"""Republicans""",0.407,0.593,0.0,-0.9595,-0.8,0.9,243
replied_to,0,1,0,2022-11-22T05:02:16.000Z,"""Republicans""",0.04,0.732,0.228,0.8835,0.084375,0.1625,283
replied_to,0,0,0,2022-11-22T05:02:13.000Z,"""Republicans""",0.112,0.772,0.116,0.0598,-0.18125,0.36875,241
quoted,0,0,0,2022-11-22T05:02:12.000Z,"""Republicans""",0.0,1.0,0.0,0.0,-0.6,0.9,80
replied_to,0,0,0,2022-11-22T05:02:12.000Z,"""Republicans""",0.115,0.735,0.15,0.3182,0.1875,0.78125,195
solo,0,0,0,2022-11-22T05:02:12.000Z,"""Republicans""",0.0,1.0,0.0,0.0,0.0,1.0,82
replied_to,0,0,0,2022-11-22T05:02:12.000Z,"""Republicans""",0.184,0.721,0.095,-0.5994,-0.45,0.4854166666666666,263
replied_to,0,0,0,2022-11-22T05:02:12.000Z,"""Republicans""",0.0,1.0,0.0,0.0,0.1666666666666666,0.5,119
quoted,0,0,0,2022-11-22T05:02:07.000Z,"""Republicans""",0.394,0.606,0.0,-0.3818,0.0,0.0,32
replied_to,0,0,0,2022-11-22T05:02:07.000Z,"""Republicans""",0.091,0.909,0.0,-0.3818,0.0,0.0,171
quoted,0,0,0,2022-11-22T05:02:04.000Z,"""Republicans""",0.0,0.868,0.132,0.6496,0.390625,0.2,280
replied_to,0,0,0,2022-11-22T05:01:54.000Z,"""Republicans""",0.0,0.838,0.162,0.508,0.0,0.0,110
replied_to,0,0,0,2022-11-22T05:01:50.000Z,"""Republicans""",0.099,0.873,0.028,-0.5574,0.5,0.75,280
replied_to,0,0,0,2022-11-22T05:01:49.000Z,"""Republicans""",0.035,0.87,0.095,0.296,0.175,0.575,219
replied_to,0,0,0,2022-11-22T05:01:49.000Z,"""Republicans""",0.379,0.521,0.1,-0.7881,0.0,0.1,116
replied_to,0,0,0,2022-11-22T05:01:47.000Z,"""Republicans""",0.0,1.0,0.0,0.0,-0.3125,0.6875,42
replied_to,0,0,0,2022-11-22T05:01:47.000Z,"""Republicans""",0.167,0.833,0.0,-0.34,0.0,0.0,91
replied_to,0,0,0,2022-11-22T05:01:46.000Z,"""Republicans""",0.356,0.644,0.0,-0.5954,0.0,0.0,44
replied_to,0,0,0,2022-11-22T05:01:46.000Z,"""Republicans""",0.083,0.917,0.0,-0.4019,0.0039351851851851,0.7388888888888889,247
replied_to,0,0,0,2022-11-22T05:01:45.000Z,"""Republicans""",0.352,0.648,0.0,-0.5046,0.0,0.0,52
replied_to,0,0,0,2022-11-22T05:01:43.000Z,"""Republicans""",0.17,0.762,0.068,-0.5803,0.1,0.65,189
replied_to,0,0,0,2022-11-22T05:01:42.000Z,"""Republicans""",0.157,0.562,0.281,0.802,0.8,0.75,224
replied_to,0,0,0,2022-11-22T05:01:41.000Z,"""Republicans""",0.0,0.88,0.12,0.6946,0.4,0.4375,275
replied_to,0,0,0,2022-11-22T05:01:41.000Z,"""Republicans""",0.17,0.83,0.0,-0.5719,0.0,0.0,160
replied_to,0,0,0,2022-11-22T05:01:40.000Z,"""Republicans""",0.191,0.764,0.045,-0.6369,-0.5,1.0,147
replied_to,0,0,0,2022-11-22T05:01:40.000Z,"""Republicans""",0.106,0.655,0.239,0.873,0.1149999999999999,0.6300000000000001,284
replied_to,0,0,0,2022-11-22T05:01:36.000Z,"""Republicans""",0.0,0.397,0.603,0.7241,0.5,0.7,46
replied_to,0,0,0,2022-11-22T05:01:34.000Z,"""Republicans""",0.0,1.0,0.0,0.0,0.0,0.0,35
quoted,0,0,0,2022-11-22T05:01:34.000Z,"""Republicans""",0.144,0.856,0.0,-0.5719,-0.15,0.40625,140
replied_to,0,0,0,2022-11-22T05:01:31.000Z,"""Republicans""",0.085,0.785,0.131,0.3523,0.3666666666666667,0.5666666666666668,159
replied_to,0,0,0,2022-11-22T05:01:28.000Z,"""Republicans""",0.284,0.584,0.132,-0.6003,0.1266666666666666,0.508095238095238,114
solo,0,1,0,2022-11-22T05:01:21.000Z,"""Republicans""",0.193,0.733,0.073,-0.7096,-0.0285714285714285,0.3839285714285714,277
