type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
replied_to,0,0,0,2022-11-22T04:30:36.000Z,"""Russia""",0.136,0.802,0.062,-0.4404,-0.2666666666666666,0.425,273
solo,0,0,0,2022-11-22T04:30:33.000Z,"""Russia""",0.218,0.782,0.0,-0.5994,0.5,0.9,90
solo,0,0,0,2022-11-22T04:30:33.000Z,"""Russia""",0.187,0.614,0.199,-0.273,-0.0416666666666666,0.4333333333333333,173
solo,0,0,0,2022-11-22T04:30:24.000Z,"""Russia""",0.0,1.0,0.0,0.0,0.0,0.0,49
replied_to,0,0,0,2022-11-22T04:30:22.000Z,"""Russia""",0.106,0.663,0.231,0.802,0.4625,0.7125,208
replied_to,0,0,0,2022-11-22T04:30:20.000Z,"""Russia""",0.166,0.685,0.149,-0.4019,0.6,1.0,202
quoted,0,0,0,2022-11-22T04:30:16.000Z,"""Russia""",0.0,1.0,0.0,0.0,0.0,0.0666666666666666,63
replied_to,0,0,0,2022-11-22T04:30:08.000Z,"""Russia""",0.236,0.764,0.0,-0.8868,-0.375,0.5583333333333333,283
replied_to,0,0,0,2022-11-22T04:30:08.000Z,"""Russia""",0.0,1.0,0.0,0.0,0.0,0.0,85
solo,0,0,0,2022-11-22T04:30:07.000Z,"""Russia""",0.168,0.694,0.139,-0.128,-0.1875,0.3125,107
quoted,0,0,0,2022-11-22T04:30:07.000Z,"""Russia""",0.082,0.821,0.097,-0.1027,0.325,0.625,225
replied_to,0,0,0,2022-11-22T04:30:07.000Z,"""Russia""",0.299,0.615,0.086,-0.902,-0.25,0.6300000000000001,281
replied_to,0,0,0,2022-11-22T04:30:06.000Z,"""Russia""",0.156,0.749,0.096,-0.25,-0.1666666666666666,0.7,161
replied_to,0,0,0,2022-11-22T04:30:06.000Z,"""Russia""",0.099,0.77,0.131,0.2406,-0.2388888888888889,0.4222222222222223,285
replied_to,0,0,0,2022-11-22T04:30:06.000Z,"""Russia""",0.108,0.692,0.2,0.6214,-0.0416666666666666,0.3833333333333333,278
solo,0,0,0,2022-11-22T04:30:03.000Z,"""Russia""",0.187,0.813,0.0,-0.3182,-0.0999999999999999,0.3666666666666667,67
replied_to,0,0,0,2022-11-22T04:30:03.000Z,"""Russia""",0.0,0.894,0.106,0.2263,0.0,0.0,104
replied_to,0,0,0,2022-11-22T04:30:03.000Z,"""Russia""",0.0,0.741,0.259,0.7937,0.15,0.8,145
solo,0,0,0,2022-11-22T04:30:01.000Z,"""Russia""",0.0,1.0,0.0,0.0,0.0,0.0,63
solo,0,0,0,2022-11-22T04:30:00.000Z,"""Russia""",0.0,0.846,0.154,0.6115,0.2666666666666666,0.7333333333333334,123
solo,0,0,0,2022-11-22T04:30:00.000Z,"""Russia""",0.236,0.764,0.0,-0.5719,-0.7,1.0,97
solo,0,0,1,2022-11-22T04:29:57.000Z,"""Russia""",0.029,0.858,0.113,0.4911,0.4,1.0,251
replied_to,0,0,0,2022-11-22T04:29:56.000Z,"""Russia""",0.223,0.576,0.201,-0.0772,0.15,0.7,59
replied_to,0,0,0,2022-11-22T04:29:55.000Z,"""Russia""",0.139,0.651,0.211,0.1106,0.1166666666666666,0.5333333333333333,94
replied_to,0,0,0,2022-11-22T04:29:52.000Z,"""Russia""",0.272,0.728,0.0,-0.6808,-0.1909090909090909,0.3636363636363636,129
replied_to,0,0,0,2022-11-22T04:29:51.000Z,"""Russia""",0.0,0.894,0.106,0.2263,0.0,0.0,104
replied_to,0,0,0,2022-11-22T04:29:50.000Z,"""Russia""",0.157,0.763,0.08,-0.644,0.4285714285714285,0.5119047619047619,271
solo,0,0,0,2022-11-22T04:29:49.000Z,"""Russia""",0.539,0.461,0.0,-0.792,0.0,0.0,44
replied_to,0,0,0,2022-11-22T04:29:43.000Z,"""Russia""",0.796,0.204,0.0,-0.9136,0.0,0.0,53
solo,0,0,0,2022-11-22T04:29:42.000Z,"""Russia""",0.083,0.714,0.203,0.4926,0.0,0.0,222
replied_to,0,0,0,2022-11-22T04:29:42.000Z,"""Russia""",0.0,0.894,0.106,0.2263,0.0,0.0,104
solo,0,0,0,2022-11-22T04:29:42.000Z,"""Russia""",0.047,0.859,0.093,0.2824,0.1,0.1625,247
replied_to,0,0,0,2022-11-22T04:29:37.000Z,"""Russia""",0.058,0.942,0.0,-0.3919,0.25,0.5,271
replied_to,0,0,0,2022-11-22T04:29:37.000Z,"""Russia""",0.0,0.323,0.677,0.4926,-0.125,1.0,28
replied_to,0,0,0,2022-11-22T04:29:37.000Z,"""Russia""",0.099,0.744,0.157,0.3973,0.3,0.4625,260
replied_to,0,0,0,2022-11-22T04:29:37.000Z,"""Russia""",0.786,0.214,0.0,-0.9001,0.0,0.0,43
replied_to,0,0,0,2022-11-22T04:29:36.000Z,"""Russia""",0.0,0.8,0.2,0.4588,0.5,1.0,82
replied_to,0,0,0,2022-11-22T04:29:35.000Z,"""Russia""",0.0,0.894,0.106,0.2263,0.0,0.0,104
solo,0,2,0,2022-11-22T04:29:32.000Z,"""Russia""",0.0,0.74,0.26,0.9062,0.2380555555555555,0.4777777777777778,281
quoted,0,0,0,2022-11-22T04:29:29.000Z,"""Russia""",0.0,0.829,0.171,0.5106,0.4,0.8,106
solo,0,0,0,2022-11-22T04:29:29.000Z,"""Russia""",0.143,0.643,0.214,0.4318,0.1464285714285714,0.4642857142857143,243
replied_to,0,0,0,2022-11-22T04:29:29.000Z,"""Russia""",0.0,0.894,0.106,0.2263,0.0,0.0,105
replied_to,0,0,0,2022-11-22T04:29:28.000Z,"""Russia""",0.095,0.905,0.0,-0.296,0.0,0.0,143
replied_to,0,0,0,2022-11-22T04:29:24.000Z,"""Russia""",0.0,0.894,0.106,0.2263,0.0,0.0,104
solo,0,0,0,2022-11-22T04:29:19.000Z,"""Russia""",0.313,0.687,0.0,-0.802,-0.1,0.0708333333333333,122
quoted,0,0,0,2022-11-22T04:29:18.000Z,"""Russia""",0.0,0.662,0.338,0.5574,0.7,1.0,113
replied_to,0,0,0,2022-11-22T04:29:17.000Z,"""Russia""",0.0,0.891,0.109,0.4019,0.25,0.5125,136
replied_to,0,0,0,2022-11-22T04:29:17.000Z,"""Russia""",0.211,0.632,0.157,-0.4885,-0.09375,0.325,282
replied_to,0,0,0,2022-11-22T04:29:17.000Z,"""Russia""",0.0,0.894,0.106,0.2263,0.0,0.0,104
solo,0,0,0,2022-11-22T04:29:15.000Z,"""Russia""",0.046,0.776,0.178,0.743,-0.0777777777777777,0.6444444444444445,237
replied_to,0,0,0,2022-11-22T04:29:14.000Z,"""Russia""",0.199,0.732,0.068,-0.6563,1.0,0.7,201
replied_to,0,0,0,2022-11-22T04:29:11.000Z,"""Russia""",0.0,0.894,0.106,0.2263,0.0,0.0,104
replied_to,0,0,0,2022-11-22T04:29:11.000Z,"""Russia""",0.145,0.811,0.044,-0.6908,-0.25,0.45,280
solo,0,0,0,2022-11-22T04:29:10.000Z,"""Russia""",0.0,0.839,0.161,0.3182,-0.1,1.0,78
