type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,0,0,0,2022-11-22T04:12:10.000Z,"""San Francisco""",0.0,1.0,0.0,0.0,-0.4,0.4,116
solo,0,2,0,2022-11-22T04:12:06.000Z,"""San Francisco""",0.265,0.657,0.078,-0.6289,0.0,0.0,71
solo,0,0,0,2022-11-22T04:12:00.000Z,"""San Francisco""",0.0,1.0,0.0,0.0,0.0,0.0,134
solo,1,1,0,2022-11-22T04:11:47.000Z,"""San Francisco""",0.0,1.0,0.0,0.0,0.0,0.0,114
solo,0,0,0,2022-11-22T04:11:47.000Z,"""San Francisco""",0.0,1.0,0.0,0.0,0.0,0.0,48
solo,0,0,0,2022-11-22T04:11:15.000Z,"""San Francisco""",0.177,0.67,0.153,-0.128,0.0,0.0,112
replied_to,0,0,0,2022-11-22T04:11:14.000Z,"""San Francisco""",0.184,0.816,0.0,-0.4019,0.0,0.0,77
solo,2,14,1,2022-11-22T04:11:08.000Z,"""San Francisco""",0.204,0.69,0.106,-0.4824,0.0,0.0,100
solo,0,0,0,2022-11-22T04:11:06.000Z,"""San Francisco""",0.0,0.407,0.593,0.8074,0.3333333333333333,0.6666666666666666,45
solo,0,0,0,2022-11-22T04:11:05.000Z,"""San Francisco""",0.0,0.612,0.388,0.765,0.0,0.5,88
replied_to,0,0,0,2022-11-22T04:10:51.000Z,"""San Francisco""",0.213,0.787,0.0,-0.5848,-0.4,0.6,94
solo,0,0,0,2022-11-22T04:10:36.000Z,"""San Francisco""",0.0,1.0,0.0,0.0,0.0,0.0,56
quoted,0,0,0,2022-11-22T04:10:33.000Z,"""San Francisco""",0.0,0.588,0.412,0.8271,0.4611111111111111,0.6388888888888888,67
solo,0,0,0,2022-11-22T04:10:24.000Z,"""San Francisco""",0.0,1.0,0.0,0.0,0.0,0.0,104
replied_to,0,0,1,2022-11-22T04:10:18.000Z,"""San Francisco""",0.235,0.765,0.0,-0.8481,0.4,0.9,228
replied_to,0,0,0,2022-11-22T04:10:17.000Z,"""San Francisco""",0.0,1.0,0.0,0.0,0.2,0.2,111
quoted,0,0,0,2022-11-22T04:10:16.000Z,"""San Francisco""",0.0,1.0,0.0,0.0,0.0,0.0,25
solo,1,1,0,2022-11-22T04:10:11.000Z,"""San Francisco""",0.0,0.93,0.07,0.4314,0.0902777777777777,0.2388888888888889,230
replied_to,0,0,0,2022-11-22T04:10:11.000Z,"""San Francisco""",0.0,1.0,0.0,0.0,-0.3125,0.6875,75
quoted,0,0,0,2022-11-22T04:09:50.000Z,"""San Francisco""",0.0,0.958,0.042,0.25,0.0,0.0,246
solo,0,0,0,2022-11-22T04:09:48.000Z,"""San Francisco""",0.0,1.0,0.0,0.0,-0.25,0.2333333333333333,140
solo,0,0,0,2022-11-22T04:09:47.000Z,"""San Francisco""",0.0,1.0,0.0,0.0,0.0,0.0,100
solo,0,0,0,2022-11-22T04:09:31.000Z,"""San Francisco""",0.0,0.885,0.115,0.296,0.16,0.5399999999999999,120
solo,0,0,0,2022-11-22T04:09:28.000Z,"""San Francisco""",0.0,0.885,0.115,0.296,0.16,0.5399999999999999,120
replied_to,0,0,0,2022-11-22T04:09:20.000Z,"""San Francisco""",0.0,1.0,0.0,0.0,0.0,0.0,106
solo,0,3,0,2022-11-22T04:09:17.000Z,"""San Francisco""",0.0,1.0,0.0,0.0,0.25,0.3333333333333333,42
