type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
replied_to,0,0,0,2022-11-22T03:49:01.000Z,"""Tesla""",0.0,1.0,0.0,0.0,0.0,0.0,35
replied_to,0,0,0,2022-11-22T03:49:00.000Z,"""Tesla""",0.104,0.896,0.0,-0.296,0.05,0.15,105
replied_to,0,0,0,2022-11-22T03:48:55.000Z,"""Tesla""",0.084,0.865,0.051,-0.2983,0.0842857142857142,0.3808163265306122,210
replied_to,0,0,0,2022-11-22T03:48:53.000Z,"""Tesla""",0.0,0.779,0.221,0.5499,0.1,0.3833333333333333,95
replied_to,0,0,0,2022-11-22T03:48:52.000Z,"""Tesla""",0.0,0.612,0.388,0.2263,0.25,1.0,30
replied_to,0,0,0,2022-11-22T03:48:52.000Z,"""Tesla""",0.306,0.694,0.0,-0.296,0.0,0.0,34
replied_to,0,0,0,2022-11-22T03:48:47.000Z,"""Tesla""",0.0,1.0,0.0,0.0,0.0,0.0,22
replied_to,0,0,0,2022-11-22T03:48:45.000Z,"""Tesla""",0.091,0.836,0.073,0.0366,0.1399999999999999,0.3491666666666667,283
solo,0,0,0,2022-11-22T03:48:44.000Z,"""Tesla""",0.172,0.828,0.0,-0.4404,0.0,0.0,91
replied_to,0,0,0,2022-11-22T03:48:41.000Z,"""Tesla""",0.0,0.877,0.123,0.5994,0.1666666666666666,0.7,270
replied_to,0,0,0,2022-11-22T03:48:41.000Z,"""Tesla""",0.0,0.328,0.672,0.6249,1.0,1.0,20
solo,0,0,0,2022-11-22T03:48:39.000Z,"""Tesla""",0.072,0.885,0.043,-0.34,-0.005,0.2799999999999999,273
quoted,0,0,0,2022-11-22T03:48:38.000Z,"""Tesla""",0.0,0.843,0.157,0.7269,0.0533333333333333,0.5466666666666667,227
replied_to,0,0,0,2022-11-22T03:48:37.000Z,"""Tesla""",0.0,1.0,0.0,0.0,0.0,0.0,44
solo,0,1,0,2022-11-22T03:48:34.000Z,"""Tesla""",0.0,0.746,0.254,0.5777,0.2,0.25,67
replied_to,0,0,0,2022-11-22T03:48:32.000Z,"""Tesla""",0.159,0.841,0.0,-0.5994,0.0,1.0,172
replied_to,0,0,0,2022-11-22T03:48:29.000Z,"""Tesla""",0.078,0.782,0.139,0.3902,0.1999999999999999,0.525,130
replied_to,0,0,0,2022-11-22T03:48:27.000Z,"""Tesla""",0.0,1.0,0.0,0.0,0.0,0.0,69
replied_to,0,0,0,2022-11-22T03:48:24.000Z,"""Tesla""",0.0,1.0,0.0,0.0,0.0,0.0,19
solo,0,0,0,2022-11-22T03:48:24.000Z,"""Tesla""",0.0,1.0,0.0,0.0,0.0,0.0,70
replied_to,0,0,0,2022-11-22T03:48:21.000Z,"""Tesla""",0.0,1.0,0.0,0.0,0.0,0.0,35
replied_to,0,0,0,2022-11-22T03:48:19.000Z,"""Tesla""",0.0,0.633,0.367,0.4404,0.5,0.5,39
replied_to,0,0,0,2022-11-22T03:48:19.000Z,"""Tesla""",0.146,0.655,0.2,0.5106,0.3555555555555555,0.7166666666666667,260
replied_to,0,0,0,2022-11-22T03:48:17.000Z,"""Tesla""",0.098,0.712,0.19,0.659,0.1369444444444444,0.5408333333333334,271
solo,1,1,0,2022-11-22T03:48:17.000Z,"""Tesla""",0.123,0.718,0.159,0.368,-0.0416666666666666,0.5583333333333333,198
replied_to,0,0,0,2022-11-22T03:48:11.000Z,"""Tesla""",0.106,0.638,0.255,0.7096,-0.2,0.0,139
solo,0,0,0,2022-11-22T03:48:10.000Z,"""Tesla""",0.0,0.632,0.368,0.5411,0.0,0.0,40
replied_to,0,0,0,2022-11-22T03:48:10.000Z,"""Tesla""",0.315,0.685,0.0,-0.6808,0.0,0.0,56
replied_to,0,0,0,2022-11-22T03:48:08.000Z,"""Tesla""",0.0,0.783,0.217,0.3612,0.15,0.6499999999999999,58
solo,0,0,0,2022-11-22T03:48:08.000Z,"""Tesla""",0.0,0.94,0.06,0.3182,0.1181818181818181,0.3272727272727272,269
solo,0,0,0,2022-11-22T03:48:02.000Z,"""Tesla""",0.0,1.0,0.0,0.0,0.1875,0.4375,74
replied_to,0,0,0,2022-11-22T03:48:01.000Z,"""Tesla""",0.156,0.664,0.18,0.128,-0.2,1.0,82
replied_to,0,0,0,2022-11-22T03:48:01.000Z,"""Tesla""",0.0,1.0,0.0,0.0,0.0,0.0,47
replied_to,0,0,0,2022-11-22T03:48:00.000Z,"""Tesla""",0.0,0.828,0.172,0.3612,0.0,0.3,76
replied_to,0,0,0,2022-11-22T03:48:00.000Z,"""Tesla""",0.266,0.734,0.0,-0.4404,-0.1555555555555555,0.2888888888888889,57
replied_to,0,0,0,2022-11-22T03:48:00.000Z,"""Tesla""",0.0,1.0,0.0,0.0,0.0,0.0,68
replied_to,0,0,0,2022-11-22T03:47:57.000Z,"""Tesla""",0.176,0.676,0.149,-0.1027,-0.2571428571428572,0.6678571428571429,61
replied_to,0,0,0,2022-11-22T03:47:56.000Z,"""Tesla""",0.129,0.871,0.0,-0.4767,-0.4,0.6,156
replied_to,0,0,0,2022-11-22T03:47:51.000Z,"""Tesla""",0.351,0.649,0.0,-0.4019,0.0,0.0,50
solo,0,0,0,2022-11-22T03:47:43.000Z,"""Tesla""",0.0,1.0,0.0,0.0,0.0,0.0,37
replied_to,0,0,0,2022-11-22T03:47:42.000Z,"""Tesla""",0.0,0.831,0.169,0.6209,0.0260416666666666,0.1,133
replied_to,0,0,0,2022-11-22T03:47:40.000Z,"""Tesla""",0.0,1.0,0.0,0.0,0.0,0.0,33
replied_to,0,0,0,2022-11-22T03:47:38.000Z,"""Tesla""",0.0,0.913,0.087,0.6249,0.32,0.54,281
replied_to,0,0,0,2022-11-22T03:47:37.000Z,"""Tesla""",0.129,0.871,0.0,-0.4767,-0.4,0.6,155
replied_to,0,0,0,2022-11-22T03:47:36.000Z,"""Tesla""",0.0,0.809,0.191,0.6369,0.2666666666666667,0.5,149
replied_to,0,0,0,2022-11-22T03:47:34.000Z,"""Tesla""",0.211,0.789,0.0,-0.34,0.0,0.0,78
replied_to,0,0,0,2022-11-22T03:47:27.000Z,"""Tesla""",0.064,0.899,0.038,-0.2263,0.0,0.0,179
replied_to,0,0,0,2022-11-22T03:47:27.000Z,"""Tesla""",0.13,0.87,0.0,-0.5423,-0.3083333333333333,0.4583333333333333,190
replied_to,0,0,0,2022-11-22T03:47:25.000Z,"""Tesla""",0.0,1.0,0.0,0.0,0.0,0.25,38
replied_to,0,1,0,2022-11-22T03:47:23.000Z,"""Tesla""",0.073,0.927,0.0,-0.3491,-0.25,0.8888888888888888,154
