type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
replied_to,0,0,0,2022-11-22T04:12:51.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.1363636363636363,0.5,56
quoted,0,0,0,2022-11-22T04:12:51.000Z,"""Texas""",0.412,0.588,0.0,-0.5423,-0.2818181818181817,0.5833333333333333,27
replied_to,0,0,0,2022-11-22T04:12:51.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.1363636363636363,0.4545454545454545,86
replied_to,0,0,0,2022-11-22T04:12:50.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,7
replied_to,0,0,0,2022-11-22T04:12:49.000Z,"""Texas""",0.214,0.528,0.258,0.1025,-0.0166666666666666,0.55,122
quoted,0,0,0,2022-11-22T04:12:48.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0833333333333333,0.3333333333333333,101
replied_to,0,0,0,2022-11-22T04:12:48.000Z,"""Texas""",0.0,0.0,1.0,0.6239,0.7500000000000001,0.9,9
replied_to,0,0,0,2022-11-22T04:12:48.000Z,"""Texas""",0.0,0.213,0.787,0.8126,1.0,1.0,24
quoted,0,0,0,2022-11-22T04:12:46.000Z,"""Texas""",0.0,0.797,0.203,0.6249,0.2666666666666666,0.6333333333333334,121
solo,0,0,0,2022-11-22T04:12:42.000Z,"""Texas""",0.202,0.798,0.0,-0.5106,0.0,0.0,97
solo,0,0,0,2022-11-22T04:12:41.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,41
solo,0,0,0,2022-11-22T04:12:41.000Z,"""Texas""",0.196,0.804,0.0,-0.296,0.0,0.0,56
replied_to,0,0,0,2022-11-22T04:12:41.000Z,"""Texas""",0.15,0.68,0.17,0.1779,0.0228571428571428,0.4057142857142857,166
replied_to,0,0,0,2022-11-22T04:12:40.000Z,"""Texas""",0.0,0.809,0.191,0.8481,0.3625,0.5125,234
solo,0,0,0,2022-11-22T04:12:39.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,60
replied_to,0,0,0,2022-11-22T04:12:38.000Z,"""Texas""",0.0,0.865,0.135,0.3612,0.0181818181818181,0.3,97
quoted,0,0,0,2022-11-22T04:12:37.000Z,"""Texas""",0.0,0.874,0.126,0.3182,0.4000000000000001,0.9,83
quoted,0,0,0,2022-11-22T04:12:37.000Z,"""Texas""",0.186,0.756,0.058,-0.6597,-1.0,1.0,165
solo,0,0,0,2022-11-22T04:12:37.000Z,"""Texas""",0.121,0.879,0.0,-0.5719,0.1111111111111111,0.3555555555555555,157
replied_to,0,0,0,2022-11-22T04:12:35.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.1363636363636363,0.5,30
replied_to,0,0,0,2022-11-22T04:12:33.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.5,31
solo,0,0,1,2022-11-22T04:12:32.000Z,"""Texas""",0.0,0.923,0.077,0.4404,0.0,0.0,238
replied_to,0,0,0,2022-11-22T04:12:32.000Z,"""Texas""",0.265,0.65,0.086,-0.8949,-0.1416666666666666,0.4444444444444443,278
replied_to,0,0,0,2022-11-22T04:12:30.000Z,"""Texas""",0.0,0.633,0.367,0.4404,0.0,0.0,30
solo,0,0,0,2022-11-22T04:12:29.000Z,"""Texas""",0.0,0.912,0.088,0.4829,0.2583333333333333,0.85,275
replied_to,0,0,0,2022-11-22T04:12:26.000Z,"""Texas""",0.173,0.77,0.057,-0.6187,-0.211111111111111,0.4194444444444444,274
solo,0,0,0,2022-11-22T04:12:23.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,125
replied_to,0,0,0,2022-11-22T04:12:22.000Z,"""Texas""",0.825,0.175,0.0,-0.6908,0.0,0.0,10
replied_to,0,0,0,2022-11-22T04:12:19.000Z,"""Texas""",0.093,0.784,0.123,0.2023,0.0833333333333333,0.5833333333333334,151
replied_to,0,0,0,2022-11-22T04:12:18.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,15
replied_to,0,0,0,2022-11-22T04:12:14.000Z,"""Texas""",0.0,0.824,0.176,0.4576,0.0814814814814814,0.3962962962962963,94
replied_to,0,0,0,2022-11-22T04:12:13.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,35
replied_to,0,0,0,2022-11-22T04:12:13.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,21
replied_to,0,0,0,2022-11-22T04:12:12.000Z,"""Texas""",0.202,0.798,0.0,-0.5106,0.0,0.0,78
solo,0,0,0,2022-11-22T04:12:03.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,46
solo,0,0,0,2022-11-22T04:12:03.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,68
replied_to,0,0,0,2022-11-22T04:11:56.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,42
solo,0,0,0,2022-11-22T04:11:53.000Z,"""Texas""",0.225,0.775,0.0,-0.4404,0.0,0.0,59
replied_to,0,0,0,2022-11-22T04:11:52.000Z,"""Texas""",0.0,1.0,0.0,0.0,-0.2083333333333333,0.4333333333333333,19
solo,0,0,1,2022-11-22T04:11:50.000Z,"""Texas""",0.226,0.774,0.0,-0.5423,-0.4,0.6,76
replied_to,0,0,0,2022-11-22T04:11:48.000Z,"""Texas""",0.19,0.507,0.303,0.4184,0.78125,0.6,52
replied_to,0,0,0,2022-11-22T04:11:45.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,23
solo,0,0,0,2022-11-22T04:11:43.000Z,"""Texas""",0.354,0.646,0.0,-0.8568,-0.78125,1.0,139
replied_to,0,1,0,2022-11-22T04:11:43.000Z,"""Texas""",0.063,0.937,0.0,-0.0191,-0.0166666666666666,0.5083333333333333,100
solo,0,0,0,2022-11-22T04:11:42.000Z,"""Texas""",0.0,0.73,0.27,0.5719,0.3,0.2,70
replied_to,0,0,0,2022-11-22T04:11:37.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,34
solo,0,1,0,2022-11-22T04:11:35.000Z,"""Texas""",0.107,0.801,0.092,-0.1531,-0.1333333333333333,0.4666666666666666,187
replied_to,0,0,0,2022-11-22T04:11:32.000Z,"""Texas""",0.23,0.745,0.025,-0.8462,0.0,0.4666666666666666,250
replied_to,0,0,0,2022-11-22T04:11:28.000Z,"""Texas""",0.0,0.898,0.102,0.1513,0.2,0.2,81
solo,0,0,0,2022-11-22T04:11:24.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,75
replied_to,0,0,0,2022-11-22T04:11:22.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,95
replied_to,0,0,0,2022-11-22T04:11:22.000Z,"""Texas""",0.481,0.519,0.0,-0.5719,-0.8,0.8,38
replied_to,0,0,0,2022-11-22T04:11:15.000Z,"""Texas""",0.149,0.851,0.0,-0.1027,0.0,0.0,43
solo,0,0,0,2022-11-22T04:11:15.000Z,"""Texas""",0.0,0.809,0.191,0.3818,0.0,0.75,73
solo,1,1,0,2022-11-22T04:11:12.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,114
solo,1,1,0,2022-11-22T04:11:12.000Z,"""Texas""",0.0,0.69,0.31,0.5423,0.05,0.7,70
solo,0,0,0,2022-11-22T04:11:10.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,37
replied_to,0,0,0,2022-11-22T04:11:09.000Z,"""Texas""",0.0,0.818,0.182,0.25,0.0,0.0,60
replied_to,0,0,0,2022-11-22T04:11:08.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,21
replied_to,0,0,0,2022-11-22T04:11:06.000Z,"""Texas""",0.128,0.764,0.108,0.3647,1.0,0.7,167
solo,0,0,0,2022-11-22T04:11:02.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.625,0.5,196
replied_to,0,0,0,2022-11-22T04:11:00.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,64
replied_to,0,0,0,2022-11-22T04:10:56.000Z,"""Texas""",0.0,0.286,0.714,0.3612,0.0,0.0,10
solo,0,0,0,2022-11-22T04:10:55.000Z,"""Texas""",0.089,0.911,0.0,-0.5984,0.034090909090909,0.5511363636363636,256
solo,0,0,0,2022-11-22T04:10:53.000Z,"""Texas""",0.038,0.962,0.0,-0.0516,0.0,0.0,182
replied_to,0,0,0,2022-11-22T04:10:50.000Z,"""Texas""",1.0,0.0,0.0,-0.5267,-1.0,1.0,12
replied_to,0,0,0,2022-11-22T04:10:47.000Z,"""Texas""",0.0,0.859,0.141,0.4215,0.35,0.65,87
solo,0,0,0,2022-11-22T04:10:46.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.1121212121212121,0.3848484848484848,78
replied_to,0,0,0,2022-11-22T04:10:45.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,26
solo,0,0,0,2022-11-22T04:10:42.000Z,"""Texas""",0.0,0.724,0.276,0.6523,0.0,0.0,110
replied_to,0,0,0,2022-11-22T04:10:38.000Z,"""Texas""",0.113,0.669,0.219,0.7783,-0.0466666666666666,0.8266666666666668,276
solo,0,0,0,2022-11-22T04:10:36.000Z,"""Texas""",0.0,0.854,0.146,0.5574,0.0,0.0,221
solo,0,0,0,2022-11-22T04:10:36.000Z,"""Texas""",0.258,0.588,0.154,-0.276,0.0,0.0,92
replied_to,0,0,0,2022-11-22T04:10:35.000Z,"""Texas""",0.0,0.641,0.359,0.4215,0.48,0.6199999999999999,29
quoted,0,0,0,2022-11-22T04:10:29.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,95
replied_to,0,0,0,2022-11-22T04:10:27.000Z,"""Texas""",0.31,0.69,0.0,-0.4019,0.0,0.0,44
replied_to,0,0,0,2022-11-22T04:10:26.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.2,0.6,71
replied_to,0,0,0,2022-11-22T04:10:26.000Z,"""Texas""",0.303,0.697,0.0,-0.8126,-0.0599999999999999,0.5599999999999999,111
replied_to,0,0,0,2022-11-22T04:10:25.000Z,"""Texas""",0.293,0.133,0.573,0.4767,0.0,0.0,22
solo,0,0,1,2022-11-22T04:10:24.000Z,"""Texas""",0.09,0.805,0.105,0.2263,-0.1488888888888889,0.4072222222222222,269
quoted,0,0,0,2022-11-22T04:10:24.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,23
replied_to,0,0,0,2022-11-22T04:10:20.000Z,"""Texas""",0.071,0.768,0.161,0.5719,-0.8,0.9,239
solo,0,0,0,2022-11-22T04:10:18.000Z,"""Texas""",0.0,1.0,0.0,0.0,0.0,0.0,96
replied_to,0,0,0,2022-11-22T04:10:14.000Z,"""Texas""",0.187,0.813,0.0,-0.629,0.0,0.0,105
replied_to,0,0,0,2022-11-22T04:10:11.000Z,"""Texas""",0.44,0.471,0.089,-0.8271,0.375,0.75,68
solo,0,0,0,2022-11-22T04:10:03.000Z,"""Texas""",0.0,1.0,0.0,0.0,-0.1777777777777778,0.3444444444444444,60
