type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,0,0,0,2022-11-22T03:48:58.000Z,"""Toyota""",0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,106
replied_to,0,0,0,2022-11-22T03:48:16.000Z,"""Toyota""",0.0,0.58,0.42,0.7003,0.7,0.6000000000000001,58
replied_to,0,0,0,2022-11-22T03:48:11.000Z,"""Toyota""",0.146,0.708,0.146,0.0023,0.25,0.7250000000000001,253
solo,0,0,0,2022-11-22T03:47:43.000Z,"""Toyota""",0.0,1.0,0.0,0.0,0.5,0.5,88
solo,0,0,0,2022-11-22T03:46:49.000Z,"""Toyota""",0.0,1.0,0.0,0.0,0.25,0.25,83
replied_to,0,4,0,2022-11-22T03:46:34.000Z,"""Toyota""",0.0,0.791,0.209,0.4404,0.2,0.2,72
solo,0,0,0,2022-11-22T03:46:20.000Z,"""Toyota""",0.0,1.0,0.0,0.0,0.5,0.5,93
replied_to,0,0,0,2022-11-22T03:46:11.000Z,"""Toyota""",0.0,1.0,0.0,0.0,0.0,0.5,79
quoted,0,2,0,2022-11-22T03:46:08.000Z,"""Toyota""",0.0,1.0,0.0,0.0,0.0,0.0,85
solo,0,0,0,2022-11-22T03:46:06.000Z,"""Toyota""",0.0,0.912,0.088,0.4926,0.2866666666666667,0.5466666666666666,204
solo,0,0,0,2022-11-22T03:45:11.000Z,"""Toyota""",0.0,1.0,0.0,0.0,0.5,0.5,89
solo,0,0,0,2022-11-22T03:45:04.000Z,"""Toyota""",0.098,0.902,0.0,-0.5719,-0.0833333333333333,0.7166666666666667,221
solo,0,0,0,2022-11-22T03:45:03.000Z,"""Toyota""",0.155,0.845,0.0,-0.296,0.0,0.0,85
quoted,0,0,0,2022-11-22T03:45:03.000Z,"""Toyota""",0.0,0.906,0.094,0.167,0.0,0.0,123
solo,0,0,0,2022-11-22T03:45:03.000Z,"""Toyota""",0.0,1.0,0.0,0.0,0.05,0.35,87
solo,0,0,0,2022-11-22T03:45:02.000Z,"""Toyota""",0.0,1.0,0.0,0.0,0.25,0.3,89
solo,0,0,0,2022-11-22T03:44:42.000Z,"""Toyota""",0.0,1.0,0.0,0.0,-0.1666666666666666,0.4333333333333333,136
solo,0,0,0,2022-11-22T03:44:37.000Z,"""Toyota""",0.0,1.0,0.0,0.0,0.0,0.0,136
solo,0,0,0,2022-11-22T03:44:31.000Z,"""Toyota""",0.0,0.816,0.184,0.5574,0.0,0.0,136
solo,0,0,0,2022-11-22T03:44:28.000Z,"""Toyota""",0.0,1.0,0.0,0.0,0.0,0.0,77
solo,0,0,0,2022-11-22T03:44:27.000Z,"""Toyota""",0.0,1.0,0.0,0.0,0.4,0.5,62
solo,0,0,0,2022-11-22T03:44:18.000Z,"""Toyota""",0.0,1.0,0.0,0.0,0.0,0.0,82
solo,0,0,0,2022-11-22T03:44:13.000Z,"""Toyota""",0.0,0.87,0.13,0.4019,0.038095238095238,0.6142857142857142,136
solo,0,0,0,2022-11-22T03:44:07.000Z,"""Toyota""",0.0,1.0,0.0,0.0,0.4,0.5,61
solo,0,0,0,2022-11-22T03:44:07.000Z,"""Toyota""",0.0,1.0,0.0,0.0,-0.3318181818181818,0.7272727272727273,85
replied_to,0,0,0,2022-11-22T03:44:02.000Z,"""Toyota""",0.0,0.845,0.155,0.6486,0.2232323232323232,0.6515151515151515,201
solo,0,0,0,2022-11-22T03:43:49.000Z,"""Toyota""",0.0,1.0,0.0,0.0,0.0,0.0,136
