type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
replied_to,0,0,0,2022-11-22T04:30:53.000Z,"""Ukraine""",0.054,0.85,0.095,0.2328,0.1666666666666666,0.4666666666666666,248
replied_to,0,0,1,2022-11-22T04:30:51.000Z,"""Ukraine""",0.154,0.846,0.0,-0.4767,-0.0499999999999999,0.95,107
solo,0,0,0,2022-11-22T04:30:51.000Z,"""Ukraine""",0.0,1.0,0.0,0.0,0.0681818181818181,0.2272727272727272,123
replied_to,0,0,0,2022-11-22T04:30:47.000Z,"""Ukraine""",0.193,0.526,0.281,0.25,0.0,0.0,44
replied_to,0,0,0,2022-11-22T04:30:46.000Z,"""Ukraine""",0.0,1.0,0.0,0.0,0.0,0.0,23
replied_to,0,0,0,2022-11-22T04:30:45.000Z,"""Ukraine""",0.0,0.962,0.038,0.0477,0.1,0.15,194
quoted,0,0,0,2022-11-22T04:30:45.000Z,"""Ukraine""",0.0,1.0,0.0,0.0,0.0,0.0,105
replied_to,0,0,0,2022-11-22T04:30:44.000Z,"""Ukraine""",0.146,0.854,0.0,-0.0516,0.2857142857142857,0.5357142857142857,49
replied_to,0,0,0,2022-11-22T04:30:44.000Z,"""Ukraine""",0.196,0.804,0.0,-0.296,0.0,0.0,55
replied_to,0,0,0,2022-11-22T04:30:43.000Z,"""Ukraine""",0.259,0.68,0.061,-0.7783,0.25,0.5625,149
replied_to,0,0,0,2022-11-22T04:30:43.000Z,"""Ukraine""",0.0,1.0,0.0,0.0,-0.0625,0.1875,123
replied_to,0,0,0,2022-11-22T04:30:41.000Z,"""Ukraine""",0.0,0.859,0.141,0.3182,0.0,0.0,99
replied_to,0,0,0,2022-11-22T04:30:40.000Z,"""Ukraine""",0.238,0.762,0.0,-0.782,0.0018759018759018,0.4115440115440115,156
replied_to,0,0,0,2022-11-22T04:30:40.000Z,"""Ukraine""",0.3,0.7,0.0,-0.7813,-0.25,0.7166666666666667,130
replied_to,0,0,0,2022-11-22T04:30:39.000Z,"""Ukraine""",0.055,0.831,0.114,0.4767,0.2666666666666666,0.4166666666666667,183
replied_to,0,0,0,2022-11-22T04:30:36.000Z,"""Ukraine""",0.136,0.802,0.062,-0.4404,-0.2666666666666666,0.425,273
replied_to,0,0,0,2022-11-22T04:30:36.000Z,"""Ukraine""",0.154,0.712,0.134,-0.1243,0.45,0.6,139
replied_to,0,0,0,2022-11-22T04:30:34.000Z,"""Ukraine""",0.187,0.813,0.0,-0.5994,0.0,1.0,114
solo,0,0,0,2022-11-22T04:30:33.000Z,"""Ukraine""",0.218,0.782,0.0,-0.5994,0.5,0.9,90
solo,0,0,0,2022-11-22T04:30:33.000Z,"""Ukraine""",0.187,0.614,0.199,-0.273,-0.0416666666666666,0.4333333333333333,173
