type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
replied_to,0,1,0,2022-11-22T04:11:53.000Z,"""abortion""",0.254,0.67,0.075,-0.7506,0.5,0.5,187
replied_to,0,0,0,2022-11-22T04:11:45.000Z,"""abortion""",0.087,0.863,0.05,-0.1556,-0.0624999999999999,0.4833333333333333,251
solo,0,1,0,2022-11-22T04:11:44.000Z,"""abortion""",0.0,0.56,0.44,0.7944,0.5,0.5,146
quoted,0,0,0,2022-11-22T04:11:38.000Z,"""abortion""",0.232,0.702,0.065,-0.7845,0.0,0.4166666666666667,199
quoted,1,1,0,2022-11-22T04:11:18.000Z,"""abortion""",0.0,1.0,0.0,0.0,0.5,0.625,114
replied_to,0,0,0,2022-11-22T04:11:18.000Z,"""abortion""",0.208,0.706,0.087,-0.7184,0.0,0.5,264
replied_to,0,0,0,2022-11-22T04:11:14.000Z,"""abortion""",0.0,0.831,0.169,0.2584,-0.6,1.0,62
replied_to,0,0,0,2022-11-22T04:11:03.000Z,"""abortion""",0.0,0.717,0.283,0.7964,0.15,0.4,173
quoted,0,0,0,2022-11-22T04:10:54.000Z,"""abortion""",0.0,1.0,0.0,0.0,0.0,0.375,175
replied_to,0,0,0,2022-11-22T04:10:50.000Z,"""abortion""",0.134,0.866,0.0,-0.5719,-0.5,0.55,148
replied_to,0,0,0,2022-11-22T04:10:43.000Z,"""abortion""",0.09,0.792,0.117,0.25,-0.125,0.25,175
solo,0,0,0,2022-11-22T04:10:42.000Z,"""abortion""",0.234,0.766,0.0,-0.8555,0.01,0.3823809523809524,252
replied_to,0,1,0,2022-11-22T04:10:39.000Z,"""abortion""",0.04,0.926,0.034,-0.0803,0.0,0.2666666666666666,250
quoted,0,0,0,2022-11-22T04:10:37.000Z,"""abortion""",0.391,0.609,0.0,-0.5423,0.0,0.0,50
solo,0,0,0,2022-11-22T04:10:33.000Z,"""abortion""",0.081,0.785,0.135,0.1027,0.2785714285714286,0.6785714285714285,247
replied_to,0,0,0,2022-11-22T04:10:20.000Z,"""abortion""",0.509,0.405,0.087,-0.9875,-0.2,0.2,230
replied_to,0,0,0,2022-11-22T04:10:16.000Z,"""abortion""",0.123,0.634,0.244,0.694,0.3,0.4416666666666666,202
replied_to,0,0,0,2022-11-22T04:10:02.000Z,"""abortion""",0.175,0.825,0.0,-0.802,0.4,0.4,216
solo,0,0,0,2022-11-22T04:09:50.000Z,"""abortion""",0.0,0.929,0.071,0.4404,0.3375,0.4875,245
solo,0,0,0,2022-11-22T04:09:46.000Z,"""abortion""",0.0,0.909,0.091,0.0772,0.0,0.0,84
replied_to,0,0,0,2022-11-22T04:09:41.000Z,"""abortion""",0.0,0.902,0.098,0.3818,0.1111111111111111,0.1666666666666666,156
