type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
quoted,0,0,0,2022-11-22T05:02:52.000Z,"""climate change""",0.114,0.85,0.036,-0.5255,0.0,0.0,205
replied_to,0,0,1,2022-11-22T05:02:45.000Z,"""climate change""",0.0,0.819,0.181,0.6249,-0.1,0.1833333333333333,162
solo,0,0,0,2022-11-22T05:02:43.000Z,"""climate change""",0.305,0.662,0.033,-0.8932,-0.321875,0.6875,177
solo,0,0,0,2022-11-22T05:02:35.000Z,"""climate change""",0.167,0.833,0.0,-0.5574,-0.0999999999999999,0.325,159
solo,0,0,1,2022-11-22T05:02:32.000Z,"""climate change""",0.221,0.642,0.137,-0.5859,-0.1,0.6770833333333334,251
solo,0,0,0,2022-11-22T05:02:22.000Z,"""climate change""",0.0,0.909,0.091,0.34,-0.1666666666666666,0.5,183
replied_to,0,0,0,2022-11-22T05:02:21.000Z,"""climate change""",0.091,0.909,0.0,-0.5859,0.0,0.375,243
replied_to,0,0,0,2022-11-22T05:02:07.000Z,"""climate change""",0.0,1.0,0.0,0.0,0.0,0.0,72
replied_to,0,0,0,2022-11-22T05:02:06.000Z,"""climate change""",0.083,0.857,0.06,-0.2062,-0.2,0.4,200
replied_to,0,0,0,2022-11-22T05:02:05.000Z,"""climate change""",0.089,0.854,0.057,-0.2263,0.275,0.4333333333333333,208
replied_to,0,0,0,2022-11-22T05:01:55.000Z,"""climate change""",0.103,0.897,0.0,-0.4767,-0.428125,0.771875,156
solo,0,0,0,2022-11-22T05:01:41.000Z,"""climate change""",0.0,1.0,0.0,0.0,0.0,0.0,26
replied_to,0,0,0,2022-11-22T05:01:30.000Z,"""climate change""",0.0,1.0,0.0,0.0,0.1,0.3,83
replied_to,0,0,0,2022-11-22T05:01:29.000Z,"""climate change""",0.0,1.0,0.0,0.0,0.0,0.0625,189
solo,0,0,0,2022-11-22T05:01:09.000Z,"""climate change""",0.0,1.0,0.0,0.0,0.0,0.0,94
replied_to,0,0,0,2022-11-22T05:01:07.000Z,"""climate change""",0.0,1.0,0.0,0.0,0.0,0.0,194
solo,0,1,0,2022-11-22T05:01:05.000Z,"""climate change""",0.174,0.755,0.07,-0.6124,0.0285714285714285,0.2785714285714285,228
quoted,0,0,0,2022-11-22T05:00:58.000Z,"""climate change""",0.0,0.87,0.13,0.765,0.0809523809523809,0.4976190476190475,278
solo,0,1,0,2022-11-22T05:00:40.000Z,"""climate change""",0.25,0.56,0.19,-0.3818,-0.1416666666666667,0.4583333333333333,122
quoted,0,0,0,2022-11-22T05:00:39.000Z,"""climate change""",0.0,1.0,0.0,0.0,0.5,0.5,200
solo,0,0,0,2022-11-22T05:00:30.000Z,"""climate change""",0.0,1.0,0.0,0.0,0.1,0.1,226
solo,0,0,0,2022-11-22T05:00:24.000Z,"""climate change""",0.0,0.927,0.073,0.4753,0.025,0.0699999999999999,265
replied_to,0,0,0,2022-11-22T05:00:21.000Z,"""climate change""",0.196,0.749,0.055,-0.7096,-0.1233333333333333,0.5900000000000001,173
solo,0,0,0,2022-11-22T05:00:10.000Z,"""climate change""",0.132,0.868,0.0,-0.6486,-0.1666666666666666,0.4555555555555555,286
solo,0,0,0,2022-11-22T05:00:07.000Z,"""climate change""",0.0,1.0,0.0,0.0,0.0681818181818181,0.3,59
replied_to,0,0,0,2022-11-22T05:00:06.000Z,"""climate change""",0.174,0.79,0.036,-0.8268,-0.6256944444444444,0.6611111111111112,266
replied_to,0,0,0,2022-11-22T05:00:06.000Z,"""climate change""",0.0,0.645,0.355,0.5423,0.2749999999999999,0.5,81
solo,0,0,0,2022-11-22T05:00:06.000Z,"""climate change""",0.0,0.681,0.319,0.7579,0.3666666666666667,0.7000000000000001,126
quoted,0,0,0,2022-11-22T05:00:03.000Z,"""climate change""",0.0,0.763,0.237,0.8402,0.6,0.7,200
solo,1,2,0,2022-11-22T05:00:01.000Z,"""climate change""",0.0,0.945,0.055,0.2023,0.155,0.8550000000000001,235
solo,0,0,0,2022-11-22T05:00:00.000Z,"""climate change""",0.153,0.847,0.0,-0.5423,-0.5,0.5,238
replied_to,0,0,0,2022-11-22T04:59:50.000Z,"""climate change""",0.111,0.786,0.104,-0.0516,-0.05,0.6,144
solo,0,0,0,2022-11-22T04:59:35.000Z,"""climate change""",0.098,0.738,0.163,0.2732,0.0,0.2799999999999999,245
replied_to,0,0,0,2022-11-22T04:59:34.000Z,"""climate change""",0.0,0.878,0.122,0.5719,0.09,0.385,276
replied_to,0,0,0,2022-11-22T04:59:32.000Z,"""climate change""",0.041,0.959,0.0,-0.0516,-0.4666666666666667,0.7000000000000001,179
replied_to,0,0,0,2022-11-22T04:59:28.000Z,"""climate change""",0.071,0.828,0.101,0.128,0.1590909090909091,0.5553030303030303,241
replied_to,0,0,0,2022-11-22T04:59:25.000Z,"""climate change""",0.22,0.78,0.0,-0.4767,-0.1,0.5,71
replied_to,0,0,0,2022-11-22T04:59:18.000Z,"""climate change""",0.22,0.78,0.0,-0.4767,-0.1,0.5,71
solo,0,0,0,2022-11-22T04:59:12.000Z,"""climate change""",0.05,0.95,0.0,-0.296,0.0499999999999999,0.3666666666666667,256
quoted,0,0,0,2022-11-22T04:58:54.000Z,"""climate change""",0.203,0.797,0.0,-0.8126,-0.1777777777777778,0.5444444444444445,170
