type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
replied_to,0,3,0,2022-11-22T03:24:17.000Z,"""climate warming""",0.213,0.605,0.182,-0.4588,0.0833333333333333,0.4148148148148148,152
replied_to,0,0,0,2022-11-22T01:56:07.000Z,"""climate warming""",0.084,0.818,0.098,-0.3182,-0.0793650793650793,0.276984126984127,280
replied_to,0,0,0,2022-11-22T00:55:42.000Z,"""climate warming""",0.108,0.632,0.26,0.6956,0.225,0.4083333333333334,202
replied_to,0,3,0,2022-11-22T00:48:11.000Z,"""climate warming""",0.094,0.857,0.049,-0.3561,-0.0625,0.1875,157
replied_to,0,0,0,2022-11-21T22:58:22.000Z,"""climate warming""",0.0,0.882,0.118,0.1531,-0.075,0.1999999999999999,85
replied_to,0,0,0,2022-11-21T22:58:07.000Z,"""climate warming""",0.0,0.882,0.118,0.1531,-0.075,0.1999999999999999,85
replied_to,0,1,1,2022-11-21T22:17:39.000Z,"""climate warming""",0.048,0.707,0.244,0.8271,-0.0083333333333333,0.5833333333333334,280
quoted,0,0,0,2022-11-21T21:35:29.000Z,"""climate warming""",0.197,0.667,0.136,-0.6486,-0.1,0.675,174
quoted,0,0,0,2022-11-21T21:03:23.000Z,"""climate warming""",0.0,0.946,0.054,0.1531,-0.0833333333333333,0.1055555555555555,156
solo,0,0,0,2022-11-21T20:00:14.000Z,"""climate warming""",0.05,0.911,0.038,-0.128,0.0833333333333333,0.2055555555555555,251
solo,0,0,0,2022-11-21T19:29:04.000Z,"""climate warming""",0.0,0.677,0.323,0.5106,0.1,0.3,115
replied_to,0,0,0,2022-11-21T19:28:36.000Z,"""climate warming""",0.041,0.902,0.057,0.1511,0.0,0.625,222
quoted,0,0,0,2022-11-21T19:13:18.000Z,"""climate warming""",0.171,0.219,0.61,0.8398,-0.75,1.0,74
replied_to,0,0,1,2022-11-21T18:54:05.000Z,"""climate warming""",0.0,0.777,0.223,0.872,0.0761111111111111,0.3627777777777778,269
replied_to,0,0,0,2022-11-21T18:34:11.000Z,"""climate warming""",0.251,0.539,0.21,-0.1923,0.5,0.6,87
replied_to,0,1,0,2022-11-21T17:19:47.000Z,"""climate warming""",0.165,0.835,0.0,-0.549,0.0694444444444444,0.8333333333333334,172
replied_to,0,0,1,2022-11-21T17:13:09.000Z,"""climate warming""",0.0,0.955,0.045,0.2824,0.0277777777777777,0.4166666666666667,272
replied_to,0,0,0,2022-11-21T16:35:44.000Z,"""climate warming""",0.0,0.652,0.348,0.1531,0.0,0.0,23
replied_to,0,1,0,2022-11-21T16:32:27.000Z,"""climate warming""",0.153,0.644,0.203,-0.0,0.0,0.25,109
replied_to,0,0,0,2022-11-21T16:12:08.000Z,"""climate warming""",0.279,0.546,0.175,-0.2392,0.0,0.0,46
solo,0,0,0,2022-11-21T16:02:31.000Z,"""climate warming""",0.0,0.882,0.118,0.25,0.4,0.3,205
replied_to,0,0,0,2022-11-21T15:45:46.000Z,"""climate warming""",0.0,0.824,0.176,0.25,-0.5,0.7,91
solo,0,1,0,2022-11-21T15:00:03.000Z,"""climate warming""",0.041,0.889,0.07,0.2263,0.0,1.0,185
solo,8,11,4,2022-11-21T14:47:39.000Z,"""climate warming""",0.102,0.809,0.089,-0.0772,0.225,0.45,144
solo,1,0,0,2022-11-21T14:23:19.000Z,"""climate warming""",0.098,0.852,0.05,-0.3612,-0.0999999999999999,0.5666666666666667,174
replied_to,0,0,0,2022-11-21T13:36:31.000Z,"""climate warming""",0.0,0.652,0.348,0.1531,0.0,0.0,32
replied_to,0,2,1,2022-11-21T13:13:32.000Z,"""climate warming""",0.079,0.862,0.059,-0.2263,0.0232142857142857,0.3946428571428571,258
solo,0,0,0,2022-11-21T12:58:26.000Z,"""climate warming""",0.0,0.89,0.11,0.1531,0.0,0.1,109
replied_to,0,0,0,2022-11-21T12:50:58.000Z,"""climate warming""",0.122,0.835,0.043,-0.6037,-0.2083333333333333,0.4583333333333333,255
quoted,0,0,0,2022-11-21T12:41:37.000Z,"""climate warming""",0.0,0.882,0.118,0.5093,-0.0767857142857142,0.5452380952380952,238
replied_to,0,0,1,2022-11-21T12:25:48.000Z,"""climate warming""",0.193,0.74,0.067,-0.7878,-0.1642857142857142,0.4714285714285715,258
replied_to,0,1,0,2022-11-21T12:25:19.000Z,"""climate warming""",0.174,0.622,0.204,-0.3071,0.325,0.525,280
solo,1,2,1,2022-11-21T12:03:00.000Z,"""climate warming""",0.079,0.662,0.258,0.6597,0.2125,0.5875,170
solo,0,0,1,2022-11-21T11:51:59.000Z,"""climate warming""",0.0,0.758,0.242,0.1531,0.1363636363636363,0.4545454545454545,34
solo,0,0,0,2022-11-21T10:58:17.000Z,"""climate warming""",0.203,0.725,0.072,-0.8089,-0.78125,0.5,256
solo,0,0,0,2022-11-21T10:41:59.000Z,"""climate warming""",0.155,0.807,0.038,-0.7104,0.0476190476190476,0.2333333333333333,230
solo,0,0,0,2022-11-21T10:10:44.000Z,"""climate warming""",0.0,1.0,0.0,0.0,-0.1666666666666666,0.4333333333333333,84
replied_to,0,1,1,2022-11-21T09:28:15.000Z,"""climate warming""",0.043,0.742,0.215,0.7351,0.2499999999999999,0.75,233
replied_to,0,0,0,2022-11-21T08:55:01.000Z,"""climate warming""",0.131,0.774,0.095,-0.1531,-0.125,0.375,73
replied_to,0,1,0,2022-11-21T08:00:21.000Z,"""climate warming""",0.0,0.814,0.186,0.1531,0.0,0.0,53
solo,0,1,0,2022-11-21T07:11:43.000Z,"""climate warming""",0.0,0.699,0.301,0.5106,0.1,0.3,123
replied_to,0,1,0,2022-11-21T07:03:26.000Z,"""climate warming""",0.0,1.0,0.0,0.0,0.0,0.125,113
quoted,1,1,0,2022-11-21T03:53:41.000Z,"""climate warming""",0.056,0.796,0.148,0.4404,0.0,0.0,291
replied_to,0,0,2,2022-11-21T03:29:54.000Z,"""climate warming""",0.036,0.866,0.099,0.3318,0.223469387755102,0.477891156462585,282
replied_to,0,3,0,2022-11-21T03:07:36.000Z,"""climate warming""",0.0,1.0,0.0,0.0,0.0472727272727272,0.2309090909090909,281
quoted,0,0,0,2022-11-21T02:56:22.000Z,"""climate warming""",0.169,0.771,0.06,-0.8608,0.25,0.4444444444444444,281
quoted,0,0,0,2022-11-21T02:43:47.000Z,"""climate warming""",0.0,0.385,0.615,0.1531,0.0,0.0,16
solo,1,2,0,2022-11-21T02:40:32.000Z,"""climate warming""",0.0,0.909,0.091,0.1531,-0.0818181818181818,0.4272727272727272,116
replied_to,0,1,1,2022-11-21T02:40:23.000Z,"""climate warming""",0.086,0.789,0.125,-0.1012,-0.0066666666666666,0.1733333333333333,211
replied_to,0,0,0,2022-11-21T02:13:25.000Z,"""climate warming""",0.116,0.859,0.025,-0.5647,-0.08125,0.425,275
replied_to,0,0,0,2022-11-21T00:49:52.000Z,"""climate warming""",0.087,0.828,0.085,0.223,-0.1845238095238095,0.5892857142857143,241
solo,16,47,3,2022-11-21T00:42:25.000Z,"""climate warming""",0.134,0.67,0.195,0.5517,0.1785714285714285,0.8285714285714285,253
quoted,0,0,0,2022-11-20T23:38:29.000Z,"""climate warming""",0.0,0.926,0.074,0.1531,0.0,0.0,124
quoted,0,0,0,2022-11-20T23:16:08.000Z,"""climate warming""",0.247,0.647,0.106,-0.6901,0.0499999999999999,0.85,118
quoted,0,3,0,2022-11-20T22:59:21.000Z,"""climate warming""",0.198,0.761,0.041,-0.7351,-0.1875,0.625,208
replied_to,0,0,0,2022-11-20T22:18:22.000Z,"""climate warming""",0.0,0.346,0.654,0.2244,0.0,0.0,17
replied_to,0,0,0,2022-11-20T21:55:53.000Z,"""climate warming""",0.0,0.789,0.211,0.1531,-0.05,0.6,54
quoted,0,1,0,2022-11-20T21:48:46.000Z,"""climate warming""",0.045,0.846,0.109,0.3715,-0.0083333333333333,0.7666666666666666,196
replied_to,0,0,0,2022-11-20T21:46:29.000Z,"""climate warming""",0.137,0.791,0.072,-0.5719,0.25,0.37,277
replied_to,0,0,0,2022-11-20T21:45:51.000Z,"""climate warming""",0.0,0.758,0.242,0.1531,0.0,0.0,43
replied_to,0,0,1,2022-11-20T21:44:37.000Z,"""climate warming""",0.0,0.892,0.108,0.4767,0.0930194805194805,0.3714285714285714,225
solo,0,0,0,2022-11-20T21:28:10.000Z,"""climate warming""",0.507,0.274,0.219,-0.4767,0.0,0.0,26
replied_to,0,0,2,2022-11-20T21:18:23.000Z,"""climate warming""",0.109,0.757,0.134,-0.1061,-0.03,0.2799999999999999,153
replied_to,0,0,0,2022-11-20T21:13:48.000Z,"""climate warming""",0.0,0.942,0.058,0.1531,0.1,0.2,160
replied_to,0,0,2,2022-11-20T21:11:29.000Z,"""climate warming""",0.154,0.667,0.18,0.0772,0.0035714285714285,0.7464285714285713,257
quoted,3,3,0,2022-11-20T21:10:11.000Z,"""climate warming""",0.036,0.812,0.152,0.3765,0.2,0.5833333333333334,217
replied_to,0,1,1,2022-11-20T20:59:30.000Z,"""climate warming""",0.171,0.775,0.054,-0.5411,0.125,0.4,143
replied_to,0,0,0,2022-11-20T20:57:01.000Z,"""climate warming""",0.0,0.828,0.172,0.2263,0.0,0.0,90
replied_to,0,0,0,2022-11-20T20:49:12.000Z,"""climate warming""",0.025,0.806,0.169,0.847,-0.1875,0.3125,278
replied_to,0,1,0,2022-11-20T20:22:03.000Z,"""climate warming""",0.0,0.556,0.444,0.1531,0.0,0.0,21
replied_to,1,2,3,2022-11-20T20:13:02.000Z,"""climate warming""",0.081,0.736,0.183,0.4588,0.3777777777777777,0.5111111111111112,212
quoted,1,3,0,2022-11-20T20:11:44.000Z,"""climate warming""",0.081,0.736,0.183,0.4588,0.3777777777777777,0.5111111111111112,212
solo,3,13,3,2022-11-20T19:53:23.000Z,"""climate warming""",0.0,0.798,0.202,0.5106,0.0,0.0444444444444444,134
