type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
replied_to,0,0,0,2022-11-22T05:02:47.000Z,"""conservatives""",0.251,0.664,0.084,-0.7928,0.125,0.3583333333333333,266
replied_to,0,0,0,2022-11-22T05:02:43.000Z,"""conservatives""",0.736,0.264,0.0,-0.4199,0.0,0.0,27
replied_to,0,0,0,2022-11-22T05:02:42.000Z,"""conservatives""",0.306,0.561,0.133,-0.5267,0.0,0.0,102
solo,0,0,0,2022-11-22T05:02:37.000Z,"""conservatives""",0.148,0.714,0.138,-0.0516,0.3571428571428571,0.5714285714285714,107
replied_to,0,0,0,2022-11-22T05:02:30.000Z,"""conservatives""",0.0,1.0,0.0,0.0,0.0,0.0,42
replied_to,0,0,0,2022-11-22T05:02:29.000Z,"""conservatives""",0.163,0.791,0.046,-0.6801,0.1666666666666666,0.6333333333333333,196
solo,0,0,0,2022-11-22T05:02:26.000Z,"""conservatives""",0.0,0.808,0.192,0.4215,0.0,0.5,109
replied_to,0,0,0,2022-11-22T05:02:25.000Z,"""conservatives""",0.131,0.802,0.068,-0.3612,-0.025,0.4874999999999999,125
replied_to,0,0,0,2022-11-22T05:02:25.000Z,"""conservatives""",0.465,0.535,0.0,-0.9231,0.0952380952380952,0.2452380952380952,108
replied_to,0,1,0,2022-11-22T05:02:23.000Z,"""conservatives""",0.095,0.842,0.063,-0.3612,-0.1,0.6523809523809524,224
replied_to,0,0,0,2022-11-22T05:02:12.000Z,"""conservatives""",0.055,0.945,0.0,-0.3612,-0.0714285714285714,0.2488095238095238,284
replied_to,0,0,0,2022-11-22T05:02:09.000Z,"""conservatives""",0.153,0.667,0.18,0.1027,-0.4,0.7,78
solo,0,0,0,2022-11-22T05:02:02.000Z,"""conservatives""",0.056,0.944,0.0,-0.1531,0.08,0.52,188
replied_to,0,0,0,2022-11-22T05:01:54.000Z,"""conservatives""",0.206,0.596,0.197,-0.1027,-0.0499999999999999,0.9333333333333332,203
replied_to,0,0,0,2022-11-22T05:01:27.000Z,"""conservatives""",0.18,0.763,0.057,-0.6024,0.0,0.0,133
replied_to,0,0,0,2022-11-22T05:01:15.000Z,"""conservatives""",0.134,0.583,0.283,0.6908,0.0,0.125,281
quoted,0,0,0,2022-11-22T05:01:14.000Z,"""conservatives""",0.179,0.694,0.127,-0.296,0.39375,0.58125,200
replied_to,0,0,0,2022-11-22T05:01:13.000Z,"""conservatives""",0.0,0.731,0.269,0.9337,0.0952727272727272,0.276,279
replied_to,0,0,0,2022-11-22T05:01:10.000Z,"""conservatives""",0.293,0.707,0.0,-0.9118,-0.4,0.575,216
replied_to,0,0,0,2022-11-22T05:00:58.000Z,"""conservatives""",0.115,0.885,0.0,-0.3252,0.425,0.575,118
replied_to,0,0,0,2022-11-22T05:00:54.000Z,"""conservatives""",0.284,0.589,0.127,-0.5362,0.5428571428571429,0.6178571428571429,115
replied_to,0,0,0,2022-11-22T05:00:35.000Z,"""conservatives""",0.149,0.851,0.0,-0.4956,0.0,0.0,180
replied_to,0,0,0,2022-11-22T05:00:33.000Z,"""conservatives""",0.0,1.0,0.0,0.0,0.0,0.0,80
