type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
replied_to,0,0,0,2022-11-22T04:13:44.000Z,"""immigrants""",0.209,0.666,0.125,-0.4635,-0.25,0.5,181
replied_to,0,0,0,2022-11-22T04:13:42.000Z,"""immigrants""",0.189,0.811,0.0,-0.7897,-0.1028486394557823,0.277891156462585,199
replied_to,0,0,0,2022-11-22T04:13:40.000Z,"""immigrants""",0.0,0.773,0.227,0.6124,-0.05,0.55,168
replied_to,0,0,0,2022-11-22T04:13:33.000Z,"""immigrants""",0.313,0.687,0.0,-0.8885,-0.25,0.4,152
solo,0,0,0,2022-11-22T04:13:23.000Z,"""immigrants""",0.312,0.688,0.0,-0.9615,0.0,0.6,275
solo,0,0,0,2022-11-22T04:13:14.000Z,"""immigrants""",0.0,1.0,0.0,0.0,0.2857142857142857,0.5357142857142857,109
replied_to,0,0,0,2022-11-22T04:13:13.000Z,"""immigrants""",0.0,0.698,0.302,0.8316,0.2111111111111111,0.4634920634920634,194
quoted,0,0,0,2022-11-22T04:12:45.000Z,"""immigrants""",0.0,0.839,0.161,0.3182,0.25,1.0,65
replied_to,0,0,0,2022-11-22T04:12:16.000Z,"""immigrants""",0.133,0.867,0.0,-0.7691,0.1666666666666666,0.2222222222222222,281
solo,1,3,0,2022-11-22T04:11:58.000Z,"""immigrants""",0.165,0.718,0.117,-0.4588,-0.1571428571428571,0.4333333333333333,189
replied_to,0,0,1,2022-11-22T04:11:50.000Z,"""immigrants""",0.139,0.861,0.0,-0.5267,0.0,0.0,132
replied_to,0,0,0,2022-11-22T04:11:40.000Z,"""immigrants""",0.254,0.647,0.099,-0.6197,0.0,0.5,170
replied_to,0,0,0,2022-11-22T04:11:31.000Z,"""immigrants""",0.064,0.669,0.267,0.743,0.0916666666666666,0.425,195
replied_to,0,0,0,2022-11-22T04:11:28.000Z,"""immigrants""",0.0,0.898,0.102,0.1513,0.2,0.2,81
replied_to,0,1,0,2022-11-22T04:11:24.000Z,"""immigrants""",0.296,0.704,0.0,-0.8779,-0.2333333333333333,0.3999999999999999,158
replied_to,0,0,0,2022-11-22T04:11:10.000Z,"""immigrants""",0.093,0.802,0.105,0.0772,0.0,0.0,121
replied_to,0,0,0,2022-11-22T04:10:55.000Z,"""immigrants""",0.394,0.606,0.0,-0.8442,-0.5,0.5,105
solo,0,0,0,2022-11-22T04:10:33.000Z,"""immigrants""",0.344,0.656,0.0,-0.743,-0.5,0.5,92
solo,0,1,0,2022-11-22T04:10:29.000Z,"""immigrants""",0.0,0.829,0.171,0.6542,0.2341269841269841,0.373015873015873,182
solo,1,2,0,2022-11-22T04:10:02.000Z,"""immigrants""",0.271,0.526,0.203,-0.2263,0.0454545454545454,0.6515151515151515,72
