type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,0,0,0,2022-11-22T04:30:00.000Z,"""inflation""",0.0,0.846,0.154,0.6115,0.2666666666666666,0.7333333333333334,123
solo,0,0,0,2022-11-22T04:30:00.000Z,"""inflation""",0.0,0.806,0.194,0.8139,0.062,0.268,226
solo,0,0,0,2022-11-22T04:29:57.000Z,"""inflation""",0.0,0.894,0.106,0.4672,0.2749999999999999,0.375,224
replied_to,0,0,0,2022-11-22T04:29:53.000Z,"""inflation""",0.07,0.784,0.146,0.4019,0.5,1.0,211
replied_to,0,0,0,2022-11-22T04:29:47.000Z,"""inflation""",0.054,0.868,0.078,0.0485,0.0666666666666666,0.0833333333333333,264
replied_to,0,0,0,2022-11-22T04:29:45.000Z,"""inflation""",0.247,0.753,0.0,-0.783,0.0,0.5,152
replied_to,0,0,0,2022-11-22T04:29:42.000Z,"""inflation""",0.063,0.673,0.264,0.8338,0.0,0.0,236
replied_to,0,0,0,2022-11-22T04:29:36.000Z,"""inflation""",0.0,1.0,0.0,0.0,0.0454545454545454,0.5416666666666666,127
replied_to,0,0,0,2022-11-22T04:29:17.000Z,"""inflation""",0.0,0.929,0.071,0.4588,0.0681818181818181,0.2272727272727272,216
replied_to,0,0,0,2022-11-22T04:29:16.000Z,"""inflation""",0.0,0.774,0.226,0.7837,0.5,0.6666666666666666,189
replied_to,0,0,0,2022-11-22T04:29:14.000Z,"""inflation""",0.118,0.823,0.058,-0.4144,-0.0833333333333333,0.4444444444444444,238
replied_to,0,0,0,2022-11-22T04:29:10.000Z,"""inflation""",0.0,1.0,0.0,0.0,0.1,0.2,54
replied_to,0,0,0,2022-11-22T04:29:02.000Z,"""inflation""",0.0,0.477,0.523,0.5093,0.0,0.0,26
quoted,0,0,0,2022-11-22T04:29:01.000Z,"""inflation""",0.134,0.814,0.052,-0.5994,-0.1333333333333333,0.6666666666666666,236
replied_to,0,0,0,2022-11-22T04:29:01.000Z,"""inflation""",0.107,0.732,0.161,0.2732,0.0,0.0,139
replied_to,0,0,0,2022-11-22T04:29:00.000Z,"""inflation""",0.052,0.731,0.217,0.8225,0.0722222222222222,0.3694444444444444,284
replied_to,0,0,0,2022-11-22T04:28:52.000Z,"""inflation""",0.086,0.623,0.291,0.9217,0.3199074074074073,0.5064814814814814,279
replied_to,0,0,0,2022-11-22T04:28:52.000Z,"""inflation""",0.18,0.773,0.046,-0.7783,-0.075,0.05,283
replied_to,0,0,0,2022-11-22T04:28:49.000Z,"""inflation""",0.0,1.0,0.0,0.0,0.0,1.0,58
solo,0,0,0,2022-11-22T04:28:44.000Z,"""inflation""",0.0,1.0,0.0,0.0,0.0,0.0958333333333333,57
replied_to,0,0,0,2022-11-22T04:28:32.000Z,"""inflation""",0.0,1.0,0.0,0.0,0.0,0.5,139
quoted,0,0,0,2022-11-22T04:28:23.000Z,"""inflation""",0.159,0.716,0.125,-0.3963,0.0226757369614512,0.5038548752834467,201
replied_to,0,0,0,2022-11-22T04:28:22.000Z,"""inflation""",0.14,0.805,0.055,-0.5093,-0.3125,0.55,229
solo,0,0,0,2022-11-22T04:28:19.000Z,"""inflation""",0.064,0.693,0.244,0.6705,0.0395192307692307,0.3460576923076923,218
solo,0,1,0,2022-11-22T04:28:17.000Z,"""inflation""",0.0,1.0,0.0,0.0,0.0,0.1,54
replied_to,0,0,0,2022-11-22T04:28:16.000Z,"""inflation""",0.0,1.0,0.0,0.0,0.0,0.6,118
replied_to,0,0,1,2022-11-22T04:28:14.000Z,"""inflation""",0.084,0.838,0.078,-0.0516,0.1611111111111111,0.3111111111111111,178
replied_to,0,0,0,2022-11-22T04:28:10.000Z,"""inflation""",0.0,0.742,0.258,0.743,0.35,0.3,131
replied_to,0,0,0,2022-11-22T04:28:05.000Z,"""inflation""",0.288,0.712,0.0,-0.7579,0.4375,0.6875,147
replied_to,0,0,0,2022-11-22T04:27:49.000Z,"""inflation""",0.055,0.945,0.0,-0.357,0.08,0.4575,280
replied_to,0,0,0,2022-11-22T04:27:45.000Z,"""inflation""",0.0,1.0,0.0,0.0,0.0,0.0,114
solo,0,0,0,2022-11-22T04:27:37.000Z,"""inflation""",0.159,0.701,0.14,-0.1027,5.551115123125783e-17,0.95,103
replied_to,0,0,0,2022-11-22T04:27:36.000Z,"""inflation""",0.199,0.663,0.138,-0.4468,-0.0214285714285714,0.2809523809523809,243
replied_to,0,0,0,2022-11-22T04:27:36.000Z,"""inflation""",0.193,0.807,0.0,-0.3875,0.0,0.0,78
replied_to,0,0,0,2022-11-22T04:27:35.000Z,"""inflation""",0.0,0.846,0.154,0.3716,0.0,0.0,80
replied_to,0,0,0,2022-11-22T04:27:33.000Z,"""inflation""",0.069,0.735,0.196,0.5706,0.224,0.55,272
replied_to,0,0,0,2022-11-22T04:27:29.000Z,"""inflation""",0.0,0.766,0.234,0.6369,0.1688888888888889,0.3744444444444444,128
replied_to,0,0,0,2022-11-22T04:27:27.000Z,"""inflation""",0.195,0.805,0.0,-0.6239,0.0625,0.65,140
solo,0,0,0,2022-11-22T04:27:06.000Z,"""inflation""",0.0,0.921,0.079,0.4588,-0.1071428571428571,0.4880952380952381,219
solo,0,0,0,2022-11-22T04:27:04.000Z,"""inflation""",0.179,0.821,0.0,-0.34,-0.175,0.575,70
replied_to,0,0,0,2022-11-22T04:27:02.000Z,"""inflation""",0.0,0.713,0.287,0.7227,0.0,0.0,125
solo,0,0,0,2022-11-22T04:27:02.000Z,"""inflation""",0.196,0.804,0.0,-0.296,-0.2,0.4,78
replied_to,0,1,0,2022-11-22T04:26:52.000Z,"""inflation""",0.122,0.878,0.0,-0.6597,0.6,0.95,229
replied_to,0,0,0,2022-11-22T04:26:52.000Z,"""inflation""",0.126,0.743,0.131,0.0258,0.0,0.0,94
replied_to,0,0,0,2022-11-22T04:26:52.000Z,"""inflation""",0.531,0.469,0.0,-0.7783,0.08,0.52,62
replied_to,0,0,0,2022-11-22T04:26:46.000Z,"""inflation""",0.184,0.816,0.0,-0.5574,-0.2,0.8,87
replied_to,0,0,1,2022-11-22T04:26:45.000Z,"""inflation""",0.0,0.78,0.22,0.5859,0.4285714285714285,0.5119047619047619,109
replied_to,0,0,0,2022-11-22T04:26:43.000Z,"""inflation""",0.299,0.701,0.0,-0.75,0.0,0.3,97
replied_to,0,0,0,2022-11-22T04:26:27.000Z,"""inflation""",0.254,0.595,0.151,-0.4515,-0.2,0.0,135
quoted,0,0,0,2022-11-22T04:26:22.000Z,"""inflation""",0.0,1.0,0.0,0.0,0.0,0.0,175
replied_to,0,0,0,2022-11-22T04:26:20.000Z,"""inflation""",0.0,1.0,0.0,0.0,0.25,0.3333333333333333,36
replied_to,0,0,0,2022-11-22T04:26:18.000Z,"""inflation""",0.0,0.652,0.348,0.5859,0.0,0.0,66
solo,0,0,0,2022-11-22T04:26:13.000Z,"""inflation""",0.0,0.704,0.296,0.7896,1.0,0.9,152
replied_to,0,0,0,2022-11-22T04:26:08.000Z,"""inflation""",0.0,1.0,0.0,0.0,0.0,0.5,122
solo,0,0,0,2022-11-22T04:26:05.000Z,"""inflation""",0.0,0.769,0.231,0.2732,0.0,0.0,48
replied_to,0,0,0,2022-11-22T04:26:05.000Z,"""inflation""",0.236,0.607,0.157,-0.6303,0.5464285714285715,0.5089285714285715,216
replied_to,0,0,0,2022-11-22T04:26:01.000Z,"""inflation""",0.157,0.74,0.102,-0.3736,0.5,0.5,133
solo,0,9,0,2022-11-22T04:25:58.000Z,"""inflation""",0.0,1.0,0.0,0.0,0.0,0.0,34
quoted,0,0,1,2022-11-22T04:25:58.000Z,"""inflation""",0.138,0.782,0.08,-0.5622,0.0486111111111111,0.2347222222222222,280
replied_to,0,1,1,2022-11-22T04:25:56.000Z,"""inflation""",0.0,0.674,0.326,0.4404,0.7,0.6000000000000001,38
replied_to,0,0,0,2022-11-22T04:25:55.000Z,"""inflation""",0.0,0.635,0.365,0.5574,0.0,0.0,74
replied_to,0,0,0,2022-11-22T04:25:52.000Z,"""inflation""",0.088,0.762,0.15,0.3,0.05,0.475,116
replied_to,0,0,0,2022-11-22T04:25:52.000Z,"""inflation""",0.0,0.869,0.131,0.4859,0.5,0.5,136
replied_to,0,0,0,2022-11-22T04:25:50.000Z,"""inflation""",0.144,0.856,0.0,-0.5719,-0.0266666666666666,0.3516666666666667,129
replied_to,0,0,0,2022-11-22T04:25:50.000Z,"""inflation""",0.38,0.539,0.081,-0.874,-0.2,0.4,132
replied_to,0,0,0,2022-11-22T04:25:43.000Z,"""inflation""",0.0,0.636,0.364,0.8209,0.2906901041666666,0.4777777777777777,106
solo,0,0,0,2022-11-22T04:25:40.000Z,"""inflation""",0.0,0.625,0.375,0.4939,0.0,0.0,73
quoted,0,0,0,2022-11-22T04:25:36.000Z,"""inflation""",0.194,0.806,0.0,-0.871,-0.78125,0.4,273
replied_to,0,0,0,2022-11-22T04:25:32.000Z,"""inflation""",0.0,1.0,0.0,0.0,0.1,0.4,61
replied_to,0,0,0,2022-11-22T04:25:27.000Z,"""inflation""",0.0,0.747,0.253,0.88,0.6666666666666666,0.6666666666666666,224
replied_to,0,0,0,2022-11-22T04:25:26.000Z,"""inflation""",0.256,0.744,0.0,-0.7041,-0.8,0.9,123
replied_to,0,0,1,2022-11-22T04:25:26.000Z,"""inflation""",0.0,0.818,0.182,0.4404,0.2966666666666667,0.6866666666666666,81
replied_to,0,0,0,2022-11-22T04:25:25.000Z,"""inflation""",0.241,0.712,0.047,-0.7964,0.1,0.8500000000000001,190
quoted,0,1,0,2022-11-22T04:25:24.000Z,"""inflation""",0.178,0.822,0.0,-0.3818,0.0,0.0,75
replied_to,0,0,0,2022-11-22T04:25:22.000Z,"""inflation""",0.119,0.77,0.111,0.144,0.09375,0.24375,254
replied_to,0,0,0,2022-11-22T04:25:21.000Z,"""inflation""",0.0,0.788,0.212,0.836,0.4181818181818181,0.5272727272727273,281
replied_to,0,0,2,2022-11-22T04:25:16.000Z,"""inflation""",0.261,0.739,0.0,-0.5574,0.0,0.0,72
replied_to,0,0,0,2022-11-22T04:25:16.000Z,"""inflation""",0.0,1.0,0.0,0.0,0.0,0.0,23
replied_to,0,0,0,2022-11-22T04:25:16.000Z,"""inflation""",0.0,0.795,0.205,0.6597,0.4160714285714285,0.525,144
replied_to,0,0,0,2022-11-22T04:25:09.000Z,"""inflation""",0.055,0.884,0.061,0.0772,0.275,0.4416666666666667,269
replied_to,0,0,0,2022-11-22T04:25:04.000Z,"""inflation""",0.0,1.0,0.0,0.0,0.0,0.0,53
solo,0,0,0,2022-11-22T04:25:04.000Z,"""inflation""",0.0,1.0,0.0,0.0,0.0,1.0,134
solo,0,0,0,2022-11-22T04:24:59.000Z,"""inflation""",0.155,0.652,0.193,0.1901,0.275,0.425,94
replied_to,0,0,0,2022-11-22T04:24:54.000Z,"""inflation""",0.063,0.937,0.0,-0.5423,0.0472222222222222,0.3944444444444445,278
replied_to,0,0,0,2022-11-22T04:24:52.000Z,"""inflation""",0.137,0.683,0.18,0.1779,0.5,0.8888888888888888,74
replied_to,0,0,0,2022-11-22T04:24:51.000Z,"""inflation""",0.0,0.788,0.212,0.755,0.2269360269360269,0.4478114478114478,146
replied_to,0,0,0,2022-11-22T04:24:51.000Z,"""inflation""",0.175,0.662,0.162,0.1027,0.0833333333333333,0.6666666666666666,253
replied_to,0,0,0,2022-11-22T04:24:44.000Z,"""inflation""",0.161,0.784,0.056,-0.7213,0.165,0.635,278
solo,0,0,0,2022-11-22T04:24:42.000Z,"""inflation""",0.167,0.647,0.186,-0.314,-0.0662499999999999,0.60375,179
replied_to,0,0,0,2022-11-22T04:24:41.000Z,"""inflation""",0.145,0.801,0.053,-0.4767,0.0,0.0,170
replied_to,0,0,0,2022-11-22T04:24:41.000Z,"""inflation""",0.0,1.0,0.0,0.0,0.0,0.0,66
replied_to,0,0,0,2022-11-22T04:24:39.000Z,"""inflation""",0.0,1.0,0.0,0.0,0.2,0.3,118
solo,0,0,0,2022-11-22T04:24:33.000Z,"""inflation""",0.0,1.0,0.0,0.0,-0.3545454545454545,0.5848484848484848,257
replied_to,0,0,0,2022-11-22T04:24:33.000Z,"""inflation""",0.0,0.887,0.113,0.3182,0.1375,0.6375,107
replied_to,0,0,1,2022-11-22T04:24:33.000Z,"""inflation""",0.044,0.903,0.053,0.1027,-0.0666666666666666,0.6,278
replied_to,0,0,0,2022-11-22T04:24:29.000Z,"""inflation""",0.0,0.788,0.212,0.836,0.4181818181818181,0.5272727272727273,283
quoted,2,9,0,2022-11-22T04:24:18.000Z,"""inflation""",0.053,0.801,0.146,0.5859,-0.0083333333333333,0.5583333333333333,252
replied_to,0,0,0,2022-11-22T04:24:15.000Z,"""inflation""",0.231,0.769,0.0,-0.3412,-0.35,0.6000000000000001,52
replied_to,0,0,0,2022-11-22T04:24:07.000Z,"""inflation""",0.316,0.684,0.0,-0.9349,-0.075,0.54375,237
replied_to,0,0,0,2022-11-22T04:24:02.000Z,"""inflation""",0.072,0.777,0.151,0.4767,0.1166666666666666,0.4472222222222222,264
replied_to,0,0,0,2022-11-22T04:23:56.000Z,"""inflation""",0.0,1.0,0.0,0.0,0.0,0.0,116
replied_to,0,0,0,2022-11-22T04:23:55.000Z,"""inflation""",0.0,0.864,0.136,0.296,-0.1666666666666666,0.3333333333333333,95
replied_to,0,0,0,2022-11-22T04:23:54.000Z,"""inflation""",0.225,0.642,0.133,-0.4019,0.0,0.0,212
replied_to,0,0,0,2022-11-22T04:23:53.000Z,"""inflation""",0.0,0.765,0.235,0.8722,-0.2904761904761905,0.3714285714285714,285
solo,0,0,0,2022-11-22T04:23:50.000Z,"""inflation""",0.0,0.804,0.196,0.6808,0.1366666666666667,0.68,150
replied_to,0,0,0,2022-11-22T04:23:48.000Z,"""inflation""",0.143,0.732,0.125,-0.128,-0.1133333333333333,0.5133333333333333,158
quoted,0,0,0,2022-11-22T04:23:46.000Z,"""inflation""",0.133,0.743,0.124,-0.1007,-0.4375,0.6375,220
