type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,0,0,0,2022-11-22T05:02:02.000Z,"""liberals""",0.056,0.944,0.0,-0.1531,0.08,0.52,188
replied_to,0,0,0,2022-11-22T05:01:58.000Z,"""liberals""",0.0,0.627,0.373,0.7133,-0.1,0.2,77
replied_to,0,0,0,2022-11-22T05:01:58.000Z,"""liberals""",0.289,0.711,0.0,-0.7845,-0.2928571428571428,0.7114285714285715,117
replied_to,0,0,0,2022-11-22T05:01:56.000Z,"""liberals""",0.0,0.488,0.512,0.6369,0.5,0.6,34
solo,0,0,0,2022-11-22T05:01:55.000Z,"""liberals""",0.171,0.618,0.211,0.5267,0.2,0.45,159
replied_to,0,0,0,2022-11-22T05:01:55.000Z,"""liberals""",0.0,0.765,0.235,0.8571,0.2,0.2,225
replied_to,0,0,0,2022-11-22T05:01:54.000Z,"""liberals""",0.206,0.596,0.197,-0.1027,-0.0499999999999999,0.9333333333333332,203
replied_to,0,0,0,2022-11-22T05:01:42.000Z,"""liberals""",0.231,0.769,0.0,-0.0516,0.0,0.0,34
replied_to,0,0,0,2022-11-22T05:01:37.000Z,"""liberals""",0.242,0.505,0.253,0.0258,0.6,0.9,44
replied_to,0,0,0,2022-11-22T05:01:36.000Z,"""liberals""",0.428,0.374,0.198,-0.6486,0.7,0.8,52
solo,0,0,0,2022-11-22T05:01:35.000Z,"""liberals""",0.195,0.65,0.155,-0.079,0.0699999999999999,0.5,168
quoted,0,0,0,2022-11-22T05:01:29.000Z,"""liberals""",0.0,0.762,0.238,0.3612,0.0,0.0,56
replied_to,0,0,0,2022-11-22T05:01:27.000Z,"""liberals""",0.0,0.895,0.105,0.3774,0.2666666666666666,0.6833333333333332,147
quoted,0,0,0,2022-11-22T05:01:19.000Z,"""liberals""",0.0,0.701,0.299,0.4574,0.0,0.0,57
replied_to,0,0,0,2022-11-22T05:01:11.000Z,"""liberals""",0.229,0.71,0.061,-0.7744,-0.11,0.3841666666666666,284
replied_to,0,0,0,2022-11-22T05:01:02.000Z,"""liberals""",0.178,0.822,0.0,-0.3802,0.0,0.0,83
replied_to,0,0,0,2022-11-22T05:01:01.000Z,"""liberals""",0.0,0.706,0.294,0.3612,0.0,0.0,51
replied_to,1,1,0,2022-11-22T05:00:51.000Z,"""liberals""",0.172,0.828,0.0,-0.4019,0.1,0.3,100
solo,0,1,0,2022-11-22T05:00:48.000Z,"""liberals""",0.304,0.696,0.0,-0.5423,-0.3333333333333333,0.4666666666666666,59
replied_to,0,0,0,2022-11-22T05:00:47.000Z,"""liberals""",0.091,0.742,0.167,0.4767,-0.0666666666666666,0.1333333333333333,280
solo,0,0,0,2022-11-22T05:00:45.000Z,"""liberals""",0.167,0.833,0.0,-0.1027,-0.0029761904761904,0.5386904761904762,57
replied_to,2,2,0,2022-11-22T05:00:43.000Z,"""liberals""",0.118,0.882,0.0,-0.2808,0.0,0.0,105
quoted,0,0,0,2022-11-22T05:00:38.000Z,"""liberals""",0.093,0.907,0.0,-0.3291,0.2,0.2,129
replied_to,0,0,0,2022-11-22T05:00:36.000Z,"""liberals""",0.0,0.882,0.118,0.6674,0.1590909090909091,0.5017857142857143,272
replied_to,0,0,0,2022-11-22T05:00:36.000Z,"""liberals""",0.0,0.859,0.141,0.4215,0.0,0.1125,107
replied_to,0,0,0,2022-11-22T05:00:35.000Z,"""liberals""",0.0,1.0,0.0,0.0,0.2,0.3,70
replied_to,0,0,0,2022-11-22T05:00:19.000Z,"""liberals""",0.0,0.794,0.206,0.6908,0.375,0.5625,149
solo,0,1,0,2022-11-22T05:00:15.000Z,"""liberals""",0.265,0.735,0.0,-0.7579,-0.4333333333333333,0.6333333333333333,134
replied_to,0,0,0,2022-11-22T05:00:05.000Z,"""liberals""",0.333,0.667,0.0,-0.4588,0.0,0.0,45
replied_to,0,0,0,2022-11-22T05:00:04.000Z,"""liberals""",0.186,0.782,0.032,-0.8271,-0.1285714285714286,0.3857142857142857,283
replied_to,0,0,0,2022-11-22T05:00:02.000Z,"""liberals""",0.073,0.87,0.057,-0.2023,-0.175,0.44,265
solo,1,0,0,2022-11-22T04:59:58.000Z,"""liberals""",0.185,0.815,0.0,-0.3612,0.0,0.0,88
replied_to,0,0,0,2022-11-22T04:59:55.000Z,"""liberals""",0.0,0.722,0.278,0.4019,0.0,0.0,51
solo,0,0,0,2022-11-22T04:59:55.000Z,"""liberals""",0.0,0.888,0.112,0.3919,-0.0555555555555555,0.4777777777777778,136
replied_to,0,0,0,2022-11-22T04:59:49.000Z,"""liberals""",0.0,1.0,0.0,0.0,0.0666666666666666,0.1333333333333333,237
replied_to,0,0,0,2022-11-22T04:59:46.000Z,"""liberals""",0.0,0.133,0.867,0.7579,0.9,0.85,24
replied_to,0,0,0,2022-11-22T04:59:44.000Z,"""liberals""",0.261,0.739,0.0,-0.7937,0.028125,0.546875,127
replied_to,0,0,0,2022-11-22T04:59:38.000Z,"""liberals""",0.18,0.82,0.0,-0.5895,-0.1686507936507936,0.6924603174603176,142
replied_to,0,0,0,2022-11-22T04:59:35.000Z,"""liberals""",0.304,0.552,0.144,-0.9032,-0.4,0.6433333333333333,275
replied_to,0,0,0,2022-11-22T04:59:27.000Z,"""liberals""",0.0,0.848,0.152,0.7717,0.4,0.8,277
quoted,0,0,0,2022-11-22T04:59:21.000Z,"""liberals""",0.241,0.716,0.043,-0.9011,-0.38,0.53,259
replied_to,0,0,0,2022-11-22T04:59:18.000Z,"""liberals""",0.1,0.819,0.082,-0.128,-0.0249999999999999,0.5375,163
replied_to,0,0,0,2022-11-22T04:59:09.000Z,"""liberals""",0.32,0.68,0.0,-0.8553,-0.5,0.4666666666666666,152
replied_to,0,0,0,2022-11-22T04:58:58.000Z,"""liberals""",0.116,0.884,0.0,-0.6369,0.1,0.4,189
replied_to,0,0,0,2022-11-22T04:58:56.000Z,"""liberals""",0.136,0.745,0.119,-0.1685,-0.2333333333333332,0.2777777777777777,208
replied_to,0,0,0,2022-11-22T04:58:55.000Z,"""liberals""",0.152,0.724,0.124,-0.128,-0.0249999999999999,0.5666666666666667,237
quoted,0,0,0,2022-11-22T04:58:52.000Z,"""liberals""",0.0,1.0,0.0,0.0,0.0,0.0,26
replied_to,0,0,0,2022-11-22T04:58:49.000Z,"""liberals""",0.0,1.0,0.0,0.0,0.0,0.0,11
solo,0,0,0,2022-11-22T04:58:45.000Z,"""liberals""",0.067,0.775,0.158,0.5423,0.05,0.1916666666666666,179
replied_to,0,0,0,2022-11-22T04:58:41.000Z,"""liberals""",0.195,0.805,0.0,-0.802,0.0681818181818181,0.2272727272727272,279
replied_to,0,0,0,2022-11-22T04:58:33.000Z,"""liberals""",0.0,0.684,0.316,0.2144,0.0,0.0,26
replied_to,0,0,0,2022-11-22T04:58:32.000Z,"""liberals""",0.359,0.59,0.05,-0.9735,-0.58,0.74,277
solo,0,0,0,2022-11-22T04:58:31.000Z,"""liberals""",0.189,0.811,0.0,-0.1027,0.0,0.0,41
solo,0,2,0,2022-11-22T04:58:28.000Z,"""liberals""",0.19,0.484,0.326,0.7571,0.1333333333333333,0.6666666666666666,195
solo,0,0,0,2022-11-22T04:58:25.000Z,"""liberals""",0.067,0.762,0.172,0.6848,0.1869047619047619,0.4077380952380952,278
