type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
replied_to,1,2,0,2022-11-22T05:00:40.000Z,"""nuclear energy""",0.0,0.78,0.22,0.6808,0.2007575757575757,0.4886363636363637,184
solo,0,0,0,2022-11-22T04:55:56.000Z,"""nuclear energy""",0.066,0.712,0.222,0.6908,0.0,1.0,224
replied_to,0,0,0,2022-11-22T04:55:10.000Z,"""nuclear energy""",0.123,0.836,0.042,-0.6204,-0.25,1.0,282
solo,0,0,0,2022-11-22T04:53:48.000Z,"""nuclear energy""",0.238,0.524,0.238,-0.0,0.0,0.0,95
replied_to,1,1,1,2022-11-22T04:52:21.000Z,"""nuclear energy""",0.0,0.385,0.615,0.5859,0.0,0.0,34
replied_to,0,0,0,2022-11-22T04:50:03.000Z,"""nuclear energy""",0.24,0.636,0.124,-0.7972,-0.4159090909090909,0.625,282
solo,0,0,2,2022-11-22T04:49:22.000Z,"""nuclear energy""",0.157,0.843,0.0,-0.4215,0.0166666666666666,0.1444444444444444,91
solo,0,0,0,2022-11-22T04:34:20.000Z,"""nuclear energy""",0.0,0.794,0.206,0.6369,0.05,0.05,163
solo,0,0,0,2022-11-22T04:30:27.000Z,"""nuclear energy""",0.335,0.527,0.138,-0.4574,0.0,0.0,78
replied_to,0,0,0,2022-11-22T04:26:55.000Z,"""nuclear energy""",0.0,0.552,0.448,0.7964,0.0799999999999999,0.29,102
replied_to,0,1,1,2022-11-22T04:23:35.000Z,"""nuclear energy""",0.095,0.854,0.051,-0.4215,0.125,0.125,246
replied_to,0,1,1,2022-11-22T04:04:00.000Z,"""nuclear energy""",0.0,0.648,0.352,0.8307,0.325,0.6666666666666666,131
replied_to,0,1,1,2022-11-22T03:59:52.000Z,"""nuclear energy""",0.0,0.802,0.198,0.4939,0.0,0.0,140
solo,0,0,0,2022-11-22T03:56:16.000Z,"""nuclear energy""",0.102,0.642,0.257,0.4767,0.0,0.0,150
solo,0,0,0,2022-11-22T03:48:21.000Z,"""nuclear energy""",0.109,0.587,0.304,0.7425,0.125,0.425,165
replied_to,0,0,0,2022-11-22T03:45:52.000Z,"""nuclear energy""",0.09,0.773,0.137,0.2263,-0.3333333333333333,1.0,99
replied_to,0,0,0,2022-11-22T03:45:50.000Z,"""nuclear energy""",0.434,0.338,0.228,-0.6858,-0.1416666666666665,0.5833333333333333,52
replied_to,0,0,1,2022-11-22T03:42:06.000Z,"""nuclear energy""",0.111,0.704,0.185,0.3597,0.1266666666666666,0.4383333333333333,229
solo,0,0,0,2022-11-22T03:40:13.000Z,"""nuclear energy""",0.047,0.777,0.176,0.6106,0.5,0.9,178
replied_to,0,0,0,2022-11-22T03:40:10.000Z,"""nuclear energy""",0.057,0.55,0.393,0.9168,0.3,0.5222222222222223,207
