type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,0,0,0,2022-11-22T04:42:36.000Z,"""oil price""",0.236,0.764,0.0,-0.5719,-0.7,1.0,83
solo,0,0,0,2022-11-22T04:41:32.000Z,"""oil price""",0.104,0.896,0.0,-0.2732,0.0,0.0,98
solo,0,0,0,2022-11-22T04:39:16.000Z,"""oil price""",0.206,0.581,0.213,0.0258,0.1,0.3,76
replied_to,0,0,0,2022-11-22T04:30:14.000Z,"""oil price""",0.051,0.887,0.062,0.09,0.7,0.6000000000000001,153
solo,0,0,0,2022-11-22T04:30:08.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.0,0.0,75
solo,0,0,0,2022-11-22T04:24:31.000Z,"""oil price""",0.171,0.829,0.0,-0.5719,-0.2249999999999999,0.6666666666666666,96
replied_to,0,1,0,2022-11-22T04:24:04.000Z,"""oil price""",0.061,0.904,0.035,-0.25,-0.3999999999999999,0.6000000000000001,229
solo,0,0,0,2022-11-22T04:19:58.000Z,"""oil price""",0.163,0.837,0.0,-0.5719,-0.2249999999999999,0.6666666666666666,106
solo,0,0,0,2022-11-22T04:15:16.000Z,"""oil price""",0.183,0.629,0.189,0.0258,0.1,0.3,92
solo,0,0,0,2022-11-22T04:10:10.000Z,"""oil price""",0.156,0.844,0.0,-0.5719,-0.2249999999999999,0.6666666666666666,113
replied_to,0,0,0,2022-11-22T04:08:46.000Z,"""oil price""",0.0,0.856,0.144,0.5719,0.1666666666666666,0.3333333333333333,147
replied_to,0,0,0,2022-11-22T04:08:25.000Z,"""oil price""",0.0,0.827,0.173,0.3182,0.0,0.0,67
solo,0,0,0,2022-11-22T04:00:47.000Z,"""oil price""",0.107,0.78,0.112,0.0258,0.3,0.5,111
solo,1,2,0,2022-11-22T04:00:07.000Z,"""oil price""",0.0,1.0,0.0,0.0,-0.7,1.0,62
solo,0,0,1,2022-11-22T03:51:30.000Z,"""oil price""",0.182,0.739,0.079,-0.6887,-0.2201388888888888,0.5159722222222223,277
solo,0,1,0,2022-11-22T03:48:57.000Z,"""oil price""",0.0,0.744,0.256,0.4767,0.6,0.8,65
solo,0,0,0,2022-11-22T03:48:03.000Z,"""oil price""",0.206,0.581,0.213,0.0258,0.1,0.3,76
solo,0,0,0,2022-11-22T03:44:26.000Z,"""oil price""",0.236,0.764,0.0,-0.5719,-0.7,1.0,82
solo,0,0,0,2022-11-22T03:43:34.000Z,"""oil price""",0.075,0.735,0.19,0.5586,-0.0166666666666666,0.425,253
replied_to,0,0,1,2022-11-22T03:41:21.000Z,"""oil price""",0.212,0.788,0.0,-0.8327,0.25,0.25,199
solo,0,0,0,2022-11-22T03:39:46.000Z,"""oil price""",0.078,0.784,0.137,0.34,-0.0333333333333333,0.4,236
replied_to,0,0,0,2022-11-22T03:35:10.000Z,"""oil price""",0.133,0.813,0.054,-0.5106,0.1904761904761905,0.4619047619047619,282
solo,0,0,0,2022-11-22T03:31:16.000Z,"""oil price""",0.0,0.65,0.35,0.5106,0.0,0.0,67
solo,1,1,0,2022-11-22T03:30:43.000Z,"""oil price""",0.115,0.885,0.0,-0.296,0.0,0.0,128
solo,0,0,0,2022-11-22T03:29:58.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.1,0.4,98
solo,0,0,0,2022-11-22T03:21:47.000Z,"""oil price""",0.188,0.786,0.026,-0.8516,-0.1499999999999999,0.3222222222222222,228
solo,4,4,0,2022-11-22T03:20:35.000Z,"""oil price""",0.228,0.772,0.0,-0.7998,-0.35,0.55,235
solo,0,0,0,2022-11-22T03:13:07.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.0,0.0,75
replied_to,0,0,0,2022-11-22T03:13:00.000Z,"""oil price""",0.132,0.643,0.225,0.3818,-0.1242424242424242,0.4484848484848485,122
solo,0,0,0,2022-11-22T03:11:58.000Z,"""oil price""",0.23,0.696,0.074,-0.7887,0.294140625,0.25,207
solo,1,6,0,2022-11-22T03:00:29.000Z,"""oil price""",0.0,1.0,0.0,0.0,-0.7,1.0,62
replied_to,0,0,0,2022-11-22T02:57:29.000Z,"""oil price""",0.579,0.421,0.0,-0.6697,-0.5166666666666666,0.6666666666666666,37
solo,0,0,0,2022-11-22T02:57:25.000Z,"""oil price""",0.246,0.601,0.153,-0.1779,0.0,0.0,87
solo,1,2,0,2022-11-22T02:50:41.000Z,"""oil price""",0.062,0.937,0.0,-0.296,0.0,0.0,223
solo,0,0,0,2022-11-22T02:50:24.000Z,"""oil price""",0.236,0.764,0.0,-0.5719,-0.7,1.0,82
solo,0,0,0,2022-11-22T02:48:28.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.0,0.0,66
solo,0,0,0,2022-11-22T02:47:47.000Z,"""oil price""",0.09,0.839,0.071,-0.0772,0.1363636363636363,0.4545454545454545,101
replied_to,0,0,2,2022-11-22T02:46:38.000Z,"""oil price""",0.118,0.882,0.0,-0.694,0.25,0.25,269
solo,0,0,0,2022-11-22T02:46:27.000Z,"""oil price""",0.222,0.778,0.0,-0.5719,-0.7,1.0,90
quoted,0,0,0,2022-11-22T02:40:14.000Z,"""oil price""",0.228,0.772,0.0,-0.7269,-0.275,0.5666666666666667,137
solo,0,0,0,2022-11-22T02:37:04.000Z,"""oil price""",0.0,0.841,0.159,0.5849,0.0,0.0,119
solo,0,0,0,2022-11-22T02:35:26.000Z,"""oil price""",0.206,0.581,0.213,0.0258,0.1,0.3,76
solo,0,0,0,2022-11-22T02:34:39.000Z,"""oil price""",0.236,0.764,0.0,-0.5719,-0.7,1.0,82
solo,0,0,0,2022-11-22T02:27:08.000Z,"""oil price""",0.188,0.812,0.0,-0.5719,-0.7,1.0,105
replied_to,0,0,0,2022-11-22T02:23:45.000Z,"""oil price""",0.055,0.792,0.154,0.5945,0.3,0.4333333333333333,249
solo,0,0,0,2022-11-22T02:23:19.000Z,"""oil price""",0.236,0.764,0.0,-0.5719,-0.7,1.0,82
replied_to,0,0,0,2022-11-22T02:20:43.000Z,"""oil price""",0.238,0.679,0.083,-0.6249,0.0,0.0,122
solo,0,1,0,2022-11-22T02:16:25.000Z,"""oil price""",0.062,0.843,0.096,0.128,0.2833333333333333,0.3666666666666667,244
solo,0,1,0,2022-11-22T02:14:35.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.1,0.1,144
solo,0,0,0,2022-11-22T02:14:31.000Z,"""oil price""",0.091,0.785,0.124,0.2018,-0.311111111111111,0.6444444444444445,109
replied_to,0,0,0,2022-11-22T02:12:47.000Z,"""oil price""",0.133,0.867,0.0,-0.6083,0.0,0.0,214
replied_to,0,0,0,2022-11-22T02:11:59.000Z,"""oil price""",0.0,1.0,0.0,0.0,-0.0777777777777777,0.1444444444444444,144
solo,0,0,0,2022-11-22T02:11:30.000Z,"""oil price""",0.085,0.854,0.061,-0.0258,0.0,0.0,228
replied_to,0,1,0,2022-11-22T02:11:15.000Z,"""oil price""",0.063,0.872,0.065,0.0258,-0.1416666666666666,0.1999999999999999,188
solo,0,0,0,2022-11-22T02:09:29.000Z,"""oil price""",0.121,0.879,0.0,-0.296,0.0,0.0,100
solo,0,0,0,2022-11-22T02:08:58.000Z,"""oil price""",0.212,0.66,0.127,-0.2023,0.0,0.0,100
solo,0,0,0,2022-11-22T02:05:43.000Z,"""oil price""",0.236,0.764,0.0,-0.5719,-0.7,1.0,82
replied_to,0,0,0,2022-11-22T02:05:27.000Z,"""oil price""",0.107,0.848,0.045,-0.4767,0.1166666666666666,0.2166666666666666,284
solo,0,0,0,2022-11-22T02:04:43.000Z,"""oil price""",0.194,0.606,0.2,0.0258,0.1,0.3,80
solo,0,0,0,2022-11-22T02:04:02.000Z,"""oil price""",0.209,0.791,0.0,-0.8126,-0.7,1.0,208
replied_to,0,0,0,2022-11-22T02:03:18.000Z,"""oil price""",0.144,0.813,0.043,-0.6705,0.1166666666666666,0.2166666666666666,282
solo,0,0,0,2022-11-22T02:02:14.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.0,0.0,27
solo,0,0,0,2022-11-22T02:02:07.000Z,"""oil price""",0.236,0.764,0.0,-0.5719,-0.7,1.0,82
solo,1,3,0,2022-11-22T02:01:00.000Z,"""oil price""",0.179,0.821,0.0,-0.7506,-0.0624999999999999,0.4458333333333333,242
solo,2,4,0,2022-11-22T02:00:20.000Z,"""oil price""",0.0,1.0,0.0,0.0,-0.7,1.0,62
solo,3,5,0,2022-11-22T01:59:01.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.0,0.0,42
quoted,0,0,0,2022-11-22T01:58:28.000Z,"""oil price""",0.1,0.859,0.041,-0.2869,-0.0972222222222222,0.4472222222222222,277
solo,0,0,0,2022-11-22T01:52:01.000Z,"""oil price""",0.176,0.824,0.0,-0.5719,-0.1466666666666666,0.58,126
replied_to,0,0,0,2022-11-22T01:41:18.000Z,"""oil price""",0.057,0.85,0.094,0.2742,0.0,0.0,280
solo,0,0,0,2022-11-22T01:33:30.000Z,"""oil price""",0.194,0.606,0.2,0.0258,0.1,0.3,81
solo,0,4,2,2022-11-22T01:33:14.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.1666666666666666,0.5333333333333333,233
solo,0,0,0,2022-11-22T01:23:28.000Z,"""oil price""",0.121,0.879,0.0,-0.296,0.0,0.0,100
replied_to,0,0,0,2022-11-22T01:21:17.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.0,0.0,63
solo,2,1,0,2022-11-22T01:15:09.000Z,"""oil price""",0.257,0.713,0.03,-0.872,0.0,0.5,244
solo,0,0,0,2022-11-22T01:15:07.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.0,0.0,61
replied_to,2,5,0,2022-11-22T01:07:16.000Z,"""oil price""",0.0,0.854,0.146,0.4404,0.0,0.05,113
solo,12,109,2,2022-11-22T01:04:29.000Z,"""oil price""",0.184,0.715,0.101,-0.5542,-0.3,0.7,218
solo,0,3,0,2022-11-22T01:00:05.000Z,"""oil price""",0.0,1.0,0.0,0.0,-0.7,1.0,62
solo,0,0,0,2022-11-22T00:57:46.000Z,"""oil price""",0.0,0.795,0.205,0.2023,0.5,0.5,50
solo,0,0,0,2022-11-22T00:56:03.000Z,"""oil price""",0.206,0.581,0.213,0.0258,0.1,0.3,76
solo,0,0,0,2022-11-22T00:55:47.000Z,"""oil price""",0.183,0.629,0.189,0.0258,0.1,0.3,92
solo,0,0,0,2022-11-22T00:52:23.000Z,"""oil price""",0.236,0.764,0.0,-0.34,0.1,0.6,107
replied_to,0,1,0,2022-11-22T00:43:35.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.0,0.0,34
solo,0,0,0,2022-11-22T00:36:29.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.1,0.6,58
replied_to,0,0,2,2022-11-22T00:31:10.000Z,"""oil price""",0.043,0.742,0.215,0.8334,0.1543981481481481,0.5590277777777778,283
solo,0,0,0,2022-11-22T00:23:02.000Z,"""oil price""",0.0,1.0,0.0,0.0,-0.025,0.3,125
solo,0,0,0,2022-11-22T00:19:19.000Z,"""oil price""",0.194,0.606,0.2,0.0258,0.1,0.3,81
solo,0,0,0,2022-11-22T00:17:20.000Z,"""oil price""",0.0,0.795,0.205,0.2023,0.5,0.5,49
replied_to,0,0,0,2022-11-22T00:06:11.000Z,"""oil price""",0.05,0.95,0.0,-0.2732,0.0,0.15,254
quoted,0,0,0,2022-11-22T00:02:58.000Z,"""oil price""",0.252,0.581,0.168,-0.3818,-0.0777777777777777,0.1444444444444444,145
solo,0,0,0,2022-11-22T00:00:53.000Z,"""oil price""",0.221,0.674,0.105,-0.4767,-0.7,1.0,120
solo,1,1,0,2022-11-22T00:00:21.000Z,"""oil price""",0.1,0.823,0.077,0.024,0.2166666666666666,0.4833333333333333,225
solo,0,1,0,2022-11-22T00:00:09.000Z,"""oil price""",0.0,1.0,0.0,0.0,-0.7,1.0,62
solo,0,0,0,2022-11-21T23:55:02.000Z,"""oil price""",0.0,0.916,0.084,0.0258,0.0,0.0,84
replied_to,0,0,0,2022-11-21T23:53:18.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.0416666666666666,0.2916666666666667,230
replied_to,0,0,0,2022-11-21T23:44:55.000Z,"""oil price""",0.212,0.681,0.107,-0.7579,-0.0569444444444444,0.4986111111111111,277
replied_to,0,0,0,2022-11-21T23:43:48.000Z,"""oil price""",0.038,0.962,0.0,-0.0276,0.0833333333333333,0.1729166666666666,145
solo,0,1,1,2022-11-21T23:42:23.000Z,"""oil price""",0.0,0.942,0.058,0.0258,0.0,0.1,145
solo,0,0,0,2022-11-21T23:42:09.000Z,"""oil price""",0.0,0.65,0.35,0.5106,0.0,0.0,65
replied_to,0,0,2,2022-11-21T23:38:43.000Z,"""oil price""",0.0,1.0,0.0,0.0,-0.05,0.4,78
replied_to,0,0,0,2022-11-21T23:37:23.000Z,"""oil price""",0.407,0.339,0.254,-0.2023,0.0,0.0,45
replied_to,0,0,1,2022-11-21T23:37:16.000Z,"""oil price""",0.197,0.803,0.0,-0.8316,-0.5333333333333333,0.9166666666666666,274
solo,0,1,1,2022-11-21T23:37:12.000Z,"""oil price""",0.052,0.948,0.0,-0.3818,-0.0388888888888888,0.2865079365079365,274
replied_to,0,0,0,2022-11-21T23:31:37.000Z,"""oil price""",0.112,0.827,0.061,-0.2746,0.0,0.0,209
solo,0,0,0,2022-11-21T23:30:36.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.0,0.0,71
solo,0,0,0,2022-11-21T23:30:31.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.0,0.0,71
solo,0,0,0,2022-11-21T23:30:17.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.0,0.0,71
solo,0,0,0,2022-11-21T23:30:14.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.0,0.0,71
solo,0,0,0,2022-11-21T23:30:08.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.0,0.0,71
solo,0,0,0,2022-11-21T23:28:42.000Z,"""oil price""",0.164,0.635,0.201,0.1779,5.551115123125783e-17,0.8,75
replied_to,0,1,2,2022-11-21T23:26:00.000Z,"""oil price""",0.0,0.848,0.152,0.5267,0.0861111111111111,0.5347222222222222,122
solo,0,0,0,2022-11-21T23:24:00.000Z,"""oil price""",0.0,1.0,0.0,0.0,-0.096060606060606,0.3842424242424242,232
solo,0,0,0,2022-11-21T23:23:35.000Z,"""oil price""",0.09,0.785,0.125,0.3111,0.1180720899470899,0.3748677248677248,192
solo,0,0,0,2022-11-21T23:22:59.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.0,0.0,61
solo,0,0,0,2022-11-21T23:22:58.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.0,0.0,61
solo,0,0,0,2022-11-21T23:19:56.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.0,0.0,61
solo,0,0,0,2022-11-21T23:19:12.000Z,"""oil price""",0.156,0.683,0.161,0.0258,0.1,0.3,117
replied_to,0,0,0,2022-11-21T23:17:15.000Z,"""oil price""",0.192,0.808,0.0,-0.7635,-0.25,0.6785714285714286,247
replied_to,1,1,7,2022-11-21T23:16:19.000Z,"""oil price""",0.113,0.754,0.133,-0.0803,-0.0062499999999999,0.1687499999999999,151
solo,1,0,0,2022-11-21T23:14:00.000Z,"""oil price""",0.0,1.0,0.0,0.0,-0.096060606060606,0.3842424242424242,232
solo,0,0,0,2022-11-21T23:12:13.000Z,"""oil price""",0.149,0.762,0.089,-0.2023,0.0,0.0,179
replied_to,0,1,0,2022-11-21T23:11:01.000Z,"""oil price""",0.0,0.94,0.06,0.3054,-0.0694444444444444,0.4888888888888889,223
replied_to,0,0,0,2022-11-21T23:06:17.000Z,"""oil price""",0.0,0.918,0.082,0.3612,0.125,0.625,188
solo,0,1,0,2022-11-21T23:05:24.000Z,"""oil price""",0.171,0.755,0.074,-0.7096,-0.2499999999999999,0.6,279
solo,0,0,0,2022-11-21T23:02:48.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.0,0.0,61
solo,0,0,0,2022-11-21T23:00:33.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.1,0.2,83
solo,0,5,0,2022-11-21T23:00:07.000Z,"""oil price""",0.0,1.0,0.0,0.0,-0.7,1.0,62
solo,0,0,0,2022-11-21T22:55:00.000Z,"""oil price""",0.0,1.0,0.0,0.0,-0.4277777777777777,0.6444444444444445,102
replied_to,0,0,1,2022-11-21T22:54:02.000Z,"""oil price""",0.0,1.0,0.0,0.0,0.0,0.0,58
replied_to,0,0,0,2022-11-21T22:47:04.000Z,"""oil price""",0.0,0.682,0.318,0.4215,0.0,0.0,38
solo,0,0,0,2022-11-21T22:46:25.000Z,"""oil price""",0.206,0.581,0.213,0.0258,0.1,0.3,76
solo,0,0,0,2022-11-21T22:46:21.000Z,"""oil price""",0.212,0.788,0.0,-0.7344,-0.2,0.3,139
