type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
replied_to,0,0,0,2022-11-22T04:13:25.000Z,"""president""",0.0,0.771,0.229,0.8906,0.3113888888888889,0.5747222222222222,272
replied_to,0,0,0,2022-11-22T04:13:23.000Z,"""president""",0.242,0.758,0.0,-0.296,0.0,0.25,83
replied_to,0,0,0,2022-11-22T04:13:23.000Z,"""president""",0.023,0.648,0.329,0.9545,0.365340909090909,0.3,281
replied_to,0,0,0,2022-11-22T04:13:22.000Z,"""president""",0.173,0.599,0.228,0.2568,0.29,0.3399999999999999,175
solo,1,1,0,2022-11-22T04:13:22.000Z,"""president""",0.0,0.793,0.207,0.5267,0.1565656565656565,0.545959595959596,104
replied_to,0,0,0,2022-11-22T04:13:22.000Z,"""president""",0.046,0.754,0.2,0.8126,0.2041666666666667,0.3,273
replied_to,0,0,0,2022-11-22T04:13:19.000Z,"""president""",0.126,0.763,0.111,-0.1027,0.1428571428571428,0.2678571428571428,139
solo,0,0,0,2022-11-22T04:13:18.000Z,"""president""",0.0,0.769,0.231,0.9062,0.4,0.1,280
replied_to,0,0,0,2022-11-22T04:13:18.000Z,"""president""",0.0,1.0,0.0,0.0,-0.3,0.6,94
replied_to,0,0,0,2022-11-22T04:13:18.000Z,"""president""",0.0,0.679,0.321,0.9274,-0.0133333333333333,0.5066666666666666,224
replied_to,0,0,0,2022-11-22T04:13:15.000Z,"""president""",0.0,0.462,0.538,0.8581,0.0,0.0,74
replied_to,0,0,0,2022-11-22T04:13:14.000Z,"""president""",0.0,1.0,0.0,0.0,0.1,0.3,32
replied_to,0,0,0,2022-11-22T04:13:13.000Z,"""president""",0.135,0.865,0.0,-0.3291,-0.4,0.45,100
solo,0,0,0,2022-11-22T04:13:12.000Z,"""president""",0.138,0.862,0.0,-0.4084,0.0,0.0,101
replied_to,0,0,0,2022-11-22T04:13:11.000Z,"""president""",0.131,0.776,0.093,0.1779,0.0,0.4,175
replied_to,0,0,0,2022-11-22T04:13:11.000Z,"""president""",0.34,0.66,0.0,-0.5574,0.0749999999999999,0.675,55
replied_to,0,0,0,2022-11-22T04:13:10.000Z,"""president""",0.0,1.0,0.0,0.0,0.25,0.3333333333333333,62
quoted,0,0,0,2022-11-22T04:13:09.000Z,"""president""",0.0,1.0,0.0,0.0,0.0,0.0,24
quoted,0,0,0,2022-11-22T04:13:09.000Z,"""president""",0.0,0.743,0.257,0.4215,0.0199999999999999,0.18,101
quoted,0,0,0,2022-11-22T04:13:09.000Z,"""president""",0.0,1.0,0.0,0.0,0.25,0.8500000000000001,92
replied_to,0,0,0,2022-11-22T04:13:08.000Z,"""president""",0.325,0.535,0.14,-0.5423,-0.45,0.7,126
replied_to,0,0,0,2022-11-22T04:13:08.000Z,"""president""",0.124,0.876,0.0,-0.5904,-0.075,0.7,192
replied_to,0,0,0,2022-11-22T04:13:07.000Z,"""president""",0.0,1.0,0.0,0.0,0.0,0.0,66
solo,0,0,0,2022-11-22T04:13:05.000Z,"""president""",0.0,1.0,0.0,0.0,0.175,0.3666666666666667,261
replied_to,0,0,0,2022-11-22T04:13:04.000Z,"""president""",0.0,1.0,0.0,0.0,0.1666666666666666,0.3333333333333333,59
solo,0,0,0,2022-11-22T04:13:04.000Z,"""president""",0.225,0.775,0.0,-0.7003,-0.25,0.4,127
solo,0,0,0,2022-11-22T04:13:03.000Z,"""president""",0.0,1.0,0.0,0.0,0.0,0.0,63
replied_to,0,0,0,2022-11-22T04:13:03.000Z,"""president""",0.0,1.0,0.0,0.0,0.0,0.0,187
replied_to,0,0,0,2022-11-22T04:13:01.000Z,"""president""",0.137,0.798,0.065,-0.5423,-0.1,0.0,254
replied_to,0,0,0,2022-11-22T04:13:00.000Z,"""president""",0.04,0.882,0.077,0.4588,0.1866666666666667,0.3133333333333333,277
replied_to,0,0,0,2022-11-22T04:12:58.000Z,"""president""",0.0,0.616,0.384,0.9274,0.8,0.75,191
replied_to,0,0,0,2022-11-22T04:12:58.000Z,"""president""",0.084,0.717,0.199,0.8225,0.2124999999999999,0.675,255
solo,0,0,0,2022-11-22T04:12:57.000Z,"""president""",0.0,0.949,0.051,0.25,-0.05,0.4,251
replied_to,0,0,0,2022-11-22T04:12:57.000Z,"""president""",0.0,1.0,0.0,0.0,-0.05,0.1,62
solo,0,0,0,2022-11-22T04:12:57.000Z,"""president""",0.215,0.785,0.0,-0.8934,-0.0625,0.1875,243
quoted,0,0,0,2022-11-22T04:12:54.000Z,"""president""",0.0,0.462,0.538,0.8581,0.0,0.0,72
replied_to,0,0,0,2022-11-22T04:12:52.000Z,"""president""",0.071,0.79,0.139,0.3197,0.2116666666666666,0.32,246
quoted,0,0,0,2022-11-22T04:12:52.000Z,"""president""",0.0,0.909,0.091,0.3182,0.9,0.9,153
replied_to,0,0,0,2022-11-22T04:12:51.000Z,"""president""",0.0,0.842,0.158,0.5538,0.1953125,0.1,115
solo,0,0,0,2022-11-22T04:12:50.000Z,"""president""",0.0,0.861,0.139,0.787,0.2,0.1,280
replied_to,0,0,0,2022-11-22T04:12:50.000Z,"""president""",0.0,0.906,0.094,0.6884,0.0,0.0,281
replied_to,0,0,0,2022-11-22T04:12:50.000Z,"""president""",0.0,1.0,0.0,0.0,0.25,0.8500000000000001,92
replied_to,0,0,0,2022-11-22T04:12:49.000Z,"""president""",0.0,1.0,0.0,0.0,0.25,0.8500000000000001,92
replied_to,0,0,0,2022-11-22T04:12:49.000Z,"""president""",0.023,0.648,0.329,0.9545,0.365340909090909,0.3,281
replied_to,0,0,0,2022-11-22T04:12:48.000Z,"""president""",0.0,1.0,0.0,0.0,0.0,0.0,47
solo,0,0,0,2022-11-22T04:12:48.000Z,"""president""",0.0,0.785,0.215,0.6249,0.4,0.375,113
replied_to,0,0,0,2022-11-22T04:12:47.000Z,"""president""",0.223,0.777,0.0,-0.765,0.08,0.2699999999999999,190
replied_to,0,0,0,2022-11-22T04:12:47.000Z,"""president""",0.0,0.848,0.152,0.3612,-0.0833333333333333,0.2166666666666666,92
solo,0,0,0,2022-11-22T04:12:45.000Z,"""president""",0.0,0.658,0.342,0.926,0.6999999999999998,0.2,225
solo,0,0,0,2022-11-22T04:12:45.000Z,"""president""",0.116,0.75,0.134,0.225,-0.4,0.8,239
replied_to,0,0,0,2022-11-22T04:12:45.000Z,"""president""",0.0,0.887,0.113,0.6369,0.375,0.23125,213
