type,retweets,likes,replies,time,author,neg,neu,pos,compound,polarity,subjectivity,length
solo,0,0,0,2022-11-22T04:43:38.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
quoted,0,0,0,2022-11-22T04:40:16.000Z,"""solar energy""",0.0,0.861,0.139,0.2732,0.0,0.625,85
replied_to,0,0,0,2022-11-22T04:39:45.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.15,0.4,69
solo,0,0,1,2022-11-22T04:32:32.000Z,"""solar energy""",0.0,0.84,0.16,0.2732,0.0,0.0,66
replied_to,0,0,0,2022-11-22T04:25:31.000Z,"""solar energy""",0.0,0.836,0.164,0.6249,0.0,0.2666666666666666,202
solo,0,1,0,2022-11-22T04:25:18.000Z,"""solar energy""",0.0,0.751,0.249,0.743,1.0,0.3,182
solo,0,0,0,2022-11-22T04:24:20.000Z,"""solar energy""",0.0,0.925,0.075,0.2732,0.0,0.0,170
solo,0,0,0,2022-11-22T04:24:09.000Z,"""solar energy""",0.0,0.84,0.16,0.2732,0.0,0.0,66
replied_to,0,0,0,2022-11-22T04:22:12.000Z,"""solar energy""",0.092,0.779,0.129,0.2023,0.0,0.825,280
solo,1,1,0,2022-11-22T04:22:05.000Z,"""solar energy""",0.0,0.7,0.3,0.7906,0.0,0.0,180
solo,0,0,0,2022-11-22T04:16:22.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,0,0,0,2022-11-22T04:15:04.000Z,"""solar energy""",0.0,0.925,0.075,0.2732,0.0,0.0,191
solo,0,0,0,2022-11-22T04:14:38.000Z,"""solar energy""",0.0,0.84,0.16,0.2732,0.0,0.0,66
solo,0,0,0,2022-11-22T04:10:01.000Z,"""solar energy""",0.0,0.84,0.16,0.2732,0.0,0.0,91
solo,15,69,24,2022-11-22T04:09:55.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,0,0,0,2022-11-22T04:09:32.000Z,"""solar energy""",0.0,0.84,0.16,0.2732,0.0,0.0,66
solo,0,0,0,2022-11-22T04:07:21.000Z,"""solar energy""",0.0,0.808,0.192,0.4215,0.0,0.0,109
replied_to,0,0,0,2022-11-22T04:03:39.000Z,"""solar energy""",0.0,1.0,0.0,0.0,0.0555555555555555,0.3944444444444444,256
replied_to,0,0,0,2022-11-22T04:00:32.000Z,"""solar energy""",0.0,0.953,0.047,0.2732,-0.0166666666666666,0.7999999999999999,249
solo,0,0,0,2022-11-22T04:00:02.000Z,"""solar energy""",0.0,0.905,0.095,0.2732,0.1,0.9,180
solo,0,0,0,2022-11-22T03:59:53.000Z,"""solar energy""",0.0,0.84,0.16,0.2732,0.0,0.0,66
solo,1,1,0,2022-11-22T03:59:35.000Z,"""solar energy""",0.0,0.728,0.272,0.7888,0.375,0.35,207
solo,0,1,0,2022-11-22T03:58:54.000Z,"""solar energy""",0.024,0.89,0.086,0.5187,-0.0555555555555555,0.3777777777777777,276
solo,0,0,0,2022-11-22T03:58:27.000Z,"""solar energy""",0.0,0.704,0.296,0.2732,0.0,0.0,41
replied_to,0,0,0,2022-11-22T03:58:25.000Z,"""solar energy""",0.0,0.738,0.262,0.8625,0.1166666666666666,0.1333333333333333,229
solo,0,0,0,2022-11-22T03:57:59.000Z,"""solar energy""",0.0,0.946,0.054,0.1779,0.25,0.5,258
solo,0,0,0,2022-11-22T03:57:13.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,0,0,0,2022-11-22T03:55:54.000Z,"""solar energy""",0.0,0.656,0.344,0.2732,0.0,0.0,41
solo,1,0,0,2022-11-22T03:55:05.000Z,"""solar energy""",0.0,0.87,0.13,0.5859,0.2333333333333333,0.5,244
solo,0,0,0,2022-11-22T03:54:40.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,0,0,0,2022-11-22T03:53:09.000Z,"""solar energy""",0.0,0.567,0.433,0.9459,0.575,0.7,253
solo,0,1,0,2022-11-22T03:50:27.000Z,"""solar energy""",0.069,0.894,0.036,-0.34,-0.15,0.3625,228
solo,0,0,0,2022-11-22T03:47:39.000Z,"""solar energy""",0.08,0.792,0.128,0.27,0.1,0.55,120
solo,0,0,0,2022-11-22T03:43:33.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,0,0,0,2022-11-22T03:43:18.000Z,"""solar energy""",0.0,0.89,0.11,0.2732,-0.4,0.4,101
solo,0,0,0,2022-11-22T03:43:02.000Z,"""solar energy""",0.0,0.811,0.189,0.4215,0.0,0.0,80
solo,0,1,0,2022-11-22T03:39:44.000Z,"""solar energy""",0.0,0.86,0.14,0.6705,0.0,0.0,278
solo,0,0,0,2022-11-22T03:37:39.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,0,0,0,2022-11-22T03:35:57.000Z,"""solar energy""",0.0,0.93,0.07,0.2732,0.0,0.0,271
replied_to,0,0,0,2022-11-22T03:32:36.000Z,"""solar energy""",0.121,0.717,0.162,0.3563,0.034090909090909,0.25,281
solo,0,0,0,2022-11-22T03:30:57.000Z,"""solar energy""",0.12,0.765,0.115,-0.0258,0.0,0.0,83
solo,0,0,0,2022-11-22T03:29:59.000Z,"""solar energy""",0.0,0.84,0.16,0.2732,0.0,0.0,66
solo,0,1,0,2022-11-22T03:26:33.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,0,0,0,2022-11-22T03:26:07.000Z,"""solar energy""",0.0,1.0,0.0,0.0,0.0,0.0,103
solo,0,0,0,2022-11-22T03:24:28.000Z,"""solar energy""",0.0,0.367,0.633,0.7096,0.0,0.0,54
solo,0,0,0,2022-11-22T03:22:23.000Z,"""solar energy""",0.0,0.826,0.174,0.2732,0.0,0.0,65
solo,0,0,0,2022-11-22T03:19:44.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
replied_to,0,1,0,2022-11-22T03:18:52.000Z,"""solar energy""",0.0,0.753,0.247,0.8481,0.2083333333333333,0.23125,167
solo,0,0,0,2022-11-22T03:18:03.000Z,"""solar energy""",0.0,0.826,0.174,0.2732,0.0,0.0,61
solo,0,0,0,2022-11-22T03:17:37.000Z,"""solar energy""",0.0,0.84,0.16,0.2732,0.0,0.0,66
solo,0,0,0,2022-11-22T03:17:07.000Z,"""solar energy""",0.0,0.749,0.251,0.8126,0.2249999999999999,0.6,176
solo,0,0,0,2022-11-22T03:16:47.000Z,"""solar energy""",0.0,0.826,0.174,0.2732,0.0,0.0,65
solo,0,0,0,2022-11-22T03:15:47.000Z,"""solar energy""",0.0,0.84,0.16,0.2732,0.0,0.0,75
solo,0,0,0,2022-11-22T03:15:39.000Z,"""solar energy""",0.0,0.831,0.169,0.6908,0.0,0.0,227
solo,0,0,0,2022-11-22T03:15:01.000Z,"""solar energy""",0.0,0.851,0.149,0.2732,0.0,0.0,79
replied_to,0,0,0,2022-11-22T03:14:26.000Z,"""solar energy""",0.0,0.782,0.218,0.8015,0.1875,0.1875,258
solo,0,0,0,2022-11-22T03:11:22.000Z,"""solar energy""",0.0,0.609,0.391,0.7712,0.1785714285714285,0.7678571428571428,96
solo,0,0,0,2022-11-22T03:09:41.000Z,"""solar energy""",0.0,0.826,0.174,0.2732,0.0,0.0,69
solo,0,0,0,2022-11-22T03:08:39.000Z,"""solar energy""",0.0,0.923,0.077,0.2732,0.0,0.0,230
solo,0,0,0,2022-11-22T03:04:44.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,57
solo,0,0,0,2022-11-22T03:02:56.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,0,1,0,2022-11-22T02:58:56.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,0,0,0,2022-11-22T02:57:24.000Z,"""solar energy""",0.0,0.84,0.16,0.2732,0.0,0.0,66
solo,0,0,0,2022-11-22T02:56:42.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,6,46,3,2022-11-22T02:53:01.000Z,"""solar energy""",0.0,0.803,0.197,0.4019,0.2,0.1,64
solo,0,0,0,2022-11-22T02:48:41.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,0,0,0,2022-11-22T02:48:35.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
replied_to,0,2,0,2022-11-22T02:48:05.000Z,"""solar energy""",0.0,0.913,0.087,0.2732,0.0,0.5,125
solo,0,0,0,2022-11-22T02:45:01.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,0,0,0,2022-11-22T02:44:52.000Z,"""solar energy""",0.197,0.526,0.276,0.1531,0.0,0.0,42
solo,0,0,0,2022-11-22T02:43:56.000Z,"""solar energy""",0.0,0.948,0.052,0.2732,-0.0982142857142857,0.2946428571428571,273
solo,0,0,0,2022-11-22T02:43:43.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
replied_to,0,0,1,2022-11-22T02:39:19.000Z,"""solar energy""",0.0,0.813,0.187,0.8126,0.3,0.6,277
solo,0,0,0,2022-11-22T02:35:17.000Z,"""solar energy""",0.0,0.758,0.242,0.4926,0.2333333333333333,0.3666666666666667,68
solo,0,0,0,2022-11-22T02:24:41.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,0,0,0,2022-11-22T02:23:25.000Z,"""solar energy""",0.0,0.826,0.174,0.2732,0.0,0.0,63
replied_to,0,0,1,2022-11-22T02:22:46.000Z,"""solar energy""",0.0,0.741,0.259,0.2732,0.0,0.0,45
solo,0,0,0,2022-11-22T02:19:35.000Z,"""solar energy""",0.0,0.87,0.13,0.2732,0.0,0.0,97
replied_to,0,0,0,2022-11-22T02:18:02.000Z,"""solar energy""",0.0,0.654,0.346,0.9245,0.30625,0.6124999999999999,231
replied_to,0,0,0,2022-11-22T02:15:54.000Z,"""solar energy""",0.0,0.769,0.231,0.2732,0.0,0.55,49
solo,0,0,0,2022-11-22T02:13:04.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,0,0,0,2022-11-22T02:13:02.000Z,"""solar energy""",0.0,0.896,0.104,0.4939,0.0,0.0,230
solo,0,0,0,2022-11-22T02:12:02.000Z,"""solar energy""",0.0,0.861,0.139,0.2732,0.0,0.0,93
solo,0,0,0,2022-11-22T02:11:49.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,0,0,0,2022-11-22T02:09:38.000Z,"""solar energy""",0.0,0.84,0.16,0.2732,0.0,0.0,66
solo,0,0,0,2022-11-22T02:08:51.000Z,"""solar energy""",0.128,0.872,0.0,-0.2263,0.0,0.0,89
solo,0,0,0,2022-11-22T02:08:01.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,0,0,0,2022-11-22T02:06:05.000Z,"""solar energy""",0.0,0.84,0.16,0.2732,0.0,0.0,66
solo,0,0,0,2022-11-22T02:04:54.000Z,"""solar energy""",0.073,0.858,0.069,-0.0258,0.0,0.0,246
solo,0,0,0,2022-11-22T01:59:37.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,0,0,0,2022-11-22T01:59:31.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,0,0,0,2022-11-22T01:59:05.000Z,"""solar energy""",0.0,1.0,0.0,0.0,0.0,0.125,45
solo,0,0,0,2022-11-22T01:56:55.000Z,"""solar energy""",0.0,0.754,0.246,0.7351,0.8,0.75,108
solo,0,0,0,2022-11-22T01:55:55.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,59
solo,0,0,0,2022-11-22T01:48:54.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,0,0,0,2022-11-22T01:46:33.000Z,"""solar energy""",0.081,0.864,0.055,-0.25,-0.2893518518518518,0.5254629629629629,253
solo,0,0,0,2022-11-22T01:46:21.000Z,"""solar energy""",0.0,0.92,0.08,0.2732,0.0,0.0,159
solo,0,4,0,2022-11-22T01:44:31.000Z,"""solar energy""",0.134,0.71,0.156,0.2023,0.1333333333333333,0.4333333333333333,183
solo,1,1,0,2022-11-22T01:44:24.000Z,"""solar energy""",0.0,0.893,0.107,0.3899,0.0,0.0,150
replied_to,0,0,1,2022-11-22T01:43:38.000Z,"""solar energy""",0.0,0.773,0.227,0.8456,0.0952380952380952,0.6230158730158729,273
solo,0,0,0,2022-11-22T01:43:10.000Z,"""solar energy""",0.0,0.812,0.188,0.6124,0.1999999999999999,0.3999999999999999,239
solo,0,0,0,2022-11-22T01:42:14.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,0,0,0,2022-11-22T01:41:59.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,59
solo,0,0,0,2022-11-22T01:41:10.000Z,"""solar energy""",0.0,0.811,0.189,0.4939,0.0,0.0,106
solo,0,0,0,2022-11-22T01:40:53.000Z,"""solar energy""",0.0,0.84,0.16,0.2732,0.0,0.0,66
solo,0,0,0,2022-11-22T01:40:41.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,61
solo,0,0,0,2022-11-22T01:40:33.000Z,"""solar energy""",0.0,0.811,0.189,0.2732,0.0,0.0,55
solo,0,0,0,2022-11-22T01:40:09.000Z,"""solar energy""",0.0,0.89,0.11,0.2732,0.5,0.5,104
solo,0,0,0,2022-11-22T01:39:09.000Z,"""solar energy""",0.0,0.84,0.16,0.2732,0.0,0.4,75
solo,0,1,0,2022-11-22T01:38:32.000Z,"""solar energy""",0.0,0.816,0.184,0.4019,0.2,0.1,68
replied_to,0,0,0,2022-11-22T01:37:03.000Z,"""solar energy""",0.058,0.841,0.101,0.25,-0.5,0.5625,242
quoted,0,1,0,2022-11-22T01:36:01.000Z,"""solar energy""",0.058,0.893,0.049,-0.096,0.09375,0.5972222222222222,242
solo,0,0,0,2022-11-22T01:35:46.000Z,"""solar energy""",0.0,0.84,0.16,0.2732,0.0,0.0,79
replied_to,0,1,0,2022-11-22T01:34:11.000Z,"""solar energy""",0.0,0.913,0.087,0.2732,0.0,0.0625,138
