neg,neu,pos,compound,polarity,subjectivity,author,length
0.0,1.0,0.0,0.0,0.0,0.0,NLTKcorpus,118
0.0,1.0,0.0,0.0,0.0,0.0,NLTKcorpus,39
0.0,0.914,0.086,0.1779,0.0,0.0,NLTKcorpus,114
0.0,1.0,0.0,0.0,0.0,0.0,NLTKcorpus,74
0.0,0.769,0.231,0.4588,0.0,0.0,NLTKcorpus,78
0.0,0.822,0.178,0.3802,0.625,0.8888888888888888,NLTKcorpus,75
0.194,0.728,0.079,-0.4389,0.0,0.0,NLTKcorpus,89
0.0,0.948,0.052,0.0258,0.0,0.0,NLTKcorpus,119
0.0,1.0,0.0,0.0,-0.1,0.1,NLTKcorpus,113
0.164,0.426,0.409,0.8167,0.1236111111111111,0.43472222222222223,NLTKcorpus,113
0.0,1.0,0.0,0.0,0.0,0.0,NLTKcorpus,36
0.0,0.901,0.099,0.296,0.2,0.30000000000000004,NLTKcorpus,124
0.0,1.0,0.0,0.0,0.0,0.06666666666666667,NLTKcorpus,56
0.137,0.863,0.0,-0.4019,0.0,0.0,NLTKcorpus,94
0.0,0.87,0.13,0.2732,0.0,0.0,NLTKcorpus,90
0.0,0.67,0.33,0.8126,0.15,0.13333333333333333,NLTKcorpus,115
0.0,0.693,0.307,0.6956,0.45,0.6916666666666667,NLTKcorpus,74
0.0,0.792,0.208,0.6996,0.11666666666666665,0.2388888888888889,NLTKcorpus,125
0.0,0.803,0.197,0.4019,0.17857142857142858,0.3357142857142857,NLTKcorpus,79
0.0,0.948,0.052,0.0258,0.0,0.0,NLTKcorpus,119
0.0,0.899,0.101,0.2003,0.41964285714285715,0.4642857142857143,NLTKcorpus,120
0.0,1.0,0.0,0.0,0.0,0.0,NLTKcorpus,34
0.0,1.0,0.0,0.0,0.0,0.0,NLTKcorpus,116
0.134,0.729,0.138,-0.2263,0.2,0.55,NLTKcorpus,119
0.0,0.874,0.126,0.3182,0.0,0.0,NLTKcorpus,103
0.0,0.793,0.207,0.5267,0.3,0.875,NLTKcorpus,80
0.0,0.902,0.098,0.0772,0.0,0.0,NLTKcorpus,71
0.286,0.714,0.0,-0.8225,0.025,0.60625,NLTKcorpus,126
0.0,0.769,0.231,0.4019,0.0,0.0,NLTKcorpus,68
0.151,0.733,0.116,-0.2023,0.0,0.1,NLTKcorpus,112
0.2,0.8,0.0,-0.4588,0.0,0.0,NLTKcorpus,106
0.0,0.636,0.364,0.8225,0.4,0.6,NLTKcorpus,109
0.079,0.699,0.222,0.5093,0.4541666666666666,0.7833333333333333,NLTKcorpus,124
0.124,0.876,0.0,-0.4019,-0.15555555555555559,0.2888888888888889,NLTKcorpus,125
0.0,0.714,0.286,0.8142,0.0859375,0.37222222222222223,NLTKcorpus,140
0.0,1.0,0.0,0.0,-0.175,0.35,NLTKcorpus,83
0.155,0.7,0.145,-0.0516,0.13636363636363635,0.45454545454545453,NLTKcorpus,116
0.0,1.0,0.0,0.0,0.0,0.0,NLTKcorpus,96
0.082,0.793,0.125,0.2769,0.12222222222222222,0.5444444444444445,NLTKcorpus,107
0.214,0.583,0.204,-0.0534,0.10000000000000002,0.3833333333333333,NLTKcorpus,89
0.0,1.0,0.0,0.0,0.0,0.5,NLTKcorpus,83
0.241,0.759,0.0,-0.6908,0.0,0.0,NLTKcorpus,119
0.214,0.583,0.204,-0.0534,0.10000000000000002,0.3833333333333333,NLTKcorpus,89
0.193,0.706,0.1,-0.3612,0.2,0.5,NLTKcorpus,125
0.0,0.816,0.184,0.4857,-0.03125,0.23333333333333334,NLTKcorpus,82
0.115,0.766,0.12,0.0258,-0.15714285714285714,0.7178571428571429,NLTKcorpus,109
0.361,0.444,0.194,-0.7184,0.25,0.5375000000000001,NLTKcorpus,128
0.0,1.0,0.0,0.0,0.0,0.0,NLTKcorpus,63
0.0,1.0,0.0,0.0,-0.15555555555555559,0.2888888888888889,NLTKcorpus,52
0.146,0.854,0.0,-0.3384,0.0,0.9,NLTKcorpus,107
0.098,0.712,0.19,0.4019,0.0,0.0,NLTKcorpus,140
0.068,0.932,0.0,-0.1531,0.0,0.5,NLTKcorpus,125
0.0,1.0,0.0,0.0,0.2,0.2,NLTKcorpus,68
0.0,1.0,0.0,0.0,0.0,0.0,NLTKcorpus,88
0.0,1.0,0.0,0.0,0.0,0.0,NLTKcorpus,39
0.0,0.803,0.197,0.4019,0.17857142857142858,0.3357142857142857,NLTKcorpus,79
0.0,0.836,0.164,0.5473,0.0,0.5,NLTKcorpus,121
0.0,1.0,0.0,0.0,0.5,0.5,NLTKcorpus,115
0.274,0.726,0.0,-0.5994,-0.6,0.9,NLTKcorpus,113
0.064,0.847,0.089,0.1531,-0.23703703703703705,0.42962962962962964,NLTKcorpus,140
