neg,neu,pos,compound,polarity,subjectivity,author,length
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,12
0.0,1.0,0.0,0.0,0.0,0.5,Baseline,123
0.0,1.0,0.0,0.0,-0.1,0.6,Baseline,121
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,124
0.0,0.764,0.236,0.7125,0.3888888888888889,0.2111111111111111,Baseline,112
0.0,0.571,0.429,0.7184,0.5666666666666667,0.8333333333333333,Baseline,65
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,93
0.0,0.545,0.455,0.3612,0.0,0.0,Baseline,21
0.097,0.903,0.0,-0.3346,0.125,0.625,Baseline,125
0.377,0.45,0.173,-0.4084,-0.25,0.25,Baseline,57
0.29,0.71,0.0,-0.6705,-0.2,0.0,Baseline,89
0.0,0.886,0.114,0.2023,0.1666666666666666,0.1888888888888888,Baseline,94
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,121
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,125
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,76
0.0,0.811,0.189,0.6369,0.2666666666666666,0.2333333333333333,Baseline,123
0.0,1.0,0.0,0.0,-0.1,0.2,Baseline,170
0.0,0.874,0.126,0.3182,0.0,0.0,Baseline,91
0.0,0.844,0.156,0.4824,-0.4,0.4,Baseline,127
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,45
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,49
0.0,0.796,0.204,0.5927,0.5,0.5,Baseline,81
0.214,0.494,0.291,0.6658,0.1875695732838589,0.580643166357452,Baseline,280
0.0,0.833,0.167,0.296,0.0,0.0,Baseline,78
0.0,0.864,0.136,0.4574,-0.1,0.2933333333333333,Baseline,134
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,23
0.0,1.0,0.0,0.0,0.0,0.5,Baseline,51
0.351,0.27,0.378,0.0772,0.5,0.6,Baseline,26
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,24
0.146,0.699,0.155,-0.1779,-0.0833333333333333,0.0958333333333333,Baseline,160
0.124,0.647,0.229,0.4215,0.85,1.0,Baseline,103
0.14,0.86,0.0,-0.0772,-0.5,1.0,Baseline,53
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,44
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,24
0.0,0.869,0.131,0.7088,0.4,0.475,Baseline,249
0.0,0.588,0.412,0.4215,0.0,0.0,Baseline,32
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,22
0.0,1.0,0.0,0.0,-0.0555555555555555,0.1777777777777777,Baseline,124
0.114,0.805,0.081,-0.1926,0.1111111111111111,0.5555555555555556,Baseline,115
0.136,0.734,0.13,-0.0258,0.5,0.8888888888888888,Baseline,84
0.0,1.0,0.0,0.0,0.7,0.9,Baseline,49
0.594,0.099,0.307,-0.4404,-0.1,0.5,Baseline,33
0.0,0.802,0.198,0.5362,0.0,0.0,Baseline,87
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,75
0.101,0.899,0.0,-0.2263,0.0,0.5,Baseline,111
0.511,0.341,0.148,-0.6359,-0.6999999999999998,0.6666666666666666,Baseline,28
0.095,0.905,0.0,-0.4939,0.05,0.075,Baseline,268
0.188,0.812,0.0,-0.5267,0.175,0.275,Baseline,110
0.0,0.784,0.216,0.5106,0.1666666666666666,0.5666666666666667,Baseline,79
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,48
0.09,0.667,0.243,0.5983,1.0,1.0,Baseline,122
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,49
0.0,0.707,0.293,0.4404,0.0,0.1,Baseline,41
0.0,0.686,0.314,0.6705,0.7,0.6000000000000001,Baseline,84
0.119,0.881,0.0,-0.2263,-0.5,0.5,Baseline,79
0.0,0.936,0.064,0.0772,0.25,0.75,Baseline,119
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,10
0.0,1.0,0.0,0.0,-0.3,0.6,Baseline,64
0.0,0.789,0.211,0.34,0.5,0.7,Baseline,54
0.0,0.122,0.878,0.802,1.0,0.3,Baseline,13
0.0,0.84,0.16,0.4588,0.5,0.5,Baseline,119
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,17
0.0,0.798,0.202,0.5499,0.0,0.0,Baseline,65
0.0,0.828,0.172,0.4019,0.0,0.0,Baseline,74
0.0,0.749,0.251,0.8779,0.1928571428571428,0.2857142857142857,Baseline,281
0.14,0.811,0.05,-0.4588,-0.3277777777777778,0.6444444444444445,Baseline,108
0.0,0.843,0.157,0.0772,0.0,0.0,Baseline,42
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,37
0.166,0.346,0.489,0.6876,-0.1875,0.75,Baseline,51
0.075,0.824,0.102,0.1779,0.5,0.6,Baseline,124
0.0,1.0,0.0,0.0,-0.05,0.4,Baseline,32
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,107
0.0,0.843,0.157,0.0772,0.35,0.55,Baseline,54
0.0,0.798,0.202,0.5859,0.2777777777777778,0.1555555555555555,Baseline,124
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,125
0.0,0.5,0.5,0.6124,0.7,0.6000000000000001,Baseline,33
0.073,0.814,0.113,0.347,0.3,0.7666666666666666,Baseline,179
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,24
0.0,0.577,0.423,0.5255,-0.1944444444444444,0.2888888888888889,Baseline,64
0.0,0.648,0.352,0.5859,0.6000000000000001,0.9,Baseline,55
0.0,1.0,0.0,0.0,0.1,0.4,Baseline,76
0.126,0.783,0.091,-0.2023,0.1071428571428571,0.4357142857142857,Baseline,119
0.0,0.609,0.391,0.7717,0.0,0.0,Baseline,120
0.0,0.917,0.083,0.2263,0.2333333333333333,0.3256410256410256,Baseline,122
0.0,0.71,0.29,0.6485,-0.2,0.8,Baseline,80
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,6
0.358,0.642,0.0,-0.4404,-0.3333333333333333,0.6666666666666666,Baseline,57
0.443,0.557,0.0,-0.3374,0.2,0.2,Baseline,29
0.18,0.615,0.205,0.1551,0.45,0.75,Baseline,126
0.0,0.786,0.214,0.4588,0.25,0.5833333333333334,Baseline,72
0.282,0.718,0.0,-0.6898,0.0,0.0,Baseline,123
0.167,0.833,0.0,-0.2023,-0.1,0.5,Baseline,86
0.203,0.797,0.0,-0.6219,0.0,0.0,Baseline,122
0.0,0.876,0.124,0.4003,0.484375,0.625,Baseline,126
0.144,0.638,0.218,0.4926,0.175,0.425,Baseline,156
0.0,0.827,0.173,0.3182,0.3928571428571428,0.7123015873015872,Baseline,62
0.0,0.479,0.521,0.8225,0.2666666666666666,0.575,Baseline,56
0.0,1.0,0.0,0.0,-0.125,0.75,Baseline,36
0.0,0.864,0.136,0.5093,0.0,0.0,Baseline,126
0.27,0.54,0.19,-0.5468,-0.6,0.8,Baseline,122
0.0,0.588,0.412,0.6369,1.0,0.3,Baseline,32
0.0,1.0,0.0,0.0,0.01875,0.5666666666666667,Baseline,27
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,40
0.0,0.873,0.127,0.4404,0.1681818181818181,0.35,Baseline,109
0.167,0.657,0.176,0.0839,0.0,0.0,Baseline,124
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,30
0.0,0.814,0.186,0.4939,0.15625,0.75,Baseline,84
0.0,0.435,0.565,0.0772,0.0,0.0,Baseline,8
0.0,0.536,0.464,0.9022,0.4000000000000001,0.6833333333333332,Baseline,111
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,42
0.0,0.782,0.218,0.6341,0.55,1.0,Baseline,106
0.0,0.769,0.231,0.4019,0.1,0.4,Baseline,53
0.0,0.782,0.218,0.5994,0.925,0.65,Baseline,147
0.235,0.765,0.0,-0.8591,0.0638888888888888,0.5055555555555555,Baseline,185
0.0,0.362,0.638,0.793,0.5,1.0,Baseline,34
0.0,0.524,0.476,0.5622,0.5,0.5,Baseline,34
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,25
0.0,0.727,0.273,0.3885,0.0,0.0,Baseline,45
0.0,0.789,0.211,0.8625,-0.15,0.5333333333333333,Baseline,244
0.756,0.244,0.0,-0.7346,-1.0,1.0,Baseline,20
0.083,0.868,0.049,-0.2263,0.0,0.0833333333333333,Baseline,120
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,26
0.081,0.753,0.166,0.4211,0.1333333333333333,0.6083333333333334,Baseline,176
0.0,1.0,0.0,0.0,0.2,0.2,Baseline,59
0.139,0.38,0.481,0.6597,0.1,1.0,Baseline,47
0.0,0.936,0.064,0.0772,-0.5,1.0,Baseline,114
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,11
0.05,0.892,0.057,0.0772,0.1,0.4125,Baseline,232
0.177,0.823,0.0,-0.6249,-0.5,0.75,Baseline,123
0.0,0.423,0.577,0.6652,0.5,0.5,Baseline,26
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,51
0.187,0.813,0.0,-0.3182,-0.4,0.7,Baseline,68
0.0,0.66,0.34,0.4753,0.0,0.125,Baseline,47
0.0,0.706,0.294,0.3612,0.0,1.0,Baseline,45
0.0,0.488,0.512,0.636,1.0,1.0,Baseline,35
0.0,0.537,0.463,0.9042,0.45,0.6166666666666667,Baseline,84
0.143,0.857,0.0,-0.5423,-0.0999999999999999,0.1999999999999999,Baseline,125
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,22
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,30
0.244,0.756,0.0,-0.6705,-0.5,0.75,Baseline,124
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,28
0.0,0.256,0.744,0.4404,0.7,0.6000000000000001,Baseline,16
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,21
0.304,0.696,0.0,-0.5423,-0.4,0.6,Baseline,52
0.0,0.779,0.221,0.6249,0.0,0.0,Baseline,131
0.235,0.601,0.164,-0.3182,-0.2,0.4,Baseline,82
0.294,0.441,0.265,-0.0516,0.0,0.0,Baseline,34
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,76
0.099,0.596,0.304,0.7334,0.4714285714285713,0.6333333333333333,Baseline,127
0.0,0.75,0.25,0.4588,0.5,1.0,Baseline,55
0.373,0.241,0.386,0.0258,-0.125,1.0,Baseline,21
0.0,1.0,0.0,0.0,-0.35,0.65,Baseline,24
0.169,0.718,0.113,-0.5204,0.0249999999999999,0.325,Baseline,194
0.0,1.0,0.0,0.0,-0.234375,0.5,Baseline,122
0.0,0.859,0.141,0.4215,-0.1555555555555555,0.2888888888888889,Baseline,102
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,18
0.192,0.641,0.167,-0.2302,0.05,0.6000000000000001,Baseline,140
0.137,0.863,0.0,-0.2263,0.0,0.0,Baseline,85
0.0,1.0,0.0,0.0,0.0249999999999999,0.2166666666666666,Baseline,97
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,71
0.0,0.508,0.492,0.4404,0.7,0.6000000000000001,Baseline,30
0.0,0.687,0.313,0.802,0.15,0.5416666666666666,Baseline,122
0.0,0.812,0.188,0.4588,0.25,0.5833333333333334,Baseline,80
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,36
0.0,0.385,0.615,0.4926,0.625,0.5,Baseline,18
0.0,1.0,0.0,0.0,-0.2,0.6,Baseline,12
0.0,1.0,0.0,0.0,0.5,0.5,Baseline,50
0.0,0.513,0.487,0.5859,0.0,0.0,Baseline,29
0.0,0.441,0.559,0.5859,0.45,0.825,Baseline,19
1.0,0.0,0.0,-0.296,0.0,0.0,Baseline,8
0.254,0.64,0.106,-0.5719,-0.2994047619047619,0.7196428571428571,Baseline,109
0.145,0.855,0.0,-0.296,0.0,0.0,Baseline,87
0.364,0.636,0.0,-0.743,-1.0,1.0,Baseline,76
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,44
0.0,1.0,0.0,0.0,-0.3,0.5,Baseline,108
0.273,0.303,0.424,0.3612,-0.2,0.2,Baseline,28
0.0,0.936,0.064,0.3089,-0.0628571428571428,0.4271428571428571,Baseline,223
0.238,0.596,0.166,-0.2732,-0.2,0.8,Baseline,61
0.199,0.614,0.188,-0.0772,0.7,0.6000000000000001,Baseline,110
0.137,0.578,0.285,0.4767,0.13125,0.55,Baseline,126
0.0,0.328,0.672,0.6249,0.8,0.75,Baseline,20
0.196,0.725,0.08,-0.4931,0.35,0.5,Baseline,121
0.0,0.734,0.266,0.8225,0.3333333333333333,0.0999999999999999,Baseline,125
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,39
0.0,0.503,0.497,0.872,0.85,0.8,Baseline,79
0.0,1.0,0.0,0.0,0.1,1.0,Baseline,120
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,20
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,22
0.0,1.0,0.0,0.0,0.0,0.0,Baseline,88
