neg,neu,pos,compound,polarity,subjectivity,author,length
0.0,0.545,0.455,0.7579,0.5,0.75,NLTKcorpus,75
0.149,0.572,0.279,0.6229,0.22222222222222224,0.5958333333333333,NLTKcorpus,118
0.0,0.693,0.307,0.7959,0.4166666666666667,0.6555555555555556,NLTKcorpus,91
0.0,0.0,1.0,0.7983,0.5,1.0,NLTKcorpus,12
0.0,0.718,0.282,0.795,0.25,0.55,NLTKcorpus,106
0.0,0.426,0.574,0.6597,0.5,1.0,NLTKcorpus,53
0.065,0.399,0.536,0.9466,0.4875,0.73,NLTKcorpus,104
0.0,0.905,0.095,0.25,0.1590909090909091,0.4886363636363636,NLTKcorpus,114
0.0,0.619,0.381,0.7615,1.0,1.0,NLTKcorpus,39
0.0,1.0,0.0,0.0,0.0,0.0,NLTKcorpus,127
0.0,0.652,0.348,0.5859,0.5,0.75,NLTKcorpus,70
0.325,0.386,0.289,-0.0946,0.5,0.8,NLTKcorpus,54
0.0,0.571,0.429,0.4588,0.25,0.5,NLTKcorpus,33
0.0,0.544,0.456,0.7717,0.75,1.0,NLTKcorpus,55
0.0,0.611,0.389,0.8805,0.3278409090909091,0.6511363636363636,NLTKcorpus,107
0.0,0.492,0.508,0.8519,0.5,0.8,NLTKcorpus,67
0.0,0.667,0.333,0.4588,0.5,1.0,NLTKcorpus,48
0.096,0.501,0.402,0.8091,0.6,0.6,NLTKcorpus,82
0.0,1.0,0.0,0.0,0.5,1.0,NLTKcorpus,11
0.0,0.697,0.303,0.6868,0.5,0.9444444444444444,NLTKcorpus,80
0.0,0.676,0.324,0.5859,0.37878787878787873,0.6515151515151515,NLTKcorpus,73
0.0,0.558,0.442,0.8591,0.35000000000000003,0.7333333333333334,NLTKcorpus,93
0.0,0.654,0.346,0.6476,0.75,0.85,NLTKcorpus,61
0.0,0.517,0.483,0.6808,0.5,1.0,NLTKcorpus,54
0.0,1.0,0.0,0.0,0.5,1.0,NLTKcorpus,37
0.0,0.164,0.836,0.6239,0.5,1.0,NLTKcorpus,18
0.0,0.736,0.264,0.7845,0.41666666666666663,0.75,NLTKcorpus,115
0.0,0.721,0.279,0.7351,0.25,0.4083333333333333,NLTKcorpus,105
0.0,0.667,0.333,0.7177,0.5,1.0,NLTKcorpus,68
0.0,0.199,0.801,0.6166,1.0,1.0,NLTKcorpus,9
0.0,0.769,0.231,0.4588,0.5,1.0,NLTKcorpus,74
0.0,1.0,0.0,0.0,0.5,1.0,NLTKcorpus,24
0.0,0.61,0.39,0.75,0.625,0.9,NLTKcorpus,118
0.038,0.58,0.382,0.902,0.5,0.8,NLTKcorpus,111
0.0,0.753,0.247,0.3182,0.25,0.5,NLTKcorpus,56
0.0,0.571,0.429,0.4588,0.25,0.5,NLTKcorpus,33
0.0,0.523,0.477,0.743,0.5,0.75,NLTKcorpus,67
0.0,0.312,0.688,0.5267,0.5,1.0,NLTKcorpus,22
0.0,0.796,0.204,0.3182,0.25,0.5,NLTKcorpus,68
0.0,0.684,0.316,0.7865,0.75,0.75,NLTKcorpus,83
0.0,0.206,0.794,0.8906,0.8333333333333334,0.6333333333333334,NLTKcorpus,38
0.0,0.496,0.504,0.8455,0.475,0.6625,NLTKcorpus,59
0.0,0.422,0.578,0.8625,0.65,0.875,NLTKcorpus,52
0.0,0.833,0.167,0.4588,0.25,0.5,NLTKcorpus,92
0.0,0.379,0.621,0.92,0.5416666666666666,0.8666666666666667,NLTKcorpus,60
0.0,0.099,0.901,0.8452,0.5833333333333334,0.5666666666666667,NLTKcorpus,20
0.123,0.357,0.52,0.7906,0.22999999999999998,0.78,NLTKcorpus,81
0.0,0.161,0.839,0.6369,0.375,0.625,NLTKcorpus,18
0.0,0.81,0.19,0.5093,0.3352272727272727,0.7272727272727273,NLTKcorpus,78
0.0,0.261,0.739,0.9067,1.0,0.875,NLTKcorpus,40
0.0,0.8,0.2,0.4588,0.325,0.825,NLTKcorpus,76
0.0,0.545,0.455,0.7579,0.5,0.75,NLTKcorpus,75
0.114,0.622,0.264,0.4404,0.5,1.0,NLTKcorpus,70
0.112,0.508,0.381,0.6486,0.2,0.425,NLTKcorpus,86
0.0,0.698,0.302,0.5994,0.2875,0.575,NLTKcorpus,76
0.0,0.8,0.2,0.4588,0.25,0.5625,NLTKcorpus,71
0.0,0.547,0.453,0.7003,0.5666666666666667,0.7000000000000001,NLTKcorpus,51
0.0,0.571,0.429,0.4588,0.5,1.0,NLTKcorpus,27
0.0,0.368,0.632,0.8519,0.3333333333333333,0.7000000000000001,NLTKcorpus,45
0.0,0.332,0.668,0.6166,1.0,1.0,NLTKcorpus,12
0.0,0.806,0.194,0.4389,0.25,1.0,NLTKcorpus,62
